<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VTV,20180713,,,,11.8,0
VTV,20180712,,,,11.8,0
VTV,20180711,,,,11.8,0
VTV,20180710,11.0,11.8,11.0,11.8,1280
VTV,20180709,11.3,11.3,11.3,11.3,100
VTV,20180706,11.8,11.8,11.8,11.8,100
VTV,20180705,11.0,11.0,11.0,11.0,12000
VTV,20180704,11.9,11.9,10.9,11.8,9500
VTV,20180703,12.5,12.5,11.79,12.5,14500
VTV,20180702,12.5,12.5,12.41,12.41,12700
VTV,20180629,12.68,12.68,12.15,12.41,25700
VTV,20180628,12.95,12.95,12.86,12.86,7121
VTV,20180627,12.95,12.95,12.95,12.95,1000
VTV,20180626,13.21,13.21,12.94,12.95,17300
VTV,20180625,13.21,13.21,13.21,13.21,8880
VTV,20180622,13.21,13.21,13.21,13.21,100
VTV,20180621,,,,13.21,0
VTV,20180620,12.94,13.21,12.94,13.21,16000
VTV,20180619,12.5,13.21,12.5,13.21,1500
VTV,20180618,13.39,13.39,13.39,13.39,800
VTV,20180615,12.95,13.66,12.95,13.48,51900
VTV,20180614,13.03,13.12,12.94,12.95,63200
VTV,20180613,13.12,13.12,13.12,13.12,51600
VTV,20180612,13.21,13.21,13.12,13.12,12900
VTV,20180611,,,,13.39,0
VTV,20180608,13.39,13.39,13.39,13.39,35
VTV,20180607,13.39,13.39,13.39,13.39,100
VTV,20180606,13.21,13.21,13.21,13.21,200
VTV,20180605,12.32,14.02,12.32,12.32,2700
VTV,20180604,13.66,13.66,13.66,13.66,2207
VTV,20180601,14.02,14.02,14.02,14.02,5000
VTV,20180531,12.86,12.86,12.86,12.86,600
VTV,20180530,12.77,12.77,12.68,12.68,5500
VTV,20180529,12.41,12.41,11.97,12.41,5200
VTV,20180528,11.34,11.34,11.34,11.34,1100
VTV,20180525,12.77,12.77,12.41,12.41,593
VTV,20180524,12.41,12.41,12.41,12.41,100
VTV,20180523,11.78,12.05,11.78,12.05,300
VTV,20180522,11.78,12.14,11.78,12.14,1600
VTV,20180521,12.14,12.14,12.14,12.14,300
VTV,20180518,12.05,12.05,12.05,12.05,500
VTV,20180517,12.06,12.06,12.06,12.05,11710
VTV,20180516,12.95,12.95,12.95,12.95,200
VTV,20180515,12.95,12.95,12.06,12.86,8000
VTV,20180514,13.04,13.04,13.04,13.04,200
VTV,20180511,11.7,12.95,11.7,12.95,400
VTV,20180510,12.95,12.95,12.95,12.95,200
VTV,20180509,11.96,12.67,11.96,12.68,400
VTV,20180508,11.97,11.97,11.97,11.96,200
VTV,20180507,12.76,12.76,12.14,12.68,6300
VTV,20180504,12.94,12.94,12.05,12.05,1400
VTV,20180503,12.06,12.06,12.06,12.05,300
VTV,20180502,13.04,13.04,12.95,12.95,800
VTV,20180427,11.61,12.95,11.61,12.95,1400
VTV,20180426,11.7,12.41,11.61,12.41,2500
VTV,20180424,12.06,12.5,12.06,12.41,3200
VTV,20180423,,,,13.04,0
