<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
WSS,20180713,2.7,2.9,2.6,2.9,19800
WSS,20180712,,,,2.7,0
WSS,20180711,2.6,2.8,2.6,2.7,10900
WSS,20180710,2.7,2.8,2.7,2.8,8100
WSS,20180709,2.7,2.8,2.7,2.8,3800
WSS,20180706,2.7,2.8,2.7,2.8,1200
WSS,20180705,2.8,2.8,2.8,2.8,800
WSS,20180704,2.8,2.8,2.8,2.8,1200
WSS,20180703,2.7,2.8,2.6,2.8,4400
WSS,20180702,,,,2.8,0
WSS,20180629,2.8,2.8,2.8,2.8,2300
WSS,20180628,2.9,2.9,2.8,2.8,32500
WSS,20180627,2.9,2.9,2.9,2.9,1300
WSS,20180626,,,,3.0,0
WSS,20180625,3.0,3.0,3.0,3.0,200
WSS,20180622,3.0,3.0,3.0,3.0,200
WSS,20180621,3.0,3.0,3.0,3.0,300
WSS,20180620,2.7,3.0,2.7,3.0,500
WSS,20180619,,,,3.0,0
WSS,20180618,,,,3.0,0
WSS,20180615,3.0,3.0,3.0,3.0,100
WSS,20180614,2.9,3.0,2.9,3.0,200
WSS,20180613,2.9,2.9,2.9,2.9,3400
WSS,20180612,,,,3.0,0
WSS,20180611,2.8,3.0,2.8,3.0,2300
WSS,20180608,3.0,3.0,2.9,3.0,6400
WSS,20180607,3.0,3.0,3.0,3.0,6600
WSS,20180606,3.0,3.0,3.0,3.0,1700
WSS,20180605,3.0,3.1,2.9,3.1,13100
WSS,20180604,3.0,3.0,3.0,3.0,15000
WSS,20180601,3.0,3.1,2.9,3.1,16700
WSS,20180531,3.1,3.1,3.1,3.1,16600
WSS,20180530,,,,3.1,0
WSS,20180529,3.1,3.1,3.1,3.1,8700
WSS,20180528,3.1,3.1,3.0,3.0,20600
WSS,20180525,3.1,3.1,3.1,3.1,20400
WSS,20180524,3.1,3.1,3.1,3.1,49700
WSS,20180523,3.2,3.2,3.1,3.2,32800
WSS,20180522,3.3,3.3,3.1,3.2,26200
WSS,20180521,3.2,3.2,3.2,3.2,20400
WSS,20180518,3.2,3.3,3.2,3.3,12100
WSS,20180517,3.2,3.2,3.2,3.2,28100
WSS,20180516,3.2,3.3,3.2,3.3,15600
WSS,20180515,3.2,3.3,3.2,3.2,20400
WSS,20180514,3.3,3.3,3.2,3.2,21500
WSS,20180511,3.3,3.3,3.2,3.2,24400
WSS,20180510,3.4,3.4,3.3,3.3,8100
WSS,20180509,3.2,3.4,3.2,3.4,16100
WSS,20180508,3.3,3.4,3.2,3.2,77000
WSS,20180507,3.4,3.5,3.4,3.5,21500
WSS,20180504,3.4,3.4,3.4,3.4,15300
WSS,20180503,3.4,3.4,3.4,3.4,8000
WSS,20180502,,,,3.5,0
WSS,20180427,3.5,3.5,3.2,3.5,27100
WSS,20180426,3.5,3.5,3.4,3.5,67200
WSS,20180424,3.5,3.5,3.5,3.5,34000
WSS,20180423,3.5,3.5,3.5,3.5,78000
WSS,20180420,3.5,3.6,3.5,3.6,55600
WSS,20180419,3.5,3.6,3.5,3.6,34100
WSS,20180418,3.5,3.6,3.5,3.6,11700
WSS,20180417,3.5,3.6,3.5,3.6,91000
WSS,20180416,3.5,3.5,3.5,3.5,13700
WSS,20180413,3.5,3.6,3.5,3.6,6600
WSS,20180412,3.5,3.6,3.5,3.6,29500
WSS,20180411,3.5,3.6,3.5,3.6,70100
WSS,20180410,3.5,3.5,3.5,3.5,4100
WSS,20180409,3.6,3.6,3.5,3.5,45000
WSS,20180406,3.6,3.7,3.6,3.7,184600
WSS,20180405,3.5,3.6,3.5,3.6,34600
WSS,20180404,3.4,3.5,3.3,3.4,66500
WSS,20180403,3.6,3.6,3.4,3.6,180600
WSS,20180402,3.5,3.7,3.5,3.7,18900
WSS,20180330,3.4,3.5,3.4,3.4,17900
WSS,20180329,3.5,3.6,3.3,3.6,12300
WSS,20180328,3.5,3.6,3.5,3.6,10100
WSS,20180327,3.6,3.6,3.6,3.6,100
WSS,20180326,,,,3.6,0
WSS,20180323,3.5,3.6,3.5,3.6,32100
WSS,20180322,3.6,3.6,3.5,3.6,12700
WSS,20180321,3.6,3.6,3.5,3.6,20600
WSS,20180320,3.6,3.6,3.6,3.6,4900
WSS,20180319,3.6,3.7,3.6,3.7,22700
WSS,20180316,3.5,3.7,3.5,3.7,26200
WSS,20180315,3.6,3.7,3.6,3.7,23100
WSS,20180314,3.6,3.7,3.6,3.6,38800
WSS,20180313,3.6,3.6,3.6,3.6,34100
WSS,20180312,3.6,3.7,3.6,3.7,34800
WSS,20180309,3.6,3.7,3.6,3.7,21000
WSS,20180308,3.6,3.7,3.6,3.7,11300
WSS,20180307,3.6,3.7,3.5,3.6,115000
WSS,20180306,3.6,3.7,3.6,3.6,19300
WSS,20180305,3.7,3.7,3.7,3.7,10300
WSS,20180302,3.7,3.7,3.6,3.7,1200
WSS,20180301,3.6,3.7,3.5,3.7,15100
WSS,20180228,3.6,3.7,3.6,3.7,9600
WSS,20180227,3.7,3.7,3.7,3.7,12000
WSS,20180226,3.8,3.8,3.7,3.8,4400
WSS,20180223,3.8,3.8,3.8,3.8,800
WSS,20180222,3.7,3.8,3.7,3.8,7800
WSS,20180221,3.9,3.9,3.8,3.8,900
WSS,20180213,3.7,3.8,3.6,3.8,17600
WSS,20180212,3.5,3.8,3.5,3.8,14700
WSS,20180209,3.7,3.7,3.5,3.6,79700
WSS,20180208,3.7,3.7,3.6,3.7,52100
WSS,20180207,3.8,3.9,3.8,3.9,32202
WSS,20180206,3.8,3.8,3.6,3.7,76400
WSS,20180205,3.9,4.0,3.8,4.0,14500
WSS,20180202,4.0,4.1,4.0,4.1,71630
WSS,20180201,4.0,4.0,4.0,4.0,1000
WSS,20180131,3.9,3.9,3.9,3.9,14600
WSS,20180130,4.0,4.0,4.0,4.0,1100
WSS,20180129,4.1,4.1,3.9,3.9,4400
WSS,20180126,3.9,4.1,3.9,4.1,25400
WSS,20180125,3.9,4.0,3.9,3.9,35000
WSS,20180122,3.9,4.1,3.9,4.1,11918
WSS,20180119,4.0,4.1,4.0,4.1,18100
WSS,20180118,4.0,4.1,4.0,4.1,20200
WSS,20180117,4.0,4.0,4.0,4.0,28600
WSS,20180116,4.1,4.1,4.1,4.1,10000
WSS,20180115,4.0,4.1,4.0,4.1,11600
WSS,20180112,4.1,4.1,4.0,4.1,67700
WSS,20180111,4.0,4.1,4.0,4.1,82550
WSS,20180110,4.0,4.1,4.0,4.1,13600
WSS,20180109,4.0,4.1,4.0,4.1,1500
WSS,20180108,4.0,4.0,4.0,4.0,11300
WSS,20180105,4.0,4.0,4.0,4.0,13100
WSS,20180104,4.1,4.1,4.1,4.1,100
WSS,20180103,4.1,4.2,4.1,4.1,3900
WSS,20180102,4.1,4.1,4.0,4.0,10100
WSS,20171229,4.1,4.1,4.0,4.0,3000
WSS,20171228,4.1,4.1,4.0,4.0,12100
WSS,20171227,4.1,4.1,4.0,4.0,2200
WSS,20171226,,,,4.1,0
WSS,20171225,4.1,4.1,4.1,4.1,10000
WSS,20171222,4.1,4.1,4.1,4.1,30000
WSS,20171221,4.1,4.1,4.1,4.1,40600
WSS,20171220,4.2,4.2,4.1,4.1,8100
WSS,20171219,4.1,4.1,4.1,4.1,9800
WSS,20171218,4.1,4.2,4.1,4.2,9200
WSS,20171215,4.1,4.1,4.1,4.1,27900
WSS,20171214,4.1,4.1,4.1,4.1,15300
WSS,20171213,4.1,4.1,4.1,4.1,6000
WSS,20171212,4.1,4.1,4.0,4.1,11500
WSS,20171211,4.0,4.1,4.0,4.1,2400
WSS,20171208,4.0,4.0,4.0,4.0,1500
WSS,20171207,4.0,4.1,4.0,4.1,22700
WSS,20171206,4.0,4.0,3.9,4.0,23800
WSS,20171205,4.1,4.1,4.0,4.0,23100
WSS,20171204,4.0,4.1,4.0,4.1,12000
WSS,20171201,4.0,4.1,4.0,4.1,16100
WSS,20171130,4.0,4.1,4.0,4.1,36400
WSS,20171129,4.0,4.1,4.0,4.1,15600
WSS,20171128,4.0,4.0,3.9,4.0,181600
WSS,20171127,4.0,4.2,4.0,4.2,63200
WSS,20171124,3.8,4.1,3.8,4.1,13600
WSS,20171123,3.9,3.9,3.9,3.9,44300
WSS,20171122,3.9,3.9,3.9,3.9,2200
WSS,20171121,4.0,4.0,3.8,3.8,23000
WSS,20171120,3.9,4.0,3.9,4.0,28200
WSS,20171117,4.1,4.1,3.9,3.9,21300
WSS,20171116,4.0,4.1,4.0,4.1,11500
WSS,20171115,3.8,3.9,3.8,3.9,27900
WSS,20171114,3.9,4.0,3.8,3.8,59800
WSS,20171113,4.0,4.1,4.0,4.1,25400
WSS,20171110,4.0,4.2,4.0,4.2,12700
WSS,20171109,4.1,4.1,4.1,4.1,2300
WSS,20171108,4.1,4.2,4.1,4.2,102100
WSS,20171107,4.0,4.1,3.9,4.1,50600
WSS,20171106,4.1,4.1,4.0,4.0,29200
WSS,20171103,4.1,4.1,4.0,4.1,8100
WSS,20171102,4.2,4.2,4.0,4.1,8400
WSS,20171101,4.0,4.2,4.0,4.2,11000
WSS,20171031,4.1,4.1,4.0,4.0,79000
WSS,20171030,4.2,4.2,4.0,4.1,99500
WSS,20171027,4.2,4.2,4.2,4.2,700
WSS,20171026,4.2,4.2,4.1,4.2,113500
WSS,20171025,4.3,4.3,4.2,4.2,73300
WSS,20171024,4.2,4.3,4.2,4.3,41800
WSS,20171023,4.3,4.3,4.2,4.2,8600
WSS,20171020,4.3,4.4,4.3,4.4,12600
WSS,20171019,4.3,4.4,4.3,4.4,24900
