<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
AGM,20180713,,,,8.99,0
AGM,20180712,9,8.99,8.37,8.99,500
AGM,20180711,8.48,9,8.48,9,20
AGM,20180710,8.48,9,8.48,9,20
AGM,20180709,8.56,9.2,8.56,9.1,520
AGM,20180706,8.95,9.2,8.95,9.2,20
AGM,20180705,8.99,9,8.6,9,1070
AGM,20180704,,,,8.79,0
AGM,20180703,8.52,8.8,8.51,8.79,1340
AGM,20180702,8.6,8.9,8.6,8.61,4680
AGM,20180629,8.51,9.79,8.51,8.6,7070
AGM,20180628,9.1,9.15,9.1,9.15,140
AGM,20180627,8.5,8.89,8.5,8.89,210
AGM,20180626,8.39,8.4,8.39,8.4,60
AGM,20180625,8.39,8.39,8.39,8.39,10
AGM,20180622,8.8,8.8,8.8,8.8,10
AGM,20180621,8.42,9.6,8.42,9.4,120
AGM,20180620,9,9.3,9,9,520
AGM,20180619,9.28,9.3,9,9.15,1040
AGM,20180618,8.8,8.8,8.43,8.79,3020
AGM,20180615,8.43,8.52,8.43,8.52,30
AGM,20180614,8.52,8.52,8.52,8.52,1900
AGM,20180613,8.52,8.52,8.52,8.52,3530
AGM,20180612,8.52,8.52,8.51,8.52,2480
AGM,20180611,8.52,9.17,8.45,8.89,6110
AGM,20180608,8.52,9.09,8.52,9.08,5020
AGM,20180607,8.04,8.5,7.95,8.5,2440
AGM,20180606,8.52,8.52,7.95,7.95,2640
AGM,20180605,8.52,8.52,8.52,8.52,1330
AGM,20180604,8.52,8.52,7.96,8.52,2620
AGM,20180601,8.13,8.51,8.13,8.52,5010
AGM,20180531,8.71,8.71,8.71,8.7,10
AGM,20180530,8.8,8.8,8.8,8.8,10
AGM,20180529,8.42,8.61,8.33,8.61,570
AGM,20180528,8.23,8.85,8.23,8.24,3340
AGM,20180525,8.09,8.79,8.09,8.8,50
AGM,20180524,8.7,8.7,8.7,8.7,10
AGM,20180523,8.52,8.71,8.52,8.7,16470
