<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ANV,20180713,18.6,18.9,18.1,18.6,415050
ANV,20180712,18.6,19,18.3,18.6,487630
ANV,20180711,19.7,19.7,18.8,18.85,963830
ANV,20180710,19.7,20.5,19.5,19.8,593250
ANV,20180709,18.75,19.75,18.7,19.6,628710
ANV,20180706,18.1,18.8,18.1,18.5,649770
ANV,20180705,17.9,18.2,17,18,607530
ANV,20180704,17.6,18.9,17.6,18,785170
ANV,20180703,19.5,19.5,18.9,18.9,451510
ANV,20180702,21.7,21.7,20.3,20.3,585800
ANV,20180629,21.5,22,21.2,21.8,551270
ANV,20180628,23.4,23.4,21.85,21.85,842270
ANV,20180627,24,24.2,22.35,23.45,813060
ANV,20180626,24,24.2,23.5,24,499130
ANV,20180625,24.9,25.1,23.9,24,810390
ANV,20180622,24.8,25,24.3,24.8,642950
ANV,20180621,25.05,25.05,24.4,24.8,486160
ANV,20180620,23.7,25.05,23.7,25.05,729850
ANV,20180619,24.8,25,24,24,1272210
ANV,20180618,25.7,25.7,25,25.3,523540
ANV,20180615,25.8,25.8,24.8,25.7,640840
ANV,20180614,26.1,26.3,24.8,25.85,999370
ANV,20180613,26.2,26.4,25.8,26.1,650100
ANV,20180612,26.2,26.4,25.6,26.3,763860
ANV,20180611,25.5,26.4,25.4,26.3,993970
ANV,20180608,25.8,25.8,25.2,25.8,481530
ANV,20180607,25.7,26,25.1,25.8,622380
ANV,20180606,25.4,25.9,25,25.8,643030
ANV,20180605,25,25.5,24.4,25.5,996820
ANV,20180604,24.6,25.8,24,25,920200
ANV,20180601,24.8,24.8,23.8,24.6,530500
ANV,20180531,24.4,25,24.4,24.75,548290
ANV,20180530,24.9,25,24.4,24.5,447530
ANV,20180529,24,25.1,23.9,25,770180
ANV,20180528,24.5,25,23.7,24.4,659770
ANV,20180525,24.5,24.9,24.5,24.5,506010
ANV,20180524,23.3,24.5,23.3,24.5,1146620
ANV,20180523,23.3,23.4,22.9,23.3,258200
ANV,20180522,23.5,23.6,23,23.3,346090
ANV,20180521,23.7,23.7,23.2,23.6,212860
ANV,20180518,23.3,23.6,23.1,23.6,253480
ANV,20180517,23.2,23.6,22.8,23.4,292990
ANV,20180516,23.1,23.59,22.71,23.1,409400
ANV,20180515,22.8,23.29,22.65,23.1,461480
ANV,20180514,23.4,23.5,22.61,22.9,272320
ANV,20180511,23.1,23.5,22.91,23.4,245920
ANV,20180510,23.49,23.69,22.8,23.4,310270
ANV,20180509,23.29,23.69,23.1,23.49,209330
ANV,20180508,23.69,24.18,23,23.59,621770
ANV,20180507,22.31,23.89,22.31,23.69,846820
ANV,20180504,22.51,22.81,21.33,22.51,584750
ANV,20180503,23.29,23.39,21.86,22.61,375080
ANV,20180502,23.39,24.18,22.8,23.49,508270
ANV,20180427,21.22,23.59,21.22,23.59,1270560
ANV,20180426,24.38,24.58,22.8,22.8,372810
ANV,20180424,24.18,24.68,24.09,24.48,413770
ANV,20180423,25.27,25.86,24.48,24.48,871020
ANV,20180420,24.87,25.47,24.18,25.27,761830
ANV,20180419,26.06,26.06,24.58,25.17,676600
ANV,20180418,26.65,26.85,25.46,26.06,937450
ANV,20180417,25.27,26.55,24.92,26.55,1303480
ANV,20180416,25.07,25.27,24.58,25.17,574070
ANV,20180413,25.02,25.07,24.67,25.07,577970
ANV,20180412,25.08,25.18,24.68,25.02,648050
ANV,20180411,24.38,25.17,24.18,24.98,1610980
ANV,20180410,24.18,24.58,23.79,24.48,627980
ANV,20180409,25.17,25.27,24.28,24.53,695110
ANV,20180406,25.08,25.47,24.88,25.27,1428220
ANV,20180405,24.39,25.28,24.39,24.88,811690
ANV,20180404,24.08,24.48,23.89,24.19,398110
ANV,20180403,22.9,24.48,22.9,23.59,1475400
ANV,20180402,22.71,23.2,22.51,22.9,415490
ANV,20180330,22.7,23.19,22.4,22.61,373740
ANV,20180329,21.72,22.71,21.72,22.7,746980
ANV,20180328,21.02,21.91,20.93,21.67,974630
ANV,20180327,21.32,21.71,20.63,21.32,566330
ANV,20180326,20.24,21.42,20.24,21.22,372080
ANV,20180323,20.43,20.43,19.94,20.24,397830
ANV,20180322,21.13,21.13,20.54,20.73,427240
ANV,20180321,21.22,21.52,20.83,21.13,372180
ANV,20180320,20.14,21.43,20.14,21.22,405780
ANV,20180319,19.35,20.54,19.25,20.29,539830
ANV,20180316,20.04,20.44,18.76,20.29,601060
ANV,20180315,19.73,19.73,19.25,19.35,321080
ANV,20180314,19.91,20.01,19.16,19.82,413010
ANV,20180313,21.14,21.23,19.82,19.82,1034790
ANV,20180312,19.72,21.14,19.72,21.14,1041590
ANV,20180309,19.25,20.29,19.16,19.77,845260
ANV,20180308,19.25,19.44,18.78,19.25,1021620
ANV,20180307,19.54,19.73,19.16,19.25,1028690
ANV,20180306,18.69,19.73,18.59,19.54,1205890
ANV,20180305,17.37,18.64,17.18,18.64,1347050
ANV,20180302,17.37,17.55,17.04,17.46,925350
ANV,20180301,17.6,17.65,17.08,17.46,1004110
ANV,20180228,17.23,18.13,17.23,17.74,1649150
ANV,20180227,16.14,17.23,16.05,17.23,1363710
ANV,20180226,15.85,16.23,15.57,16.14,1439270
ANV,20180223,15.39,15.95,15.29,15.57,1164810
ANV,20180222,15.39,15.57,15.1,15.48,868970
ANV,20180221,15.47,15.8,15.38,15.48,878040
ANV,20180213,15,15.76,14.63,15.38,1317960
ANV,20180212,14.53,15.1,14.25,14.91,1021180
ANV,20180209,14.06,14.44,13.5,14.44,864070
ANV,20180208,14.16,14.44,13.78,14.25,629860
ANV,20180207,14.35,14.54,13.92,14.16,502070
ANV,20180206,13.12,14.25,13.12,14.16,1244820
ANV,20180205,14.26,14.49,14.07,14.06,722260
ANV,20180202,14.25,14.44,13.97,14.35,789730
ANV,20180201,14.2,14.34,13.78,14.25,607120
ANV,20180131,14.34,15.05,14.15,14.2,904160
ANV,20180130,13.31,14.21,12.6,14.2,970320
ANV,20180129,14.06,14.25,13.07,13.31,1363290
ANV,20180126,14.73,15.3,13.97,13.97,951410
ANV,20180125,13.78,14.53,13.78,14.54,785790
ANV,20180122,13.02,13.59,12.93,13.59,1310770
ANV,20180119,12.36,12.74,12.27,12.74,865500
ANV,20180118,12.08,12.46,11.99,12.27,1020250
ANV,20180117,11.33,12.04,11.28,11.99,1110220
ANV,20180116,11.14,11.51,11.04,11.28,981860
ANV,20180115,11.23,11.61,10.85,11.23,590840
ANV,20180112,11.23,11.32,10.76,11.23,1097970
ANV,20180111,10.57,11.23,10.57,11.23,1627430
ANV,20180110,10.48,10.62,10.2,10.57,732290
ANV,20180109,10.19,10.47,10.14,10.48,683090
ANV,20180108,10.29,10.34,10.1,10.19,676380
ANV,20180105,10.2,10.48,10.2,10.29,477090
ANV,20180104,10.1,10.38,10.1,10.29,503500
ANV,20180103,10.29,10.38,10.1,10.1,571680
ANV,20180102,10.43,10.57,10.19,10.38,493150
ANV,20171229,10.39,10.53,10.2,10.43,541470
ANV,20171228,10.57,10.67,10.29,10.48,672880
ANV,20171227,10.1,10.61,9.91,10.62,1428440
ANV,20171226,10.05,10.24,9.91,10.19,1208260
ANV,20171225,9.82,10.19,9.72,10.1,848740
ANV,20171222,9.82,9.91,9.63,9.91,397640
ANV,20171221,9.72,9.81,9.53,9.82,358550
ANV,20171220,9.73,9.91,9.54,9.72,447330
ANV,20171219,9.82,9.91,9.58,9.82,460570
ANV,20171218,9.82,9.91,9.63,9.82,337720
ANV,20171215,9.77,9.91,9.63,9.91,404530
ANV,20171214,9.44,9.91,9.44,9.91,627060
ANV,20171213,9.53,9.63,9.33,9.53,360360
ANV,20171212,9.63,9.68,9.21,9.58,485330
ANV,20171211,9.63,9.81,9.34,9.63,449810
ANV,20171208,9.91,10,9.72,9.72,513590
ANV,20171207,10.05,10.05,9.72,9.91,381020
ANV,20171206,10.1,10.19,9.81,10.05,406050
ANV,20171205,10.19,10.38,9.91,10.05,559070
ANV,20171204,9.81,10.29,9.81,10.19,1050930
ANV,20171201,9.63,9.82,9.58,9.72,698750
ANV,20171130,9.63,9.67,9.53,9.63,358620
ANV,20171129,9.68,9.72,9.54,9.58,420780
ANV,20171128,9.72,9.82,9.49,9.63,490020
ANV,20171127,9.39,9.77,9.39,9.63,784520
ANV,20171124,9.2,9.44,9.15,9.39,539210
ANV,20171123,9.14,9.25,9.03,9.2,372310
ANV,20171122,9.11,9.25,8.99,9.14,381140
ANV,20171121,9.15,9.15,9.06,9.1,407610
ANV,20171120,9.21,9.29,9.17,9.19,518100
ANV,20171117,9.1,9.33,9.02,9.21,540110
ANV,20171116,9.01,9.13,8.97,9.1,520080
ANV,20171115,9.01,9.15,9.01,9.01,428930
ANV,20171114,9.16,9.25,8.97,9.01,596850
ANV,20171113,9.24,9.24,8.97,9.16,516210
ANV,20171110,9.15,9.34,8.96,9.24,1182900
ANV,20171109,9.08,9.2,9,9.17,1147880
ANV,20171108,9.14,9.25,9.05,9.09,704510
ANV,20171107,8.85,9.25,8.64,9.14,1042440
ANV,20171106,8.4,8.78,8.4,8.75,553260
ANV,20171103,8.4,8.68,8.31,8.38,341300
ANV,20171102,8.31,8.64,8.31,8.4,410940
ANV,20171101,8.23,8.5,8.23,8.31,290210
ANV,20171031,8.36,8.36,8.21,8.31,202860
ANV,20171030,8.4,8.49,8.22,8.36,301710
ANV,20171027,8.3,8.59,8.22,8.4,391780
ANV,20171026,8.49,8.59,8.26,8.35,426390
ANV,20171025,8.21,8.59,8.12,8.49,498720
ANV,20171024,8.5,8.5,8.03,8.12,419680
ANV,20171023,9.25,9.25,8.62,8.62,326430
ANV,20171020,9.34,9.72,9.26,9.26,381630
ANV,20171019,9.25,9.72,9.2,9.72,512170
ANV,20171018,9.44,9.44,9.16,9.3,319370
ANV,20171017,9.63,9.68,9.42,9.42,381360
ANV,20171016,9.25,9.86,9.25,9.63,666630
ANV,20171013,9.06,9.34,8.87,9.25,285870
ANV,20171012,9.16,9.2,9.06,9.06,187900
ANV,20171011,9.25,9.34,9.16,9.25,213340
ANV,20171010,9.44,9.44,9.16,9.25,416250
ANV,20171009,8.64,9.11,8.5,9.11,278370
ANV,20171006,8.67,8.67,8.4,8.64,88650
ANV,20171005,8.49,8.63,8.41,8.59,110140
ANV,20171004,8.4,8.58,8.4,8.49,112970
ANV,20171003,8.68,8.68,8.4,8.49,122170
ANV,20171002,8.58,8.59,8.5,8.56,131330
ANV,20170929,8.57,8.78,8.21,8.57,166460
ANV,20170928,8.45,8.78,8.45,8.57,156080
ANV,20170927,8.21,8.49,8.21,8.4,137200
ANV,20170926,8.31,8.31,8.12,8.25,137210
ANV,20170925,8.83,8.83,8.41,8.42,138130
ANV,20170922,8.84,8.84,8.21,8.83,392620
ANV,20170921,8.58,8.92,8.58,8.78,226090
ANV,20170920,8.02,8.58,8.02,8.58,326460
ANV,20170919,7.88,8.11,7.88,8.02,235130
ANV,20170918,7.93,7.93,7.74,7.88,156900
ANV,20170915,7.54,7.93,7.38,7.93,289930
ANV,20170914,7.27,7.51,7.08,7.46,243530
ANV,20170913,7.06,7.31,7.03,7.27,199580
ANV,20170912,6.8,7.26,6.8,7.06,175950
ANV,20170911,6.94,7.22,6.7,6.8,122420
ANV,20170908,6.98,7.17,6.6,6.94,108230
ANV,20170907,7.11,7.36,6.89,6.98,96680
ANV,20170906,6.69,6.98,6.61,6.98,44830
ANV,20170905,6.23,6.71,6.14,6.69,42650
ANV,20170901,6.23,6.3,6.13,6.28,43680
ANV,20170831,6.32,6.41,6.18,6.18,32130
ANV,20170830,6.51,6.6,6.32,6.32,49860
ANV,20170829,6.32,6.75,6.32,6.51,56220
ANV,20170828,6.98,6.98,6.5,6.51,69040
ANV,20170825,6.98,7.15,6.89,6.98,40020
ANV,20170824,7.46,7.46,6.94,6.98,68840
ANV,20170823,7.55,7.55,7.3,7.46,43470
ANV,20170822,7.55,7.74,7.36,7.55,55980
ANV,20170821,7.83,8.02,7.45,7.55,71040
ANV,20170818,7.74,7.83,7.45,7.83,69370
ANV,20170817,7.55,7.83,7.5,7.83,66320
ANV,20170816,7.74,7.88,7.36,7.55,75910
ANV,20170815,8.02,8.02,7.74,7.74,75340
ANV,20170814,7.93,8.04,7.93,7.93,41310
ANV,20170811,8.12,8.12,7.55,7.93,3020
ANV,20170810,8.02,8.21,7.49,7.93,13670
ANV,20170809,8.92,8.92,7.99,8.02,117630
ANV,20170808,8.3,8.45,8.1,8.37,162490
ANV,20170807,7.97,8.29,7.97,8.15,114590
ANV,20170804,7.95,8.52,7.85,7.97,32370
ANV,20170803,8.14,8.64,8.14,8.35,107060
ANV,20170802,8.89,8.99,8.44,8.69,104070
ANV,20170801,8.97,8.97,8.85,8.89,151240
ANV,20170731,8.4,8.4,8.4,8.4,138620
ANV,20170728,7.85,7.85,7.85,7.85,190830
