<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
APP,20180713,,,,8.5,0
APP,20180712,,,,8.5,0
APP,20180711,,,,8.5,0
APP,20180710,,,,8.5,0
APP,20180709,,,,8.5,0
APP,20180706,8.5,8.5,8.5,8.5,55
APP,20180705,8.5,8.5,8.5,8.5,300
APP,20180704,8.4,8.4,8.2,8.2,3500
APP,20180703,8.4,8.4,8.4,8.4,4500
APP,20180702,,,,8.7,0
APP,20180629,8.6,8.7,8.6,8.7,1300
APP,20180628,9,9,8.5,8.5,13800
APP,20180627,,,,8.7,0
APP,20180626,,,,8.7,0
APP,20180625,8.7,8.7,8.7,8.7,100
APP,20180622,8.6,9.37,8.6,9.38,300
APP,20180621,,,,8.6,0
APP,20180620,,,,8.6,0
APP,20180619,,,,8.6,0
APP,20180618,,,,8.6,0
APP,20180615,8.6,8.6,8.6,8.6,500
APP,20180614,,,,9.47,0
APP,20180613,,,,9.47,0
APP,20180612,,,,9.47,0
APP,20180611,,,,9.47,0
APP,20180608,,,,9.47,0
APP,20180607,,,,9.47,0
APP,20180606,,,,9.47,0
APP,20180605,,,,9.47,0
APP,20180604,,,,9.47,0
APP,20180601,,,,9.47,0
APP,20180531,,,,9.47,0
APP,20180530,,,,9.47,0
APP,20180529,,,,9.47,0
APP,20180528,,,,9.47,0
APP,20180525,,,,9.47,0
APP,20180524,,,,9.47,0
APP,20180523,,,,9.47,0
APP,20180522,,,,9.47,0
APP,20180521,,,,9.47,0
APP,20180518,,,,9.47,0
APP,20180517,,,,9.47,0
APP,20180516,,,,9.47,0
APP,20180515,,,,9.47,0
APP,20180514,,,,9.47,0
APP,20180511,,,,9.47,0
APP,20180510,,,,9.47,0
APP,20180509,,,,9.47,0
APP,20180508,,,,9.47,0
APP,20180507,,,,9.47,0
APP,20180504,,,,9.47,0
APP,20180503,,,,9.47,0
APP,20180502,,,,9.47,0
APP,20180427,,,,9.47,0
APP,20180426,,,,9.47,0
APP,20180424,,,,9.47,0
APP,20180423,,,,9.47,0
APP,20180420,,,,9.47,0
APP,20180419,,,,9.47,0
APP,20180418,,,,9.47,0
APP,20180417,,,,9.47,0
APP,20180416,,,,9.47,0
APP,20180413,,,,9.47,0
APP,20180412,,,,9.47,0
APP,20180411,,,,9.47,0
APP,20180410,,,,9.47,0
APP,20180409,,,,9.47,0
APP,20180406,,,,9.47,0
APP,20180405,,,,9.47,0
APP,20180404,,,,9.47,0
APP,20180403,,,,9.47,0
APP,20180402,,,,9.47,0
APP,20180330,,,,9.47,0
APP,20180329,,,,9.47,0
APP,20180328,,,,9.47,0
APP,20180327,,,,9.47,0
APP,20180326,,,,9.47,0
APP,20180323,,,,9.47,0
APP,20180322,9.47,9.47,9.47,9.47,2500
APP,20180321,,,,9.57,0
APP,20180320,,,,9.57,0
APP,20180319,,,,9.57,0
APP,20180316,,,,9.57,0
APP,20180315,,,,9.57,0
APP,20180314,,,,9.57,0
APP,20180313,,,,9.57,0
APP,20180312,,,,9.57,0
APP,20180309,,,,9.57,0
APP,20180308,,,,9.57,0
APP,20180307,,,,9.57,0
APP,20180306,,,,9.57,0
APP,20180305,,,,9.57,0
APP,20180302,9.57,9.57,9.57,9.57,200
APP,20180301,,,,9.57,0
APP,20180228,,,,9.57,0
APP,20180227,,,,9.57,0
APP,20180226,,,,9.57,0
APP,20180223,9.57,9.57,9.57,9.57,8300
APP,20180222,,,,9.57,0
APP,20180221,,,,9.57,0
APP,20180213,,,,9.57,0
APP,20180212,,,,9.57,0
APP,20180209,,,,9.57,0
APP,20180208,,,,9.57,0
APP,20180207,9.57,9.57,9.57,9.57,8
APP,20180206,,,,9.57,0
APP,20180205,,,,9.57,0
APP,20180202,,,,9.57,0
APP,20180201,,,,9.57,0
APP,20180131,,,,9.57,0
APP,20180130,,,,9.57,0
APP,20180129,,,,9.57,0
APP,20180126,9.57,9.57,9.57,9.57,100
APP,20180125,,,,9.57,0
APP,20180122,9.57,9.57,9.57,9.57,100
APP,20180119,9.57,9.57,9.57,9.57,29
APP,20180118,,,,9.57,0
APP,20180117,,,,9.57,0
APP,20180116,,,,9.57,0
APP,20180115,,,,9.57,0
APP,20180112,8.7,9.57,8.7,9.57,186418
APP,20180111,9.18,9.18,9.18,9.18,200
APP,20180110,8.51,9.67,8.51,9.18,120500
APP,20180109,9.37,9.37,9.37,9.38,100
APP,20180108,8.6,8.6,8.6,8.6,1100
APP,20180105,,,,7.83,0
APP,20180104,,,,7.83,0
APP,20180103,,,,7.83,0
APP,20180102,,,,7.83,0
APP,20171229,7.83,7.83,7.83,7.83,6
APP,20171228,,,,7.83,0
APP,20171227,,,,7.83,0
APP,20171226,,,,7.83,0
APP,20171225,7.83,7.83,7.83,7.83,72
APP,20171222,,,,7.83,0
APP,20171221,,,,7.83,0
APP,20171220,,,,7.83,0
APP,20171219,7.83,7.83,7.83,7.83,200
APP,20171218,,,,8.7,0
APP,20171215,,,,8.7,0
APP,20171214,,,,8.7,0
APP,20171213,,,,8.7,0
APP,20171212,,,,8.7,0
APP,20171211,,,,8.7,0
APP,20171208,,,,8.7,0
APP,20171207,,,,8.7,0
APP,20171206,,,,8.7,0
APP,20171205,,,,8.7,0
APP,20171204,,,,8.7,0
APP,20171201,8.7,8.7,8.7,8.7,1500
APP,20171130,,,,8.7,0
APP,20171129,,,,8.7,0
APP,20171128,,,,8.7,0
APP,20171127,,,,8.7,0
APP,20171124,,,,8.7,0
APP,20171123,8.7,8.7,8.7,8.7,1000
APP,20171122,,,,9.67,0
APP,20171121,,,,9.67,0
APP,20171120,,,,9.67,0
APP,20171117,,,,9.67,0
APP,20171116,,,,9.67,0
APP,20171115,,,,9.67,0
APP,20171114,,,,9.67,0
APP,20171113,,,,9.67,0
APP,20171110,,,,9.67,0
APP,20171109,,,,9.67,0
APP,20171108,,,,9.67,0
APP,20171107,,,,9.67,0
APP,20171106,,,,9.67,0
APP,20171103,,,,9.67,0
APP,20171102,,,,9.67,0
APP,20171101,,,,9.67,0
APP,20171031,,,,9.67,0
APP,20171030,,,,9.67,0
APP,20171027,,,,9.67,0
APP,20171026,,,,9.67,0
APP,20171025,,,,9.67,0
APP,20171024,,,,9.67,0
APP,20171023,,,,9.67,0
APP,20171020,,,,9.67,0
APP,20171019,,,,9.67,0
APP,20171018,,,,9.67,0
APP,20171017,,,,9.67,0
APP,20171016,,,,9.67,0
APP,20171013,,,,9.67,0
APP,20171012,,,,9.67,0
APP,20171011,,,,9.67,0
APP,20171010,,,,9.67,0
APP,20171009,,,,9.67,0
APP,20171006,9.66,9.66,9.66,9.67,700
APP,20171005,,,,10.63,0
APP,20171004,,,,10.63,0
APP,20171003,,,,10.63,0
APP,20171002,,,,10.63,0
APP,20170929,,,,10.63,0
APP,20170928,,,,10.63,0
APP,20170927,,,,10.63,0
APP,20170926,10.63,10.63,10.63,10.63,900
APP,20170925,,,,10.34,0
APP,20170922,,,,10.34,0
APP,20170921,,,,10.34,0
APP,20170920,,,,10.34,0
APP,20170919,,,,10.34,0
APP,20170918,10.34,10.34,10.34,10.34,100
APP,20170915,,,,9.47,0
APP,20170914,,,,9.47,0
APP,20170913,,,,9.47,0
APP,20170912,,,,9.47,0
APP,20170911,,,,9.47,0
APP,20170908,,,,9.47,0
APP,20170907,,,,9.47,0
APP,20170906,,,,9.47,0
APP,20170905,9.47,9.47,9.47,9.47,3
APP,20170901,,,,9.47,0
APP,20170831,,,,9.47,0
APP,20170830,9.47,9.47,9.47,9.47,1600
APP,20170829,9.47,9.47,9.47,9.47,1
APP,20170828,9.47,9.47,9.47,9.47,100
APP,20170825,,,,9.57,0
APP,20170824,9.57,9.57,9.57,9.57,24
APP,20170823,,,,9.57,0
APP,20170822,,,,9.57,0
APP,20170821,9.57,9.57,9.57,9.57,600
APP,20170818,9.57,10.05,9.57,10.05,300
APP,20170817,9.77,9.77,9.77,9.76,100
APP,20170816,9.66,9.66,9.66,9.67,6029
APP,20170815,,,,10.63,0
APP,20170814,,,,10.63,0
APP,20170811,10.63,10.63,10.63,10.63,1000
APP,20170810,,,,10.63,0
APP,20170809,,,,10.63,0
APP,20170808,,,,10.63,0
APP,20170807,,,,10.63,0
APP,20170804,,,,10.63,0
APP,20170803,10.64,10.64,10.64,10.63,100
APP,20170802,9.18,10.53,9.08,10.54,350
APP,20170801,,,,10.05,0
APP,20170731,10.06,10.06,10.06,10.05,3000
APP,20170728,,,,11.12,0
APP,20170727,,,,11.12,0
APP,20170726,,,,11.12,0
APP,20170725,11.12,11.12,11.12,11.12,100
APP,20170724,,,,10.15,0
APP,20170721,,,,10.15,0
APP,20170720,,,,10.15,0
APP,20170719,,,,10.15,0
APP,20170718,10.15,10.15,10.15,10.15,79
APP,20170717,,,,10.15,0
APP,20170714,,,,10.15,0
APP,20170713,,,,10.15,0
APP,20170712,,,,10.15,0
APP,20170711,,,,10.15,0
APP,20170710,,,,10.15,0
APP,20170707,,,,10.15,0
APP,20170706,,,,10.15,0
APP,20170705,10.15,10.15,10.15,10.15,11655
APP,20170704,9.04,9.87,9.04,9.87,400
APP,20170703,,,,9.05,0
APP,20170630,,,,9.05,0
APP,20170629,9.05,9.05,9.05,9.05,200
APP,20170628,,,,9.05,0
APP,20170627,,,,9.05,0
APP,20170626,9.05,9.05,9.05,9.05,100
APP,20170623,8.26,8.26,8.26,8.26,100
APP,20170622,,,,9.14,0
APP,20170621,9.14,9.14,9.14,9.14,400
APP,20170620,,,,9.23,0
APP,20170619,,,,9.23,0
APP,20170616,9.23,9.23,9.23,9.23,200
APP,20170615,,,,9.67,0
APP,20170614,9.67,9.67,9.67,9.67,300
APP,20170613,9.67,9.67,9.67,9.67,3800
APP,20170612,9.67,9.67,9.67,9.67,8290
APP,20170609,8.79,8.79,8.79,8.79,100
APP,20170608,,,,8.79,0
APP,20170607,8.79,8.79,8.79,8.79,200
APP,20170606,,,,9.67,0
APP,20170605,10.02,10.02,9.67,9.67,3921
APP,20170602,9.23,9.23,7.91,9.14,490
APP,20170601,9.67,9.67,8.7,8.79,400
APP,20170531,8.62,9.67,8.53,9.67,4600
APP,20170530,9.22,9.31,9.22,9.32,14500
APP,20170529,8.08,8.52,8.08,8.52,12400
APP,20170526,7.82,7.82,7.03,7.82,13900
APP,20170525,7.03,7.11,7.03,7.12,3900
APP,20170524,6.51,6.51,6.51,6.5,100
APP,20170523,5.98,5.98,5.98,5.98,100
APP,20170522,,,,5.45,0
APP,20170519,,,,5.45,0
APP,20170518,4.57,5.45,4.57,5.45,52500
APP,20170517,,,,5.01,0
APP,20170516,,,,5.01,0
APP,20170515,,,,5.01,0
APP,20170512,,,,5.01,0
APP,20170511,,,,5.01,0
APP,20170510,,,,5.01,0
APP,20170509,,,,5.01,0
APP,20170508,,,,5.01,0
APP,20170505,5.01,5.01,5.01,5.01,100
APP,20170504,,,,5.54,0
APP,20170503,5.54,5.54,5.54,5.54,100
APP,20170428,6.15,6.15,6.15,6.15,100
APP,20170427,6.68,6.68,6.68,6.68,100
APP,20170426,,,,7.12,0
APP,20170425,7.12,7.12,7.12,7.12,100
APP,20170424,7.82,7.82,7.82,7.82,4
APP,20170421,7.82,7.82,7.82,7.82,100
APP,20170420,,,,7.12,0
APP,20170419,,,,7.12,0
APP,20170418,,,,7.12,0
APP,20170417,,,,7.12,0
APP,20170414,,,,7.12,0
APP,20170413,,,,7.12,0
APP,20170412,,,,7.12,0
APP,20170411,,,,7.12,0
APP,20170410,8.17,8.17,7.12,7.12,240
APP,20170407,,,,7.91,0
APP,20170405,,,,7.91,0
APP,20170404,,,,7.91,0
APP,20170403,,,,7.91,0
