<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BED,20180713,38.5,38.5,38.5,38.5,500
BED,20180712,38.5,38.5,38.5,38.5,600
BED,20180711,,,,36,0
BED,20180710,36,36,36,36,1000
BED,20180709,,,,38,0
BED,20180706,,,,38,0
BED,20180705,,,,38,0
BED,20180704,,,,38,0
BED,20180703,,,,38,0
BED,20180702,,,,38,0
BED,20180629,,,,38,0
BED,20180628,,,,38,0
BED,20180627,,,,38,0
BED,20180626,38,38,38,38,100
BED,20180625,,,,36,0
BED,20180622,,,,36,0
BED,20180621,36,36,36,36,500
BED,20180620,,,,33,0
BED,20180619,,,,33,0
BED,20180618,,,,33,0
BED,20180615,,,,33,0
BED,20180614,,,,33,0
BED,20180613,,,,33,0
BED,20180612,,,,33,0
BED,20180611,,,,33,0
BED,20180608,,,,33,0
BED,20180607,,,,33,0
BED,20180606,33,33,33,33,100
BED,20180605,,,,30,0
BED,20180604,,,,30,0
BED,20180601,,,,30,0
BED,20180531,31.3,31.3,30,30,400
BED,20180530,,,,31.2,0
BED,20180529,,,,31.2,0
BED,20180528,,,,31.2,0
BED,20180525,,,,31.2,0
BED,20180524,,,,31.2,0
BED,20180523,,,,31.2,0
BED,20180522,,,,31.2,0
BED,20180521,31.2,31.2,31.2,31.2,100
BED,20180518,,,,28.35,0
BED,20180517,,,,28.35,0
BED,20180516,,,,28.35,0
BED,20180515,,,,28.35,0
BED,20180514,,,,28.35,0
BED,20180511,,,,28.35,0
BED,20180510,,,,28.35,0
BED,20180509,,,,28.35,0
BED,20180508,,,,28.35,0
BED,20180507,,,,28.35,0
BED,20180504,,,,28.35,0
BED,20180503,,,,28.35,0
BED,20180502,,,,28.35,0
BED,20180427,,,,28.35,0
BED,20180426,,,,28.35,0
BED,20180424,,,,28.35,0
BED,20180423,,,,28.35,0
BED,20180420,,,,28.35,0
BED,20180419,,,,28.35,0
BED,20180418,,,,28.35,0
BED,20180417,,,,28.35,0
BED,20180416,,,,28.35,0
BED,20180413,31.07,31.07,28.34,28.35,500
BED,20180412,,,,28.25,0
BED,20180411,,,,28.25,0
BED,20180410,,,,28.25,0
BED,20180409,30.41,30.41,28.25,28.25,200
BED,20180406,,,,27.69,0
BED,20180405,,,,27.69,0
BED,20180404,,,,27.69,0
BED,20180403,,,,27.69,0
BED,20180402,,,,27.69,0
BED,20180330,27.69,27.69,27.69,27.69,200
BED,20180329,,,,30.51,0
BED,20180328,,,,30.51,0
BED,20180327,,,,30.51,0
BED,20180326,30.5,30.5,30.5,30.51,100
BED,20180323,,,,32.85,0
BED,20180322,,,,32.85,0
BED,20180321,,,,32.85,0
BED,20180320,,,,32.85,0
BED,20180319,,,,32.85,0
BED,20180316,32.86,32.86,32.86,32.85,300
BED,20180315,,,,31.92,0
BED,20180314,,,,31.92,0
BED,20180313,,,,31.92,0
BED,20180312,31.92,31.92,31.92,31.92,600
BED,20180309,,,,29.1,0
BED,20180308,,,,29.1,0
BED,20180307,,,,29.1,0
BED,20180306,,,,29.1,0
BED,20180305,29.1,29.1,29.1,29.1,100
BED,20180302,,,,29.1,0
BED,20180301,,,,29.1,0
BED,20180228,,,,29.1,0
BED,20180227,,,,29.1,0
BED,20180226,,,,29.1,0
BED,20180223,,,,29.1,0
BED,20180222,,,,29.1,0
BED,20180221,,,,29.1,0
BED,20180213,,,,29.1,0
BED,20180212,,,,29.1,0
BED,20180209,,,,29.1,0
BED,20180208,29.1,29.1,29.1,29.1,400
BED,20180207,,,,27.69,0
BED,20180206,,,,27.69,0
BED,20180205,27.69,27.69,27.69,27.69,300
BED,20180202,29.1,29.1,29.1,29.1,200
BED,20180201,,,,31.07,0
BED,20180131,,,,31.07,0
BED,20180130,,,,31.07,0
BED,20180129,,,,31.07,0
BED,20180126,,,,31.07,0
BED,20180125,,,,31.07,0
BED,20180122,,,,31.07,0
BED,20180119,,,,31.07,0
BED,20180118,,,,31.07,0
BED,20180117,,,,31.07,0
BED,20180116,,,,31.07,0
BED,20180115,31.07,31.07,31.07,31.07,200
BED,20180112,30.97,30.97,30.97,30.98,300
BED,20180111,,,,33.79,0
BED,20180110,,,,33.79,0
BED,20180109,,,,33.79,0
BED,20180108,,,,33.79,0
BED,20180105,,,,33.79,0
BED,20180104,,,,33.79,0
BED,20180103,,,,33.79,0
BED,20180102,,,,33.79,0
BED,20171229,,,,33.79,0
BED,20171228,,,,33.79,0
BED,20171227,,,,33.79,0
BED,20171226,,,,33.79,0
BED,20171225,,,,33.79,0
BED,20171222,,,,33.79,0
BED,20171221,,,,33.79,0
BED,20171220,33.79,33.79,33.79,33.79,100
BED,20171219,36.42,36.42,36.42,36.42,200
BED,20171218,,,,36.42,0
BED,20171215,36.43,36.43,36.43,36.42,100
BED,20171214,,,,33.14,0
BED,20171213,33.14,33.14,33.14,33.14,400
BED,20171212,34.82,34.82,34.82,34.83,600
BED,20171211,,,,37.17,0
BED,20171208,,,,37.17,0
BED,20171207,,,,37.17,0
BED,20171206,36.61,37.17,36.61,37.17,3100
BED,20171205,,,,33.79,0
BED,20171204,,,,33.79,0
BED,20171201,,,,33.79,0
BED,20171130,,,,33.79,0
BED,20171129,33.79,33.79,33.79,33.79,500
BED,20171128,32.86,32.86,32.86,32.85,100
BED,20171127,,,,30.04,0
BED,20171124,,,,30.04,0
BED,20171123,30.03,30.03,30.03,30.04,2000
BED,20171122,,,,32.85,0
BED,20171121,,,,32.85,0
BED,20171120,,,,32.85,0
BED,20171117,,,,32.85,0
BED,20171116,,,,32.85,0
BED,20171115,32.86,32.86,32.86,32.85,3000
BED,20171114,,,,32.39,0
BED,20171113,,,,32.39,0
BED,20171110,,,,32.39,0
BED,20171109,,,,32.39,0
BED,20171108,,,,32.39,0
BED,20171107,,,,32.39,0
BED,20171106,32.38,32.38,32.38,32.39,39700
BED,20171103,,,,35.67,0
BED,20171102,,,,35.67,0
BED,20171101,,,,35.67,0
BED,20171031,,,,35.67,0
BED,20171030,,,,35.67,0
BED,20171027,,,,35.67,0
BED,20171026,,,,35.67,0
BED,20171025,,,,35.67,0
BED,20171024,,,,35.67,0
BED,20171023,,,,35.67,0
BED,20171020,,,,35.67,0
BED,20171019,,,,35.67,0
BED,20171018,,,,35.67,0
BED,20171017,,,,35.67,0
BED,20171016,,,,35.67,0
BED,20171013,,,,35.67,0
BED,20171012,,,,35.67,0
BED,20171011,,,,35.67,0
BED,20171010,,,,35.67,0
BED,20171009,,,,35.67,0
BED,20171006,,,,35.67,0
BED,20171005,,,,35.67,0
BED,20171004,,,,35.67,0
BED,20171003,,,,35.67,0
BED,20171002,,,,35.67,0
BED,20170929,,,,35.67,0
BED,20170928,,,,35.67,0
BED,20170927,,,,35.67,0
BED,20170926,,,,35.67,0
BED,20170925,,,,35.67,0
BED,20170922,,,,35.67,0
BED,20170921,,,,35.67,0
BED,20170920,,,,35.67,0
BED,20170919,,,,35.67,0
BED,20170918,35.67,35.67,35.67,35.67,400
BED,20170915,,,,35.67,0
BED,20170914,,,,35.67,0
BED,20170913,,,,35.67,0
BED,20170912,,,,35.67,0
BED,20170911,,,,35.67,0
BED,20170908,,,,35.67,0
BED,20170907,,,,35.67,0
BED,20170906,,,,35.67,0
BED,20170905,,,,35.67,0
BED,20170901,,,,35.67,0
BED,20170831,,,,35.67,0
BED,20170830,,,,35.67,0
BED,20170829,,,,35.67,0
BED,20170828,,,,35.67,0
BED,20170825,,,,35.67,0
BED,20170824,,,,35.67,0
BED,20170823,,,,35.67,0
BED,20170822,,,,35.67,0
BED,20170821,,,,35.67,0
BED,20170818,,,,35.67,0
BED,20170817,,,,35.67,0
BED,20170816,,,,35.67,0
BED,20170815,,,,35.67,0
BED,20170814,,,,35.67,0
BED,20170811,,,,35.67,0
BED,20170810,,,,35.67,0
BED,20170809,35.67,35.67,35.67,35.67,200
BED,20170808,,,,34.73,0
BED,20170807,,,,34.73,0
BED,20170804,37.55,37.55,34.73,34.73,5200
BED,20170803,,,,37.08,0
BED,20170802,,,,37.08,0
BED,20170801,,,,37.08,0
BED,20170731,,,,37.08,0
BED,20170728,,,,37.08,0
BED,20170727,,,,37.08,0
BED,20170726,,,,37.08,0
BED,20170725,,,,37.08,0
BED,20170724,,,,37.08,0
BED,20170721,,,,37.08,0
BED,20170720,,,,37.08,0
BED,20170719,,,,37.08,0
BED,20170718,,,,37.08,0
BED,20170717,,,,37.08,0
BED,20170714,,,,37.08,0
BED,20170713,,,,37.08,0
BED,20170712,,,,37.08,0
BED,20170711,,,,37.08,0
BED,20170710,,,,37.08,0
BED,20170707,,,,37.08,0
BED,20170706,,,,37.08,0
BED,20170705,,,,37.08,0
BED,20170704,,,,37.08,0
BED,20170703,,,,37.08,0
BED,20170630,,,,37.08,0
BED,20170629,,,,37.08,0
BED,20170628,,,,37.08,0
BED,20170627,,,,37.08,0
BED,20170626,,,,37.08,0
BED,20170623,,,,37.08,0
BED,20170622,,,,37.08,0
BED,20170621,,,,37.08,0
BED,20170620,,,,37.08,0
BED,20170619,,,,37.08,0
BED,20170616,,,,37.08,0
BED,20170615,,,,37.08,0
BED,20170614,,,,37.08,0
BED,20170613,,,,37.08,0
BED,20170612,,,,37.08,0
BED,20170609,,,,37.08,0
BED,20170608,,,,37.08,0
BED,20170607,,,,37.08,0
BED,20170606,,,,37.08,0
BED,20170605,,,,37.08,0
BED,20170602,37.08,37.08,37.08,37.08,1400
BED,20170601,,,,37.55,0
BED,20170531,,,,37.55,0
BED,20170530,,,,37.55,0
BED,20170529,,,,37.55,0
BED,20170526,,,,37.55,0
BED,20170525,,,,37.55,0
BED,20170524,,,,37.55,0
BED,20170523,37.55,37.55,37.55,37.55,3500
BED,20170522,35.67,37.55,35.67,37.55,2000
BED,20170519,,,,35.86,0
BED,20170518,,,,35.86,0
BED,20170517,,,,35.86,0
BED,20170516,,,,35.86,0
BED,20170515,35.86,35.86,35.86,35.86,4870
BED,20170512,,,,38.42,0
BED,20170511,,,,38.42,0
BED,20170510,,,,38.42,0
BED,20170509,38.42,38.42,38.42,38.42,100
BED,20170508,38.42,38.42,38.42,38.42,900
BED,20170505,,,,35.86,0
BED,20170504,,,,35.86,0
BED,20170503,,,,35.86,0
BED,20170428,,,,35.86,0
BED,20170427,35.86,35.86,35.86,35.86,100
BED,20170426,,,,34.15,0
BED,20170425,,,,34.15,0
BED,20170424,,,,34.15,0
BED,20170421,,,,34.15,0
BED,20170420,,,,34.15,0
BED,20170419,,,,34.15,0
BED,20170418,34.15,34.15,34.15,34.15,100
BED,20170417,,,,31.59,0
BED,20170414,,,,31.59,0
BED,20170413,,,,31.59,0
BED,20170412,,,,31.59,0
BED,20170411,,,,31.59,0
BED,20170410,,,,31.59,0
BED,20170407,,,,31.59,0
BED,20170405,,,,31.59,0
BED,20170404,,,,31.59,0
BED,20170403,,,,31.59,0
BED,20170331,,,,31.59,0
BED,20170330,,,,31.59,0
BED,20170329,,,,31.59,0
BED,20170328,,,,31.59,0
BED,20170327,,,,31.59,0
BED,20170324,,,,31.59,0
BED,20170323,,,,31.59,0
BED,20170322,,,,31.59,0
BED,20170321,31.59,31.59,31.59,31.59,200
BED,20170320,,,,35,0
BED,20170317,,,,35,0
BED,20170316,,,,35,0
BED,20170315,,,,35,0
BED,20170314,,,,35,0
BED,20170313,,,,35,0
BED,20170310,,,,35,0
BED,20170309,,,,35,0
BED,20170308,,,,35,0
BED,20170307,,,,35,0
BED,20170306,,,,35,0
BED,20170303,,,,35,0
BED,20170302,,,,35,0
BED,20170301,,,,35,0
BED,20170228,,,,35,0
BED,20170227,,,,35,0
BED,20170224,,,,35,0
BED,20170223,,,,35,0
BED,20170222,,,,35,0
BED,20170221,,,,35,0
BED,20170220,,,,35,0
BED,20170217,,,,35,0
BED,20170216,,,,35,0
BED,20170215,,,,35,0
BED,20170214,,,,35,0
BED,20170213,35,35,35,35,500
BED,20170210,,,,32.27,0
BED,20170209,,,,32.27,0
BED,20170208,,,,32.27,0
BED,20170207,,,,32.27,0
BED,20170206,,,,32.27,0
BED,20170203,,,,32.27,0
BED,20170202,,,,32.27,0
BED,20170125,,,,32.27,0
BED,20170124,,,,32.27,0
BED,20170123,,,,32.27,0
BED,20170120,,,,32.27,0
BED,20170119,,,,32.27,0
BED,20170118,,,,32.27,0
BED,20170117,,,,32.27,0
BED,20170116,32.27,32.27,32.27,32.27,100
BED,20170113,,,,29.37,0
BED,20170112,,,,29.37,0
BED,20170111,,,,29.37,0
BED,20170110,,,,29.37,0
BED,20170109,,,,29.37,0
BED,20170106,,,,29.37,0
BED,20170105,,,,29.37,0
BED,20170104,,,,29.37,0
BED,20170103,,,,29.37,0
BED,20161230,,,,29.37,0
BED,20161229,,,,29.37,0
BED,20161228,,,,29.37,0
BED,20161227,,,,29.37,0
BED,20161226,,,,29.37,0
BED,20161223,,,,29.37,0
BED,20161222,,,,29.37,0
BED,20161221,,,,29.37,0
BED,20161220,,,,29.37,0
BED,20161219,,,,29.37,0
BED,20161216,,,,29.37,0
BED,20161215,,,,29.37,0
BED,20161214,,,,29.37,0
BED,20161213,,,,29.37,0
BED,20161212,,,,29.37,0
BED,20161209,,,,29.37,0
BED,20161208,,,,29.37,0
BED,20161207,,,,29.37,0
BED,20161206,,,,29.37,0
BED,20161205,,,,29.37,0
BED,20161202,29.37,29.37,29.37,29.37,100
BED,20161201,,,,32.44,0
BED,20161130,,,,32.44,0
BED,20161129,,,,32.44,0
BED,20161128,,,,32.44,0
BED,20161125,,,,32.44,0
BED,20161124,,,,32.44,0
BED,20161123,,,,32.44,0
BED,20161122,,,,32.44,0
BED,20161121,,,,32.44,0
BED,20161118,,,,32.44,0
BED,20161117,,,,32.44,0
BED,20161116,,,,32.44,0
BED,20161115,32.44,32.44,32.44,32.44,100
BED,20161114,,,,29.88,0
BED,20161111,,,,29.88,0
BED,20161110,,,,29.88,0
BED,20161109,,,,29.88,0
BED,20161108,,,,29.88,0
BED,20161107,29.37,29.88,29.37,29.88,1000
BED,20161104,,,,32.61,0
