<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BHS,20170829,22,22,21.5,22,4595120
BHS,20170828,21.6,21.95,21.2,21.7,3567490
BHS,20170825,22,22,21.45,21.6,2710450
BHS,20170824,21.8,21.9,21.45,21.9,2190920
BHS,20170823,21.3,21.6,21.25,21.55,1771700
BHS,20170822,21.4,21.7,21.1,21.3,2708950
BHS,20170821,20.5,21.3,20.4,21.2,2547060
BHS,20170818,20.05,20.6,20.05,20.3,1381700
BHS,20170817,20.6,20.9,20.2,20.55,1036350
BHS,20170816,20,20.4,19.9,20.4,1409180
BHS,20170815,21.3,21.3,20.4,20.4,1568010
BHS,20170814,22,22,21.3,21.3,3074760
BHS,20170811,20,20.85,19.8,20.85,5174230
BHS,20170810,18.05,19.8,18.05,19.5,3631960
BHS,20170809,19.8,19.85,18.9,18.9,6035610
BHS,20170808,21.8,22,20.3,20.3,4963570
BHS,20170807,20.6,22.4,20.5,21.8,4057130
BHS,20170804,23.5,23.6,21.7,22,4848360
BHS,20170803,24.55,24.7,23,23.1,6082130
BHS,20170802,24.6,24.7,24.35,24.7,1225450
BHS,20170801,24.6,24.9,24.5,24.6,1488970
BHS,20170731,24.85,25,24.05,24.5,2806790
BHS,20170728,24.8,25,24.6,24.8,1412300
BHS,20170727,25.35,25.35,24.6,24.7,2988570
BHS,20170726,25.1,25.35,25.05,25.25,2236110
BHS,20170725,24.8,25.05,24.55,25,2081340
BHS,20170724,24.4,24.9,24.3,24.55,1945330
BHS,20170721,24.3,25.2,24.2,24.3,3541610
BHS,20170720,24.3,24.5,23.9,24.3,1622210
BHS,20170719,24.1,24.85,23.6,24.1,3342520
BHS,20170718,26,26,24.1,24.1,5610130
BHS,20170717,26,26.5,25.3,25.9,4311420
BHS,20170714,24.6,25.6,24.55,25.3,5467130
BHS,20170713,24.3,24.7,24,24.4,3301520
BHS,20170712,24.2,24.3,23.9,24.2,2800670
BHS,20170711,23.9,23.9,23.55,23.85,1463500
BHS,20170710,23.85,24.25,23.7,23.85,2990080
BHS,20170707,23.7,24.5,23.5,23.85,3277870
BHS,20170706,23.7,23.7,23.5,23.55,1702100
BHS,20170705,23.8,23.9,23.55,23.7,1566870
BHS,20170704,23.95,23.95,23.65,23.8,1720030
BHS,20170703,23.45,24.15,23.25,23.75,2319980
BHS,20170630,23.85,23.9,23.4,23.5,2726470
BHS,20170629,23.8,24.6,23.7,23.85,2779810
BHS,20170628,23.6,24.15,23.3,23.9,2724040
BHS,20170627,24.6,24.6,23.15,23.4,5763680
BHS,20170626,25,25.4,23.8,24.4,9185740
BHS,20170623,24.2,25.4,23.8,24.9,5229220
BHS,20170622,24.1,24.9,24,24.15,4220770
BHS,20170621,22.25,23.75,21.75,23.75,6617270
BHS,20170620,21.8,22.65,21.8,22.2,4956990
BHS,20170619,20.9,21.6,20.85,21.6,5060700
BHS,20170616,20.3,20.8,20.2,20.6,3337220
BHS,20170615,20,20.35,20,20.2,3303500
BHS,20170614,20.5,20.9,20.2,20.2,3889100
BHS,20170613,20.8,21.1,20.55,20.55,3229380
BHS,20170612,19.5,21.35,19.5,20.65,10826170
BHS,20170609,21.15,21.2,20.2,20.3,3673340
BHS,20170608,21.4,21.95,21,21.35,2719280
BHS,20170607,20.8,21.3,20.7,21.2,2260840
BHS,20170606,20.2,20.8,19.8,20.45,2556720
BHS,20170605,21.5,21.9,20.5,20.5,2566040
BHS,20170602,21.7,22,21.4,21.5,1165360
BHS,20170601,20.6,22.4,20.6,21.7,2360820
BHS,20170531,22.2,22.8,21.25,21.25,3502910
BHS,20170530,23.95,24.1,22.2,22.8,3820350
BHS,20170529,22.2,22.95,22,22.95,2505740
BHS,20170526,20.5,21.45,20.45,21.45,5639360
BHS,20170525,19.5,20.2,19.5,20.05,3384540
BHS,20170524,19.25,19.45,18.9,19.1,2594500
BHS,20170523,19.55,19.6,19.2,19.2,1231900
BHS,20170522,18.8,19.55,18.8,19.2,3002050
BHS,20170519,18.4,18.75,18.3,18.6,1525840
BHS,20170518,18.6,18.95,18.45,18.55,1486860
BHS,20170517,18.35,19.4,18.2,18.95,1801250
BHS,20170516,19.7,19.75,18.55,18.6,3180910
BHS,20170515,20.5,20.5,19.6,19.8,2544020
BHS,20170512,19.8,20.5,19.7,20.1,1769370
BHS,20170511,20.4,20.9,19.5,19.8,6005060
BHS,20170510,19.1,19.9,18.7,19.7,3057350
BHS,20170509,17.6,19,17.55,19,3855720
BHS,20170508,18.5,18.7,17.4,17.9,3132390
BHS,20170505,17.6,18.1,17,18.1,3125530
BHS,20170504,18.1,19,16.85,17,5722080
BHS,20170503,17.1,18.1,17.1,18.1,3605680
BHS,20170428,15.85,16.95,15.5,16.95,3290010
BHS,20170427,15.2,15.85,15.1,15.85,2575160
BHS,20170426,15,15.7,15,15.35,2767350
BHS,20170425,14.45,15,14.2,14.9,3690340
BHS,20170424,13.5,14.25,13.35,14.05,3025870
BHS,20170421,13.75,13.8,13.5,13.65,1240690
BHS,20170420,13.75,14,13.5,13.7,5437390
BHS,20170419,12.5,13.1,12.5,13.1,2273140
BHS,20170418,12,12.3,11.9,12.25,1308390
BHS,20170417,12.4,12.45,12,12,747200
BHS,20170414,12.55,12.55,12,12.3,1305250
BHS,20170413,12.3,12.85,12.25,12.55,2517460
BHS,20170412,12.2,12.4,12.15,12.3,1612220
BHS,20170411,12.2,12.35,12.15,12.2,1015320
BHS,20170410,12.2,12.4,12.15,12.25,1656360
BHS,20170407,12.15,12.3,12.1,12.1,859060
BHS,20170405,12.25,12.4,12.15,12.15,870380
BHS,20170404,12.45,12.65,12.35,12.35,935800
BHS,20170403,12.2,12.7,12.05,12.5,1853250
BHS,20170331,12.55,12.55,12.15,12.25,1111040
BHS,20170330,12.65,12.9,12.55,12.55,783990
BHS,20170329,12.5,12.9,12.5,12.65,1105000
BHS,20170328,12.8,12.8,12.5,12.5,1688430
BHS,20170327,12.95,13,12.7,12.9,1576870
BHS,20170324,13.1,13.25,12.95,12.95,1397290
BHS,20170323,12.9,13.25,12.7,13.1,1601630
BHS,20170322,13.15,13.3,12.9,13,2612440
BHS,20170321,13.3,13.45,13.05,13.2,2668620
BHS,20170320,12.85,13.2,12.7,13.15,4247510
BHS,20170317,12.4,12.5,12.25,12.35,2488040
BHS,20170316,12,12.6,12,12.4,2647720
BHS,20170315,11.5,12,11.4,12,3253740
BHS,20170314,11.75,11.85,11.55,11.6,1201990
BHS,20170313,11.4,11.85,11.4,11.75,1839680
BHS,20170310,10.8,11.55,10.8,11.4,3758800
BHS,20170309,10.65,10.85,10.65,10.8,1230130
BHS,20170308,10.8,10.8,10.65,10.7,1123950
BHS,20170307,10.7,10.8,10.65,10.7,854740
BHS,20170306,10.6,10.95,10.6,10.7,1071900
BHS,20170303,10.8,10.8,10.6,10.65,1465690
BHS,20170302,10.85,11,10.8,10.8,532190
BHS,20170301,11.3,11.45,10.8,10.85,1950760
BHS,20170228,10.8,11,10.6,11,2159650
BHS,20170227,10.36,10.47,10.25,10.28,1614590
BHS,20170224,10.28,10.51,10.28,10.36,1240210
BHS,20170223,10.4,10.51,10.29,10.28,1168680
BHS,20170222,10.74,10.78,10.55,10.55,1148720
BHS,20170221,10.85,10.88,10.62,10.7,1853430
BHS,20170220,10.02,10.62,10.02,10.62,2452410
BHS,20170217,10.17,10.17,9.95,9.94,2143230
BHS,20170216,10.24,10.32,10.09,10.21,2093300
BHS,20170215,10.32,10.32,10.13,10.28,2472310
BHS,20170214,10.4,10.4,10.14,10.32,1692410
BHS,20170213,10.4,10.55,10.17,10.4,2397250
BHS,20170210,10.24,10.39,9.98,10.4,2521300
BHS,20170209,10.51,10.55,10.24,10.24,1286840
BHS,20170208,10.63,10.63,10.4,10.47,1637210
BHS,20170207,10.7,10.85,10.55,10.55,2336770
BHS,20170206,10.7,10.74,10.59,10.7,459600
BHS,20170203,10.55,10.7,10.47,10.7,535710
BHS,20170202,10.66,10.7,10.4,10.7,148760
BHS,20170125,10.74,10.74,10.47,10.66,618990
BHS,20170124,10.7,10.78,10.55,10.7,414900
BHS,20170123,10.62,10.85,10.62,10.7,579990
BHS,20170120,10.66,10.66,10.55,10.62,310620
BHS,20170119,10.47,10.55,10.43,10.55,935790
BHS,20170118,10.47,10.59,10.47,10.51,266040
BHS,20170117,10.55,10.58,10.47,10.51,269120
BHS,20170116,10.66,10.7,10.58,10.66,579020
BHS,20170113,10.69,10.69,10.62,10.66,180220
BHS,20170112,10.81,10.81,10.66,10.73,167980
BHS,20170111,10.78,10.78,10.59,10.7,443490
BHS,20170110,10.66,10.74,10.62,10.7,235270
BHS,20170109,10.77,10.81,10.65,10.66,179120
BHS,20170106,10.7,11.04,10.62,10.73,449200
BHS,20170105,10.62,10.7,10.62,10.7,173810
BHS,20170104,10.62,10.74,10.59,10.7,212180
BHS,20170103,10.7,10.78,10.62,10.7,799980
BHS,20161230,10.85,10.85,10.66,10.7,324540
BHS,20161229,10.55,10.85,10.55,10.85,410230
BHS,20161228,10.4,10.7,10.4,10.7,427410
BHS,20161227,10.92,10.92,10.39,10.4,454430
BHS,20161226,11.04,11.04,10.81,10.92,597380
BHS,20161223,11.07,11.07,10.84,11.04,677080
BHS,20161222,11.19,11.3,10.93,10.92,845200
BHS,20161221,11.26,11.3,11.07,11.19,972690
BHS,20161220,11.23,11.53,11.15,11.26,2234550
BHS,20161219,11.53,11.72,11.15,11.15,1108600
BHS,20161216,10.92,11.52,10.85,11.53,1147840
BHS,20161215,10.24,10.77,10.2,10.77,512430
BHS,20161214,10.39,10.47,10.09,10.24,633360
BHS,20161213,10.58,10.62,10.24,10.47,517100
BHS,20161212,10.78,10.89,10.59,10.58,389290
BHS,20161209,10.84,11,10.73,10.89,1300930
BHS,20161208,10.85,10.92,10.73,10.92,392410
BHS,20161207,10.92,11.15,10.62,10.62,861130
BHS,20161206,11,11.15,10.89,11.07,731630
BHS,20161205,11.04,11.15,11,11.15,736510
BHS,20161202,11.14,11.18,10.99,11.19,600880
BHS,20161201,11.07,11.22,10.99,11.22,389040
BHS,20161130,11.15,11.22,11,11.22,509490
BHS,20161129,11.07,11.3,10.96,11.3,470890
BHS,20161128,11.38,11.45,11.04,11.07,535400
BHS,20161125,11.26,11.45,11.22,11.3,1169520
BHS,20161124,11.3,11.34,11.22,11.22,896280
BHS,20161123,11.3,11.41,11.26,11.3,472590
BHS,20161122,11.38,11.45,11.3,11.45,487050
BHS,20161121,11.45,11.57,11.3,11.49,472690
