<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BKC,20180713,8.5,8.5,8.5,8.5,100
BKC,20180712,,,,7.8,0
BKC,20180711,,,,7.8,0
BKC,20180710,,,,7.8,0
BKC,20180709,,,,7.8,0
BKC,20180706,,,,7.8,0
BKC,20180705,,,,7.8,0
BKC,20180704,,,,7.8,0
BKC,20180703,,,,7.8,0
BKC,20180702,,,,7.8,0
BKC,20180629,,,,7.8,0
BKC,20180628,,,,7.8,0
BKC,20180627,,,,7.8,0
BKC,20180626,,,,7.8,0
BKC,20180625,,,,7.8,0
BKC,20180622,,,,7.8,0
BKC,20180621,,,,7.8,0
BKC,20180620,,,,7.8,0
BKC,20180619,,,,7.8,0
BKC,20180618,,,,7.8,0
BKC,20180615,,,,7.8,0
BKC,20180614,,,,7.8,0
BKC,20180613,,,,7.8,0
BKC,20180612,,,,7.8,0
BKC,20180611,,,,7.8,0
BKC,20180608,,,,7.8,0
BKC,20180607,,,,7.8,0
BKC,20180606,,,,7.8,0
BKC,20180605,,,,7.8,0
BKC,20180604,,,,7.8,0
BKC,20180601,,,,7.8,0
BKC,20180531,,,,7.8,0
BKC,20180530,,,,7.8,0
BKC,20180529,,,,7.8,0
BKC,20180528,,,,7.8,0
BKC,20180525,,,,7.8,0
BKC,20180524,,,,7.8,0
BKC,20180523,,,,7.8,0
BKC,20180522,,,,7.8,0
BKC,20180521,,,,7.8,0
BKC,20180518,,,,7.8,0
BKC,20180517,8,8,7.8,7.8,1000
BKC,20180516,,,,8,0
BKC,20180515,8,8,8,8,900
BKC,20180514,,,,8.8,0
BKC,20180511,,,,8.8,0
BKC,20180510,,,,8.8,0
BKC,20180509,,,,8.8,0
BKC,20180508,,,,8.8,0
BKC,20180507,,,,8.8,0
BKC,20180504,,,,8.8,0
BKC,20180503,,,,8.8,0
BKC,20180502,,,,8.8,0
BKC,20180427,,,,8.8,0
BKC,20180426,,,,8.8,0
BKC,20180424,,,,8.8,0
BKC,20180423,,,,8.8,0
BKC,20180420,,,,8.8,0
BKC,20180419,,,,8.8,0
BKC,20180418,,,,8.8,0
BKC,20180417,,,,8.8,0
BKC,20180416,,,,8.8,0
BKC,20180413,,,,8.8,0
BKC,20180412,,,,8.8,0
BKC,20180411,,,,8.8,0
BKC,20180410,,,,8.8,0
BKC,20180409,,,,8.8,0
BKC,20180406,,,,8.8,0
BKC,20180405,,,,8.8,0
BKC,20180404,,,,8.8,0
BKC,20180403,,,,8.8,0
BKC,20180402,,,,8.8,0
BKC,20180330,,,,8.8,0
BKC,20180329,,,,8.8,0
BKC,20180328,,,,8.8,0
BKC,20180327,,,,8.8,0
BKC,20180326,,,,8.8,0
BKC,20180323,,,,8.8,0
BKC,20180322,8.5,8.8,8.5,8.8,400
BKC,20180321,8.2,9.5,8.2,8.2,20200
BKC,20180320,,,,9.1,0
BKC,20180319,,,,9.1,0
BKC,20180316,,,,9.1,0
BKC,20180315,,,,9.1,0
BKC,20180314,,,,9.1,0
BKC,20180313,,,,9.1,0
BKC,20180312,,,,9.1,0
BKC,20180309,,,,9.1,0
BKC,20180308,,,,9.1,0
BKC,20180307,,,,9.1,0
BKC,20180306,,,,9.1,0
BKC,20180305,,,,9.1,0
BKC,20180302,,,,9.1,0
BKC,20180301,,,,9.1,0
BKC,20180228,,,,9.1,0
BKC,20180227,,,,9.1,0
BKC,20180226,,,,9.1,0
BKC,20180223,,,,9.1,0
BKC,20180222,,,,9.1,0
BKC,20180221,,,,9.1,0
BKC,20180213,,,,9.1,0
BKC,20180212,,,,9.1,0
BKC,20180209,,,,9.1,0
BKC,20180208,,,,9.1,0
BKC,20180207,,,,9.1,0
BKC,20180206,,,,9.1,0
BKC,20180205,,,,9.1,0
BKC,20180202,,,,9.1,0
BKC,20180201,,,,9.1,0
BKC,20180131,,,,9.1,0
BKC,20180130,,,,9.1,0
BKC,20180129,,,,9.1,0
BKC,20180126,,,,9.1,0
BKC,20180125,,,,9.1,0
BKC,20180122,,,,9.1,0
BKC,20180119,9.1,9.1,9.1,9.1,111
BKC,20180118,8.8,9,8.8,9,600
BKC,20180117,,,,8.3,0
BKC,20180116,,,,8.3,0
BKC,20180115,,,,8.3,0
BKC,20180112,8.3,8.3,8.3,8.3,20
BKC,20180111,,,,8.3,0
BKC,20180110,,,,8.3,0
BKC,20180109,,,,8.3,0
BKC,20180108,,,,8.3,0
BKC,20180105,,,,8.3,0
BKC,20180104,,,,8.3,0
BKC,20180103,,,,8.3,0
BKC,20180102,,,,8.3,0
BKC,20171229,,,,8.3,0
BKC,20171228,,,,8.3,0
BKC,20171227,,,,8.3,0
BKC,20171226,8.3,8.3,8.3,8.3,100
BKC,20171225,8.3,9.2,8.3,9.2,720
BKC,20171222,,,,8.4,0
BKC,20171221,,,,8.4,0
BKC,20171220,,,,8.4,0
BKC,20171219,,,,8.4,0
BKC,20171218,,,,8.4,0
BKC,20171215,7.6,8.4,7.3,8.4,400
BKC,20171214,,,,7.7,0
BKC,20171213,,,,7.7,0
BKC,20171212,7.8,7.8,7.7,7.7,1000
BKC,20171211,,,,7.4,0
BKC,20171208,7.3,7.4,7.3,7.4,862
BKC,20171207,5.8,6.9,5.8,6.9,4700
BKC,20171206,,,,6.4,0
BKC,20171205,6.4,6.4,6.4,6.4,15
BKC,20171204,6.8,6.8,6.4,6.4,10200
BKC,20171201,,,,7.1,0
BKC,20171130,7.1,7.1,7.1,7.1,4000
BKC,20171129,,,,7.8,0
BKC,20171128,,,,7.8,0
BKC,20171127,,,,7.8,0
BKC,20171124,,,,7.8,0
BKC,20171123,6.7,7.9,6.7,7.8,6206
BKC,20171122,,,,7.4,0
BKC,20171121,,,,7.4,0
BKC,20171120,,,,7.4,0
BKC,20171117,,,,7.4,0
BKC,20171116,7.4,7.4,7.4,7.4,66
BKC,20171115,,,,7.4,0
BKC,20171114,,,,7.4,0
BKC,20171113,,,,7.4,0
BKC,20171110,,,,7.4,0
BKC,20171109,,,,7.4,0
BKC,20171108,,,,7.4,0
BKC,20171107,,,,7.4,0
BKC,20171106,,,,7.4,0
BKC,20171103,,,,7.4,0
BKC,20171102,,,,7.4,0
BKC,20171101,,,,7.4,0
BKC,20171031,,,,7.4,0
BKC,20171030,,,,7.4,0
BKC,20171027,,,,7.4,0
BKC,20171026,,,,7.4,0
BKC,20171025,,,,7.4,0
BKC,20171024,7.4,7.4,7.4,7.4,5500
BKC,20171023,,,,8.2,0
BKC,20171020,,,,8.2,0
BKC,20171019,,,,8.2,0
BKC,20171018,,,,8.2,0
BKC,20171017,,,,8.2,0
BKC,20171016,,,,8.2,0
BKC,20171013,,,,8.2,0
BKC,20171012,,,,8.2,0
BKC,20171011,,,,8.2,0
BKC,20171010,,,,8.2,0
BKC,20171009,,,,8.2,0
BKC,20171006,,,,8.2,0
BKC,20171005,,,,8.2,0
BKC,20171004,,,,8.2,0
BKC,20171003,,,,8.2,0
BKC,20171002,,,,8.2,0
BKC,20170929,,,,8.2,0
BKC,20170928,,,,8.2,0
BKC,20170927,7.5,8.2,7.5,8.2,1500
BKC,20170926,,,,7.6,0
BKC,20170925,,,,7.6,0
BKC,20170922,,,,7.6,0
BKC,20170921,7.5,7.6,7.5,7.6,500
BKC,20170920,6.6,7,6.4,7,7010
BKC,20170919,6.9,7.1,6.9,7.1,600
BKC,20170918,6.8,6.8,6.8,6.8,700
BKC,20170915,,,,7.1,0
BKC,20170914,,,,7.1,0
BKC,20170913,7.1,7.1,7.1,7.1,200
BKC,20170912,6,6.6,5.8,6.6,1300
BKC,20170911,6.2,6.2,6,6,800
BKC,20170908,,,,6.4,0
BKC,20170907,,,,6.4,0
BKC,20170906,,,,6.4,0
BKC,20170905,5.9,6.4,5.8,6.4,1410
BKC,20170901,5.9,5.9,5.9,5.9,200
BKC,20170831,,,,5.4,0
BKC,20170830,5.4,5.4,5.4,5.4,100
BKC,20170829,5.6,5.6,5.6,5.6,200
BKC,20170828,,,,6.2,0
BKC,20170825,,,,6.2,0
BKC,20170824,,,,6.2,0
BKC,20170823,,,,6.2,0
BKC,20170822,,,,6.2,0
BKC,20170821,6.2,6.2,6.2,6.2,100
BKC,20170818,,,,6.8,0
BKC,20170817,,,,6.8,0
BKC,20170816,,,,6.8,0
BKC,20170815,6.8,6.8,6.8,6.8,306
BKC,20170814,,,,6.6,0
BKC,20170811,6.4,6.6,6.4,6.6,700
BKC,20170810,,,,6,0
BKC,20170809,6,6,6,6,294
BKC,20170808,6,6.5,6,6.5,366
BKC,20170807,,,,6.2,0
BKC,20170804,6.2,6.2,6.2,6.2,2500
BKC,20170803,,,,6.2,0
BKC,20170802,,,,6.2,0
BKC,20170801,6.2,6.2,6.2,6.2,94
BKC,20170731,,,,6.2,0
BKC,20170728,,,,6.2,0
BKC,20170727,6.2,6.2,6.2,6.2,166
BKC,20170726,,,,6.8,0
BKC,20170725,,,,6.8,0
BKC,20170724,,,,6.8,0
BKC,20170721,,,,6.8,0
BKC,20170720,,,,6.8,0
BKC,20170719,7,7,6.4,6.8,5600
BKC,20170718,6.9,7,6.9,7,1400
BKC,20170717,,,,7,0
BKC,20170714,7,7,7,7,44
BKC,20170713,7,7,7,7,170
BKC,20170712,6.9,6.9,6.7,6.8,1300
BKC,20170711,6.5,6.8,6.4,6.8,852
BKC,20170710,6.9,6.9,6.9,6.9,100
BKC,20170707,6.8,6.8,6.8,6.8,327
BKC,20170706,6.4,6.6,6.3,6.6,1100
BKC,20170705,,,,6.3,0
BKC,20170704,6.3,6.3,6.3,6.3,532
BKC,20170703,6.2,6.5,6.2,6.5,20800
BKC,20170630,6.1,6.1,6.1,6.1,720
BKC,20170629,5.6,5.6,5.6,5.6,100
BKC,20170628,,,,6,0
BKC,20170627,6,6,6,6,35700
BKC,20170626,,,,6.6,0
BKC,20170623,6.5,6.6,6.5,6.6,1040
BKC,20170622,,,,6.7,0
