<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BSC,20180713,,,,14.2,0
BSC,20180712,,,,14.2,0
BSC,20180711,,,,14.2,0
BSC,20180710,,,,14.2,0
BSC,20180709,,,,14.2,0
BSC,20180706,,,,14.2,0
BSC,20180705,,,,14.2,0
BSC,20180704,,,,14.2,0
BSC,20180703,,,,14.2,0
BSC,20180702,,,,14.2,0
BSC,20180629,,,,14.2,0
BSC,20180628,,,,14.2,0
BSC,20180627,,,,14.2,0
BSC,20180626,,,,14.2,0
BSC,20180625,,,,14.2,0
BSC,20180622,,,,14.2,0
BSC,20180621,,,,14.2,0
BSC,20180620,,,,14.2,0
BSC,20180619,,,,14.2,0
BSC,20180618,,,,14.2,0
BSC,20180615,,,,14.2,0
BSC,20180614,,,,14.2,0
BSC,20180613,,,,14.2,0
BSC,20180612,,,,14.2,0
BSC,20180611,,,,14.2,0
BSC,20180608,,,,14.2,0
BSC,20180607,,,,14.2,0
BSC,20180606,,,,14.2,0
BSC,20180605,,,,14.2,0
BSC,20180604,,,,14.2,0
BSC,20180601,,,,14.2,0
BSC,20180531,,,,14.2,0
BSC,20180530,,,,14.2,0
BSC,20180529,,,,14.2,0
BSC,20180528,,,,14.2,0
BSC,20180525,,,,14.2,0
BSC,20180524,,,,14.2,0
BSC,20180523,,,,14.2,0
BSC,20180522,,,,14.2,0
BSC,20180521,,,,14.2,0
BSC,20180518,,,,14.2,0
BSC,20180517,,,,14.2,0
BSC,20180516,,,,14.2,0
BSC,20180515,,,,14.2,0
BSC,20180514,,,,14.2,0
BSC,20180511,,,,14.2,0
BSC,20180510,,,,14.2,0
BSC,20180509,,,,14.2,0
BSC,20180508,,,,14.2,0
BSC,20180507,,,,14.2,0
BSC,20180504,,,,14.2,0
BSC,20180503,,,,14.2,0
BSC,20180502,,,,14.2,0
BSC,20180427,,,,14.2,0
BSC,20180426,,,,14.2,0
BSC,20180424,,,,14.2,0
BSC,20180423,,,,14.2,0
BSC,20180420,,,,14.2,0
BSC,20180419,,,,14.2,0
BSC,20180418,,,,14.2,0
BSC,20180417,,,,14.2,0
BSC,20180416,,,,14.2,0
BSC,20180413,,,,14.2,0
BSC,20180412,,,,14.2,0
BSC,20180411,,,,14.2,0
BSC,20180410,,,,14.2,0
BSC,20180409,,,,14.2,0
BSC,20180406,,,,14.2,0
BSC,20180405,,,,14.2,0
BSC,20180404,,,,14.2,0
BSC,20180403,,,,14.2,0
BSC,20180402,,,,14.2,0
BSC,20180330,,,,14.2,0
BSC,20180329,,,,14.2,0
BSC,20180328,,,,14.2,0
BSC,20180327,,,,14.2,0
BSC,20180326,,,,14.2,0
BSC,20180323,,,,14.2,0
BSC,20180322,,,,14.2,0
BSC,20180321,,,,14.2,0
BSC,20180320,,,,14.2,0
BSC,20180319,,,,14.2,0
BSC,20180316,,,,14.2,0
BSC,20180315,,,,14.2,0
BSC,20180314,,,,14.2,0
BSC,20180313,,,,14.2,0
BSC,20180312,14.2,14.2,14.2,14.2,8
BSC,20180309,,,,14.2,0
BSC,20180308,,,,14.2,0
BSC,20180307,14.2,14.2,14.2,14.2,8
BSC,20180306,,,,14.2,0
BSC,20180305,,,,14.2,0
BSC,20180302,,,,14.2,0
BSC,20180301,,,,14.2,0
BSC,20180228,,,,14.2,0
BSC,20180227,,,,14.2,0
BSC,20180226,,,,14.2,0
BSC,20180223,,,,14.2,0
BSC,20180222,,,,14.2,0
BSC,20180221,,,,14.2,0
BSC,20180213,,,,14.2,0
BSC,20180212,,,,14.2,0
BSC,20180209,,,,14.2,0
BSC,20180208,,,,14.2,0
BSC,20180207,,,,14.2,0
BSC,20180206,,,,14.2,0
BSC,20180205,,,,14.2,0
BSC,20180202,,,,14.2,0
BSC,20180201,,,,14.2,0
BSC,20180131,,,,14.2,0
BSC,20180130,,,,14.2,0
BSC,20180129,,,,14.2,0
BSC,20180126,,,,14.2,0
BSC,20180125,,,,14.2,0
BSC,20180122,,,,14.2,0
BSC,20180119,,,,14.2,0
BSC,20180118,,,,14.2,0
BSC,20180117,,,,14.2,0
BSC,20180116,,,,14.2,0
BSC,20180115,,,,14.2,0
