<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BTP,20180713,11,11.1,11,11.1,70
BTP,20180712,11,11,10.8,11,11710
BTP,20180711,11.3,11.3,11.3,11.3,20
BTP,20180710,11.3,11.45,11,11.45,14030
BTP,20180709,11.45,11.45,11.3,11.45,2180
BTP,20180706,10.65,11.45,10.65,11.45,1950
BTP,20180705,11.45,11.5,11.2,11.3,3030
BTP,20180704,11,11.5,11,11.45,230
BTP,20180703,11.2,11.2,10.8,10.8,31440
BTP,20180702,11.5,11.5,10.95,11.45,18580
BTP,20180629,11.4,11.5,11.4,11.5,1120
BTP,20180628,11,11.5,11,11.5,4810
BTP,20180627,11.3,11.5,11.2,11.5,5010
BTP,20180626,11.4,11.6,11.4,11.6,410
BTP,20180625,11.7,11.7,11.7,11.7,10
BTP,20180622,11.3,11.5,11.3,11.5,2010
BTP,20180621,11.6,11.6,11.5,11.6,2040
BTP,20180620,11.6,11.6,11.2,11.5,1290
BTP,20180619,11.7,11.7,11.2,11.3,8570
BTP,20180618,11.5,11.7,11.4,11.4,1110
BTP,20180615,11.5,11.8,11.5,11.8,70
BTP,20180614,11.5,11.6,11.5,11.5,7820
BTP,20180613,11.4,11.8,11.4,11.8,5150
BTP,20180612,11.5,11.7,11.5,11.7,220
BTP,20180611,11.6,11.8,11.6,11.8,9000
BTP,20180608,11.8,11.8,11.8,11.8,1000
BTP,20180607,11.7,11.7,11.5,11.5,8500
BTP,20180606,11.4,11.8,11.4,11.5,7620
BTP,20180605,12,12,12,12,10
BTP,20180604,11.7,11.9,11.3,11.8,17630
BTP,20180601,11.8,11.8,11.3,11.8,3040
BTP,20180531,11.4,11.9,11.2,11.4,27780
BTP,20180530,11,11.4,11,11.4,1900
BTP,20180529,11.5,11.5,11,11.5,90
BTP,20180528,11,11.2,10.8,10.8,26360
BTP,20180525,11.3,11.3,11,11.3,10850
BTP,20180524,11.4,11.4,11.05,11.35,9990
BTP,20180523,11.75,11.75,11.4,11.5,3180
BTP,20180522,12.1,12.1,11.4,11.8,12080
BTP,20180521,11.51,11.6,11.37,11.6,30460
BTP,20180518,11.51,11.51,11.41,11.51,25840
BTP,20180517,11.69,11.69,11.64,11.69,140
BTP,20180516,11.69,11.69,11.32,11.32,17190
BTP,20180515,11.6,11.69,11.41,11.69,8260
BTP,20180514,11.92,11.92,11.6,11.69,13500
BTP,20180511,11.97,11.97,11.51,11.6,13560
BTP,20180510,11.51,11.88,11.51,11.69,13150
BTP,20180509,11.97,12.06,11.41,11.88,15250
BTP,20180508,11.51,11.83,11.51,11.69,122010
BTP,20180507,12.33,12.33,11.78,11.83,28100
BTP,20180504,12.38,12.38,11.83,12.15,10650
BTP,20180503,12.61,12.61,11.97,12.38,219030
BTP,20180502,11.83,11.83,11.83,11.83,94750
BTP,20180427,10.91,11.1,10.87,11.09,190
BTP,20180426,11.32,11.41,11.04,11.05,29900
BTP,20180424,10.59,11.33,10.59,11.32,190480
BTP,20180423,10.78,10.87,10.55,10.59,34280
BTP,20180420,10.49,10.49,10.49,10.5,10
BTP,20180419,10.49,10.49,10.31,10.31,6560
BTP,20180418,10.31,10.4,10.22,10.4,3790
BTP,20180417,10.5,10.59,10.22,10.31,23580
BTP,20180416,10.32,10.59,10.32,10.59,800
BTP,20180413,10.5,10.5,10.45,10.5,13600
BTP,20180412,10.41,10.5,10.22,10.5,24010
BTP,20180411,10.13,10.59,10.13,10.59,8720
BTP,20180410,10.13,10.59,10.13,10.59,10190
BTP,20180409,10.5,10.5,10.22,10.22,5060
BTP,20180406,,,,10.5,0
BTP,20180405,10.5,10.5,10.5,10.5,10000
BTP,20180404,10.22,10.59,10.22,10.59,5000
BTP,20180403,10.5,10.5,10.5,10.5,10
BTP,20180402,10.22,10.5,10.22,10.5,1210
BTP,20180330,10.13,10.59,10.13,10.59,4440
BTP,20180329,10.22,10.22,10.22,10.22,500
BTP,20180328,10.22,10.22,10.22,10.22,100
BTP,20180327,10.13,10.22,10.13,10.22,2300
BTP,20180326,10.22,10.22,10.22,10.22,50870
BTP,20180323,10.31,10.59,10.31,10.59,780
BTP,20180322,10.31,10.77,10.31,10.77,2010
BTP,20180321,10.22,10.31,10.08,10.31,73600
BTP,20180320,10.27,10.27,10.08,10.13,8030
BTP,20180319,10.41,10.59,10.13,10.13,26610
BTP,20180316,10.31,10.5,10.31,10.5,2920
BTP,20180315,10.4,10.86,10.12,10.59,8920
BTP,20180314,10.4,10.4,10.31,10.4,4140
BTP,20180313,10.77,10.77,10.41,10.4,7180
BTP,20180312,10.36,10.77,10.36,10.59,3160
BTP,20180309,10.77,10.77,10.77,10.77,10
BTP,20180308,10.86,10.86,10.86,10.86,10
BTP,20180307,10.77,10.77,10.77,10.77,10
BTP,20180306,10.4,10.68,10.4,10.68,1010
BTP,20180305,10.77,10.77,10.77,10.77,30
BTP,20180302,10.63,10.63,10.35,10.36,14750
BTP,20180301,10.58,10.63,10.31,10.63,46780
BTP,20180228,10.4,10.63,10.31,10.63,13010
BTP,20180227,10.81,10.86,10.81,10.86,25750
BTP,20180226,10.96,10.96,10.59,10.86,6830
BTP,20180223,10.96,10.96,10.96,10.96,10
BTP,20180222,10.58,11.14,10.58,10.59,610
BTP,20180221,,,,10.86,0
BTP,20180213,10.58,10.86,10.58,10.86,110
BTP,20180212,10.59,10.87,10.59,10.86,20
BTP,20180209,10.59,10.59,10.36,10.59,26160
BTP,20180208,10.59,10.59,10.5,10.59,19040
BTP,20180207,10.59,10.59,10.54,10.59,9600
BTP,20180206,10.22,10.58,10.12,10.59,7950
BTP,20180205,10.59,10.87,10.59,10.86,310
BTP,20180202,,,,10.96,0
BTP,20180201,,,,10.96,0
BTP,20180131,10.96,10.96,10.96,10.96,7000
BTP,20180130,10.59,11.05,10.59,11.05,5200
BTP,20180129,10.73,11.05,10.68,11.05,9140
BTP,20180126,11.14,11.14,11.14,11.14,7000
BTP,20180125,10.96,11.14,10.68,11.14,3080
BTP,20180122,11.23,11.23,10.86,11.14,5720
BTP,20180119,10.86,10.86,10.86,10.86,10
BTP,20180118,10.59,10.77,10.59,10.77,510
BTP,20180117,10.68,10.68,10.68,10.68,100
BTP,20180116,10.49,10.95,10.49,10.96,490
BTP,20180115,10.86,10.86,10.86,10.86,10
BTP,20180112,10.59,10.77,10.49,10.77,2430
BTP,20180111,11.05,11.05,10.68,10.77,100
BTP,20180110,10.59,10.95,10.49,10.96,17250
BTP,20180109,10.77,10.77,10.77,10.77,10
BTP,20180108,10.77,10.77,10.77,10.77,730
BTP,20180105,10.77,10.77,10.58,10.77,10530
BTP,20180104,10.59,10.87,10.41,10.86,540
BTP,20180103,10.96,10.96,10.96,10.96,100
BTP,20180102,10.59,10.96,10.59,10.96,3040
BTP,20171229,10.49,11.09,10.49,11.05,19850
BTP,20171228,10.31,10.4,10.31,10.4,1810
BTP,20171227,10.22,10.31,10.22,10.31,3010
BTP,20171226,10.17,10.4,10.12,10.4,3030
BTP,20171225,10.41,10.41,10.41,10.4,440
BTP,20171222,10.31,10.59,10.31,10.59,12040
BTP,20171221,10.31,10.59,10.31,10.59,19580
BTP,20171220,10.59,10.59,10.31,10.59,1470
BTP,20171219,10.41,10.59,10.41,10.59,7430
BTP,20171218,10.5,10.59,10.5,10.59,390
BTP,20171215,10.59,10.59,10.41,10.59,10240
BTP,20171214,10.4,10.58,10.4,10.59,220
BTP,20171213,10.13,10.41,10.13,10.4,3620
BTP,20171212,10.12,10.49,10.12,10.5,200
BTP,20171211,10.41,10.59,10.13,10.4,3730
BTP,20171208,10.49,10.59,10.49,10.59,2160
