<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
C92,20180713,5,5,5,5,50800
C92,20180712,5.3,5.3,5.3,5.3,5200
C92,20180711,5.6,5.6,5.6,5.6,80100
C92,20180710,6.1,6.1,6.1,6.1,400
C92,20180709,6.6,6.6,6.6,6.6,500
C92,20180706,7.3,7.3,7.3,7.3,100
C92,20180705,8.1,8.1,8.1,8.1,200
C92,20180704,,,,9,0
C92,20180703,9,9,9,9,100
C92,20180702,9.9,9.9,9.9,9.9,100
C92,20180629,,,,11,0
C92,20180628,,,,11,0
C92,20180627,,,,11,0
C92,20180626,,,,11,0
C92,20180625,,,,11,0
C92,20180622,,,,11,0
C92,20180621,,,,11,0
C92,20180620,,,,11,0
C92,20180619,,,,11,0
C92,20180618,,,,11,0
C92,20180615,,,,11,0
C92,20180614,,,,11,0
C92,20180613,,,,11,0
C92,20180612,,,,11,0
C92,20180611,,,,11,0
C92,20180608,,,,11,0
C92,20180607,,,,11,0
C92,20180606,,,,11,0
C92,20180605,,,,11,0
C92,20180604,,,,11,0
C92,20180601,,,,11,0
C92,20180531,,,,11,0
C92,20180530,,,,11,0
C92,20180529,,,,11,0
C92,20180528,,,,11,0
C92,20180525,,,,11,0
C92,20180524,,,,11,0
C92,20180523,,,,11,0
C92,20180522,,,,11,0
C92,20180521,,,,11,0
C92,20180518,,,,11,0
C92,20180517,,,,11,0
C92,20180516,,,,11,0
C92,20180515,11,11,11,11,100
C92,20180514,,,,10.5,0
C92,20180511,,,,10.5,0
C92,20180510,,,,10.5,0
C92,20180509,,,,10.5,0
C92,20180508,,,,10.5,0
C92,20180507,,,,10.5,0
C92,20180504,,,,10.5,0
C92,20180503,,,,10.5,0
C92,20180502,,,,10.5,0
C92,20180427,,,,10.5,0
C92,20180426,,,,10.5,0
C92,20180424,,,,10.5,0
C92,20180423,,,,10.5,0
C92,20180420,,,,10.5,0
C92,20180419,,,,10.5,0
C92,20180418,,,,10.5,0
C92,20180417,,,,10.5,0
C92,20180416,,,,10.5,0
C92,20180413,,,,10.5,0
C92,20180412,,,,10.5,0
C92,20180411,10.5,10.5,10.5,10.5,100
C92,20180410,10.5,10.5,10.5,10.5,100
C92,20180409,,,,10,0
C92,20180406,,,,10,0
C92,20180405,,,,10,0
C92,20180404,,,,10,0
C92,20180403,,,,10,0
C92,20180402,,,,10,0
C92,20180330,,,,10,0
C92,20180329,,,,10,0
C92,20180328,,,,10,0
