<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CAN,20180713,,,,28.8,0
CAN,20180712,,,,28.8,0
CAN,20180711,,,,28.8,0
CAN,20180710,,,,28.8,0
CAN,20180709,,,,28.8,0
CAN,20180706,,,,28.8,0
CAN,20180705,,,,28.8,0
CAN,20180704,,,,28.8,0
CAN,20180703,,,,28.8,0
CAN,20180702,,,,28.8,0
CAN,20180629,,,,28.8,0
CAN,20180628,,,,28.8,0
CAN,20180627,,,,28.8,0
CAN,20180626,,,,28.8,0
CAN,20180625,,,,28.8,0
CAN,20180622,,,,28.8,0
CAN,20180621,,,,28.8,0
CAN,20180620,,,,28.8,0
CAN,20180619,,,,28.8,0
CAN,20180618,,,,28.8,0
CAN,20180615,,,,28.8,0
CAN,20180614,,,,28.8,0
CAN,20180613,,,,28.8,0
CAN,20180612,,,,28.8,0
CAN,20180611,,,,28.8,0
CAN,20180608,,,,28.8,0
CAN,20180607,,,,28.8,0
CAN,20180606,,,,28.8,0
CAN,20180605,,,,28.8,0
CAN,20180604,,,,28.8,0
CAN,20180601,,,,28.8,0
CAN,20180531,,,,28.8,0
CAN,20180530,28.8,28.8,28.8,28.8,200
CAN,20180529,,,,28.8,0
CAN,20180528,28.8,28.8,28.8,28.8,30
CAN,20180525,28.8,28.8,28.8,28.8,100
CAN,20180524,,,,26.2,0
CAN,20180523,,,,26.2,0
CAN,20180522,,,,26.2,0
CAN,20180521,,,,26.2,0
CAN,20180518,25.91,26.2,25.91,26.2,1300
CAN,20180517,,,,23.98,0
CAN,20180516,,,,23.98,0
CAN,20180515,24.08,24.08,23.98,23.98,1200
CAN,20180514,,,,26.58,0
CAN,20180511,,,,26.58,0
CAN,20180510,,,,26.58,0
CAN,20180509,,,,26.58,0
CAN,20180508,,,,26.58,0
CAN,20180507,,,,26.58,0
CAN,20180504,26.59,26.59,26.59,26.58,1130
CAN,20180503,,,,24.18,0
CAN,20180502,24.18,24.18,24.18,24.18,100
CAN,20180427,,,,26.78,0
CAN,20180426,,,,26.78,0
CAN,20180424,,,,26.78,0
CAN,20180423,26.78,26.78,26.78,26.78,1300
CAN,20180420,,,,24.37,0
CAN,20180419,,,,24.37,0
CAN,20180418,24.37,24.37,24.37,24.37,240
CAN,20180417,26.97,26.97,26.97,26.97,100
CAN,20180416,,,,26.97,0
CAN,20180413,,,,26.97,0
CAN,20180412,26.97,26.97,26.97,26.97,50
CAN,20180411,,,,26.97,0
CAN,20180410,,,,26.97,0
CAN,20180409,,,,26.97,0
CAN,20180406,26.97,26.97,26.97,26.97,110
CAN,20180405,,,,26.97,0
CAN,20180404,,,,26.97,0
CAN,20180403,,,,26.97,0
CAN,20180402,,,,26.97,0
CAN,20180330,,,,26.97,0
CAN,20180329,,,,26.97,0
CAN,20180328,,,,26.97,0
CAN,20180327,26.97,26.97,26.97,26.97,210
CAN,20180326,26.97,26.97,26.97,26.97,45
CAN,20180323,26.97,26.97,26.97,26.97,30000
CAN,20180322,26.97,26.97,26.97,26.97,80
CAN,20180321,,,,26.97,0
CAN,20180320,26.97,26.97,26.97,26.97,2120
CAN,20180319,26.97,26.97,26.97,26.97,5
CAN,20180316,,,,26.97,0
CAN,20180315,,,,26.97,0
CAN,20180314,,,,26.97,0
CAN,20180313,26.87,26.97,26.87,26.97,2010
CAN,20180312,,,,25.04,0
CAN,20180309,,,,25.04,0
CAN,20180308,25.04,25.04,25.04,25.04,10
CAN,20180307,25.04,25.04,25.04,25.04,60
CAN,20180306,25.04,25.04,25.04,25.04,20
CAN,20180305,,,,25.04,0
CAN,20180302,,,,25.04,0
CAN,20180301,25.04,25.04,25.04,25.04,300
CAN,20180228,,,,27.45,0
CAN,20180227,27.45,27.45,27.45,27.45,100
CAN,20180226,,,,27.45,0
CAN,20180223,,,,27.45,0
CAN,20180222,,,,27.45,0
CAN,20180221,,,,27.45,0
CAN,20180213,27.45,27.45,27.45,27.45,80
CAN,20180212,,,,27.45,0
CAN,20180209,,,,27.45,0
CAN,20180208,27.45,27.45,27.45,27.45,2500
CAN,20180207,,,,27.45,0
CAN,20180206,,,,27.45,0
CAN,20180205,,,,27.45,0
CAN,20180202,,,,27.45,0
CAN,20180201,,,,27.45,0
CAN,20180131,,,,27.45,0
CAN,20180130,,,,27.45,0
CAN,20180129,,,,27.45,0
CAN,20180126,,,,27.45,0
CAN,20180125,,,,27.45,0
CAN,20180122,27.45,27.45,27.45,27.45,300
CAN,20180119,,,,27.45,0
CAN,20180118,27.45,27.45,27.45,27.45,500
CAN,20180117,26.97,26.97,26.97,26.97,2250
CAN,20180116,,,,26.97,0
CAN,20180115,26.97,26.97,26.97,26.97,810
CAN,20180112,,,,27.26,0
CAN,20180111,27.26,27.26,27.26,27.26,20
CAN,20180110,,,,27.26,0
CAN,20180109,27.26,27.26,27.26,27.26,80
CAN,20180108,27.26,27.26,27.26,27.26,650
CAN,20180105,24.85,24.85,24.85,24.85,120
CAN,20180104,27.45,27.45,27.45,27.45,2100
CAN,20180103,27.45,27.45,27.45,27.45,1100
CAN,20180102,,,,27.93,0
CAN,20171229,,,,27.93,0
CAN,20171228,27.93,27.93,27.93,27.93,50
CAN,20171227,,,,27.93,0
CAN,20171226,,,,27.93,0
CAN,20171225,27.55,27.94,27.55,27.93,3130
CAN,20171222,,,,27.55,0
CAN,20171221,,,,27.55,0
CAN,20171220,,,,27.55,0
CAN,20171219,27.55,27.55,27.55,27.55,560
CAN,20171218,,,,27.55,0
CAN,20171215,,,,27.55,0
CAN,20171214,27.55,27.55,27.55,27.55,100
CAN,20171213,,,,27.55,0
CAN,20171212,,,,27.55,0
CAN,20171211,27.55,27.55,27.55,27.55,20
CAN,20171208,27.55,27.55,27.55,27.55,50
CAN,20171207,27.55,27.55,27.55,27.55,500
CAN,20171206,27.55,27.55,27.55,27.55,1000
CAN,20171205,,,,27.55,0
CAN,20171204,27.54,27.54,27.54,27.55,1000
CAN,20171201,,,,25.04,0
CAN,20171130,25.04,25.14,25.04,25.04,3170
CAN,20171129,24.18,26.97,24.18,26.97,74880
CAN,20171128,26.49,26.49,26.49,26.49,600
CAN,20171127,24.08,24.08,24.08,24.08,18000
CAN,20171124,24.08,24.08,24.08,24.08,30
CAN,20171123,24.08,24.08,24.08,24.08,1680
CAN,20171122,24.27,24.27,24.27,24.27,2020
CAN,20171121,24.18,24.27,24.18,24.27,26130
CAN,20171120,24.08,24.08,24.08,24.08,500
CAN,20171117,,,,26.1,0
CAN,20171116,26.2,26.2,26.1,26.1,6000
CAN,20171115,26.1,26.1,26.1,26.1,20100
CAN,20171114,25.43,25.43,25.43,25.43,300
CAN,20171113,23.12,23.12,23.12,23.12,800
CAN,20171110,24.08,24.08,24.08,24.08,10000
CAN,20171109,26.1,26.1,26.1,26.1,3000
CAN,20171108,,,,24.56,0
CAN,20171107,,,,24.56,0
CAN,20171106,,,,24.56,0
CAN,20171103,,,,24.56,0
CAN,20171102,,,,24.56,0
CAN,20171101,,,,24.56,0
CAN,20171031,,,,24.56,0
CAN,20171030,,,,24.56,0
CAN,20171027,24.56,24.56,24.56,24.56,4000
CAN,20171026,26.11,26.11,26.11,26.1,20000
CAN,20171025,26.01,26.01,26.01,26.01,1000
CAN,20171024,24.17,24.17,24.17,24.18,22300
CAN,20171023,,,,24.56,0
CAN,20171020,25.04,25.04,24.56,24.56,10240
CAN,20171019,22.16,25.91,22.16,25.91,9300
CAN,20171018,23.6,23.6,23.6,23.6,100
CAN,20171017,,,,25.62,0
CAN,20171016,25.62,25.62,25.62,25.62,100
CAN,20171013,23.31,23.31,23.31,23.31,4000
CAN,20171012,,,,25.04,0
CAN,20171011,25.05,25.05,25.05,25.04,200
CAN,20171010,23.12,23.12,23.12,23.12,100
CAN,20171009,,,,24.08,0
CAN,20171006,,,,24.08,0
CAN,20171005,24.08,24.08,24.08,24.08,500
CAN,20171004,,,,25.91,0
CAN,20171003,25.91,25.91,25.91,25.91,100
CAN,20171002,,,,24.08,0
CAN,20170929,,,,24.08,0
CAN,20170928,24.08,24.08,24.08,24.08,2090
CAN,20170927,,,,26.01,0
CAN,20170926,,,,26.01,0
CAN,20170925,,,,26.01,0
CAN,20170922,,,,26.01,0
CAN,20170921,,,,26.01,0
CAN,20170920,26.01,26.01,26.01,26.01,570
CAN,20170919,,,,28.9,0
CAN,20170918,,,,28.9,0
CAN,20170915,,,,28.9,0
CAN,20170914,,,,28.9,0
CAN,20170913,28.89,28.89,28.89,28.9,53600
CAN,20170912,26.39,26.39,26.39,26.39,50
CAN,20170911,,,,26.39,0
CAN,20170908,,,,26.39,0
CAN,20170907,,,,26.39,0
CAN,20170906,,,,26.39,0
CAN,20170905,,,,26.39,0
CAN,20170901,,,,26.39,0
CAN,20170831,,,,26.39,0
CAN,20170830,,,,26.39,0
CAN,20170829,,,,26.39,0
CAN,20170828,26.39,26.39,26.39,26.39,20
CAN,20170825,,,,26.39,0
CAN,20170824,26.39,26.39,26.39,26.39,60
CAN,20170823,,,,26.39,0
CAN,20170822,,,,26.39,0
CAN,20170821,,,,26.39,0
CAN,20170818,,,,26.39,0
CAN,20170817,26.39,26.39,26.39,26.39,100
CAN,20170816,,,,25.81,0
CAN,20170815,25.81,25.81,25.81,25.81,100
CAN,20170814,,,,23.5,0
CAN,20170811,,,,23.5,0
CAN,20170810,23.5,23.5,23.5,23.5,90
CAN,20170809,23.51,23.51,23.51,23.5,100
CAN,20170808,,,,26.01,0
CAN,20170807,26.01,26.01,26.01,26.01,300
CAN,20170804,,,,26.01,0
CAN,20170803,,,,26.01,0
CAN,20170802,,,,26.01,0
CAN,20170801,26.01,26.01,26.01,26.01,40
CAN,20170731,26.01,26.01,26.01,26.01,50
CAN,20170728,,,,26.01,0
CAN,20170727,26.01,26.01,26.01,26.01,10
CAN,20170726,,,,26.01,0
CAN,20170725,26,26,26,26.01,29700
CAN,20170724,25.05,26.01,25.05,25.04,6390
CAN,20170721,26.49,26.49,26,26.01,400
CAN,20170720,24.27,24.27,24.27,24.27,900
CAN,20170719,,,,23.98,0
CAN,20170718,,,,23.98,0
CAN,20170717,23.98,23.98,23.98,23.98,320
CAN,20170714,21.86,21.86,21.86,21.86,220
CAN,20170713,,,,24.27,0
CAN,20170712,24.27,24.27,24.27,24.27,4010
CAN,20170711,,,,22.15,0
CAN,20170710,,,,22.15,0
CAN,20170707,22.16,22.16,22.16,22.15,1070
CAN,20170706,24.47,24.47,24.47,24.47,21000
CAN,20170705,24.37,24.37,24.37,24.37,4000
CAN,20170704,24.37,24.37,24.37,24.37,15000
CAN,20170703,,,,24.27,0
CAN,20170630,,,,24.27,0
CAN,20170629,,,,24.27,0
CAN,20170628,,,,24.27,0
CAN,20170627,,,,24.27,0
CAN,20170626,24.27,24.27,24.27,24.27,26900
CAN,20170623,24.08,24.08,24.08,24.08,33000
CAN,20170622,24.08,24.18,24.08,24.08,51050
CAN,20170621,,,,26.49,0
CAN,20170620,,,,26.49,0
CAN,20170619,,,,26.49,0
CAN,20170616,,,,26.49,0
CAN,20170615,,,,26.49,0
CAN,20170614,,,,26.49,0
CAN,20170613,,,,26.49,0
CAN,20170612,,,,26.49,0
CAN,20170609,,,,26.49,0
CAN,20170608,,,,26.49,0
CAN,20170607,26,26.48,26,26.49,36400
CAN,20170606,,,,25.04,0
CAN,20170605,,,,25.04,0
CAN,20170602,25.04,25.04,25.04,25.04,1600
CAN,20170601,24.08,24.08,24.08,24.08,300
CAN,20170531,24.08,24.08,24.08,24.08,200
CAN,20170530,,,,25.04,0
CAN,20170529,,,,25.04,0
CAN,20170526,25.04,25.04,25.04,25.04,13000
CAN,20170525,23.79,23.79,23.79,23.79,10
CAN,20170524,,,,23.79,0
CAN,20170523,23.79,23.79,23.79,23.79,10
CAN,20170522,23.11,23.79,23.11,23.79,92110
CAN,20170519,,,,21.67,0
CAN,20170518,,,,21.67,0
CAN,20170517,,,,21.67,0
CAN,20170516,21.67,21.67,21.67,21.67,300
CAN,20170515,21.67,21.67,21.67,21.67,50
CAN,20170512,,,,21.67,0
CAN,20170511,,,,21.67,0
CAN,20170510,22.62,22.62,21.68,21.67,6100
CAN,20170509,,,,23.56,0
CAN,20170508,23.56,23.56,23.56,23.56,15000
CAN,20170505,22.61,23.08,22.33,23.09,95900
CAN,20170504,18.85,21.02,18.85,21.01,330
CAN,20170503,,,,19.79,0
CAN,20170428,,,,19.79,0
CAN,20170427,19.79,19.79,19.79,19.79,1800
CAN,20170426,,,,18.85,0
