<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CIA,20180713,32.9,33,32,32.4,7300
CIA,20180712,32.8,32.8,32.5,32.5,541
CIA,20180711,33.6,33.6,32,33,3330
CIA,20180710,33,33,33,33,229
CIA,20180709,33.8,33.8,32.8,33,1610
CIA,20180706,34.7,34.7,32,33.8,16186
CIA,20180705,34.8,34.8,33.4,33.8,10300
CIA,20180704,37,37,34,34.8,11040
CIA,20180703,36.6,36.8,34.6,34.6,17895
CIA,20180702,35.1,35.5,34,35,21160
CIA,20180629,37,37.2,34.8,36.9,30700
CIA,20180628,35,37,34.5,37,10900
CIA,20180627,35,35,33.7,34.9,5740
CIA,20180626,34,34.1,33.3,34.1,7990
CIA,20180625,33,34.1,33,34,16275
CIA,20180622,34.1,35.1,33.6,34.2,8260
CIA,20180621,36.9,37.1,35.2,35.2,10220
CIA,20180620,40,40,36.9,36.9,36730
CIA,20180619,43.2,43.2,38.4,41,84258
CIA,20180618,39.5,42.6,38,42.6,257585
CIA,20180615,39.9,39.9,38.2,39.7,121526
CIA,20180614,34.6,37.4,34.6,37.4,70912
CIA,20180613,32.6,34,32.6,34,20889
CIA,20180612,32.8,33.5,32.2,32.2,36116
CIA,20180611,32.3,32.8,32.2,32.8,32232
CIA,20180608,32,32.3,32,32.3,5886
CIA,20180607,32.2,32.7,31.9,32.3,40622
CIA,20180606,32.8,32.8,32.2,32.2,8040
CIA,20180605,32.8,32.8,32,32.8,15100
CIA,20180604,33.8,33.8,32.2,32.8,13700
CIA,20180601,33.7,33.8,33.7,33.8,2200
CIA,20180531,32.9,33.7,32.8,33.7,3600
CIA,20180530,31.8,34,31,33.6,9500
CIA,20180529,31.1,32,30.5,31.9,7544
CIA,20180528,33,33,31.5,32,22800
CIA,20180525,33.3,33.3,33.1,33.1,7600
CIA,20180524,33.5,33.7,33.3,33.6,3330
CIA,20180523,33.7,33.7,33.4,33.7,3400
CIA,20180522,33.9,33.9,33,33.7,14600
CIA,20180521,34,34,33.4,33.9,7150
CIA,20180518,33.8,33.9,33.6,33.8,5100
CIA,20180517,33.8,34,33.8,34,4100
CIA,20180516,34.2,34.9,33.8,34.9,9560
CIA,20180515,34.1,34.8,34,34.7,9726
CIA,20180514,35.1,35.2,34,34.9,5800
CIA,20180511,34.9,35.2,34,34.9,8300
CIA,20180510,34.2,35.5,33.7,34.9,22726
CIA,20180509,33.8,34.1,33.8,34,30400
CIA,20180508,33.9,33.9,33.1,33.8,17060
CIA,20180507,33.5,34.1,33,33.9,30000
CIA,20180504,34,34,33.1,34,7400
CIA,20180503,33.8,34,32,34,19500
CIA,20180502,33.6,34.2,33.6,33.8,20920
CIA,20180427,33.9,34,33.6,33.6,15700
CIA,20180426,34.5,34.5,33,33.9,71806
CIA,20180424,33.6,34.5,33.4,34.5,19900
CIA,20180423,37,37,34.9,34.9,71160
CIA,20180420,33,36,33,34.9,40800
CIA,20180419,33.16,33.33,32.83,33,54500
CIA,20180418,32.92,33.08,32.67,33.08,59400
CIA,20180417,32.51,32.92,31.93,32.92,28605
CIA,20180416,32.09,32.09,31.76,31.93,21000
CIA,20180413,32.09,32.09,31.68,31.76,20500
CIA,20180412,32.25,32.25,31.92,32.09,9400
CIA,20180411,32.83,33.32,31.68,32.5,20930
CIA,20180410,32.92,33.5,32.1,32.5,39800
CIA,20180409,32.1,32.1,30.45,31.85,56150
CIA,20180406,33.74,33.74,32.59,32.92,16890
CIA,20180405,34.32,34.32,32.92,33.33,23560
CIA,20180404,33.9,34.56,33.24,34.32,62300
CIA,20180403,33.41,33.9,33,33.9,49085
CIA,20180402,33.74,34.23,32.09,33.74,75800
CIA,20180330,32.92,33.74,31.93,33.74,99860
CIA,20180329,28.8,31.52,28.8,31.52,107705
CIA,20180328,28.47,29.05,28.06,28.72,22690
CIA,20180327,27.81,28.56,27.16,28.47,43210
CIA,20180326,27.98,27.98,27.07,27.65,57510
CIA,20180323,28.8,28.8,27.15,28.06,131445
CIA,20180322,30.69,30.94,27.98,29.62,154075
CIA,20180321,32.91,32.91,30.77,30.94,114785
