<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CLW,20180713,17.95,18.9,17.95,18.9,20
CLW,20180712,18.55,19.3,17.6,19.3,20
CLW,20180711,19.9,19.9,18.5,18.55,1110
CLW,20180710,18.15,19.1,18.15,19.1,20
CLW,20180709,17.65,19.9,17.65,19.5,170
CLW,20180706,16.95,18.9,16.95,18.9,20
CLW,20180705,15.9,18,15.9,18,20
CLW,20180704,17,17,17,17,10
CLW,20180703,18.2,18.2,18.2,18.2,10
CLW,20180702,17.1,17.1,17.1,17.1,10
CLW,20180629,18.3,18.3,18.3,18.3,10
CLW,20180628,,,,17.2,0
CLW,20180627,17.2,17.2,17.2,17.2,10
CLW,20180626,15.2,17.2,15.2,17.2,30
CLW,20180625,15.05,16.1,15.05,16.1,20
CLW,20180622,,,,15.05,0
CLW,20180621,15.05,15.05,15.05,15.05,10
CLW,20180620,,,,16.05,0
CLW,20180619,,,,16.05,0
CLW,20180618,,,,16.05,0
CLW,20180615,,,,16.05,0
CLW,20180614,,,,16.05,0
CLW,20180613,16.05,16.05,16.05,16.05,10
CLW,20180612,,,,17,0
CLW,20180611,15.35,17,15.35,17,90
CLW,20180608,,,,16.35,0
CLW,20180607,16.35,16.35,16.35,16.35,20
CLW,20180606,17.55,17.55,17.55,17.55,600
CLW,20180605,17.55,20.15,17.55,17.55,2440
CLW,20180604,18.85,18.85,18.85,18.85,20
CLW,20180601,16.95,17.65,15.5,17.65,620
CLW,20180531,17,17,16.5,16.5,360
CLW,20180530,15.95,16.5,15.95,16.5,110
CLW,20180529,,,,17,0
CLW,20180528,15.9,17,15.85,17,2520
CLW,20180525,17,17,17,17,10
CLW,20180524,17.85,17.85,17.85,17.85,20
CLW,20180523,16.75,16.75,16.75,16.75,10
CLW,20180522,15.7,15.7,15.7,15.7,20
CLW,20180521,15.15,16.6,15.15,16.6,20
CLW,20180518,,,,15.55,0
CLW,20180517,,,,15.55,0
CLW,20180516,,,,15.55,0
CLW,20180515,15.56,15.56,15.56,15.55,10
CLW,20180514,,,,14.55,0
CLW,20180511,,,,14.55,0
CLW,20180510,,,,14.55,0
CLW,20180509,14.84,14.84,14.55,14.55,30
CLW,20180508,,,,15.17,0
CLW,20180507,,,,15.17,0
CLW,20180504,,,,15.17,0
CLW,20180503,15.17,15.17,15.17,15.17,10
CLW,20180502,14.74,16.27,14.74,16.27,30
CLW,20180427,,,,15.79,0
