<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CMT,20180713,10.5,10.5,10.5,10.5,240
CMT,20180712,10.7,10.7,10.7,10.7,180
CMT,20180711,10.25,10.25,10.25,10.25,200
CMT,20180710,,,,11,0
CMT,20180709,,,,11,0
CMT,20180706,11,11,11,11,10
CMT,20180705,10.3,11.05,9.63,11,1460
CMT,20180704,10.2,10.35,10.2,10.35,50
CMT,20180703,,,,10.15,0
CMT,20180702,,,,10.15,0
CMT,20180629,9.44,10.15,9.44,10.15,100
CMT,20180628,,,,10.15,0
CMT,20180627,,,,10.15,0
CMT,20180626,,,,10.15,0
CMT,20180625,,,,10.15,0
CMT,20180622,,,,10.15,0
CMT,20180621,10,10.15,10,10.15,190
CMT,20180620,10,10.15,10,10.15,60
CMT,20180619,10,10,10,10,450
CMT,20180618,,,,10,0
CMT,20180615,9.9,10,9.9,10,500
CMT,20180614,9.49,10,9.49,10,20
CMT,20180613,,,,10.2,0
CMT,20180612,,,,10.2,0
CMT,20180611,,,,10.2,0
CMT,20180608,10.2,10.2,10.2,10.2,200
CMT,20180607,9.85,10.2,9.85,10.2,650
CMT,20180606,9.85,9.85,9.85,9.85,40
CMT,20180605,,,,10,0
CMT,20180604,,,,10,0
CMT,20180601,9.3,10,9.3,10,570
CMT,20180531,,,,10,0
CMT,20180530,,,,10,0
CMT,20180529,10,10,10,10,210
CMT,20180528,,,,9.85,0
CMT,20180525,9.85,9.85,9.85,9.85,110
CMT,20180524,9.45,9.9,9.45,9.54,450
CMT,20180523,9.45,9.45,9.45,9.45,1300
CMT,20180522,9.7,9.7,9,9.45,420
CMT,20180521,9.9,9.9,9.3,9.3,1020
CMT,20180518,9.91,9.91,9.3,9.3,40
CMT,20180517,9.9,9.93,9.9,9.93,300
CMT,20180516,9.95,9.95,9.95,9.95,200
CMT,20180515,9.95,9.95,9.31,9.95,340
CMT,20180514,9.85,9.9,9.31,9.31,1910
CMT,20180511,10,10,10,10,400
CMT,20180510,10,10,10,10,400
CMT,20180509,9.5,10,9.5,10,610
CMT,20180508,10,10,10,10,300
CMT,20180507,10,10,9.6,10,3520
CMT,20180504,9.5,9.53,9.5,9.53,80
CMT,20180503,10,10,8.91,8.91,20
CMT,20180502,10.5,10.5,9.58,9.58,430
CMT,20180427,9.8,10.3,9.8,10.3,4360
CMT,20180426,9.8,9.8,9.8,9.8,310
CMT,20180424,9,9.63,9,9.63,1000
CMT,20180423,9,9,8.35,9,80
CMT,20180420,8.7,8.95,8.7,8.95,190
CMT,20180419,9,9,8.7,8.7,1370
CMT,20180418,9.3,9.4,8.7,8.7,280
CMT,20180417,8.84,9.3,8.84,9.3,30
CMT,20180416,8.86,9.88,8.84,8.84,2850
CMT,20180413,9.5,9.5,9.5,9.5,300
CMT,20180412,9.5,9.5,9.5,9.5,800
CMT,20180411,9.5,9.5,9.5,9.5,200
CMT,20180410,9.5,9.5,9.5,9.5,190
CMT,20180409,9.03,9.9,9.03,9.03,2440
CMT,20180406,9.5,9.7,9.5,9.7,1290
CMT,20180405,9.98,9.98,9.2,9.2,310
CMT,20180404,9.5,9.9,8.65,9.7,2980
CMT,20180403,9.3,9.3,9.3,9.3,500
CMT,20180402,10,10,9.98,9.98,1100
CMT,20180330,9.5,10.3,9.36,10,3700
CMT,20180329,9.5,10.1,9.5,10.05,2280
CMT,20180328,9.3,9.5,9,9.45,1960
CMT,20180327,8.99,8.99,8.97,8.97,210
CMT,20180326,8.98,8.98,8.46,8.46,890
CMT,20180323,8.9,9.15,8.9,9.09,7430
CMT,20180322,9.5,9.5,8.65,9.1,1720
CMT,20180321,9.5,9.5,8.7,9.28,5210
CMT,20180320,9.35,9.35,9.35,9.35,1560
CMT,20180319,9.5,9.5,8.65,9.44,380
CMT,20180316,9.5,9.5,8.56,9.3,40
CMT,20180315,9.3,9.5,8.66,9.2,3080
CMT,20180314,9.17,9.7,9.16,9.3,5610
CMT,20180313,9.84,9.84,9.84,9.84,600
CMT,20180312,9.8,9.8,9.3,9.8,480
CMT,20180309,9.23,9.85,9.23,9.23,1790
CMT,20180308,9.99,10.2,9.3,9.9,1200
CMT,20180307,9.4,9.99,9.4,9.99,1100
CMT,20180306,10.1,10.1,10.1,10.1,100
CMT,20180305,9.99,10.2,9.9,9.9,590
CMT,20180302,9.99,10.1,9.3,9.99,150
CMT,20180301,9.97,9.97,9.97,9.97,300
CMT,20180228,9.9,10.25,9.8,9.97,2360
CMT,20180227,9.99,10.5,9.2,10.3,1210
CMT,20180226,9.9,9.9,9.84,9.84,230
CMT,20180223,9.63,9.83,9.63,9.82,2070
CMT,20180222,10.35,10.35,10.35,10.35,330
CMT,20180221,10,10.4,10,10.35,560
CMT,20180213,9.8,10.4,9.8,10.4,120
CMT,20180212,9.99,10.35,9.2,10.2,2910
CMT,20180209,9.5,9.79,9.07,9.7,2500
CMT,20180208,9.26,9.86,9.26,9.75,550
CMT,20180207,9.98,10.2,9.6,9.95,640
CMT,20180206,9.98,10,9.9,9.9,160
CMT,20180205,9.1,9.9,9.1,9.79,800
CMT,20180202,9.6,9.98,9.3,9.3,3990
CMT,20180201,10,10,10,10,40
CMT,20180131,9.45,10,9.45,10,1570
CMT,20180130,9.45,9.45,9.45,9.45,20
CMT,20180129,9.45,10.1,9.45,9.45,1080
CMT,20180126,9.49,9.49,9.49,9.49,160
CMT,20180125,9.85,10.3,9.7,10.2,970
CMT,20180122,9.99,9.99,9.3,9.85,230
CMT,20180119,9.3,9.5,9.3,9.4,850
CMT,20180118,10,10,10,10,10
CMT,20180117,8.9,10.1,8.9,10,730
CMT,20180116,9.49,10.15,9.49,9.49,1590
CMT,20180115,9.28,10.5,9.28,10.2,820
CMT,20180112,9.69,9.96,9.69,9.96,900
CMT,20180111,9.3,9.8,9.27,9.7,1290
CMT,20180110,9.29,10.3,9.29,9.96,1000
CMT,20180109,9.98,9.98,9.3,9.98,980
CMT,20180108,10.3,10.3,9.3,9.98,380
CMT,20180105,10.3,10.5,9.3,10,530
CMT,20180104,9.31,10.3,9.3,9.99,5060
CMT,20180103,10.5,10.5,9.5,10,2460
CMT,20180102,9.72,9.9,9.72,9.9,230
CMT,20171229,10.4,10.45,9.31,10.45,3370
CMT,20171228,10.3,10.3,9.44,10,3080
CMT,20171227,10.4,10.4,9.3,10.15,680
CMT,20171226,9.54,10.5,9.54,10,1390
CMT,20171225,10.5,10.5,9.35,10.25,1780
CMT,20171222,9.63,10,9.63,10,80
CMT,20171221,10.35,10.35,10.35,10.35,20
CMT,20171220,9.72,9.72,9.72,9.72,350
CMT,20171219,10.2,10.45,9.68,10.45,2660
CMT,20171218,10.5,10.5,10,10.4,1130
CMT,20171215,10.5,10.5,9.64,10.1,130
CMT,20171214,,,,10.35,0
CMT,20171213,10.35,10.35,10.35,10.35,3030
CMT,20171212,10.5,10.5,9.44,10.15,3430
CMT,20171211,10.35,10.4,10.15,10.15,2490
CMT,20171208,9.68,10.15,9.68,10.15,410
CMT,20171207,9.5,10.8,9.5,10.4,1650
CMT,20171206,10.15,10.15,10.15,10.15,510
CMT,20171205,10.2,10.9,10.2,10.9,160
CMT,20171204,10.3,11,10.25,10.95,5510
CMT,20171201,10.25,11,10.25,11,1710
CMT,20171130,10,11.2,9.77,11,5000
CMT,20171129,10.7,10.7,9.86,10.5,1080
CMT,20171128,9.72,10.8,9.72,10.6,4550
CMT,20171127,11,11,10.45,10.45,320
CMT,20171124,10.25,11.2,10.25,11.2,920
CMT,20171123,11,11.1,10.35,11,1000
CMT,20171122,11.1,11.6,11.1,11.1,2090
CMT,20171121,11.95,11.95,11.15,11.9,660
CMT,20171120,11.95,11.95,11.95,11.95,10
CMT,20171117,10.7,12.3,10.7,12.3,1650
CMT,20171116,,,,11.5,0
CMT,20171115,10.8,11.55,10.1,11.5,2260
CMT,20171114,10.05,11,10.05,10.8,7280
CMT,20171113,10.8,10.8,10.8,10.8,130
CMT,20171110,,,,11.6,0
CMT,20171109,11.6,11.6,11.6,11.6,500
CMT,20171108,11.45,12.3,11.45,11.8,330
CMT,20171107,,,,12.3,0
CMT,20171106,,,,12.3,0
CMT,20171103,,,,12.3,0
CMT,20171102,,,,12.3,0
CMT,20171101,,,,12.3,0
CMT,20171031,12.15,13,12.15,12.3,1120
CMT,20171030,12,12.15,12,12.15,170
CMT,20171027,11.7,11.95,11.7,11.95,30
CMT,20171026,11.2,11.2,11.2,11.2,20
CMT,20171025,11.75,11.75,10.5,10.5,20
CMT,20171024,10.45,11,10.45,11,110
CMT,20171023,,,,11.2,0
CMT,20171020,11,12,11,11.2,630
CMT,20171019,11,11.75,10.25,11.4,990
CMT,20171018,10.9,11,10.55,11,1650
CMT,20171017,11.5,11.5,10.25,11.3,530
CMT,20171016,10.9,11,10.6,11,1220
CMT,20171013,9.89,11,9.89,10.9,6930
CMT,20171012,10.3,10.3,10.3,10.3,60
CMT,20171011,10.3,10.3,10.3,10.3,110
CMT,20171010,10.3,10.3,10.3,10.3,30
CMT,20171009,9.28,10.3,9.28,10.3,540
CMT,20171006,9.97,9.97,9.28,9.97,840
