<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CSV,20180713,27,28,27,28,46180
CSV,20180712,27,28.8,27,27,53220
CSV,20180711,29.75,29.75,28.25,29,7050
CSV,20180710,29.7,29.75,28.55,29.75,41730
CSV,20180709,30,30,28.5,29.75,11170
CSV,20180706,29,30.45,29,29.8,25140
CSV,20180705,30.65,30.65,30.5,30.5,40
CSV,20180704,30.6,30.7,30.5,30.7,5420
CSV,20180703,30.8,31.3,30.1,30.7,6500
CSV,20180702,32.2,32.2,31,31.5,5300
CSV,20180629,31,32,31,32,6190
CSV,20180628,30.2,32.95,30.2,32.4,9010
CSV,20180627,32.1,32.5,32.1,32.4,5950
CSV,20180626,32.95,32.95,32,32.2,12390
CSV,20180625,33.4,33.4,32.3,32.85,15180
CSV,20180622,33,33.1,32.2,32.9,7490
CSV,20180621,32.9,32.9,32.9,32.9,8500
CSV,20180620,33.45,33.5,32.3,33.4,16150
CSV,20180619,32.1,33.55,31.8,33.5,26710
CSV,20180618,33.9,34.1,32.8,33.7,23680
CSV,20180615,34,34.45,33,33.6,41000
CSV,20180614,33.85,34,33,34,53380
CSV,20180613,33.35,33.35,33,33.25,30900
CSV,20180612,33.7,33.7,32.6,33.2,26940
CSV,20180611,32.5,34,32.5,33.7,28390
CSV,20180608,34.4,34.4,33.5,34.3,28810
CSV,20180607,34.2,34.9,33.7,34.3,23870
CSV,20180606,31.9,34.1,31.9,34.1,97970
CSV,20180605,32.2,32.45,31.8,32.2,34660
CSV,20180604,32.4,32.6,31.65,32.45,57350
CSV,20180601,31.8,32.4,31.8,32.4,25430
CSV,20180531,32.05,32.5,31,31.5,66190
CSV,20180530,32.8,33,32.1,32.7,46120
CSV,20180529,34,34,32.6,33.5,65740
CSV,20180528,35,35,32.6,34,43170
CSV,20180525,33.3,35.65,33.3,35,28980
CSV,20180524,34.8,34.8,34.52,34.8,35420
CSV,20180523,34.62,35.18,34.05,34.8,44530
CSV,20180522,35.64,35.64,34.66,34.71,51980
CSV,20180521,35.74,35.74,34.99,35.55,42910
CSV,20180518,35.74,35.74,34.99,35.27,25360
CSV,20180517,35.93,36.21,35.32,35.74,115730
CSV,20180516,36.02,36.02,35.27,35.93,37440
