<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CTA,20180713,,,,0.5,0
CTA,20180712,,,,0.5,0
CTA,20180711,,,,0.5,0
CTA,20180710,,,,0.5,0
CTA,20180709,,,,0.5,0
CTA,20180706,,,,0.5,0
CTA,20180705,,,,0.5,0
CTA,20180704,,,,0.5,0
CTA,20180703,,,,0.5,0
CTA,20180702,,,,0.5,0
CTA,20180629,,,,0.5,0
CTA,20180628,,,,0.5,0
CTA,20180627,,,,0.5,0
CTA,20180626,,,,0.5,0
CTA,20180625,,,,0.5,0
CTA,20180622,,,,0.5,0
CTA,20180621,,,,0.5,0
CTA,20180620,,,,0.5,0
CTA,20180619,,,,0.5,0
CTA,20180618,,,,0.5,0
CTA,20180615,0.5,0.5,0.5,0.5,500
CTA,20180614,,,,0.6,0
CTA,20180613,,,,0.6,0
CTA,20180612,,,,0.6,0
CTA,20180611,,,,0.6,0
CTA,20180608,,,,0.6,0
CTA,20180607,,,,0.6,0
CTA,20180606,,,,0.6,0
CTA,20180605,,,,0.6,0
CTA,20180604,,,,0.6,0
CTA,20180601,0.6,0.6,0.6,0.6,500
CTA,20180531,,,,0.5,0
CTA,20180530,,,,0.5,0
CTA,20180529,,,,0.5,0
CTA,20180528,,,,0.5,0
CTA,20180525,,,,0.5,0
CTA,20180524,,,,0.5,0
CTA,20180523,,,,0.5,0
CTA,20180522,,,,0.5,0
CTA,20180521,,,,0.5,0
CTA,20180518,,,,0.5,0
CTA,20180517,,,,0.5,0
CTA,20180516,,,,0.5,0
CTA,20180515,,,,0.5,0
CTA,20180514,,,,0.5,0
CTA,20180511,,,,0.5,0
CTA,20180510,,,,0.5,0
CTA,20180509,,,,0.5,0
CTA,20180508,,,,0.5,0
CTA,20180507,,,,0.5,0
CTA,20180504,,,,0.5,0
CTA,20180503,,,,0.5,0
CTA,20180502,,,,0.5,0
CTA,20180427,,,,0.5,0
CTA,20180426,,,,0.5,0
CTA,20180424,,,,0.5,0
CTA,20180423,,,,0.5,0
CTA,20180420,,,,0.5,0
CTA,20180419,,,,0.5,0
CTA,20180418,,,,0.5,0
CTA,20180417,,,,0.5,0
CTA,20180416,,,,0.5,0
CTA,20180413,,,,0.5,0
CTA,20180412,,,,0.5,0
CTA,20180411,,,,0.5,0
CTA,20180410,,,,0.5,0
CTA,20180409,,,,0.5,0
CTA,20180406,,,,0.5,0
CTA,20180405,,,,0.5,0
CTA,20180404,,,,0.5,0
CTA,20180403,,,,0.5,0
CTA,20180402,,,,0.5,0
CTA,20180330,0.5,0.5,0.5,0.5,10000
CTA,20180329,,,,0.5,0
CTA,20180328,,,,0.5,0
CTA,20180327,,,,0.5,0
CTA,20180326,,,,0.5,0
CTA,20180323,0.5,0.5,0.5,0.5,3000
CTA,20180322,,,,0.6,0
CTA,20180321,,,,0.6,0
CTA,20180320,,,,0.6,0
CTA,20180319,,,,0.6,0
CTA,20180316,0.6,0.6,0.6,0.6,500
CTA,20180315,,,,0.7,0
CTA,20180314,,,,0.7,0
CTA,20180313,,,,0.7,0
CTA,20180312,,,,0.7,0
CTA,20180309,0.7,0.7,0.7,0.7,100
CTA,20180308,,,,0.7,0
CTA,20180307,,,,0.7,0
CTA,20180306,,,,0.7,0
CTA,20180305,,,,0.7,0
CTA,20180302,,,,0.7,0
CTA,20180301,,,,0.7,0
CTA,20180228,,,,0.7,0
CTA,20180227,,,,0.7,0
CTA,20180226,,,,0.7,0
CTA,20180223,0.7,0.7,0.7,0.7,100
CTA,20180222,,,,0.8,0
CTA,20180221,,,,0.8,0
CTA,20180213,,,,0.8,0
CTA,20180212,,,,0.8,0
CTA,20180209,1,1,0.8,0.8,300
CTA,20180208,,,,0.9,0
CTA,20180207,,,,0.9,0
CTA,20180206,,,,0.9,0
CTA,20180205,,,,0.9,0
CTA,20180202,0.9,0.9,0.9,0.9,8400
CTA,20180201,,,,1,0
CTA,20180131,,,,1,0
CTA,20180130,,,,1,0
CTA,20180129,,,,1,0
CTA,20180126,1,1,1,1,60
CTA,20180125,,,,1,0
CTA,20180122,,,,1,0
CTA,20180119,0.9,1,0.9,1,1300
CTA,20180118,,,,1,0
CTA,20180117,,,,1,0
CTA,20180116,,,,1,0
CTA,20180115,,,,1,0
CTA,20180112,1.1,1.1,1,1,18900
CTA,20180111,,,,1.1,0
CTA,20180110,,,,1.1,0
CTA,20180109,,,,1.1,0
CTA,20180108,,,,1.1,0
CTA,20180105,1.1,1.1,1.1,1.1,10
CTA,20180104,,,,1.1,0
CTA,20180103,,,,1.1,0
CTA,20180102,,,,1.1,0
CTA,20171229,1.1,1.2,1.1,1.1,700
CTA,20171228,,,,1.2,0
CTA,20171227,,,,1.2,0
CTA,20171226,,,,1.2,0
CTA,20171225,,,,1.2,0
CTA,20171222,,,,1.2,0
CTA,20171221,,,,1.2,0
CTA,20171220,,,,1.2,0
CTA,20171219,,,,1.2,0
CTA,20171218,,,,1.2,0
CTA,20171215,1,1.2,1,1.2,20800
CTA,20171214,,,,1.1,0
CTA,20171213,,,,1.1,0
CTA,20171212,,,,1.1,0
CTA,20171211,,,,1.1,0
CTA,20171208,1.1,1.1,1.1,1.1,13255
CTA,20171207,,,,1.2,0
CTA,20171206,,,,1.2,0
CTA,20171205,,,,1.2,0
CTA,20171204,,,,1.2,0
CTA,20171201,1.2,1.2,1.2,1.2,1700
CTA,20171130,,,,1.3,0
CTA,20171129,,,,1.3,0
CTA,20171128,,,,1.3,0
CTA,20171127,,,,1.3,0
CTA,20171124,,,,1.3,0
CTA,20171123,,,,1.3,0
CTA,20171122,,,,1.3,0
CTA,20171121,,,,1.3,0
CTA,20171120,,,,1.3,0
CTA,20171117,,,,1.3,0
CTA,20171116,,,,1.3,0
CTA,20171115,,,,1.3,0
CTA,20171114,,,,1.3,0
CTA,20171113,,,,1.3,0
CTA,20171110,,,,1.3,0
CTA,20171109,,,,1.3,0
CTA,20171108,,,,1.3,0
CTA,20171107,,,,1.3,0
CTA,20171106,,,,1.3,0
CTA,20171103,1.3,1.3,1.3,1.3,7300
CTA,20171102,,,,1.4,0
CTA,20171101,,,,1.4,0
CTA,20171031,,,,1.4,0
CTA,20171030,,,,1.4,0
CTA,20171027,1.4,1.4,1.4,1.4,200
CTA,20171026,1.4,1.5,1.4,1.4,900
CTA,20171025,1.4,1.5,1.4,1.5,800
CTA,20171024,1.4,1.4,1.4,1.4,4400
CTA,20171023,1.5,1.5,1.5,1.5,350
CTA,20171020,1.6,1.7,1.6,1.6,4415
CTA,20171019,,,,1.7,0
CTA,20171018,,,,1.7,0
CTA,20171017,,,,1.7,0
CTA,20171016,1.7,1.7,1.7,1.7,170
CTA,20171013,,,,1.7,0
CTA,20171012,1.5,1.7,1.5,1.7,3100
CTA,20171011,1.6,1.6,1.6,1.6,1400
CTA,20171010,,,,1.7,0
CTA,20171009,,,,1.7,0
CTA,20171006,,,,1.7,0
CTA,20171005,,,,1.7,0
CTA,20171004,,,,1.7,0
CTA,20171003,,,,1.7,0
CTA,20171002,1.6,1.7,1.6,1.7,3100
CTA,20170929,1.7,1.7,1.7,1.7,242
