<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CTC,20180713,,,,4.7,0
CTC,20180712,,,,4.7,0
CTC,20180711,4.3,4.7,4.3,4.7,500
CTC,20180710,,,,4.3,0
CTC,20180709,4.3,4.3,4.3,4.3,100
CTC,20180706,,,,4.2,0
CTC,20180705,4.2,4.2,4.2,4.2,500
CTC,20180704,,,,4.6,0
CTC,20180703,4.6,4.6,4.6,4.6,100
CTC,20180702,4.2,4.4,4.2,4.2,1850
CTC,20180629,,,,4.2,0
CTC,20180628,4.2,4.2,4.2,4.2,400
CTC,20180627,4.6,4.6,4.6,4.6,100
CTC,20180626,,,,4.2,0
CTC,20180625,,,,4.2,0
CTC,20180622,,,,4.2,0
CTC,20180621,,,,4.2,0
CTC,20180620,,,,4.2,0
CTC,20180619,,,,4.2,0
CTC,20180618,,,,4.2,0
CTC,20180615,,,,4.2,0
CTC,20180614,,,,4.2,0
CTC,20180613,,,,4.2,0
CTC,20180612,,,,4.2,0
CTC,20180611,,,,4.2,0
CTC,20180608,,,,4.2,0
CTC,20180607,,,,4.2,0
CTC,20180606,,,,4.2,0
CTC,20180605,,,,4.2,0
CTC,20180604,,,,4.2,0
CTC,20180601,,,,4.2,0
CTC,20180531,,,,4.2,0
CTC,20180530,,,,4.2,0
CTC,20180529,,,,4.2,0
CTC,20180528,,,,4.2,0
CTC,20180525,4.2,4.2,4.2,4.2,200
CTC,20180524,,,,3.9,0
CTC,20180523,,,,3.9,0
CTC,20180522,,,,3.9,0
CTC,20180521,,,,3.9,0
CTC,20180518,,,,3.9,0
CTC,20180517,,,,3.9,0
CTC,20180516,,,,3.9,0
CTC,20180515,,,,3.9,0
CTC,20180514,,,,3.9,0
CTC,20180511,,,,3.9,0
CTC,20180510,,,,3.9,0
CTC,20180509,,,,3.9,0
CTC,20180508,,,,3.9,0
CTC,20180507,,,,3.9,0
CTC,20180504,,,,3.9,0
CTC,20180503,,,,3.9,0
CTC,20180502,,,,3.9,0
CTC,20180427,,,,3.9,0
CTC,20180426,,,,3.9,0
CTC,20180424,,,,3.9,0
CTC,20180423,,,,3.9,0
CTC,20180420,,,,3.9,0
CTC,20180419,,,,3.9,0
CTC,20180418,,,,3.9,0
CTC,20180417,,,,3.9,0
CTC,20180416,,,,3.9,0
CTC,20180413,,,,3.9,0
CTC,20180412,,,,3.9,0
CTC,20180411,,,,3.9,0
CTC,20180410,,,,3.9,0
CTC,20180409,,,,3.9,0
CTC,20180406,,,,3.9,0
CTC,20180405,,,,3.9,0
CTC,20180404,,,,3.9,0
CTC,20180403,,,,3.9,0
