<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CVT,20180713,22.9,23.75,22.9,23.5,353310
CVT,20180712,22.9,23.5,21.9,22.9,345800
CVT,20180711,23.7,23.7,22.6,22.6,597920
CVT,20180710,24.7,24.85,23.9,24.25,414040
CVT,20180709,24.05,24.95,24,24.7,576680
CVT,20180706,22.5,23.9,21.3,23.5,802150
CVT,20180705,24,24.3,22.8,22.8,735640
CVT,20180704,24,24.65,23.7,24.5,304770
CVT,20180703,26.1,26.1,24.15,24.15,1060430
CVT,20180702,27.9,27.9,25.95,25.95,770580
CVT,20180629,28.2,29,27.8,27.9,377150
CVT,20180628,29.3,29.3,28.2,28.2,229670
CVT,20180627,29.9,29.9,29.25,29.3,132790
CVT,20180626,29.5,29.9,29.4,29.6,118770
CVT,20180625,29.9,30.5,29.8,29.8,203500
CVT,20180622,29.2,29.75,29.2,29.6,178160
CVT,20180621,30.4,30.4,29.5,29.5,158540
CVT,20180620,29.6,30.2,29.5,30.2,252050
CVT,20180619,30.7,30.7,29.25,29.5,804660
CVT,20180618,32.35,32.6,31.4,31.4,303810
CVT,20180615,32,32.85,31.9,32.5,223440
CVT,20180614,32.2,33.4,32.2,32.2,480850
CVT,20180613,31.4,32.45,31.4,32.45,448150
CVT,20180612,31.6,32,30.7,31.4,345920
CVT,20180611,31,32.3,30.6,32.1,480680
CVT,20180608,29.9,30.9,29.7,30.8,211950
CVT,20180607,30.85,30.9,30,30,238970
CVT,20180606,30.35,31.05,30.1,30.55,177990
CVT,20180605,30.9,31.4,30.4,30.5,173200
CVT,20180604,29.15,30.7,28.8,30.7,381580
CVT,20180601,29.4,29.65,28.7,29.2,244810
CVT,20180531,28.5,29.4,28.3,29.4,160020
CVT,20180530,28.3,29,28.3,28.9,200420
CVT,20180529,27.85,29.3,27.7,28.5,351320
CVT,20180528,29.5,29.5,27.85,27.85,685500
CVT,20180525,30.55,31,29.9,29.9,154700
CVT,20180524,29.5,31.5,29.5,30.9,315440
CVT,20180523,29.3,29.5,28.5,29.5,513270
CVT,20180522,30.5,30.6,29.3,29.5,535520
CVT,20180521,32.5,32.5,30.75,30.75,268330
CVT,20180518,32.7,33.4,32,32.2,389770
CVT,20180517,34.2,35.1,32.5,32.8,393680
CVT,20180516,35.2,35.6,34.5,34.5,215610
CVT,20180515,36.8,36.8,35.35,35.65,307950
CVT,20180514,35.19,35.19,34.59,35,355980
CVT,20180511,35.15,35.37,34.89,35.15,248870
CVT,20180510,35.82,35.9,35,35.15,129280
CVT,20180509,36.12,36.12,35.3,35.71,229290
CVT,20180508,36.26,36.26,35.81,36.12,210350
CVT,20180507,35.75,36.27,35.45,36.26,218540
CVT,20180504,35.96,36.19,35.44,35.97,94170
CVT,20180503,35.37,35.9,35.3,35.74,176510
CVT,20180502,34.56,35.9,34.56,35.3,226390
CVT,20180427,35,35.37,34.48,34.63,353850
CVT,20180426,36.79,36.86,34.26,35,252490
CVT,20180424,36.86,37.01,36.49,36.79,164060
CVT,20180423,36.79,37.98,36.79,36.86,589880
CVT,20180420,36.49,37.16,36.19,36.86,316620
CVT,20180419,37.09,37.09,36.34,36.64,287070
CVT,20180418,36.48,37.23,36.48,36.64,211120
CVT,20180417,36.64,37.16,36.12,36.41,352270
CVT,20180416,36.63,37.6,36.19,36.64,227590
CVT,20180413,37.46,37.46,36.27,36.93,240830
CVT,20180412,36.63,37.23,36.48,37.01,122680
CVT,20180411,37.98,38.13,36.64,37.08,293310
CVT,20180410,36.86,37.98,36.56,37.61,445920
CVT,20180409,37.83,37.83,36.87,36.86,479270
CVT,20180406,38.05,38.05,37.23,37.61,381300
CVT,20180405,37.53,38.13,37.23,37.75,241640
CVT,20180404,37.23,37.9,37.05,37.53,386670
