<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CX8,20180713,,,,9.5,0
CX8,20180712,,,,9.5,0
CX8,20180711,,,,9.5,0
CX8,20180710,,,,9.5,0
CX8,20180709,,,,9.5,0
CX8,20180706,,,,9.5,0
CX8,20180705,,,,9.5,0
CX8,20180704,,,,9.5,0
CX8,20180703,9.5,9.5,9.5,9.5,115
CX8,20180702,,,,9.5,0
CX8,20180629,,,,9.5,0
CX8,20180628,,,,9.5,0
CX8,20180627,,,,9.5,0
CX8,20180626,,,,9.5,0
CX8,20180625,,,,9.5,0
CX8,20180622,,,,9.5,0
CX8,20180621,,,,9.5,0
CX8,20180620,,,,9.5,0
CX8,20180619,,,,9.5,0
CX8,20180618,,,,9.5,0
CX8,20180615,,,,9.5,0
CX8,20180614,,,,9.5,0
CX8,20180613,,,,9.5,0
CX8,20180612,,,,9.5,0
CX8,20180611,,,,9.5,0
CX8,20180608,,,,9.5,0
CX8,20180607,,,,9.5,0
CX8,20180606,,,,9.5,0
CX8,20180605,,,,9.5,0
CX8,20180604,,,,9.5,0
CX8,20180601,,,,9.5,0
CX8,20180531,,,,9.5,0
CX8,20180530,,,,9.5,0
CX8,20180529,,,,9.5,0
CX8,20180528,,,,9.5,0
CX8,20180525,,,,9.5,0
CX8,20180524,,,,9.5,0
CX8,20180523,,,,9.5,0
CX8,20180522,,,,9.5,0
CX8,20180521,,,,9.5,0
CX8,20180518,,,,9.5,0
CX8,20180517,,,,9.5,0
CX8,20180516,,,,9.5,0
CX8,20180515,,,,9.5,0
CX8,20180514,,,,9.5,0
CX8,20180511,,,,9.5,0
CX8,20180510,,,,9.5,0
CX8,20180509,,,,9.5,0
CX8,20180508,,,,9.5,0
CX8,20180507,,,,9.5,0
CX8,20180504,,,,9.5,0
CX8,20180503,,,,9.5,0
CX8,20180502,9.5,9.5,9.5,9.5,74675
CX8,20180427,,,,10.5,0
CX8,20180426,,,,10.5,0
CX8,20180424,10.5,10.5,10.5,10.5,7976
CX8,20180423,,,,10,0
CX8,20180420,,,,10,0
CX8,20180419,,,,10,0
CX8,20180418,,,,10,0
CX8,20180417,,,,10,0
CX8,20180416,,,,10,0
CX8,20180413,,,,10,0
CX8,20180412,,,,10,0
CX8,20180411,,,,10,0
CX8,20180410,,,,10,0
CX8,20180409,,,,10,0
CX8,20180406,,,,10,0
CX8,20180405,,,,10,0
CX8,20180404,,,,10,0
CX8,20180403,10,10,10,10,1500
CX8,20180402,,,,10,0
CX8,20180330,,,,10,0
CX8,20180329,10,10,10,10,10000
CX8,20180328,,,,10,0
CX8,20180327,,,,10,0
CX8,20180326,,,,10,0
CX8,20180323,,,,10,0
CX8,20180322,,,,10,0
CX8,20180321,,,,10,0
CX8,20180320,10,10,10,10,100
CX8,20180319,,,,9.9,0
CX8,20180316,,,,9.9,0
CX8,20180315,,,,9.9,0
CX8,20180314,,,,9.9,0
CX8,20180313,,,,9.9,0
CX8,20180312,,,,9.9,0
CX8,20180309,,,,9.9,0
CX8,20180308,,,,9.9,0
CX8,20180307,,,,9.9,0
CX8,20180306,,,,9.9,0
CX8,20180305,,,,9.9,0
CX8,20180302,,,,9.9,0
CX8,20180301,,,,9.9,0
CX8,20180228,,,,9.9,0
CX8,20180227,,,,9.9,0
CX8,20180226,,,,9.9,0
CX8,20180223,,,,9.9,0
CX8,20180222,,,,9.9,0
CX8,20180221,,,,9.9,0
CX8,20180213,,,,9.9,0
CX8,20180212,,,,9.9,0
CX8,20180209,,,,9.9,0
CX8,20180208,9.9,9.9,9.9,9.9,30
CX8,20180207,9.9,9.9,9.9,9.9,900
CX8,20180206,9.9,9.9,9.9,9.9,300
CX8,20180205,,,,9.54,0
CX8,20180202,,,,9.54,0
CX8,20180201,,,,9.54,0
CX8,20180131,,,,9.54,0
CX8,20180130,,,,9.54,0
CX8,20180129,,,,9.54,0
CX8,20180126,,,,9.54,0
CX8,20180125,,,,9.54,0
CX8,20180122,,,,9.54,0
CX8,20180119,,,,9.54,0
CX8,20180118,9.54,9.54,9.54,9.54,300
CX8,20180117,,,,9.54,0
CX8,20180116,,,,9.54,0
CX8,20180115,,,,9.54,0
CX8,20180112,,,,9.54,0
CX8,20180111,,,,9.54,0
CX8,20180110,,,,9.54,0
CX8,20180109,,,,9.54,0
CX8,20180108,,,,9.54,0
CX8,20180105,9.54,9.54,9.54,9.54,300
CX8,20180104,,,,9.54,0
CX8,20180103,9.55,9.55,9.55,9.54,700
CX8,20180102,,,,9.16,0
CX8,20171229,,,,9.16,0
CX8,20171228,9.54,9.54,9.15,9.16,800
CX8,20171227,9.55,9.55,9.55,9.54,200
CX8,20171226,9.44,9.44,9.44,9.45,200
CX8,20171225,,,,9.54,0
CX8,20171222,,,,9.54,0
CX8,20171221,9.54,9.54,9.54,9.54,100
CX8,20171220,,,,9.64,0
CX8,20171219,9.54,10.41,9.44,9.64,53647
CX8,20171218,9.45,9.55,9.45,9.54,400
CX8,20171215,9.44,9.44,9.35,9.45,400
CX8,20171214,,,,8.77,0
CX8,20171213,,,,8.77,0
CX8,20171212,,,,8.77,0
CX8,20171211,,,,8.77,0
CX8,20171208,,,,8.77,0
CX8,20171207,,,,8.77,0
CX8,20171206,,,,8.77,0
CX8,20171205,,,,8.77,0
CX8,20171204,8.77,8.77,8.77,8.77,100
CX8,20171201,,,,8.07,0
CX8,20171130,,,,8.07,0
CX8,20171129,,,,8.07,0
CX8,20171128,,,,8.07,0
CX8,20171127,8.06,8.06,8.06,8.07,100
CX8,20171124,,,,7.64,0
CX8,20171123,,,,7.64,0
CX8,20171122,7.89,7.89,7.64,7.64,200
CX8,20171121,7.64,7.64,7.64,7.64,1000
CX8,20171120,7.65,7.65,7.65,7.64,1500
CX8,20171117,7.9,7.9,7.9,7.9,100
CX8,20171116,,,,8.32,0
CX8,20171115,,,,8.32,0
CX8,20171114,8.32,8.32,8.32,8.32,100
CX8,20171113,8.32,8.32,8.32,8.32,100
CX8,20171110,,,,8.66,0
CX8,20171109,8.49,8.66,8.49,8.66,3278
CX8,20171108,,,,7.9,0
CX8,20171107,,,,7.9,0
CX8,20171106,,,,7.9,0
CX8,20171103,,,,7.9,0
CX8,20171102,,,,7.9,0
CX8,20171101,,,,7.9,0
CX8,20171031,,,,7.9,0
CX8,20171030,7.9,7.9,7.9,7.9,100
CX8,20171027,8.07,8.07,8.07,8.07,100
CX8,20171026,,,,8.32,0
CX8,20171025,,,,8.32,0
CX8,20171024,,,,8.32,0
CX8,20171023,,,,8.32,0
CX8,20171020,,,,8.32,0
CX8,20171019,,,,8.32,0
CX8,20171018,,,,8.32,0
CX8,20171017,,,,8.32,0
CX8,20171016,8.32,8.32,8.32,8.32,500
CX8,20171013,8.32,8.32,8.32,8.32,300
CX8,20171012,8.49,8.49,8.32,8.32,14443
CX8,20171011,8.32,8.32,8.32,8.32,1000
CX8,20171010,,,,8.49,0
CX8,20171009,,,,8.49,0
CX8,20171006,,,,8.49,0
CX8,20171005,8.49,8.49,8.49,8.49,2500
CX8,20171004,,,,8.07,0
CX8,20171003,,,,8.07,0
CX8,20171002,,,,8.07,0
CX8,20170929,8.06,8.06,8.06,8.07,200
CX8,20170928,,,,7.64,0
CX8,20170927,7.64,7.64,7.64,7.64,100
CX8,20170926,,,,7.64,0
CX8,20170925,,,,7.64,0
CX8,20170922,,,,7.64,0
CX8,20170921,7.64,7.64,7.64,7.64,100
CX8,20170920,,,,7.64,0
CX8,20170919,,,,7.64,0
CX8,20170918,7.64,7.64,7.64,7.64,100
CX8,20170915,,,,7.22,0
CX8,20170914,,,,7.22,0
CX8,20170913,7.22,7.22,7.22,7.22,100
CX8,20170912,7.47,7.47,7.47,7.47,100
CX8,20170911,7.65,7.65,7.65,7.64,100
CX8,20170908,,,,7.73,0
CX8,20170907,,,,7.73,0
CX8,20170906,,,,7.73,0
CX8,20170905,,,,7.73,0
CX8,20170901,,,,7.73,0
CX8,20170831,,,,7.73,0
CX8,20170830,,,,7.73,0
CX8,20170829,,,,7.73,0
CX8,20170828,,,,7.73,0
CX8,20170825,,,,7.73,0
CX8,20170824,,,,7.73,0
CX8,20170823,7.73,7.73,7.73,7.73,100
CX8,20170822,,,,7.73,0
CX8,20170821,7.73,7.73,7.73,7.73,100
CX8,20170818,,,,8.41,0
CX8,20170817,8.41,8.41,8.41,8.41,200
CX8,20170816,,,,8.41,0
CX8,20170815,8.32,8.4,8.32,8.41,300
CX8,20170814,7.9,8.32,7.9,8.32,1500
CX8,20170811,,,,7.9,0
CX8,20170810,,,,7.9,0
CX8,20170809,8.07,8.07,7.9,7.9,200
CX8,20170808,8.41,8.49,8.41,8.49,200
CX8,20170807,,,,8.49,0
CX8,20170804,8.4,8.49,8.4,8.49,300
CX8,20170803,8.33,8.33,8.33,8.32,300
CX8,20170802,,,,8.41,0
CX8,20170801,,,,8.41,0
CX8,20170731,,,,8.41,0
CX8,20170728,,,,8.41,0
CX8,20170727,,,,8.41,0
CX8,20170726,8.41,8.41,8.41,8.41,1000
CX8,20170725,8.4,8.49,8.4,8.49,10500
CX8,20170724,,,,8.32,0
CX8,20170721,8.32,8.32,8.32,8.32,100
CX8,20170720,,,,8.32,0
CX8,20170719,8.32,8.32,8.32,8.32,100
CX8,20170718,8.49,8.49,8.49,8.49,7000
CX8,20170717,,,,8.24,0
CX8,20170714,,,,8.24,0
CX8,20170713,,,,8.24,0
CX8,20170712,8.24,8.24,8.24,8.24,200
CX8,20170711,,,,7.73,0
CX8,20170710,7.73,7.73,7.73,7.73,100
CX8,20170707,,,,8.15,0
CX8,20170706,8.15,8.15,8.15,8.15,200
CX8,20170705,7.81,7.81,7.73,7.73,200
CX8,20170704,,,,8.15,0
CX8,20170703,8.15,8.15,8.15,8.15,100
CX8,20170630,,,,7.81,0
CX8,20170629,,,,7.81,0
CX8,20170628,,,,7.81,0
CX8,20170627,,,,7.81,0
CX8,20170626,7.82,7.82,7.82,7.81,300
CX8,20170623,,,,8.24,0
CX8,20170622,8.24,8.24,8.24,8.24,100
CX8,20170621,,,,8.32,0
CX8,20170620,8.23,8.32,8.23,8.32,200
CX8,20170619,7.65,7.65,7.65,7.64,100
CX8,20170616,7.73,7.73,7.73,7.73,100
CX8,20170615,7.73,8.32,7.73,8.32,400
CX8,20170614,8.32,8.32,8.32,8.32,100
CX8,20170613,8.24,8.32,8.24,8.32,200
CX8,20170612,8.24,8.24,8.24,8.24,200
