<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
D2D,20180713,64.7,65.4,64,65.4,76120
D2D,20180712,64,64.9,63.2,64.9,75830
D2D,20180711,64,64.8,63.6,64,44350
D2D,20180710,64,65.8,64,65.8,86880
D2D,20180709,64.6,64.6,64,64.3,62130
D2D,20180706,64.3,66.1,64,64.3,41260
D2D,20180705,65,65.1,64.1,64.1,30830
D2D,20180704,66,66.9,65,65,26410
D2D,20180703,68.3,68.3,66,67,9200
D2D,20180702,68.6,68.6,65.5,68.3,31860
D2D,20180629,66,68.6,65.1,68.6,34190
D2D,20180628,66,66.6,66,66.5,22660
D2D,20180627,66.9,66.9,65.1,66.5,17810
D2D,20180626,67,67.1,66,66.2,31770
D2D,20180625,67.5,67.5,65.6,67,61560
D2D,20180622,66,67.7,66,67.7,79800
D2D,20180621,67.1,68,66,68,24940
D2D,20180620,67,68.5,65.1,68,15620
D2D,20180619,68,70,67.1,68,3050
D2D,20180618,65.07,66.5,65.07,66.5,44180
D2D,20180615,64.3,65.44,63.63,65.45,67220
D2D,20180614,63.63,65.93,63.63,65.54,82300
D2D,20180613,66.6,66.6,64.11,65.64,36800
D2D,20180612,67.07,67.07,65.73,65.74,13930
D2D,20180611,67.17,67.17,66.02,67.07,2260
D2D,20180608,66.02,67.36,66.02,67.36,50730
D2D,20180607,68.32,68.32,66.02,67.84,53650
D2D,20180606,68.41,68.41,66.97,68.32,39210
D2D,20180605,68.41,68.51,64.58,68.41,73110
D2D,20180604,69.85,69.85,66.98,68.41,56010
D2D,20180601,69.85,70.71,68.89,70.71,17150
D2D,20180531,68.89,70.52,68.03,70.52,6510
D2D,20180530,69.37,70.52,69.37,70.52,6300
D2D,20180529,69.85,70.62,69.85,70.52,5710
D2D,20180528,70.81,70.81,69.38,70.33,7440
D2D,20180525,70.81,71.29,69.66,71.29,19970
D2D,20180524,69.94,70.8,69.85,70.81,18800
D2D,20180523,70.81,71.1,69.37,71.09,51540
D2D,20180522,69.94,74.25,69.94,70.81,23520
D2D,20180521,75.59,75.59,71.76,71.76,35380
D2D,20180518,70.23,75.11,70.23,72.72,9900
D2D,20180517,73.68,75.21,69.95,72.72,25580
D2D,20180516,75.11,75.5,72.82,73.68,22760
D2D,20180515,72.72,75.11,71.76,73.2,44640
D2D,20180514,74.16,75.12,70.81,75.11,5880
D2D,20180511,71.28,74.15,69.85,74.16,17640
D2D,20180510,71.76,72.72,70.81,72.43,33030
D2D,20180509,72.72,73.2,72.24,72.72,32560
D2D,20180508,73.68,74.83,73.68,73.68,12110
D2D,20180507,73.68,74.92,73.68,73.68,7600
D2D,20180504,72.72,75.21,72.72,75.02,45280
D2D,20180503,73.68,75.31,72.72,72.72,14820
D2D,20180502,72.72,75.5,72.72,75.5,35740
D2D,20180427,72.24,73.68,71.28,73.39,25330
D2D,20180426,73.68,73.68,72.24,72.24,32510
D2D,20180424,74.63,74.63,73.67,73.68,2510
D2D,20180423,73.68,75.59,73.68,74.44,9760
D2D,20180420,72.81,76.45,72.72,75.59,42500
D2D,20180419,74.63,75.01,73.77,74.63,24680
D2D,20180418,73.77,75.11,73.77,74.63,12820
D2D,20180417,73.67,75.59,73.58,74.63,20430
D2D,20180416,75.88,75.88,72.72,75.11,61360
D2D,20180413,74.15,75.88,74.15,75.88,13670
D2D,20180412,74.63,76.45,73.68,75.11,51300
D2D,20180411,76.07,78.75,75.69,76.07,62180
D2D,20180410,75.59,78.27,75.11,78.27,13810
D2D,20180409,76.73,78.46,75.59,78.27,38430
D2D,20180406,72.72,77.51,70.81,77.5,100800
D2D,20180405,71.86,74.45,71.86,72.82,16680
D2D,20180404,74.64,74.64,71.86,73.68,47170
D2D,20180403,72.72,74.54,72.72,74.35,33760
