<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DAH,20180713,5.99,5.99,5.85,5.88,335740
DAH,20180712,5.94,6.2,5.94,5.94,779900
DAH,20180711,5.86,6.1,5.76,6,405890
DAH,20180710,6.22,6.26,5.96,5.96,262610
DAH,20180709,6.1,6.5,5.98,6.25,1096520
DAH,20180706,5.79,6.19,5.72,6.19,1757370
DAH,20180705,5.6,5.86,5.51,5.79,266530
DAH,20180704,5.59,5.8,5.45,5.6,412100
DAH,20180703,5.24,5.59,5.23,5.58,528480
DAH,20180702,5.23,5.25,5.21,5.23,192260
DAH,20180629,5.23,5.23,5.18,5.23,86710
DAH,20180628,5.24,5.25,5.21,5.22,395340
DAH,20180627,5.23,5.26,5.2,5.22,160430
DAH,20180626,5.21,5.24,5.21,5.22,235220
DAH,20180625,5.23,5.25,5.21,5.22,439240
DAH,20180622,5.2,5.27,5.2,5.24,157880
DAH,20180621,5.22,5.28,5.2,5.24,186170
DAH,20180620,5.2,5.25,5.15,5.24,182820
DAH,20180619,5.19,5.23,5.08,5.23,544150
DAH,20180618,5.21,5.21,5.1,5.2,103760
DAH,20180615,5.22,5.22,5.1,5.2,291990
DAH,20180614,5.27,5.32,5.2,5.22,255840
DAH,20180613,5.23,5.3,5.18,5.29,314970
DAH,20180612,5.2,5.25,5.1,5.25,403720
DAH,20180611,5.3,5.4,5.2,5.23,173960
DAH,20180608,5.45,5.73,5.4,5.42,2438000
DAH,20180607,5.13,5.45,5.1,5.45,1024660
DAH,20180606,5.06,5.14,5.05,5.13,235900
DAH,20180605,5.12,5.21,5.1,5.11,138430
DAH,20180604,5.18,5.53,5.1,5.15,85390
DAH,20180601,5.09,5.45,5.05,5.18,756810
DAH,20180531,5.1,5.2,5,5.1,1577380
DAH,20180530,5,5.1,4.9,5.1,262980
DAH,20180529,4.97,5,4.9,5,29100
DAH,20180528,4.96,4.99,4.95,4.98,479360
DAH,20180525,4.95,5.04,4.9,4.96,87280
DAH,20180524,4.97,5,4.8,4.95,104490
DAH,20180523,4.98,4.98,4.8,4.97,6970
DAH,20180522,5,5,4.85,4.85,86400
DAH,20180521,5.04,5.04,5.01,5.04,30530
DAH,20180518,4.95,5.04,4.78,5.04,22630
DAH,20180517,4.96,5.05,4.95,5.04,106380
DAH,20180516,5.05,5.06,4.98,5.06,39830
DAH,20180515,5.12,5.12,5.05,5.05,82080
DAH,20180514,5,5.12,4.92,5.12,284250
DAH,20180511,5.25,5.25,5,5.15,90010
DAH,20180510,5.2,5.28,5.18,5.28,58420
DAH,20180509,5.05,5.29,5.05,5.28,100390
DAH,20180508,5.2,5.25,5.09,5.1,79080
DAH,20180507,4.9,5.3,4.9,5.25,336240
DAH,20180504,4.95,5,4.82,4.98,41230
DAH,20180503,4.91,5,4.82,4.92,102710
DAH,20180502,4.9,5.09,4.9,4.92,62030
DAH,20180427,4.9,5.1,4.89,5.1,100200
DAH,20180426,4.92,4.92,4.82,4.92,336850
DAH,20180424,4.99,4.99,4.82,4.92,101060
DAH,20180423,5,5,4.83,4.9,237840
DAH,20180420,4.98,5,4.75,5,92760
DAH,20180419,5.05,5.05,4.85,4.85,81580
DAH,20180418,5,5,4.81,4.89,57850
DAH,20180417,5,5.1,4.9,4.92,90610
DAH,20180416,4.9,5,4.9,5,167670
DAH,20180413,5.1,5.25,4.9,5,254730
DAH,20180412,5.02,5.54,5,5,1574000
DAH,20180411,5,5.24,5,5.24,580120
DAH,20180410,4.99,5.08,4.9,4.9,729580
DAH,20180409,4.88,4.94,4.75,4.75,437720
DAH,20180406,4.6,4.8,4.6,4.62,232520
DAH,20180405,4.54,4.6,4.49,4.56,174130
DAH,20180404,4.48,4.55,4.4,4.48,128710
DAH,20180403,4.4,4.5,4.37,4.48,62770
DAH,20180402,4.4,4.49,4.31,4.49,18330
DAH,20180330,4.46,4.49,4.36,4.49,41220
DAH,20180329,4.46,4.5,4.35,4.5,93470
DAH,20180328,4.42,4.46,4.35,4.46,129680
DAH,20180327,4.58,4.58,4.43,4.43,68030
DAH,20180326,4.49,4.63,4.45,4.49,2267790
DAH,20180323,4.36,4.47,4.31,4.45,42330
DAH,20180322,4.5,4.5,4.39,4.5,23930
DAH,20180321,4.53,4.53,4.4,4.5,66610
DAH,20180320,4.49,4.53,4.4,4.53,120080
DAH,20180319,4.42,4.55,4.4,4.5,107250
DAH,20180316,4.52,4.59,4.21,4.59,742190
DAH,20180315,4.53,4.53,4.45,4.52,125150
DAH,20180314,4.58,4.58,4.42,4.55,60140
DAH,20180313,4.45,4.59,4.45,4.58,157620
DAH,20180312,4.5,4.6,4.44,4.59,127450
DAH,20180309,4.48,4.65,4.43,4.6,139210
DAH,20180308,4.5,4.5,4.45,4.49,6120
DAH,20180307,4.5,4.52,4.44,4.5,15650
DAH,20180306,4.47,4.57,4.47,4.51,5540
DAH,20180305,4.5,4.53,4.45,4.53,29380
DAH,20180302,4.52,4.52,4.43,4.5,6260
DAH,20180301,4.4,4.56,4.4,4.54,55270
DAH,20180228,4.52,4.59,4.49,4.58,38620
DAH,20180227,4.52,4.64,4.4,4.64,69650
DAH,20180226,4.54,4.64,4.48,4.64,56490
DAH,20180223,4.6,4.64,4.46,4.64,92730
DAH,20180222,4.61,4.65,4.5,4.65,57980
DAH,20180221,4.55,4.7,4.48,4.66,79090
DAH,20180213,4.77,4.79,4.5,4.5,103670
DAH,20180212,4.54,4.77,4.45,4.77,119070
DAH,20180209,4.38,4.5,4.3,4.5,1234010
