<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DAT,20180713,,,,17.95,0
DAT,20180712,,,,17.95,0
DAT,20180711,,,,17.95,0
DAT,20180710,,,,17.95,0
DAT,20180709,,,,17.95,0
DAT,20180706,17.95,17.95,17.95,17.95,20
DAT,20180705,19.25,19.25,19.25,19.25,20
DAT,20180704,17.95,20.65,17.95,20.65,40
DAT,20180703,19.3,22.1,19.3,19.3,540
DAT,20180702,18.05,20.75,18.05,20.75,20
DAT,20180629,16.9,19.4,16.9,19.4,20
DAT,20180628,15.85,18.15,15.85,18.15,20
DAT,20180627,16.9,17,16.9,17,40
DAT,20180626,15.95,15.95,15.95,15.95,10
DAT,20180625,14,14.95,13.05,14.95,550
DAT,20180622,14,14,14,14,10
DAT,20180621,15.05,15.05,15.05,15.05,10
DAT,20180620,16.15,16.15,16.15,16.15,10
DAT,20180619,17.35,17.35,17.35,17.35,10
DAT,20180618,18.65,18.65,18.65,18.65,530
DAT,20180615,16.25,18.65,16.25,18.65,20
DAT,20180614,15.25,17.45,15.25,17.45,20
DAT,20180613,14.25,16.35,14.25,16.35,20
DAT,20180612,13.3,15.3,13.3,15.3,20
DAT,20180611,12.5,14.3,12.5,14.3,20
DAT,20180608,,,,13.4,0
DAT,20180607,11.7,13.4,11.7,13.4,420
DAT,20180606,11.75,12.55,10.95,12.55,60
DAT,20180605,10.25,11.75,10.25,11.75,20
DAT,20180604,9.58,11,9.58,11,20
DAT,20180601,8.96,10.3,8.96,10.3,20
DAT,20180531,9.63,9.63,9.63,9.63,10
DAT,20180530,9.02,10.35,9.02,10.35,20
DAT,20180529,8.43,9.69,8.43,9.69,20
DAT,20180528,7.88,9.06,7.88,9.06,20
DAT,20180525,8.47,8.47,8.47,8.47,10
DAT,20180524,9.09,9.09,9.09,9.09,10
DAT,20180523,,,,9.77,0
DAT,20180522,,,,9.77,0
DAT,20180521,9.77,9.77,9.77,9.77,10
DAT,20180518,,,,10.5,0
DAT,20180517,,,,10.5,0
DAT,20180516,10.5,10.5,10.5,10.5,10
DAT,20180515,12.8,12.8,11.25,11.25,20
DAT,20180514,12.05,13.4,12.05,12.05,50
DAT,20180511,12.55,12.55,12.55,12.55,10
DAT,20180510,13,13,13,13,10
DAT,20180509,,,,13.95,0
DAT,20180508,12.15,13.95,12.15,13.95,20
DAT,20180507,,,,13.05,0
DAT,20180504,13.05,13.05,13.05,13.05,10
DAT,20180503,13.65,14,13.65,14,20
DAT,20180502,14.65,14.65,14.65,14.65,10
DAT,20180427,15.75,15.75,15.75,15.75,20
DAT,20180426,,,,16.9,0
DAT,20180424,16.9,16.9,16.9,16.9,10
DAT,20180423,18,18,18,18,10
DAT,20180420,19.35,19.35,19.35,19.35,20
DAT,20180419,18.1,18.1,18.1,18.1,50
DAT,20180418,,,,19.45,0
DAT,20180417,19.45,19.45,19.45,19.45,10
DAT,20180416,,,,20.9,0
DAT,20180413,,,,20.9,0
DAT,20180412,,,,20.9,0
DAT,20180411,20.9,20.9,20.9,20.9,10
DAT,20180410,,,,20.7,0
DAT,20180409,,,,20.7,0
DAT,20180406,,,,20.7,0
DAT,20180405,,,,20.7,0
DAT,20180404,20.7,20.7,20.7,20.7,10
DAT,20180403,20.7,20.7,20.7,20.7,10
DAT,20180402,22.25,22.25,22.25,22.25,60
DAT,20180330,,,,23.9,0
DAT,20180329,,,,23.9,0
DAT,20180328,21.65,23.9,21.65,23.9,30
DAT,20180327,23.25,25,23.25,23.25,80
DAT,20180326,,,,25,0
DAT,20180323,,,,25,0
DAT,20180322,25.6,25.6,22.3,25,440
DAT,20180321,22.9,24,20.9,23.95,620
DAT,20180320,21.5,22.45,21.5,22.45,100
DAT,20180319,21.1,21.1,21.1,21.1,10
DAT,20180316,17.3,19.75,17.25,19.75,1040
DAT,20180315,18.5,18.5,18.5,18.5,10
DAT,20180314,19.7,19.7,19.7,19.7,180
DAT,20180313,21.15,21.15,21.15,21.15,10
DAT,20180312,19.9,19.9,19.9,19.9,10
DAT,20180309,,,,18.65,0
DAT,20180308,18.65,18.65,18.65,18.65,200
DAT,20180307,20.05,20.05,20.05,20.05,10
DAT,20180306,,,,21.4,0
DAT,20180305,,,,21.4,0
DAT,20180302,21.35,21.4,21.3,21.4,120
DAT,20180301,,,,22.9,0
DAT,20180228,,,,22.9,0
DAT,20180227,22.9,22.9,22.9,22.9,50
DAT,20180226,28.1,28.1,24.6,24.6,120
DAT,20180223,,,,26.4,0
DAT,20180222,26.4,26.4,26.4,26.4,10
DAT,20180221,21.6,24.7,21.6,24.7,160
DAT,20180213,,,,23.2,0
DAT,20180212,,,,23.2,0
DAT,20180209,,,,23.2,0
DAT,20180208,,,,23.2,0
DAT,20180207,,,,23.2,0
DAT,20180206,,,,23.2,0
DAT,20180205,,,,23.2,0
DAT,20180202,,,,23.2,0
DAT,20180201,,,,23.2,0
DAT,20180131,,,,23.2,0
DAT,20180130,23.2,23.2,23.2,23.2,150
DAT,20180129,,,,23.7,0
DAT,20180126,23.7,23.7,23.7,23.7,70
DAT,20180125,,,,25.45,0
DAT,20180122,25.45,25.45,25.45,25.45,90
DAT,20180119,29.4,31.45,27.35,27.35,930
DAT,20180118,,,,29.4,0
DAT,20180117,27.95,29.9,27.95,29.4,240
DAT,20180116,,,,27.95,0
DAT,20180115,,,,27.95,0
DAT,20180112,28,29.7,25.95,27.95,100
DAT,20180111,26.1,27.85,26.1,27.85,270
DAT,20180110,24.5,26.2,24.5,26.1,80
DAT,20180109,21.3,24.5,21.3,24.5,850
DAT,20180108,,,,22.9,0
DAT,20180105,,,,22.9,0
DAT,20180104,,,,22.9,0
DAT,20180103,,,,22.9,0
DAT,20180102,,,,22.9,0
DAT,20171229,,,,22.9,0
DAT,20171228,,,,22.9,0
DAT,20171227,,,,22.9,0
DAT,20171226,,,,22.9,0
DAT,20171225,,,,22.9,0
DAT,20171222,,,,22.9,0
DAT,20171221,,,,22.9,0
DAT,20171220,,,,22.9,0
DAT,20171219,,,,22.9,0
DAT,20171218,,,,22.9,0
DAT,20171215,,,,22.9,0
DAT,20171214,,,,22.9,0
DAT,20171213,22.9,22.9,22.9,22.9,20
DAT,20171212,,,,24.6,0
DAT,20171211,,,,24.6,0
DAT,20171208,21.6,24.6,21.5,24.6,840
DAT,20171207,23.2,23.2,23.1,23.1,130
DAT,20171206,24.8,24.8,24.8,24.8,10
DAT,20171205,26.65,26.65,26.65,26.65,20
DAT,20171204,,,,28.65,0
DAT,20171201,24.95,28.65,24.95,28.65,40
DAT,20171130,23.35,26.8,23.35,26.8,20
DAT,20171129,23.91,25.09,23.91,25.09,820
DAT,20171128,23.48,23.48,23.48,23.48,10
DAT,20171127,22.7,22.7,22.7,22.7,80
DAT,20171124,22.47,22.69,22.47,22.7,100
DAT,20171123,22.43,22.43,22.17,22.43,390
DAT,20171122,21.04,21.04,21.04,21.04,380
DAT,20171121,21.04,22.61,21.04,22.61,20
DAT,20171120,,,,22.61,0
DAT,20171117,22.39,22.61,22.35,22.61,70
DAT,20171116,22.35,22.35,22.35,22.35,10
DAT,20171115,21.57,21.57,20.96,20.96,20
DAT,20171114,20.96,20.96,20.96,20.96,10
DAT,20171113,19.83,19.83,19.83,19.83,10
DAT,20171110,17.39,18.61,17.39,18.61,40
DAT,20171109,17.39,17.39,17.39,17.39,10
DAT,20171108,,,,17,0
DAT,20171107,,,,17,0
DAT,20171106,,,,17,0
DAT,20171103,,,,17,0
DAT,20171102,,,,17,0
DAT,20171101,,,,17,0
DAT,20171031,17,17,17,17,10
DAT,20171030,,,,17,0
DAT,20171027,,,,17,0
DAT,20171026,,,,17,0
DAT,20171025,,,,17,0
DAT,20171024,17,17,17,17,10
DAT,20171023,17,17,17,17,10
DAT,20171020,18.26,18.26,17,17,20
DAT,20171019,18.27,18.27,18.27,18.26,50
DAT,20171018,19.57,19.57,19.57,19.57,80
DAT,20171017,21,21,21,21,10
DAT,20171016,22.56,22.56,22.56,22.57,80
DAT,20171013,24.26,24.26,24.26,24.26,20
DAT,20171012,,,,25.22,0
DAT,20171011,,,,25.22,0
DAT,20171010,25.22,25.22,25.22,25.22,10
DAT,20171009,26.08,26.08,26.08,26.09,50
DAT,20171006,26.3,26.3,26.3,26.3,40
DAT,20171005,,,,28.26,0
DAT,20171004,,,,28.26,0
DAT,20171003,,,,28.26,0
DAT,20171002,28.26,28.26,28.26,28.26,100
DAT,20170929,,,,30.35,0
DAT,20170928,,,,30.35,0
DAT,20170927,30.35,30.35,30.35,30.35,10
DAT,20170926,,,,28.39,0
DAT,20170925,,,,28.39,0
DAT,20170922,,,,28.39,0
DAT,20170921,,,,28.39,0
DAT,20170920,,,,28.39,0
DAT,20170919,,,,28.39,0
DAT,20170918,,,,28.39,0
DAT,20170915,,,,28.39,0
DAT,20170914,,,,28.39,0
DAT,20170913,,,,28.39,0
DAT,20170912,,,,28.39,0
DAT,20170911,,,,28.39,0
DAT,20170908,,,,28.39,0
DAT,20170907,,,,28.39,0
DAT,20170906,,,,28.39,0
DAT,20170905,,,,28.39,0
DAT,20170901,,,,28.39,0
DAT,20170831,,,,28.39,0
DAT,20170830,,,,28.39,0
DAT,20170829,,,,28.39,0
DAT,20170828,,,,28.39,0
DAT,20170825,,,,28.39,0
DAT,20170824,28.4,28.4,28.4,28.39,10
DAT,20170823,,,,26.57,0
DAT,20170822,,,,26.57,0
DAT,20170821,,,,26.57,0
DAT,20170818,,,,26.57,0
DAT,20170817,,,,26.57,0
DAT,20170816,,,,26.57,0
DAT,20170815,,,,26.57,0
DAT,20170814,26.57,26.57,26.57,26.57,10
DAT,20170811,,,,26.57,0
DAT,20170810,,,,26.57,0
DAT,20170809,,,,26.57,0
DAT,20170808,26.56,26.56,26.56,26.57,10
DAT,20170807,,,,28.52,0
DAT,20170804,,,,28.52,0
DAT,20170803,28.52,28.52,28.52,28.52,10
DAT,20170802,,,,28.52,0
DAT,20170801,28.52,28.52,28.52,28.52,10
DAT,20170731,28.52,28.52,28.52,28.52,10
