<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DBT,20180713,13,13,13,13,1000
DBT,20180712,13,13,13,13,1500
DBT,20180711,,,,13,0
DBT,20180710,,,,13,0
DBT,20180709,13,13,13,13,1507
DBT,20180706,13,13.2,13,13.1,3000
DBT,20180705,13,13,13,13,4300
DBT,20180704,13.2,13.2,13.2,13.2,900
DBT,20180703,13.2,13.2,13.2,13.2,6000
DBT,20180702,13,13.2,13,13.2,7640
DBT,20180629,13,13.1,13,13.1,1100
DBT,20180628,13,13,13,13,500
DBT,20180627,12.9,12.9,12.9,12.9,100
DBT,20180626,,,,12.7,0
DBT,20180625,,,,12.7,0
DBT,20180622,12.7,12.7,12.7,12.7,46
DBT,20180621,12.7,12.7,12.7,12.7,9900
DBT,20180620,12.7,12.8,12.7,12.8,5500
DBT,20180619,12.7,12.7,12.7,12.7,1010
DBT,20180618,12.8,12.8,12.8,12.8,2000
DBT,20180615,12.9,12.9,12.9,12.9,700
DBT,20180614,12.9,12.9,12.9,12.9,3155
DBT,20180613,12.9,13,12.9,12.9,2100
DBT,20180612,12.8,12.9,12.8,12.9,1200
DBT,20180611,,,,12.7,0
DBT,20180608,12.9,12.9,12.7,12.7,22420
DBT,20180607,,,,13,0
DBT,20180606,12.9,13,12.9,13,1200
DBT,20180605,12.6,12.6,12.6,12.6,785
DBT,20180604,12.8,12.8,12.7,12.8,6500
DBT,20180601,12.5,12.8,12.5,12.8,11710
DBT,20180531,12.4,13.3,12.4,12.7,4400
DBT,20180530,12.5,12.5,12.2,12.2,11169
DBT,20180529,12.5,12.6,12.5,12.5,9000
DBT,20180528,12.8,12.8,12.2,12.2,22100
DBT,20180525,13,13.2,12.8,12.8,35300
DBT,20180524,13,13,13,13,3500
DBT,20180523,,,,13.1,0
DBT,20180522,13.5,13.8,13.1,13.1,11100
DBT,20180521,14.1,14.1,14,14,1900
DBT,20180518,14.3,14.3,14.1,14.1,9900
DBT,20180517,,,,14.2,0
DBT,20180516,14.5,14.5,14.2,14.2,8315
DBT,20180515,14,14.2,14,14.2,500
DBT,20180514,,,,14,0
DBT,20180511,14.3,14.3,14,14,6286
DBT,20180510,14.6,14.6,14.4,14.4,5300
DBT,20180509,14.6,14.6,14.6,14.6,520
DBT,20180508,14.5,14.6,14.5,14.6,5100
DBT,20180507,14.6,14.6,14.4,14.4,8700
DBT,20180504,,,,14.8,0
DBT,20180503,14.8,14.8,14.8,14.8,1200
DBT,20180502,14.6,14.8,14.5,14.8,2700
DBT,20180427,14.2,14.6,14.2,14.6,13600
DBT,20180426,14.6,14.6,14.5,14.5,6030
DBT,20180424,15,15,14.5,14.5,3180
DBT,20180423,14,15.1,14,15.1,14200
DBT,20180420,14.5,14.5,14.5,14.5,3500
DBT,20180419,14.2,14.7,14.2,14.7,5200
DBT,20180418,14.5,14.5,14.4,14.4,1400
DBT,20180417,14.2,14.2,14.2,14.2,570
DBT,20180416,14.8,14.8,14.8,14.8,110
DBT,20180413,,,,14.5,0
DBT,20180412,14.2,14.5,14.2,14.5,2155
DBT,20180411,14.5,14.5,14.1,14.2,12000
DBT,20180410,14.5,14.5,14.5,14.5,100
DBT,20180409,15,15,14.8,14.8,5900
DBT,20180406,,,,14.8,0
DBT,20180405,15,15,14.8,14.8,5000
DBT,20180404,15,15,14.6,14.6,11000
DBT,20180403,15,15.2,14.9,15,7035
DBT,20180402,14.6,14.6,14.6,14.6,500
DBT,20180330,14.33,14.87,14.33,14.87,4354
DBT,20180329,14.69,14.69,14.69,14.69,200
DBT,20180328,,,,14.78,0
DBT,20180327,14.78,14.78,14.78,14.78,254
DBT,20180326,14.6,14.69,14.6,14.69,1000
DBT,20180323,14.78,15.42,14.69,14.69,7030
DBT,20180322,,,,14.51,0
DBT,20180321,14.69,14.69,14.33,14.51,2800
DBT,20180320,14.69,14.69,14.69,14.69,1800
DBT,20180319,14.87,14.87,14.87,14.87,1100
DBT,20180316,14.87,14.96,14.69,14.69,4741
DBT,20180315,14.6,14.78,14.6,14.78,28929
DBT,20180314,14.33,14.51,14.33,14.33,2055
DBT,20180313,14.06,14.33,14.06,14.33,4500
DBT,20180312,14.15,14.15,14.06,14.06,14900
DBT,20180309,14.06,14.06,14.06,14.06,7500
DBT,20180308,14.06,14.06,14.06,14.06,2065
DBT,20180307,,,,14.33,0
DBT,20180306,14.06,14.33,13.97,14.33,7500
DBT,20180305,13.97,14.42,13.97,14.42,33150
DBT,20180302,13.97,14.06,13.97,13.97,6662
DBT,20180301,13.79,14.24,13.7,14.24,8614
DBT,20180228,14.06,14.06,13.88,13.88,8000
DBT,20180227,13.97,13.97,13.97,13.97,6
DBT,20180226,14.06,14.06,13.97,13.97,3000
DBT,20180223,,,,13.97,0
DBT,20180222,14.15,14.15,13.97,13.97,2500
DBT,20180221,13.88,13.97,13.88,13.97,6901
DBT,20180213,13.78,13.96,13.78,13.97,8805
DBT,20180212,13.78,13.78,13.78,13.78,3500
DBT,20180209,14.05,14.05,13.78,13.78,5500
DBT,20180208,13.79,13.79,13.79,13.78,1000
DBT,20180207,13.6,14.42,13.6,14.15,15700
DBT,20180206,13.79,13.79,13.15,13.15,16900
DBT,20180205,14.06,14.06,13.97,13.97,6000
DBT,20180202,13.97,14.06,13.88,14.06,14400
DBT,20180201,14.24,14.24,14.06,14.06,5100
DBT,20180131,14.15,14.24,13.7,14.24,17051
DBT,20180130,14.15,14.15,14.15,14.15,2000
DBT,20180129,14.24,14.33,13.79,14.33,28609
DBT,20180126,13.78,14.05,13.78,14.06,7700
DBT,20180125,13.97,13.97,13.79,13.78,4700
DBT,20180122,13.78,13.78,13.69,13.78,9605
DBT,20180119,13.6,13.78,13.6,13.69,900
DBT,20180118,13.69,13.69,13.6,13.6,10200
DBT,20180117,13.79,13.79,13.79,13.78,3700
DBT,20180116,14.06,14.06,13.88,13.88,10100
DBT,20180115,14.06,14.06,13.79,14.06,33700
DBT,20180112,14.33,14.33,14.33,14.33,1400
DBT,20180111,14.06,14.33,14.06,14.33,32350
DBT,20180110,13.79,14.06,13.52,14.06,59110
DBT,20180109,13.79,14.06,13.61,14.06,47794
DBT,20180108,14.15,14.15,14.15,14.15,90
DBT,20180105,13.78,14.14,13.78,14.15,10308
DBT,20180104,13.69,13.69,13.6,13.6,600
DBT,20180103,14.42,14.42,14.42,14.42,30
DBT,20180102,13.78,14.42,13.42,14.42,26108
DBT,20171229,13.88,14.52,13.88,14.51,6400
DBT,20171228,13.78,13.87,13.78,13.88,1000
DBT,20171227,13.97,13.97,13.7,13.69,12700
DBT,20171226,13.78,13.96,13.78,13.97,4300
DBT,20171225,14.05,14.05,13.6,13.69,1400
DBT,20171222,13.6,13.69,13.51,13.69,2000
DBT,20171221,13.61,13.7,13.52,13.6,28505
DBT,20171220,14.06,14.06,13.88,13.88,2510
DBT,20171219,13.61,14.06,13.61,14.06,20700
DBT,20171218,13.97,14.06,13.79,14.06,4550
DBT,20171215,14.06,14.06,14.06,14.06,708
DBT,20171214,13.78,14.05,13.78,14.06,4310
DBT,20171213,13.7,13.79,13.61,13.6,11600
DBT,20171212,14.06,14.06,13.97,13.97,2400
DBT,20171211,14.33,14.33,14.15,14.15,5800
DBT,20171208,14.33,14.33,14.33,14.33,1400
DBT,20171207,14.24,14.24,14.15,14.24,10250
DBT,20171206,14.51,14.69,14.06,14.24,18100
DBT,20171205,14.15,14.15,14.06,14.06,2500
DBT,20171204,14.06,14.24,13.97,14.24,12712
DBT,20171201,14.24,14.24,14.15,14.15,5200
DBT,20171130,14.15,14.15,14.06,14.15,15100
DBT,20171129,14.24,14.24,14.24,14.24,700
DBT,20171128,14.24,14.24,14.15,14.24,1800
DBT,20171127,14.24,14.33,14.15,14.15,3562
DBT,20171124,14.24,14.24,14.15,14.24,7307
DBT,20171123,14.24,14.42,13.79,14.15,25500
DBT,20171122,14.24,14.33,14.24,14.24,1300
DBT,20171121,14.33,14.33,14.06,14.24,29100
DBT,20171120,14.51,14.51,14.15,14.24,50500
DBT,20171117,14.42,14.6,14.42,14.6,6000
DBT,20171116,14.51,14.51,14.42,14.42,2470
DBT,20171115,14.6,14.6,14.51,14.51,1200
DBT,20171114,14.51,14.78,14.42,14.42,9076
DBT,20171113,14.51,14.51,14.42,14.42,10600
DBT,20171110,14.78,14.78,14.78,14.78,4205
DBT,20171109,14.87,14.87,14.51,14.51,1610
DBT,20171108,14.78,14.96,14.78,14.96,5000
DBT,20171107,14.6,14.78,14.06,14.78,10240
DBT,20171106,14.69,14.78,14.51,14.51,18636
DBT,20171103,14.15,14.69,14.15,14.69,9000
DBT,20171102,14.24,14.42,14.24,14.42,3900
DBT,20171101,13.42,14.42,13.42,14.24,18200
DBT,20171031,,,,14.78,0
DBT,20171030,14.78,14.78,14.78,14.78,2000
DBT,20171027,14.42,14.78,14.42,14.78,2200
DBT,20171026,14.96,14.96,14.42,14.42,22300
DBT,20171025,14.33,14.96,14.33,14.96,22800
DBT,20171024,14.24,14.42,14.24,14.33,1600
DBT,20171023,14.42,14.42,14.24,14.33,9800
DBT,20171020,14.6,14.69,14.42,14.42,12900
DBT,20171019,14.51,14.69,14.51,14.51,10990
