<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DC2,20180713,,,,9.1,0
DC2,20180712,,,,9.1,0
DC2,20180711,,,,9.1,0
DC2,20180710,,,,9.1,0
DC2,20180709,,,,9.1,0
DC2,20180706,,,,9.1,0
DC2,20180705,,,,9.1,0
DC2,20180704,,,,9.1,0
DC2,20180703,,,,9.1,0
DC2,20180702,9.1,9.1,9.1,9.1,100
DC2,20180629,8.4,8.4,8.4,8.4,300
DC2,20180628,7,7.7,7,7.7,1604
DC2,20180627,,,,7,0
DC2,20180626,7,7,7,7,5000
DC2,20180625,,,,7.5,0
DC2,20180622,,,,7.5,0
DC2,20180621,,,,7.5,0
DC2,20180620,,,,7.5,0
DC2,20180619,,,,7.5,0
DC2,20180618,,,,7.5,0
DC2,20180615,,,,7.5,0
DC2,20180614,,,,7.5,0
DC2,20180613,,,,7.5,0
DC2,20180612,,,,7.5,0
DC2,20180611,,,,7.5,0
DC2,20180608,,,,7.5,0
DC2,20180607,,,,7.5,0
DC2,20180606,,,,7.5,0
DC2,20180605,,,,7.5,0
DC2,20180604,,,,7.5,0
DC2,20180601,,,,7.5,0
DC2,20180531,,,,7.5,0
DC2,20180530,7.5,7.5,7.5,7.5,100
DC2,20180529,,,,6.9,0
DC2,20180528,,,,6.9,0
DC2,20180525,,,,6.9,0
DC2,20180524,,,,6.9,0
DC2,20180523,,,,6.9,0
DC2,20180522,6.9,6.9,6.9,6.9,100
DC2,20180521,,,,6.6,0
DC2,20180518,,,,6.6,0
DC2,20180517,,,,6.6,0
DC2,20180516,,,,6.6,0
DC2,20180515,,,,6.6,0
DC2,20180514,,,,6.6,0
DC2,20180511,,,,6.6,0
DC2,20180510,,,,6.6,0
DC2,20180509,6.6,6.6,6.6,6.6,16
DC2,20180508,,,,6.6,0
DC2,20180507,6.6,6.6,6.6,6.6,600
DC2,20180504,,,,6,0
DC2,20180503,,,,6,0
DC2,20180502,,,,6,0
DC2,20180427,,,,6,0
DC2,20180426,,,,6,0
DC2,20180424,,,,6,0
DC2,20180423,,,,6,0
DC2,20180420,6.2,6.2,6,6,9500
DC2,20180419,,,,6.5,0
DC2,20180418,,,,6.5,0
DC2,20180417,6.5,6.5,6.5,6.5,10000
DC2,20180416,6.6,6.6,6.6,6.6,6000
DC2,20180413,,,,7,0
DC2,20180412,,,,7,0
DC2,20180411,,,,7,0
DC2,20180410,7,7,7,7,19
DC2,20180409,,,,7,0
DC2,20180406,7,7,7,7,1000
DC2,20180405,,,,7,0
DC2,20180404,7,7,7,7,2
DC2,20180403,7,7,7,7,2
DC2,20180402,7,7,7,7,100
DC2,20180330,6.5,6.5,6.5,6.5,3
DC2,20180329,6.5,6.5,6.5,6.5,5
DC2,20180328,,,,6.5,0
DC2,20180327,,,,6.5,0
DC2,20180326,,,,6.5,0
DC2,20180323,,,,6.5,0
DC2,20180322,,,,6.5,0
DC2,20180321,6.5,6.5,6.5,6.5,4400
DC2,20180320,,,,6.5,0
DC2,20180319,,,,6.5,0
DC2,20180316,,,,6.5,0
DC2,20180315,,,,6.5,0
DC2,20180314,,,,6.5,0
DC2,20180313,,,,6.5,0
DC2,20180312,,,,6.5,0
DC2,20180309,6.5,6.5,6.5,6.5,1700
DC2,20180308,,,,6.7,0
DC2,20180307,,,,6.7,0
DC2,20180306,,,,6.7,0
DC2,20180305,6.7,6.7,6.7,6.7,1000
DC2,20180302,6.7,6.7,6.7,6.7,100
DC2,20180301,6.6,6.6,6.6,6.6,100
DC2,20180228,,,,6.3,0
DC2,20180227,,,,6.3,0
DC2,20180226,6.3,6.3,6.3,6.3,5400
DC2,20180223,,,,6.8,0
DC2,20180222,6.8,6.8,6.8,6.8,100
DC2,20180221,,,,7,0
DC2,20180213,,,,7,0
DC2,20180212,,,,7,0
DC2,20180209,,,,7,0
DC2,20180208,,,,7,0
DC2,20180207,,,,7,0
DC2,20180206,,,,7,0
DC2,20180205,,,,7,0
DC2,20180202,,,,7,0
DC2,20180201,,,,7,0
DC2,20180131,7,7,7,7,100
DC2,20180130,7,7,7,7,900
DC2,20180129,,,,7,0
DC2,20180126,7,7,7,7,110
DC2,20180125,,,,6.6,0
DC2,20180122,6.8,6.8,6.6,6.6,3300
DC2,20180119,,,,6.8,0
DC2,20180118,6.8,6.8,6.8,6.8,100
DC2,20180117,6.8,6.9,6.8,6.8,31600
DC2,20180116,6.8,6.8,6.8,6.8,19700
DC2,20180115,6.8,6.8,6.8,6.8,2300
DC2,20180112,,,,7.1,0
DC2,20180111,7.1,7.1,7.1,7.1,100
DC2,20180110,,,,7.1,0
DC2,20180109,,,,7.1,0
DC2,20180108,,,,7.1,0
DC2,20180105,,,,7.1,0
DC2,20180104,,,,7.1,0
DC2,20180103,7.2,7.2,6.6,7.1,600
DC2,20180102,,,,6.6,0
DC2,20171229,6.6,6.6,6.6,6.6,8400
DC2,20171228,6,6,6,6,100
DC2,20171227,6.6,6.6,6.6,6.6,100
DC2,20171226,7.4,7.4,7.3,7.3,6000
DC2,20171225,7.3,7.3,7.3,7.3,500
DC2,20171222,8.1,8.1,8.1,8.1,200
DC2,20171221,9,9,9,9,200
DC2,20171220,10,10,9.5,9.5,500
DC2,20171219,,,,10.5,0
DC2,20171218,,,,10.5,0
DC2,20171215,10.5,10.5,10.5,10.5,100
DC2,20171214,11.6,11.6,11.6,11.6,100
DC2,20171213,,,,12.8,0
DC2,20171212,,,,12.8,0
DC2,20171211,,,,12.8,0
DC2,20171208,,,,12.8,0
DC2,20171207,,,,12.8,0
DC2,20171206,,,,12.8,0
DC2,20171205,,,,12.8,0
DC2,20171204,,,,12.8,0
DC2,20171201,,,,12.8,0
DC2,20171130,,,,12.8,0
DC2,20171129,,,,12.8,0
DC2,20171128,,,,12.8,0
DC2,20171127,,,,12.8,0
DC2,20171124,,,,12.8,0
DC2,20171123,,,,12.8,0
DC2,20171122,,,,12.8,0
DC2,20171121,,,,12.8,0
DC2,20171120,,,,12.8,0
DC2,20171117,,,,12.8,0
DC2,20171116,,,,12.8,0
DC2,20171115,,,,12.8,0
DC2,20171114,,,,12.8,0
DC2,20171113,,,,12.8,0
DC2,20171110,,,,12.8,0
DC2,20171109,,,,12.8,0
DC2,20171108,,,,12.8,0
DC2,20171107,,,,12.8,0
DC2,20171106,,,,12.8,0
DC2,20171103,,,,12.8,0
DC2,20171102,,,,12.8,0
DC2,20171101,,,,12.8,0
DC2,20171031,,,,12.8,0
DC2,20171030,,,,12.8,0
DC2,20171027,,,,12.8,0
DC2,20171026,,,,12.8,0
DC2,20171025,,,,12.8,0
DC2,20171024,,,,12.8,0
DC2,20171023,,,,12.8,0
DC2,20171020,12.8,12.8,12.8,12.8,100
DC2,20171019,,,,11.7,0
DC2,20171018,11.2,11.7,11.2,11.7,200
DC2,20171017,,,,10.7,0
DC2,20171016,,,,10.7,0
DC2,20171013,,,,10.7,0
DC2,20171012,10.7,10.7,10.7,10.7,100
DC2,20171011,,,,11.8,0
DC2,20171010,,,,11.8,0
DC2,20171009,,,,11.8,0
DC2,20171006,,,,11.8,0
