<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DCM,20180713,10.2,10.2,10.1,10.2,120880
DCM,20180712,10.1,10.15,10.05,10.1,163360
DCM,20180711,10.2,10.2,9.99,10.05,240480
DCM,20180710,10.3,10.3,10.15,10.2,175310
DCM,20180709,10.3,10.3,10.15,10.2,153160
DCM,20180706,10,10.4,9.97,10.2,405470
DCM,20180705,10.15,10.35,10,10,376710
DCM,20180704,10.1,10.2,10,10.2,513640
DCM,20180703,10.4,10.4,10,10,611400
DCM,20180702,10.55,10.55,10.2,10.25,265800
DCM,20180629,10.7,10.8,10.55,10.55,175140
DCM,20180628,10.8,10.85,10.7,10.7,223350
DCM,20180627,10.8,10.9,10.75,10.8,184010
DCM,20180626,10.8,10.9,10.7,10.8,104060
DCM,20180625,10.9,11.1,10.8,10.85,208340
DCM,20180622,10.85,10.9,10.6,10.85,103500
DCM,20180621,11,11.05,10.75,10.85,182610
DCM,20180620,10.6,11.05,10.6,11.05,353890
DCM,20180619,11,11,10.4,10.6,586860
DCM,20180618,11.4,11.4,10.95,11,196010
DCM,20180615,11.35,11.4,11.1,11.3,208530
DCM,20180614,11.6,11.6,11.3,11.3,195150
DCM,20180613,11.05,11.55,11.05,11.45,290510
DCM,20180612,11.55,11.55,10.9,11.05,713340
DCM,20180611,11.55,11.75,11.5,11.55,384770
DCM,20180608,11.8,11.9,11.4,11.45,398210
DCM,20180607,11.1,11.75,11.1,11.75,1233910
DCM,20180606,11.05,11.1,11,11,385050
DCM,20180605,10.95,11.15,10.9,11.1,532390
DCM,20180604,10.6,10.85,10.5,10.85,448350
DCM,20180601,10.4,10.55,10.4,10.5,426150
DCM,20180531,10.3,10.6,10.25,10.4,352720
DCM,20180530,10.2,10.3,10,10.3,189040
DCM,20180529,9.96,10.4,9.95,10.2,635460
DCM,20180528,10.6,10.6,9.96,9.96,701290
DCM,20180525,10.75,10.8,10.3,10.7,673980
DCM,20180524,11.1,11.1,10.75,10.8,210600
DCM,20180523,11,11.1,10.8,11,253250
DCM,20180522,11.25,11.4,10.8,11,500850
DCM,20180521,11.4,11.4,11.2,11.25,279090
DCM,20180518,11.4,11.5,11.25,11.4,353690
DCM,20180517,11.45,11.55,11.4,11.4,308910
DCM,20180516,11.65,11.65,11.45,11.45,387470
DCM,20180515,11.55,11.8,11.5,11.6,702170
DCM,20180514,11.8,11.85,11.5,11.5,671680
DCM,20180511,11.6,11.7,11.5,11.7,225220
DCM,20180510,11.9,11.9,11.6,11.6,1391090
DCM,20180509,12,12,11.85,11.85,183820
DCM,20180508,11.9,12.1,11.85,11.95,430200
DCM,20180507,11.65,11.9,11.6,11.8,263160
DCM,20180504,11.75,11.85,11.7,11.8,216180
DCM,20180503,11.8,11.85,11.5,11.7,523480
DCM,20180502,12.1,12.1,11.8,11.85,164500
DCM,20180427,11.85,12,11.8,12,391670
DCM,20180426,12,12.25,11.8,11.85,342510
DCM,20180424,12,12.2,11.95,12,879530
DCM,20180423,12.35,12.5,12,12,647340
DCM,20180420,12.45,12.5,12.35,12.45,182800
DCM,20180419,12.5,12.7,12.3,12.45,359690
DCM,20180418,12.75,12.75,12.45,12.5,292250
DCM,20180417,12.7,12.75,12.55,12.7,227740
DCM,20180416,12.4,12.75,12.4,12.65,437450
DCM,20180413,12.55,12.6,12.35,12.45,356360
DCM,20180412,12.7,12.75,12.45,12.55,273290
DCM,20180411,13.05,13.05,12.65,12.7,490560
DCM,20180410,13.1,13.15,12.9,13.05,799290
DCM,20180409,12.95,13.2,12.95,13.15,1006300
DCM,20180406,13.25,13.25,13,13.1,1597780
DCM,20180405,12.55,13.05,12.45,13,1784450
DCM,20180404,12.4,12.7,12.3,12.4,703900
DCM,20180403,12.4,12.45,12.25,12.35,383210
DCM,20180402,12.35,12.6,12.25,12.4,653590
DCM,20180330,12.3,12.4,12.2,12.25,406640
DCM,20180329,12.3,12.4,12.3,12.35,165240
DCM,20180328,12.5,12.5,12.3,12.3,418580
DCM,20180327,12.5,12.7,12.35,12.35,401150
DCM,20180326,12.4,12.6,12.4,12.5,418950
DCM,20180323,12.45,12.5,12.3,12.5,1241400
DCM,20180322,12.7,12.9,12.65,12.7,337400
DCM,20180321,12.9,12.9,12.7,12.7,645720
DCM,20180320,12.9,12.95,12.7,12.9,378920
DCM,20180319,13.2,13.2,12.9,12.9,394240
DCM,20180316,13.1,13.2,12.9,13.2,593120
DCM,20180315,13.1,13.3,12.8,13.3,752800
DCM,20180314,12.7,13.05,12.7,13.05,876090
DCM,20180313,12.6,12.85,12.6,12.8,444680
DCM,20180312,12.85,12.9,12.6,12.6,522400
DCM,20180309,13.3,13.3,12.8,12.9,846870
DCM,20180308,13.35,13.4,13.15,13.2,473450
DCM,20180307,13.3,13.55,13.2,13.4,2682690
DCM,20180306,12.65,13.45,12.5,13.2,2258900
DCM,20180305,12.4,12.9,12.35,12.65,1531690
DCM,20180302,12.25,12.4,12,12.35,819530
DCM,20180301,12.1,12.5,12.1,12.25,951930
DCM,20180228,12.3,12.45,12,12.1,2287810
DCM,20180227,12.6,12.6,12.3,12.3,1138560
DCM,20180226,12.8,12.85,12.6,12.6,1452640
DCM,20180223,12.85,12.85,12.65,12.7,519010
DCM,20180222,12.5,12.9,12.5,12.65,1285040
DCM,20180221,12.95,12.95,12.6,12.6,774720
DCM,20180213,12.6,12.7,12.5,12.6,465450
DCM,20180212,12,12.4,12,12.4,463880
DCM,20180209,11.75,12.45,11.6,12,902000
DCM,20180208,12.2,12.5,12,12.05,272780
DCM,20180207,12.1,12.4,12.05,12.4,1377980
DCM,20180206,11.5,12,11.4,11.6,5123560
DCM,20180205,12.9,13,12.2,12.25,1462220
DCM,20180202,13.1,13.35,13,13,1013900
DCM,20180201,13.4,13.55,13.1,13.1,2101570
DCM,20180131,13.95,14.1,13.45,13.45,3211750
DCM,20180130,13.9,14.2,13.7,14.05,2164830
DCM,20180129,14.25,14.55,14,14,3240130
DCM,20180126,13.6,14.15,13.45,14.1,2759950
DCM,20180125,13.65,13.7,13.4,13.4,3059280
DCM,20180122,13.7,13.75,13.5,13.65,1198820
DCM,20180119,13.6,13.85,13.55,13.65,1715760
DCM,20180118,13.55,13.7,13.3,13.6,1803420
DCM,20180117,14,14.05,13.65,13.65,2112020
DCM,20180116,14,14.3,13.9,14.05,2242600
DCM,20180115,13.55,14,13.55,14,1877840
DCM,20180112,13.6,13.8,13.5,13.55,2888740
DCM,20180111,14.05,14.05,13.45,13.7,3032640
DCM,20180110,14.2,14.35,13.9,14,3048750
DCM,20180109,14.25,14.4,14,14.15,2147460
DCM,20180108,14.35,14.5,14.1,14.35,2070370
DCM,20180105,13.85,14.45,13.7,14.3,4733220
DCM,20180104,13.65,13.85,13.55,13.75,2508810
DCM,20180103,13.6,13.7,13.5,13.55,1465370
DCM,20180102,13.7,13.75,13.5,13.55,1318700
DCM,20171229,13.8,13.9,13.6,13.6,641000
DCM,20171228,13.65,13.9,13.6,13.75,2072660
DCM,20171227,13.65,13.75,13.45,13.6,1513480
DCM,20171226,13.1,13.7,13.1,13.6,2900440
DCM,20171225,13.3,13.4,13.1,13.15,743430
DCM,20171222,13.85,13.95,13.25,13.3,2787520
DCM,20171221,12.5,13.35,12.5,13.35,3941050
DCM,20171220,12.55,12.65,12.5,12.5,465300
DCM,20171219,12.7,12.75,12.55,12.6,422850
DCM,20171218,12.6,12.8,12.6,12.7,626950
DCM,20171215,12.4,12.65,12.35,12.55,668740
DCM,20171214,12.5,12.5,12.3,12.4,545520
DCM,20171213,12.45,12.45,12.3,12.45,559880
DCM,20171212,12.55,12.6,12.1,12.4,1354640
DCM,20171211,12.55,12.7,12.45,12.5,968090
DCM,20171208,12.5,12.75,12.5,12.55,940400
DCM,20171207,12.65,12.65,12.5,12.5,793600
DCM,20171206,12.65,12.7,12.45,12.5,1231440
DCM,20171205,12.85,13,12.6,12.65,909230
DCM,20171204,12.75,12.9,12.6,12.8,1002210
DCM,20171201,12.7,12.85,12.55,12.6,1383710
DCM,20171130,12.9,12.95,12.75,12.75,1053860
DCM,20171129,12.9,12.95,12.8,12.95,703790
DCM,20171128,12.7,13.05,12.7,12.9,1722490
DCM,20171127,12.7,12.75,12.6,12.65,929080
DCM,20171124,12.35,12.75,12.3,12.65,1565890
DCM,20171123,12.5,12.5,12.4,12.4,946490
DCM,20171122,12.5,12.55,12.4,12.5,514310
DCM,20171121,12.65,12.75,12.4,12.5,780860
DCM,20171120,12.4,12.75,12.35,12.65,1716370
DCM,20171117,12.5,12.55,12.3,12.35,784440
DCM,20171116,12.3,12.5,12.25,12.45,1012890
DCM,20171115,12.2,12.35,12.1,12.35,824800
DCM,20171114,12.35,12.35,12.2,12.2,1217930
DCM,20171113,12.35,12.45,12.25,12.35,837840
DCM,20171110,12.3,12.45,12.25,12.35,896730
DCM,20171109,12.4,12.55,12.3,12.3,1534580
DCM,20171108,12.2,12.3,12.2,12.3,702730
DCM,20171107,12.25,12.3,12.05,12.15,786210
DCM,20171106,12.2,12.35,12.05,12.25,985730
DCM,20171103,11.75,12.1,11.55,12.1,2070140
DCM,20171102,12.25,12.55,11.75,11.75,1861400
DCM,20171101,12.4,12.65,12.2,12.3,958680
DCM,20171031,13,13,12.5,12.5,2209260
