<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DHT,20180713,38.5,38.5,36.7,37.3,21300
DHT,20180712,36,36.9,36,36.9,1330
DHT,20180711,36.9,37.5,36.7,36.9,27800
DHT,20180710,36.5,37,36,36.9,6090
DHT,20180709,36.9,38.5,36.7,37,9410
DHT,20180706,36.8,40,36.8,36.9,5700
DHT,20180705,37,37.5,35.3,36.8,4940
DHT,20180704,36.9,37.9,35.2,37,4000
DHT,20180703,35,37,35,37,15050
DHT,20180702,37,37.5,37,37,11850
DHT,20180629,38.7,38.7,37,37.5,13200
DHT,20180628,37.5,37.6,37.5,37.6,1700
DHT,20180627,39,39,37.5,38,12300
DHT,20180626,38,39.8,37,39,11550
DHT,20180625,39.8,40,38,38,5800
DHT,20180622,39.9,39.9,38,38.8,15950
DHT,20180621,39.3,39.7,37.9,38.7,8650
DHT,20180620,38.9,38.9,37.5,38.5,3747
DHT,20180619,40.9,40.9,37.5,38,8100
DHT,20180618,41.8,41.8,38,40.9,13058
DHT,20180615,42.4,43,40.7,41.5,3800
DHT,20180614,42.4,42.4,42.4,42.4,100
DHT,20180613,42.3,42.3,40.35,41.81,1100
DHT,20180612,40.84,41.42,40.15,41.42,1000
DHT,20180611,42.89,42.89,40.54,41.62,5400
DHT,20180608,42.01,42.01,42.01,42.01,100
DHT,20180607,43.86,43.86,41.03,42.01,1800
DHT,20180606,44.85,44.85,40.06,41.03,6500
DHT,20180605,40.06,43.67,40.06,42.99,13120
DHT,20180604,41.81,41.81,39.07,39.86,13400
DHT,20180601,41.91,42,39.07,41.32,17620
DHT,20180531,42.01,42.01,39.76,40.05,5230
DHT,20180530,40.84,43.86,40.05,40.64,11900
DHT,20180529,42.01,44.94,40.55,40.64,4210
DHT,20180528,42.99,42.99,40.84,42.5,1900
DHT,20180525,42.01,45.91,40.83,40.84,7800
DHT,20180524,41.13,41.81,40.84,41.81,3030
DHT,20180523,42,42,41.81,42.01,1230
DHT,20180522,42,42,40.44,41.32,5310
DHT,20180521,42.99,42.99,41.33,41.32,4400
DHT,20180518,43.28,43.96,42.11,42.11,920
DHT,20180517,43.09,44.26,42.01,43.28,5500
DHT,20180516,43.28,43.96,42.3,43.38,8200
DHT,20180515,44.85,44.85,44.36,44.35,6400
DHT,20180514,43.67,45.42,43.28,44.65,6900
DHT,20180511,44.85,44.85,42.4,44.35,6100
DHT,20180510,43.48,44.94,41.82,42.99,5060
DHT,20180509,42.39,43.76,41.71,42.99,10960
DHT,20180508,42.59,42.59,41.52,42.59,1200
DHT,20180507,42.99,43.09,41.03,42.59,14610
DHT,20180504,43.97,47.19,42.01,42.5,16295
DHT,20180503,47.87,47.87,44.94,45.92,15016
DHT,20180502,46.93,51.91,46.93,47.19,6000
DHT,20180427,48,48,47.21,47.22,23600
DHT,20180426,47.87,48.06,46.89,47.54,43100
DHT,20180424,47.87,47.87,47.15,47.54,24916
DHT,20180423,47.42,48.52,47.22,47.41,19400
DHT,20180420,45.59,47.35,45.59,46.96,19020
DHT,20180419,47.22,47.55,45.59,45.59,8700
DHT,20180418,46.89,47.55,46.89,47.22,35236
DHT,20180417,43.19,47.42,43.19,47.22,46778
DHT,20180416,43.64,43.64,42.34,43.12,12400
DHT,20180413,43.31,43.44,42.92,42.99,21570
DHT,20180412,43.12,43.12,42.66,42.92,11000
DHT,20180411,42.33,42.98,42.33,42.79,16100
DHT,20180410,43.64,43.64,41.75,42.33,15310
DHT,20180409,43.18,43.96,42.98,43.12,12400
DHT,20180406,42.92,43.18,42.27,43.18,24220
DHT,20180405,42.86,42.86,41.49,42.01,23700
DHT,20180404,42.92,42.99,41.42,41.49,23400
DHT,20180403,42.14,43.05,42.01,42.92,5800
DHT,20180402,42.99,43.64,42.34,43.05,3600
DHT,20180330,43.77,43.83,42.72,43.51,15000
DHT,20180329,43.44,43.44,42.66,43.44,25100
DHT,20180328,42.99,43.51,42.86,43.44,10600
DHT,20180327,43.96,43.96,42.53,43.64,9320
DHT,20180326,43.97,43.97,42.99,43.44,11400
DHT,20180323,43.05,43.84,42.66,43.38,20100
DHT,20180322,42.2,43.63,42.13,43.38,36200
DHT,20180321,42.47,43.32,42.21,42.33,15630
DHT,20180320,41.68,43.05,41.68,42.86,11222
DHT,20180319,41.68,42.27,41.49,42.27,4500
DHT,20180316,42.66,42.66,41.62,42.27,5232
DHT,20180315,42.33,42.66,41.35,42.66,15600
DHT,20180314,43.25,43.25,42.01,42.33,18303
DHT,20180313,43.64,43.64,42.66,42.99,12510
DHT,20180312,43.44,43.64,42.66,42.73,14420
DHT,20180309,42.99,43.51,42.79,43.44,8600
DHT,20180308,43.51,43.58,42.6,43.51,17520
DHT,20180307,43.12,43.84,42.66,43.51,19900
DHT,20180306,43.64,43.9,42.66,43.64,18950
DHT,20180305,43.97,44.62,43.05,43.51,20000
DHT,20180302,42.99,43.84,42.86,43.51,5100
DHT,20180301,43.64,43.96,42.53,43.64,45750
DHT,20180228,43.11,43.57,42.98,43.31,15500
DHT,20180227,42.54,43.25,41.71,43.18,19764
DHT,20180226,42.99,43.31,42.16,43.31,23310
DHT,20180223,43.63,43.95,41.06,42.99,34200
DHT,20180222,42.34,43.95,41.7,43.37,17800
DHT,20180221,42.35,44.27,41.06,43.82,12720
DHT,20180213,43.63,44.08,42.41,43.63,13020
DHT,20180212,43.63,46.19,43.11,43.5,22587
DHT,20180209,43.63,43.63,41.7,42.73,26990
DHT,20180208,41.71,43.63,40.23,42.73,50450
DHT,20180207,35.93,40.23,35.93,40.23,39586
DHT,20180206,35.99,36.57,35.29,36.57,36841
DHT,20180205,35.99,36.5,35.8,36.44,19511
DHT,20180202,36.05,36.05,35.93,35.99,6700
DHT,20180201,35.93,36.51,35.93,35.99,15170
DHT,20180131,36.57,37.47,35.93,35.93,20785
DHT,20180130,37.53,37.53,36.57,37.21,15233
DHT,20180129,37.21,37.73,36.57,37.34,22612
DHT,20180126,38.5,38.5,37.22,37.79,49641
DHT,20180125,38.24,38.44,37.41,38.18,102412
DHT,20180122,41.06,41.06,37.27,37.85,397414
DHT,20180119,40.42,42.34,40.42,41.38,34870
DHT,20180118,39.78,40.42,39.78,40.42,13400
DHT,20180117,41.38,41.38,39.46,40.42,10317
DHT,20180116,40.42,40.42,39.46,40.42,21200
DHT,20180115,41.58,41.58,40.1,40.42,37165
DHT,20180112,41.58,41.97,40.42,41.58,49670
DHT,20180111,39.78,41.57,39.78,41.58,77330
DHT,20180110,41.06,42.22,40.42,40.42,71267
DHT,20180109,41.7,41.7,40.74,41.51,18734
DHT,20180108,42.35,42.35,41.07,41.06,34500
DHT,20180105,41.64,42.35,41.58,42.22,23531
DHT,20180104,43.31,43.31,41.64,41.64,64820
DHT,20180103,42.67,42.67,42.16,42.54,45140
DHT,20180102,42.99,42.99,42.48,42.54,62500
DHT,20171229,43.06,43.63,42.99,42.99,30094
DHT,20171228,42.86,43.89,42.74,43.89,50910
DHT,20171227,42.35,43.56,42.35,42.8,19300
DHT,20171226,42.99,42.99,42.73,42.73,64800
DHT,20171225,42.8,43.31,42.8,43.12,12300
DHT,20171222,42.73,43.31,42.73,43.31,16000
DHT,20171221,42.67,42.8,42.48,42.67,27600
DHT,20171220,42.99,42.99,42.67,42.8,36800
DHT,20171219,42.93,43.51,42.86,42.99,43743
DHT,20171218,44.91,44.91,42.86,43.57,33844
DHT,20171215,42.09,44.59,42.09,43.63,105300
DHT,20171214,41.58,43.44,41.58,42.67,18500
DHT,20171213,41.52,42.93,41.52,42.35,17800
DHT,20171212,42.73,42.73,41.71,41.9,39746
DHT,20171211,42.99,42.99,42.67,42.86,26600
DHT,20171208,43.18,44.27,42.99,42.99,93800
DHT,20171207,44.59,44.59,42.73,43.18,3000
DHT,20171206,42.66,43.05,42.66,42.99,27400
DHT,20171205,43.76,43.76,43.12,43.37,31800
DHT,20171204,44.85,44.92,43.63,43.76,50710
DHT,20171201,42.67,44.27,42.67,44.21,21000
DHT,20171130,44.91,44.91,42.66,42.67,96500
