<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DNC,20180713,,,,31.5,0
DNC,20180712,,,,31.5,0
DNC,20180711,,,,31.5,0
DNC,20180710,,,,31.5,0
DNC,20180709,,,,31.5,0
DNC,20180706,,,,31.5,0
DNC,20180705,,,,31.5,0
DNC,20180704,,,,31.5,0
DNC,20180703,,,,31.5,0
DNC,20180702,,,,31.5,0
DNC,20180629,,,,31.5,0
DNC,20180628,,,,31.5,0
DNC,20180627,,,,31.5,0
DNC,20180626,,,,31.5,0
DNC,20180625,,,,31.5,0
DNC,20180622,,,,31.5,0
DNC,20180621,31.5,31.5,31.5,31.5,600
DNC,20180620,,,,31.5,0
DNC,20180619,,,,31.5,0
DNC,20180618,,,,31.5,0
DNC,20180615,,,,31.5,0
DNC,20180614,,,,31.5,0
DNC,20180613,,,,31.5,0
DNC,20180612,,,,31.5,0
DNC,20180611,,,,31.5,0
DNC,20180608,,,,31.5,0
DNC,20180607,,,,31.5,0
DNC,20180606,,,,31.5,0
DNC,20180605,,,,31.5,0
DNC,20180604,,,,31.5,0
DNC,20180601,,,,31.5,0
DNC,20180531,,,,31.5,0
DNC,20180530,,,,31.5,0
DNC,20180529,,,,31.5,0
DNC,20180528,,,,31.5,0
DNC,20180525,,,,31.5,0
DNC,20180524,,,,31.5,0
DNC,20180523,,,,31.5,0
DNC,20180522,,,,31.5,0
DNC,20180521,,,,31.5,0
DNC,20180518,,,,31.5,0
DNC,20180517,,,,31.5,0
DNC,20180516,,,,31.5,0
DNC,20180515,,,,31.5,0
DNC,20180514,,,,31.5,0
DNC,20180511,,,,31.5,0
DNC,20180510,,,,31.5,0
DNC,20180509,,,,31.5,0
DNC,20180508,31.5,31.5,31.5,31.5,717
DNC,20180507,,,,35,0
DNC,20180504,,,,35,0
DNC,20180503,,,,35,0
DNC,20180502,,,,35,0
DNC,20180427,,,,35,0
DNC,20180426,,,,35,0
DNC,20180424,,,,35,0
DNC,20180423,,,,35,0
DNC,20180420,,,,35,0
DNC,20180419,,,,35,0
DNC,20180418,,,,35,0
DNC,20180417,,,,35,0
DNC,20180416,,,,35,0
DNC,20180413,,,,35,0
DNC,20180412,,,,35,0
DNC,20180411,,,,35,0
DNC,20180410,,,,35,0
DNC,20180409,,,,35,0
DNC,20180406,,,,35,0
DNC,20180405,,,,35,0
DNC,20180404,,,,35,0
DNC,20180403,35,35,35,35,5
DNC,20180402,35,35,35,35,3300
DNC,20180330,,,,35,0
DNC,20180329,,,,35,0
DNC,20180328,,,,35,0
DNC,20180327,,,,35,0
DNC,20180326,,,,35,0
DNC,20180323,,,,35,0
DNC,20180322,,,,35,0
DNC,20180321,35,35,35,35,300
DNC,20180320,,,,35,0
DNC,20180319,,,,35,0
DNC,20180316,,,,35,0
DNC,20180315,,,,35,0
DNC,20180314,,,,35,0
DNC,20180313,,,,35,0
DNC,20180312,,,,35,0
DNC,20180309,,,,35,0
DNC,20180308,,,,35,0
DNC,20180307,,,,35,0
DNC,20180306,,,,35,0
DNC,20180305,35,35,35,35,4300
DNC,20180302,,,,33.5,0
DNC,20180301,33.5,33.5,33.5,33.5,400
DNC,20180228,,,,37,0
DNC,20180227,,,,37,0
DNC,20180226,,,,37,0
DNC,20180223,37,37,37,37,1800
DNC,20180222,,,,37,0
DNC,20180221,,,,37,0
DNC,20180213,,,,37,0
DNC,20180212,,,,37,0
DNC,20180209,,,,37,0
DNC,20180208,,,,37,0
DNC,20180207,,,,37,0
DNC,20180206,,,,37,0
DNC,20180205,37.01,37.01,37.01,37,500
DNC,20180202,,,,37.2,0
DNC,20180201,,,,37.2,0
DNC,20180131,,,,37.2,0
DNC,20180130,,,,37.2,0
DNC,20180129,,,,37.2,0
DNC,20180126,,,,37.2,0
DNC,20180125,,,,37.2,0
DNC,20180122,37.19,37.19,37.19,37.2,300
DNC,20180119,,,,37,0
DNC,20180118,,,,37,0
DNC,20180117,,,,37,0
DNC,20180116,,,,37,0
DNC,20180115,37,37,37,37,200
DNC,20180112,,,,37,0
DNC,20180111,,,,37,0
DNC,20180110,,,,37,0
DNC,20180109,,,,37,0
DNC,20180108,,,,37,0
DNC,20180105,,,,37,0
DNC,20180104,37.19,37.19,37,37,300
DNC,20180103,,,,37,0
DNC,20180102,,,,37,0
DNC,20171229,38.46,38.46,37,37,900
DNC,20171228,,,,37.88,0
DNC,20171227,,,,37.88,0
DNC,20171226,37.88,37.88,37.88,37.88,600
DNC,20171225,,,,37.88,0
DNC,20171222,,,,37.88,0
DNC,20171221,,,,37.88,0
DNC,20171220,,,,37.88,0
DNC,20171219,,,,37.88,0
DNC,20171218,,,,37.88,0
DNC,20171215,,,,37.88,0
DNC,20171214,,,,37.88,0
DNC,20171213,,,,37.88,0
DNC,20171212,,,,37.88,0
DNC,20171211,,,,37.88,0
DNC,20171208,,,,37.88,0
DNC,20171207,,,,37.88,0
DNC,20171206,,,,37.88,0
DNC,20171205,37.87,37.87,37.87,37.88,1400
DNC,20171204,42.07,42.07,42.07,42.06,100
DNC,20171201,,,,38.27,0
DNC,20171130,,,,38.27,0
DNC,20171129,,,,38.27,0
DNC,20171128,38.27,38.27,38.27,38.27,100
DNC,20171127,34.86,34.86,34.86,34.86,110
DNC,20171124,,,,31.74,0
DNC,20171123,,,,31.74,0
DNC,20171122,,,,31.74,0
DNC,20171121,,,,31.74,0
DNC,20171120,,,,31.74,0
DNC,20171117,,,,31.74,0
DNC,20171116,31.74,31.74,31.74,31.74,38
DNC,20171115,,,,31.74,0
DNC,20171114,,,,31.74,0
DNC,20171113,,,,31.74,0
DNC,20171110,,,,31.74,0
DNC,20171109,,,,31.74,0
DNC,20171108,,,,31.74,0
DNC,20171107,,,,31.74,0
DNC,20171106,,,,31.74,0
DNC,20171103,31.74,31.74,31.74,31.74,100
DNC,20171102,,,,32.21,0
DNC,20171101,,,,32.21,0
DNC,20171031,32.21,32.21,32.21,32.21,700
DNC,20171030,35.71,35.71,35.71,35.71,300
DNC,20171027,,,,35.99,0
DNC,20171026,,,,35.99,0
DNC,20171025,,,,35.99,0
DNC,20171024,,,,35.99,0
DNC,20171023,35.99,35.99,35.99,35.99,100
DNC,20171020,39.96,39.96,39.96,39.96,10
DNC,20171019,,,,39.96,0
DNC,20171018,,,,39.96,0
DNC,20171017,,,,39.96,0
DNC,20171016,39.96,39.96,39.96,39.96,10
DNC,20171013,,,,39.96,0
DNC,20171012,,,,39.96,0
DNC,20171011,39.96,39.96,39.96,39.96,100
DNC,20171010,,,,44.4,0
DNC,20171009,,,,44.4,0
DNC,20171006,,,,44.4,0
DNC,20171005,,,,44.4,0
DNC,20171004,,,,44.4,0
DNC,20171003,,,,44.4,0
DNC,20171002,,,,44.4,0
DNC,20170929,44.4,44.4,44.4,44.4,100
DNC,20170928,,,,40.53,0
DNC,20170927,,,,40.53,0
DNC,20170926,,,,40.53,0
DNC,20170925,,,,40.53,0
DNC,20170922,,,,40.53,0
DNC,20170921,40.52,40.52,40.52,40.53,100
DNC,20170920,,,,36.84,0
DNC,20170919,,,,36.84,0
DNC,20170918,,,,36.84,0
DNC,20170915,,,,36.84,0
DNC,20170914,,,,36.84,0
DNC,20170913,,,,36.84,0
DNC,20170912,,,,36.84,0
DNC,20170911,,,,36.84,0
DNC,20170908,,,,36.84,0
DNC,20170907,,,,36.84,0
DNC,20170906,,,,36.84,0
DNC,20170905,,,,36.84,0
DNC,20170901,,,,36.84,0
DNC,20170831,,,,36.84,0
DNC,20170830,,,,36.84,0
DNC,20170829,,,,36.84,0
DNC,20170828,,,,36.84,0
DNC,20170825,,,,36.84,0
DNC,20170824,,,,36.84,0
DNC,20170823,,,,36.84,0
DNC,20170822,36.84,36.84,36.84,36.84,300
DNC,20170821,,,,36.84,0
DNC,20170818,,,,36.84,0
DNC,20170817,,,,36.84,0
DNC,20170816,,,,36.84,0
DNC,20170815,,,,36.84,0
DNC,20170814,,,,36.84,0
DNC,20170811,,,,36.84,0
DNC,20170810,36.84,36.84,36.84,36.84,200
DNC,20170809,,,,34.95,0
DNC,20170808,34.86,34.96,34.86,34.95,300
DNC,20170807,,,,37.13,0
DNC,20170804,,,,37.13,0
DNC,20170803,37.13,37.13,37.13,37.13,10
DNC,20170802,,,,37.13,0
DNC,20170801,37.13,37.13,37.13,37.13,34
DNC,20170731,,,,37.13,0
DNC,20170728,37.13,37.13,37.13,37.13,23
DNC,20170727,37.13,37.13,37.13,37.13,99
DNC,20170726,37.13,37.13,37.13,37.13,35
DNC,20170725,37.13,37.13,37.13,37.13,923
DNC,20170724,37.13,37.13,37.13,37.13,573
DNC,20170721,37.13,37.13,37.13,37.13,301
DNC,20170720,,,,37.13,0
DNC,20170719,37.13,37.13,37.13,37.13,100
DNC,20170718,,,,33.82,0
DNC,20170717,,,,33.82,0
DNC,20170714,,,,33.82,0
DNC,20170713,30.8,33.82,30.8,33.82,700
DNC,20170712,30.8,30.8,30.8,30.8,1500
DNC,20170711,,,,30.8,0
DNC,20170710,26.45,30.8,26.45,30.8,1100
DNC,20170707,,,,28.06,0
DNC,20170706,,,,28.06,0
DNC,20170705,,,,28.06,0
DNC,20170704,28.06,28.06,28.06,28.06,100
DNC,20170703,,,,25.51,0
DNC,20170630,,,,25.51,0
DNC,20170629,,,,25.51,0
DNC,20170628,,,,25.51,0
DNC,20170627,,,,25.51,0
DNC,20170626,25.5,25.5,25.5,25.51,800
DNC,20170623,26.64,26.93,26.64,26.92,2500
DNC,20170622,,,,25.7,0
DNC,20170621,,,,25.7,0
DNC,20170620,,,,25.7,0
DNC,20170619,,,,25.7,0
DNC,20170616,,,,25.7,0
DNC,20170615,25.69,25.69,25.69,25.7,100
DNC,20170614,,,,25.03,0
DNC,20170613,25.04,25.04,25.04,25.03,100
DNC,20170612,23.61,23.61,23.61,23.62,200
DNC,20170609,,,,21.82,0
DNC,20170608,,,,21.82,0
DNC,20170607,,,,21.82,0
DNC,20170606,,,,21.82,0
DNC,20170605,21.82,21.82,21.82,21.82,600
DNC,20170602,,,,19.84,0
DNC,20170601,,,,19.84,0
DNC,20170531,18.89,19.84,18.89,19.84,14900
DNC,20170530,,,,18.42,0
DNC,20170529,18.38,18.38,18.38,18.42,100
DNC,20170526,16.63,16.78,16.63,16.78,800
DNC,20170525,18.37,18.37,18.37,18.37,18400
DNC,20170524,20.4,20.4,20.4,20.41,100
DNC,20170523,,,,22.67,0
DNC,20170522,,,,22.67,0
DNC,20170519,22.67,22.67,22.67,22.67,18850
DNC,20170518,,,,22.67,0
DNC,20170517,22.67,22.67,22.67,22.67,500
DNC,20170516,,,,24.94,0
DNC,20170515,,,,24.94,0
DNC,20170512,,,,24.94,0
DNC,20170511,,,,24.94,0
DNC,20170510,,,,24.94,0
DNC,20170509,,,,24.94,0
DNC,20170508,,,,24.94,0
DNC,20170505,,,,24.94,0
DNC,20170504,,,,24.94,0
DNC,20170503,,,,24.94,0
DNC,20170428,,,,24.94,0
DNC,20170427,,,,24.94,0
DNC,20170426,,,,24.94,0
DNC,20170425,,,,24.94,0
DNC,20170424,,,,24.94,0
DNC,20170421,,,,24.94,0
DNC,20170420,,,,24.94,0
DNC,20170419,,,,24.94,0
DNC,20170418,,,,24.94,0
DNC,20170417,24.94,24.94,24.94,24.94,500
