<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DNM,20180713,,,,15,0
DNM,20180712,,,,15,0
DNM,20180711,15,15,15,15,600
DNM,20180710,,,,16.5,0
DNM,20180709,,,,16.5,0
DNM,20180706,16.5,16.5,16.5,16.5,100
DNM,20180705,16.5,16.5,15,15,300
DNM,20180704,16.5,16.5,16.5,16.5,100
DNM,20180703,15,15,15,15,100
DNM,20180702,,,,16.5,0
DNM,20180629,,,,16.5,0
DNM,20180628,,,,16.5,0
DNM,20180627,,,,16.5,0
DNM,20180626,,,,16.5,0
DNM,20180625,16.5,16.5,16.5,16.5,100
DNM,20180622,,,,15,0
DNM,20180621,,,,15,0
DNM,20180620,,,,15,0
DNM,20180619,,,,15,0
DNM,20180618,,,,15,0
DNM,20180615,,,,15,0
DNM,20180614,15,15,15,15,100
DNM,20180613,14.2,14.2,14.2,14.2,200
DNM,20180612,,,,15,0
DNM,20180611,,,,15,0
DNM,20180608,,,,15,0
DNM,20180607,,,,15,0
DNM,20180606,,,,15,0
DNM,20180605,,,,15,0
DNM,20180604,,,,15,0
DNM,20180601,,,,15,0
DNM,20180531,,,,15,0
DNM,20180530,,,,15,0
DNM,20180529,,,,15,0
DNM,20180528,,,,15,0
DNM,20180525,16,16,15,15,800
DNM,20180524,,,,16,0
DNM,20180523,16,16,16,16,400
DNM,20180522,,,,16,0
DNM,20180521,,,,16,0
DNM,20180518,,,,16,0
DNM,20180517,,,,16,0
DNM,20180516,16,16,16,16,1100
DNM,20180515,16,16,16,16,300
DNM,20180514,,,,16.94,0
DNM,20180511,,,,16.94,0
DNM,20180510,,,,16.94,0
DNM,20180509,16.94,16.94,16.94,16.94,100
DNM,20180508,,,,16.94,0
DNM,20180507,16.94,16.94,16.94,16.94,100
DNM,20180504,,,,16.56,0
DNM,20180503,,,,16.56,0
DNM,20180502,,,,16.56,0
DNM,20180427,16.57,16.57,16.57,16.56,100
DNM,20180426,15.06,15.06,15.06,15.06,1000
DNM,20180424,,,,15.06,0
DNM,20180423,15.06,15.06,15.06,15.06,100
DNM,20180420,,,,16.47,0
DNM,20180419,,,,16.47,0
DNM,20180418,16,16.47,16,16.47,1200
DNM,20180417,,,,16.94,0
DNM,20180416,16.94,16.94,16.94,16.94,1700
DNM,20180413,17.41,17.41,17.41,17.41,142
DNM,20180412,,,,17.41,0
DNM,20180411,,,,17.41,0
DNM,20180410,,,,17.41,0
DNM,20180409,,,,17.41,0
DNM,20180406,,,,17.41,0
DNM,20180405,,,,17.41,0
DNM,20180404,,,,17.41,0
DNM,20180403,,,,17.41,0
DNM,20180402,17.41,17.41,17.41,17.41,1900
DNM,20180330,,,,18.82,0
DNM,20180329,,,,18.82,0
DNM,20180328,18.82,18.82,18.82,18.82,100
DNM,20180327,,,,17.88,0
DNM,20180326,,,,17.88,0
DNM,20180323,,,,17.88,0
DNM,20180322,,,,17.88,0
DNM,20180321,,,,17.88,0
DNM,20180320,,,,17.88,0
DNM,20180319,,,,17.88,0
DNM,20180316,,,,17.88,0
DNM,20180315,17.88,17.88,17.88,17.88,28
DNM,20180314,,,,17.88,0
DNM,20180313,,,,17.88,0
DNM,20180312,,,,17.88,0
DNM,20180309,17.88,17.88,17.88,17.88,10
DNM,20180308,17.88,17.88,17.88,17.88,220
DNM,20180307,,,,18.82,0
DNM,20180306,,,,18.82,0
DNM,20180305,,,,18.82,0
DNM,20180302,21.55,21.55,18.82,18.82,5300
DNM,20180301,20.14,20.14,20.14,20.14,100
DNM,20180228,,,,18.73,0
DNM,20180227,,,,18.73,0
DNM,20180226,,,,18.73,0
DNM,20180223,,,,18.73,0
DNM,20180222,,,,18.73,0
DNM,20180221,,,,18.73,0
DNM,20180213,,,,18.73,0
DNM,20180212,,,,18.73,0
DNM,20180209,20.61,20.61,18.73,18.73,300
DNM,20180208,,,,18.82,0
DNM,20180207,,,,18.82,0
DNM,20180206,,,,18.82,0
DNM,20180205,,,,18.82,0
DNM,20180202,,,,18.82,0
DNM,20180201,18.82,18.82,18.82,18.82,5600
DNM,20180131,18.73,18.82,18.73,18.82,5000
DNM,20180130,,,,18.82,0
DNM,20180129,18.82,18.82,18.82,18.82,5000
DNM,20180126,,,,18.82,0
DNM,20180125,,,,18.82,0
DNM,20180122,,,,18.82,0
DNM,20180119,,,,18.82,0
DNM,20180118,18.82,18.82,18.82,18.82,25
DNM,20180117,,,,18.82,0
DNM,20180116,,,,18.82,0
DNM,20180115,,,,18.82,0
DNM,20180112,18.82,18.82,18.82,18.82,133
DNM,20180111,,,,19.76,0
DNM,20180110,,,,19.76,0
DNM,20180109,19.76,19.76,19.76,19.76,300
DNM,20180108,,,,18.82,0
DNM,20180105,,,,18.82,0
DNM,20180104,,,,18.82,0
DNM,20180103,,,,18.82,0
DNM,20180102,,,,18.82,0
DNM,20171229,18.82,18.82,18.82,18.82,400
DNM,20171228,,,,18.82,0
DNM,20171227,,,,18.82,0
DNM,20171226,18.82,18.82,18.82,18.82,300
DNM,20171225,18.83,18.83,18.83,18.82,300
DNM,20171222,,,,18.64,0
DNM,20171221,,,,18.64,0
DNM,20171220,,,,18.64,0
DNM,20171219,,,,18.64,0
DNM,20171218,18.63,18.63,18.63,18.64,1100
DNM,20171215,18.83,18.83,18.83,18.82,300
DNM,20171214,,,,18.92,0
DNM,20171213,18.92,18.92,18.92,18.92,100
DNM,20171212,20.61,20.61,20.61,20.61,100
DNM,20171211,,,,19.01,0
DNM,20171208,19.01,19.01,19.01,19.01,6
DNM,20171207,19.01,19.01,19.01,19.01,300
DNM,20171206,20.99,20.99,20.99,20.99,800
DNM,20171205,,,,20.8,0
DNM,20171204,,,,20.8,0
DNM,20171201,,,,20.8,0
DNM,20171130,,,,20.8,0
DNM,20171129,20.8,20.8,20.8,20.8,200
DNM,20171128,,,,20.8,0
DNM,20171127,,,,20.8,0
DNM,20171124,20.8,20.8,20.8,20.8,500
DNM,20171123,,,,22.96,0
DNM,20171122,22.59,22.97,22.59,22.96,500
DNM,20171121,,,,23.44,0
DNM,20171120,,,,23.44,0
DNM,20171117,,,,23.44,0
DNM,20171116,,,,23.44,0
DNM,20171115,,,,23.44,0
DNM,20171114,22.49,23.43,22.49,23.44,1400
DNM,20171113,,,,22.21,0
DNM,20171110,,,,22.21,0
DNM,20171109,18.26,22.22,18.26,22.21,300
DNM,20171108,20.24,20.24,20.24,20.24,1600
DNM,20171107,22.12,22.12,22.12,22.12,300
DNM,20171106,,,,22.12,0
DNM,20171103,,,,22.12,0
DNM,20171102,,,,22.12,0
DNM,20171101,,,,22.12,0
DNM,20171031,,,,22.12,0
DNM,20171030,,,,22.12,0
DNM,20171027,22.12,22.12,22.12,22.12,300
DNM,20171026,,,,22.59,0
DNM,20171025,,,,22.59,0
DNM,20171024,,,,22.59,0
DNM,20171023,,,,22.59,0
DNM,20171020,,,,22.59,0
DNM,20171019,,,,22.59,0
DNM,20171018,,,,22.59,0
DNM,20171017,22.59,22.59,22.59,22.59,100
