<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DNY,20180713,,,,4.6,0
DNY,20180712,,,,4.6,0
DNY,20180711,,,,4.6,0
DNY,20180710,,,,4.6,0
DNY,20180709,4.6,4.6,4.6,4.6,7000
DNY,20180706,,,,4.5,0
DNY,20180705,4.5,4.5,4.5,4.5,500
DNY,20180704,,,,4.4,0
DNY,20180703,,,,4.4,0
DNY,20180702,4.4,4.4,4.4,4.4,16000
DNY,20180629,,,,4.4,0
DNY,20180628,,,,4.4,0
DNY,20180627,,,,4.4,0
DNY,20180626,,,,4.4,0
DNY,20180625,,,,4.4,0
DNY,20180622,4.6,4.6,4.4,4.4,300
DNY,20180621,,,,4.6,0
DNY,20180620,,,,4.6,0
DNY,20180619,4.6,4.6,4.6,4.6,9400
DNY,20180618,4.6,4.6,4.6,4.6,300
DNY,20180615,,,,5,0
DNY,20180614,4.9,5,4.9,5,500
DNY,20180613,,,,4.6,0
DNY,20180612,4.6,4.6,4.6,4.6,100
DNY,20180611,,,,4.6,0
DNY,20180608,,,,4.6,0
DNY,20180607,,,,4.6,0
DNY,20180606,,,,4.6,0
DNY,20180605,,,,4.6,0
DNY,20180604,,,,4.6,0
DNY,20180601,4.6,4.6,4.6,4.6,20800
DNY,20180531,5.1,5.2,5.1,5.1,1900
DNY,20180530,,,,4.8,0
DNY,20180529,5.3,5.3,4.8,4.8,800
DNY,20180528,5.3,5.3,5.3,5.3,9
DNY,20180525,4.5,5.3,4.5,5.3,500
DNY,20180524,4.9,4.9,4.9,4.9,800
DNY,20180523,5.8,5.8,5.4,5.4,2200
DNY,20180522,5.9,5.9,5.9,5.9,50
DNY,20180521,,,,5.9,0
DNY,20180518,5.9,5.9,5.9,5.9,3000
DNY,20180517,5.9,5.9,5.9,5.9,100
DNY,20180516,,,,6,0
DNY,20180515,,,,6,0
DNY,20180514,5.9,6,5.9,6,3100
DNY,20180511,,,,6,0
DNY,20180510,,,,6,0
DNY,20180509,,,,6,0
DNY,20180508,6,6,6,6,1800
DNY,20180507,6.1,6.1,6.1,6.1,3100
DNY,20180504,6.2,6.2,6.2,6.2,1000
DNY,20180503,6.2,6.2,6.2,6.2,10
DNY,20180502,6.2,6.2,6.2,6.2,400
DNY,20180427,6.1,6.5,6.1,6.5,5300
DNY,20180426,6.1,6.1,6.1,6.1,260
DNY,20180424,,,,6.1,0
DNY,20180423,6.2,6.2,6.1,6.1,18100
DNY,20180420,6.3,6.6,6.3,6.6,2500
DNY,20180419,6.3,6.5,6.3,6.5,2900
DNY,20180418,6.6,6.6,6.3,6.3,400
DNY,20180417,6.6,6.6,6.3,6.5,3050
DNY,20180416,,,,6.6,0
DNY,20180413,6.4,6.6,6.4,6.6,2320
DNY,20180412,6.6,6.6,6.6,6.6,9
DNY,20180411,6.5,6.6,6,6.6,12100
DNY,20180410,6.5,6.6,6.5,6.6,6200
DNY,20180409,,,,6.8,0
DNY,20180406,,,,6.8,0
DNY,20180405,,,,6.8,0
DNY,20180404,6.4,6.8,6.4,6.8,5300
DNY,20180403,6.6,6.6,6.4,6.4,89300
DNY,20180402,6.5,6.7,6.4,6.6,35800
DNY,20180330,7,7,7,7,2400
DNY,20180329,7,7.1,7,7,3500
DNY,20180328,6.6,6.9,6.6,6.9,24249
DNY,20180327,6.6,6.6,6.6,6.6,300
DNY,20180326,6.4,6.5,6.4,6.5,3700
DNY,20180323,6.4,6.6,6.4,6.6,3120
DNY,20180322,6.5,6.5,6.5,6.5,400
DNY,20180321,6.4,6.4,6.4,6.4,600
DNY,20180320,6.3,6.6,6.3,6.4,2300
DNY,20180319,6.2,6.3,6.2,6.3,2444
DNY,20180316,6.3,6.3,6.3,6.3,2538
DNY,20180315,6.4,6.4,6.4,6.4,2800
DNY,20180314,6.3,6.4,6.2,6.4,14618
DNY,20180313,6.4,6.6,6.3,6.4,5468
DNY,20180312,6.4,6.5,6.4,6.4,6310
DNY,20180309,6.5,6.5,6.4,6.4,2007
DNY,20180308,6.4,6.9,6.3,6.9,9403
DNY,20180307,6.5,7.2,6.5,6.9,54740
DNY,20180306,7.2,7.2,7.2,7.2,1630
DNY,20180305,7.9,7.9,7.9,7.9,8800
DNY,20180302,9.5,9.5,8.7,8.7,36200
DNY,20180301,8.5,8.7,8.5,8.7,4480
DNY,20180228,9,9,8.4,8.7,14134
DNY,20180227,8.8,9.1,8.8,9.1,4100
DNY,20180226,8.8,9.1,8.8,8.9,2349
DNY,20180223,9.1,9.1,9,9,14320
DNY,20180222,9.1,9.2,8.6,9.2,27500
DNY,20180221,9.2,9.3,9.2,9.3,441
DNY,20180213,9.1,9.1,9.1,9.1,100
DNY,20180212,8.8,8.9,8.8,8.9,1719
DNY,20180209,8.6,9,8.4,9,5541
DNY,20180208,8.7,8.9,8.7,8.9,1600
DNY,20180207,8.6,8.7,8.6,8.7,4200
DNY,20180206,,,,8.6,0
DNY,20180205,8.9,8.9,8.6,8.6,11700
DNY,20180202,8.9,9.4,8.9,9.1,4920
DNY,20180201,8.6,8.7,8.5,8.6,3900
DNY,20180131,8.7,8.9,8.5,8.9,12931
DNY,20180130,8.9,9,8.7,9,18900
DNY,20180129,9,9.2,9,9.2,6238
DNY,20180126,9.7,9.7,9.1,9.4,32750
DNY,20180125,10.1,10.1,9.7,9.9,10810
DNY,20180122,9,9,9,9,4561
DNY,20180119,8,8.2,8,8.2,5180
DNY,20180118,7.5,7.5,7.5,7.5,2078
DNY,20180117,7.7,7.7,7.5,7.5,8110
DNY,20180116,,,,7.7,0
DNY,20180115,7.7,7.7,7.7,7.7,2000
DNY,20180112,7.8,7.8,7.8,7.8,400
DNY,20180111,7.6,7.8,7.6,7.8,200
DNY,20180110,7.8,7.9,7.8,7.8,2100
DNY,20180109,,,,7.8,0
DNY,20180108,7.6,7.8,7.6,7.8,605
DNY,20180105,7.6,7.6,7.6,7.6,100
DNY,20180104,7.7,7.7,7.7,7.7,205
DNY,20180103,7.6,7.6,7.6,7.6,100
DNY,20180102,7.7,7.7,7.5,7.5,22000
DNY,20171229,7.9,8,7.9,8,1800
DNY,20171228,7.7,7.7,7.7,7.7,549
DNY,20171227,8,8.1,8,8.1,2000
DNY,20171226,,,,8.3,0
DNY,20171225,,,,8.3,0
DNY,20171222,,,,8.3,0
DNY,20171221,8.2,8.3,8.2,8.3,500
DNY,20171220,,,,8,0
DNY,20171219,7.7,8.1,7.7,8,3300
DNY,20171218,7.8,7.8,7.7,7.7,400
DNY,20171215,7.7,7.7,7.6,7.7,13679
DNY,20171214,7.6,7.6,7.6,7.6,500
DNY,20171213,7.6,7.6,7.6,7.6,400
DNY,20171212,7.7,7.8,7.7,7.7,2300
DNY,20171211,7.6,7.7,7.6,7.7,200
DNY,20171208,7.6,7.6,7.5,7.5,62107
DNY,20171207,7.6,7.6,7.6,7.6,511
DNY,20171206,7.7,7.7,7.7,7.7,34
DNY,20171205,7.7,7.7,7.7,7.7,100
DNY,20171204,,,,7.6,0
DNY,20171201,7.6,7.6,7.6,7.6,500
DNY,20171130,7.5,7.6,7.5,7.6,949
DNY,20171129,7.5,7.5,7.5,7.5,400
DNY,20171128,7.5,7.5,7.4,7.4,1500
DNY,20171127,7.4,7.4,7.4,7.4,100
DNY,20171124,,,,7.6,0
DNY,20171123,7.6,7.6,7.6,7.6,100
DNY,20171122,7.5,7.6,7.4,7.6,1800
DNY,20171121,7.3,7.3,7.3,7.3,100
DNY,20171120,,,,7.3,0
DNY,20171117,,,,7.3,0
DNY,20171116,,,,7.3,0
DNY,20171115,7.4,7.4,7.3,7.3,2400
DNY,20171114,7.4,7.4,7.4,7.4,5000
DNY,20171113,7.6,7.6,7.5,7.5,500
DNY,20171110,7.7,7.7,7.6,7.6,600
DNY,20171109,7.7,7.7,7.7,7.7,100
DNY,20171108,7.8,7.8,7.8,7.8,100
DNY,20171107,7.5,7.8,7.3,7.8,2100
DNY,20171106,,,,7.5,0
DNY,20171103,7.5,7.5,7.5,7.5,1000
DNY,20171102,7.5,7.5,7.5,7.5,1700
DNY,20171101,7.6,7.6,7.6,7.6,1800
DNY,20171031,7.8,7.8,7.8,7.8,3000
DNY,20171030,7.9,8,7.9,7.9,4324
DNY,20171027,7.8,7.8,7.8,7.8,1000
DNY,20171026,7.9,8,7.8,7.8,6800
DNY,20171025,7.9,7.9,7.9,7.9,660
DNY,20171024,7.6,7.9,7.6,7.9,7500
DNY,20171023,7.6,7.7,7.6,7.7,2200
DNY,20171020,7.4,7.6,7.4,7.6,2200
DNY,20171019,7.3,7.6,7.3,7.6,3500
DNY,20171018,7.3,7.3,7.2,7.2,2100
DNY,20171017,7.3,7.3,7.3,7.3,100
DNY,20171016,7.3,7.3,7.2,7.2,540
DNY,20171013,7.2,7.2,7.2,7.2,1000
DNY,20171012,7.2,7.2,7.2,7.2,100
DNY,20171011,7.1,7.1,7.1,7.1,1000
DNY,20171010,,,,7,0
DNY,20171009,7,7,7,7,2100
DNY,20171006,,,,7,0
DNY,20171005,7,7.2,7,7,10500
DNY,20171004,,,,7,0
DNY,20171003,7.1,7.1,7,7,2500
DNY,20171002,,,,7.2,0
DNY,20170929,7.2,7.2,7.2,7.2,1900
DNY,20170928,7.2,7.3,7.2,7.3,2500
DNY,20170927,,,,7.1,0
DNY,20170926,7.1,7.1,7.1,7.1,1000
DNY,20170925,7.1,7.1,7.1,7.1,1100
DNY,20170922,7.1,7.1,7.1,7.1,800
DNY,20170921,7.3,7.3,7.2,7.2,500
DNY,20170920,7.2,7.3,7.2,7.3,2400
DNY,20170919,7.1,7.2,7.1,7.2,1000
DNY,20170918,,,,7.1,0
DNY,20170915,7.1,7.1,7.1,7.1,3800
DNY,20170914,7.3,7.3,7.3,7.3,100
DNY,20170913,7.1,7.1,7.1,7.1,560
DNY,20170912,,,,7.4,0
DNY,20170911,7.3,7.4,7.3,7.4,1200
DNY,20170908,7.3,7.3,7.3,7.3,810
DNY,20170907,7.3,7.4,7,7.3,5200
DNY,20170906,,,,7.4,0
DNY,20170905,7.4,7.4,7.4,7.4,2000
DNY,20170901,7.3,7.4,7.3,7.4,7120
DNY,20170831,7.4,7.4,7.4,7.4,1800
DNY,20170830,7.4,7.4,7.4,7.4,1000
DNY,20170829,7.4,7.4,7.4,7.4,13000
DNY,20170828,7.4,7.4,7.4,7.4,10800
DNY,20170825,7.5,7.5,7.4,7.4,8600
DNY,20170824,7.4,7.4,7.3,7.3,12400
DNY,20170823,7.3,7.5,7.3,7.4,2500
DNY,20170822,7.3,7.3,7.3,7.3,4620
DNY,20170821,7.4,7.4,7.3,7.3,20804
DNY,20170818,,,,7.5,0
DNY,20170817,7.5,7.5,7.5,7.5,1000
DNY,20170816,7.4,7.4,7.4,7.4,500
DNY,20170815,7.4,7.5,7.4,7.4,4400
DNY,20170814,7.5,7.5,7.4,7.4,17910
DNY,20170811,7.8,7.8,7.5,7.6,2370
DNY,20170810,7.4,7.8,7.4,7.8,604
DNY,20170809,7.8,7.8,7.7,7.8,19110
DNY,20170808,7.79,7.88,7.7,7.7,70869
DNY,20170807,7.7,7.79,7.61,7.7,37870
DNY,20170804,7.7,7.79,7.61,7.61,64160
DNY,20170803,7.61,7.7,7.61,7.7,14439
DNY,20170802,7.88,7.88,7.52,7.7,28600
DNY,20170801,7.61,7.79,7.52,7.7,17100
DNY,20170731,7.97,8.24,7.53,7.61,26340
DNY,20170728,7.61,7.96,7.61,7.97,55800
DNY,20170727,7.17,7.52,7.17,7.52,59700
DNY,20170726,6.9,7.17,6.81,7.17,20410
DNY,20170725,6.9,6.9,6.81,6.9,3900
DNY,20170724,6.81,6.81,6.81,6.81,3500
DNY,20170721,6.81,6.81,6.63,6.81,2587
DNY,20170720,6.9,6.9,6.72,6.81,6700
DNY,20170719,6.72,6.9,6.72,6.9,2100
DNY,20170718,6.81,6.81,6.81,6.81,600
DNY,20170717,6.9,6.9,6.81,6.81,2300
DNY,20170714,6.9,6.9,6.72,6.81,2937
DNY,20170713,6.81,6.81,6.81,6.81,2500
DNY,20170712,6.81,6.81,6.81,6.81,7739
DNY,20170711,6.81,6.81,6.72,6.81,5900
DNY,20170710,6.9,6.9,6.81,6.81,6100
DNY,20170707,6.99,6.99,6.9,6.9,3000
DNY,20170706,6.72,7.08,6.72,7.08,21900
DNY,20170705,6.73,6.82,6.73,6.81,7600
DNY,20170704,6.73,6.73,6.73,6.73,75
DNY,20170703,6.73,6.73,6.64,6.73,2200
DNY,20170630,6.72,6.72,6.63,6.73,3800
DNY,20170629,6.73,6.82,6.73,6.81,2200
DNY,20170628,6.73,6.73,6.73,6.73,1000
DNY,20170627,,,,6.64,0
DNY,20170626,,,,6.64,0
DNY,20170623,6.64,6.64,6.55,6.64,8742
DNY,20170622,,,,6.64,0
DNY,20170621,6.64,6.64,6.64,6.64,2000
DNY,20170620,6.73,6.73,6.73,6.73,1100
DNY,20170619,6.73,6.73,6.73,6.73,1000
DNY,20170616,6.72,6.72,6.63,6.73,3649
DNY,20170615,6.81,6.81,6.81,6.81,2500
DNY,20170614,6.81,6.81,6.81,6.81,818
DNY,20170613,6.81,6.9,6.81,6.9,1700
DNY,20170612,6.81,6.81,6.81,6.81,3200
DNY,20170609,6.99,6.99,6.81,6.81,10500
DNY,20170608,6.99,6.99,6.99,6.99,500
DNY,20170607,6.82,6.91,6.82,6.9,10000
DNY,20170606,6.64,6.73,6.64,6.73,15100
DNY,20170605,6.64,6.64,6.64,6.64,1000
DNY,20170602,6.55,6.55,6.55,6.55,4300
DNY,20170601,6.55,6.55,6.55,6.55,1000
DNY,20170531,6.64,6.64,6.64,6.64,800
DNY,20170530,6.64,6.73,6.64,6.73,11500
DNY,20170529,6.64,6.73,6.64,6.73,19700
DNY,20170526,,,,6.64,0
DNY,20170525,6.64,6.64,6.64,6.64,4740
DNY,20170524,6.55,6.64,6.55,6.64,2500
DNY,20170523,6.64,6.64,6.55,6.55,470
DNY,20170522,6.55,6.55,6.55,6.55,1000
DNY,20170519,6.55,6.55,6.55,6.55,811
DNY,20170518,6.55,6.64,6.55,6.55,5006
DNY,20170517,6.55,6.64,6.55,6.64,14100
