<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DRH,20180713,13.95,14,13.75,14,42000
DRH,20180712,13.9,14.15,13.6,13.9,10440
DRH,20180711,14.7,14.7,13.9,14.2,34970
DRH,20180710,15.35,15.35,14.5,14.7,30720
DRH,20180709,15.4,15.55,14.8,15.35,91010
DRH,20180706,15.4,16,14.5,15.4,141260
DRH,20180705,16.5,16.5,15.25,15.4,152690
DRH,20180704,15.4,16,15.2,16,179990
DRH,20180703,15.9,15.9,15,15.5,121670
DRH,20180702,15,15.75,14.21,15.75,354790
DRH,20180629,14.37,14.83,13.95,14.83,294470
DRH,20180628,14.34,14.38,13.84,14.12,255340
DRH,20180627,13.67,14.42,13.33,14.42,246030
DRH,20180626,13.71,13.79,13.54,13.71,195160
DRH,20180625,13.33,13.83,13.33,13.83,229080
DRH,20180622,13.74,13.74,13.33,13.58,51160
DRH,20180621,13.67,13.67,13.33,13.62,57950
DRH,20180620,13.92,13.92,13.33,13.75,274420
DRH,20180619,13.96,13.96,13.04,13.5,191170
DRH,20180618,14.3,14.38,13.75,14,61450
DRH,20180615,14.21,14.46,14.17,14.38,60870
DRH,20180614,14.58,14.58,14.25,14.25,77730
DRH,20180613,14.38,14.55,14.13,14.33,236970
DRH,20180612,14.5,14.5,14.17,14.17,147730
DRH,20180611,14.71,14.71,14.5,14.5,130540
DRH,20180608,14.83,14.91,14.67,14.75,267960
DRH,20180607,14.21,14.88,14.17,14.79,334710
DRH,20180606,14.08,14.16,13.91,14.17,333180
DRH,20180605,14.08,14.12,13.75,14.08,231880
DRH,20180604,14.16,14.16,13.79,14.04,176750
DRH,20180601,14.08,14.16,13.83,14.08,168230
DRH,20180531,14.17,14.34,14,14.12,109190
DRH,20180530,14.13,14.17,13.88,14.17,102130
DRH,20180529,14,14.21,13.75,14.17,71800
DRH,20180528,14.92,14.92,14,14,70140
DRH,20180525,15,15.09,14.79,15,168340
DRH,20180524,15,15,14.58,14.96,125630
DRH,20180523,15.17,15.17,14.71,15,39350
DRH,20180522,15.25,15.29,14.58,15.17,141900
DRH,20180521,15.21,15.41,14.83,15.33,114450
DRH,20180518,15.33,15.41,14.87,15.33,138920
DRH,20180517,15.42,15.63,14.38,15.33,314260
DRH,20180516,15.67,15.67,15.33,15.42,112840
DRH,20180515,15.84,15.84,15.67,15.71,404860
DRH,20180514,15.29,15.66,15.16,15.67,373030
DRH,20180511,15.33,15.33,14.91,15.33,395810
DRH,20180510,15.33,15.33,14.75,15.33,317410
DRH,20180509,15.38,15.42,15.09,15.25,372700
DRH,20180508,15.58,15.58,15.16,15.42,315460
DRH,20180507,15.58,15.58,14.58,15.58,350660
DRH,20180504,15.25,15.59,14.67,15.58,480960
DRH,20180503,13.67,14.92,13.54,14.92,270000
DRH,20180502,14.08,14.12,13.79,14,150420
DRH,20180427,13.59,14.05,13.38,14.04,179750
DRH,20180426,13.42,13.71,13.09,13.67,335920
DRH,20180424,13.5,13.71,13.12,13.42,182140
DRH,20180423,14.16,14.45,13.5,13.5,146830
DRH,20180420,14.17,14.38,13.92,14.33,199900
DRH,20180419,14.42,14.79,14.08,14.17,289680
DRH,20180418,14.92,14.96,14.58,14.71,717410
DRH,20180417,14.84,15.04,14.67,14.71,453310
DRH,20180416,14.91,15,14.58,14.71,138090
DRH,20180413,14.42,14.8,14.21,14.58,362230
DRH,20180412,14.25,15,14.21,14.42,259500
DRH,20180411,15.29,15.54,14.37,14.42,563730
DRH,20180410,16.08,16.08,15.29,15.29,622150
DRH,20180409,16.66,16.66,16,16.25,663290
DRH,20180406,16.67,16.67,16.25,16.29,691050
