<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DTL,20180713,42,42.5,42,42.5,1040
DTL,20180712,45.3,43,42.9,42.9,1400
DTL,20180711,,,,45.3,0
DTL,20180710,,,,45.3,0
DTL,20180709,45.3,45.3,45.3,45.3,1000
DTL,20180706,,,,48.3,0
DTL,20180705,,,,48.3,0
DTL,20180704,,,,48.3,0
DTL,20180703,,,,48.3,0
DTL,20180702,,,,48.3,0
DTL,20180629,,,,48.3,0
DTL,20180628,,,,48.3,0
DTL,20180627,,,,48.3,0
DTL,20180626,,,,48.3,0
DTL,20180625,48.3,48.3,48.3,48.3,20
DTL,20180622,48.3,48.3,48.3,48.3,1200
DTL,20180621,,,,48,0
DTL,20180620,48,48,48,48,1000
DTL,20180619,,,,47.6,0
DTL,20180618,,,,47.6,0
DTL,20180615,,,,47.6,0
DTL,20180614,,,,47.6,0
DTL,20180613,47.6,47.6,47.6,47.6,1300
DTL,20180612,,,,47.8,0
DTL,20180611,47.8,47.8,47.8,47.8,1000
DTL,20180608,47.8,47.8,47.8,47.8,1000
DTL,20180607,,,,47.8,0
DTL,20180606,,,,47.8,0
DTL,20180605,,,,47.8,0
DTL,20180604,47.8,47.8,47.8,47.8,1180
DTL,20180601,47.8,47.8,47.8,47.8,1200
DTL,20180531,48,48,48,48,1000
DTL,20180530,48.5,48.5,48.5,48.5,1000
DTL,20180529,49,49,49,49,800
DTL,20180528,49,49,49,49,800
DTL,20180525,49.4,49.4,49.4,49.4,800
DTL,20180524,49.5,49.5,49.5,49.5,500
DTL,20180523,49.7,49.7,49.6,49.6,1900
DTL,20180522,50,50,50,50,600
DTL,20180521,50.3,50.3,50.3,50.3,800
DTL,20180518,,,,50.2,0
DTL,20180517,,,,50.2,0
DTL,20180516,50.2,50.2,50.2,50.2,500
DTL,20180515,50.2,50.2,50.2,50.2,700
DTL,20180514,50,50,50,50,1420
DTL,20180511,49.9,50,49.9,49.9,1200
DTL,20180510,49.5,49.7,49.5,49.7,1000
DTL,20180509,49.5,49.5,49.5,49.5,600
DTL,20180508,49.3,49.3,49.3,49.3,600
DTL,20180507,49.4,49.4,49.2,49.2,1100
DTL,20180504,49.2,49.2,49.2,49.2,500
DTL,20180503,,,,49,0
DTL,20180502,49,49,49,49,500
DTL,20180427,,,,49,0
DTL,20180426,49,49,49,49,800
DTL,20180424,49.6,49.6,49.5,49.5,3100
DTL,20180423,50,50,50,50,1000
DTL,20180420,50,50.2,50,50.2,3010
DTL,20180419,50.9,50.9,50.9,50.9,2000
DTL,20180418,51.5,51.5,51.3,51.3,5390
DTL,20180417,52.2,52.2,52,52,1940
DTL,20180416,52.5,52.5,52.5,52.5,500
DTL,20180413,53,53,53,53,500
DTL,20180412,53.5,53.5,53.5,53.5,420
DTL,20180411,54.5,54.5,54,54,20
DTL,20180410,55,55,55,55,3000
DTL,20180409,,,,55.4,0
DTL,20180406,,,,55.4,0
DTL,20180405,55.4,55.4,55.4,55.4,1000
DTL,20180404,55.4,55.4,55.4,55.4,1000
DTL,20180403,55.1,55.1,55.1,55.1,70
DTL,20180402,,,,55.1,0
DTL,20180330,,,,55.1,0
DTL,20180329,55.2,55.2,55.1,55.1,400
DTL,20180328,55,55,55,55,500
DTL,20180327,54.5,54.5,54.5,54.5,200
DTL,20180326,,,,54.5,0
DTL,20180323,54.5,54.5,54.5,54.5,1000
DTL,20180322,54.5,54.5,54.5,54.5,1000
DTL,20180321,54.5,54.5,54.5,54.5,500
DTL,20180320,54.4,54.5,54.4,54.5,1680
DTL,20180319,54.3,54.3,54,54,2070
DTL,20180316,,,,54,0
DTL,20180315,54,54,54,54,100
DTL,20180314,54,54,54,54,4370
DTL,20180313,54.2,54.2,54.2,54.2,150
DTL,20180312,54,54,54,54,1000
DTL,20180309,53,53,53,53,300
DTL,20180308,52.8,52.8,52.8,52.8,330
DTL,20180307,52.5,52.5,52.5,52.5,1000
DTL,20180306,52,52,52,52,720
DTL,20180305,52,52,52,52,1000
DTL,20180302,,,,51.5,0
DTL,20180301,51.5,51.5,51.5,51.5,300
DTL,20180228,,,,51.5,0
DTL,20180227,51.5,51.5,51.5,51.5,500
DTL,20180226,51.2,51.2,51.2,51.2,30
DTL,20180223,51.2,51.2,51.2,51.2,350
DTL,20180222,51,51,51,51,2000
DTL,20180221,51,51,51,51,500
DTL,20180213,48.5,50.5,48.5,50.5,1600
DTL,20180212,,,,48.7,0
DTL,20180209,,,,48.7,0
DTL,20180208,48.7,48.7,48.7,48.7,300
DTL,20180207,48.7,48.7,48.7,48.7,2900
DTL,20180206,48.5,48.5,48.5,48.5,260
DTL,20180205,48.5,48.5,48.5,48.5,1500
DTL,20180202,48.5,48.5,48.5,48.5,4500
DTL,20180201,48.2,48.2,48.2,48.2,4000
DTL,20180131,47.7,48,47.7,48,5600
DTL,20180130,47.7,47.7,47.7,47.7,3000
DTL,20180129,47.7,47.7,47.7,47.7,3000
DTL,20180126,47.5,47.5,47.5,47.5,2500
DTL,20180125,47.5,47.5,47.5,47.5,600
DTL,20180122,47,47.2,47,47.2,440
DTL,20180119,47.2,47.2,47.2,47.2,3000
DTL,20180118,47,47,47,47,3000
DTL,20180117,47,47,47,47,3000
DTL,20180116,47,47,47,47,3330
DTL,20180115,47,47,47,47,3000
DTL,20180112,46.6,47,46.6,47,4020
DTL,20180111,46.5,46.5,46.5,46.5,3000
DTL,20180110,46.4,46.4,46.4,46.4,3000
DTL,20180109,46.3,46.3,46.3,46.3,3000
DTL,20180108,46.2,46.2,46.2,46.2,2500
DTL,20180105,45.7,46,45.7,46,800
DTL,20180104,45.5,45.5,45.5,45.5,300
DTL,20180103,45.2,45.2,45.2,45.2,600
DTL,20180102,45.2,45.2,45,45,950
DTL,20171229,45,45,45,45,1500
DTL,20171228,42.4,43.9,42.3,42.3,3140
DTL,20171227,42.3,42.3,42.3,42.3,1800
DTL,20171226,42.3,42.3,42.2,42.2,4120
DTL,20171225,42.2,42.3,42.2,42.3,2800
DTL,20171222,42.2,42.2,42.2,42.2,2000
