<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DXG,20180713,21.7,22.5,21.7,22.35,4450930
DXG,20180712,21.1,21.45,19.75,21.1,3057210
DXG,20180711,20.1,20.2,19.65,20.1,6369770
DXG,20180710,22.6,23,21.05,21.1,4454670
DXG,20180709,24.1,24.45,22.5,22.6,3475250
DXG,20180706,21.6,24.4,21.6,23.8,6150780
DXG,20180705,25,25,23.2,23.2,6715490
DXG,20180704,24.5,25.1,23.4,24.9,3190590
DXG,20180703,25.85,27,24.5,24.5,4233750
DXG,20180702,26.9,27.2,25.25,26.3,7095120
DXG,20180629,26.8,27.8,26.75,27.15,2620260
DXG,20180628,27.7,28.2,26.5,26.8,4794410
DXG,20180627,29.25,29.5,28,28.3,3530950
DXG,20180626,29.2,29.5,29.05,29.35,2058900
DXG,20180625,30,30.25,29.75,30,2216480
DXG,20180622,28.5,29.9,28.45,29.85,2209830
DXG,20180621,30.3,30.3,29,29.2,2671300
DXG,20180620,29,30.5,28.6,30.5,4640530
DXG,20180619,28.7,29.5,28.15,28.7,7935660
DXG,20180618,32.3,32.4,30.25,30.25,7657780
DXG,20180615,32.2,32.5,31.7,32.5,3191430
DXG,20180614,33.2,33.5,31.9,32.5,5692940
DXG,20180613,32.6,33.8,32.5,33.4,4233110
DXG,20180612,31.9,33,31,32.95,5434890
DXG,20180611,33.35,33.55,32.5,32.5,4055330
DXG,20180608,33,33.75,32.55,33.75,4570800
DXG,20180607,33.9,34.05,33,33.2,3716910
DXG,20180606,33.5,34.1,33.3,33.9,3270330
DXG,20180605,32.7,33.95,32.35,33.95,4557600
DXG,20180604,32,33,31.5,32.9,3380060
DXG,20180601,30.9,32.4,30.6,32,5229370
DXG,20180531,28.75,30.75,28.6,30.75,3731680
DXG,20180530,28,29.2,27.8,28.75,2434900
DXG,20180529,26.4,27.95,26.4,27.95,1905860
DXG,20180528,27.5,27.7,26.15,26.15,5650310
DXG,20180525,29.45,30.2,28.1,28.1,1871730
DXG,20180524,29.85,30.1,29.4,29.8,1275030
DXG,20180523,28.1,29.85,28,29.85,1670420
DXG,20180522,31,31.2,29,29,5032560
DXG,20180521,32.3,32.3,30.75,31.15,2889630
DXG,20180518,31.68,31.86,30.8,31.86,2699990
DXG,20180517,32.12,32.12,31.24,31.68,2136750
DXG,20180516,31.68,32.16,31.32,32.12,3470200
DXG,20180515,31.24,32.03,31.15,31.81,3024070
DXG,20180514,30,30.98,29.83,30.97,2593590
DXG,20180511,28.49,29.91,28.32,29.65,1830460
DXG,20180510,30.09,30.66,29.02,29.2,1956590
DXG,20180509,29.64,30.66,29.55,30.44,3495650
DXG,20180508,29.82,30.4,29.47,29.82,3663980
DXG,20180507,27.88,29.83,27.84,29.82,2817940
DXG,20180504,27.61,28.32,27.44,27.88,2099170
DXG,20180503,26.64,27.26,25.35,27.26,3605810
DXG,20180502,29.39,29.47,27.08,27.08,2268700
DXG,20180427,27.44,29.12,27.22,29.12,2627470
DXG,20180426,30.53,30.71,28.41,28.41,3348690
DXG,20180424,30.09,31.07,29.69,30.53,2451360
DXG,20180423,33.09,33.18,30.48,30.49,2882770
DXG,20180420,31.42,32.75,31.38,32.74,3952790
DXG,20180419,31.11,31.82,30.27,31.42,3858540
DXG,20180418,32.3,32.7,30.97,31.11,2534350
DXG,20180417,30.62,32.12,30.35,32.12,3382270
DXG,20180416,31.41,31.59,30.44,30.44,3658540
DXG,20180413,33.06,33.06,31.68,31.68,3318900
DXG,20180412,31.95,33.01,31.86,32.57,2720090
DXG,20180411,34.16,34.25,32.43,32.48,5281800
DXG,20180410,35.31,35.31,33.94,34.16,4284700
DXG,20180409,34.69,35.57,34.69,35.22,4440570
DXG,20180406,33.62,34.86,33.58,34.69,5484740
DXG,20180405,33.59,33.72,32.3,33.58,5683910
DXG,20180404,32.84,33.9,32.75,33.19,6350270
DXG,20180403,33.01,33.37,32.57,32.57,2201580
DXG,20180402,32.7,33.36,32.3,33.1,2972320
DXG,20180330,32.04,32.92,31.73,32.21,3727360
DXG,20180329,32.75,32.83,31.73,32.39,3642710
DXG,20180328,33.01,33.63,32.48,32.48,2653850
DXG,20180327,34.34,34.52,33.01,33.19,2265000
DXG,20180326,32.35,33.94,32.35,33.94,2360960
DXG,20180323,32.48,33.46,32.39,32.57,4755760
DXG,20180322,33.77,34.3,33.63,33.81,2981900
DXG,20180321,34.16,34.25,33.54,33.81,2587760
DXG,20180320,33.8,34.69,33.63,33.98,2067540
DXG,20180319,32.3,33.98,32.04,33.98,6653820
DXG,20180316,32.03,32.25,31.63,31.77,2784000
DXG,20180315,31.41,32.12,31.41,32.12,1555890
DXG,20180314,32.3,32.83,31.99,31.99,1585240
DXG,20180313,30.27,32.3,30.22,32.3,2394680
