<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
E1VFVN30,20180713,14.41,14.85,14.41,14.85,38350
E1VFVN30,20180712,14.46,14.65,14.33,14.51,716620
E1VFVN30,20180711,14.75,14.75,14.29,14.46,75830
E1VFVN30,20180710,14.9,15,14.82,14.82,45130
E1VFVN30,20180709,15.09,15.1,14.82,14.82,12940
E1VFVN30,20180706,14.8,14.97,14.4,14.9,52940
E1VFVN30,20180705,15,15,14.5,14.52,101590
E1VFVN30,20180704,14.5,14.99,14.5,14.99,514800
E1VFVN30,20180703,15.11,15.29,14.79,14.8,396500
E1VFVN30,20180702,16.19,16.19,15.11,15.33,164140
E1VFVN30,20180629,15.49,15.68,15.49,15.58,7890
E1VFVN30,20180628,15.66,15.75,15.49,15.49,165350
E1VFVN30,20180627,16,16.07,15.8,15.8,19000
E1VFVN30,20180626,16,16,15.81,15.93,28090
E1VFVN30,20180625,16.1,16.2,16.06,16.14,23210
E1VFVN30,20180622,15.5,15.99,15.5,15.99,331650
E1VFVN30,20180621,16,16,15.55,15.56,10580
E1VFVN30,20180620,16,16,15.35,16,111860
E1VFVN30,20180619,15,15.65,15,15.11,562910
E1VFVN30,20180618,16,16.51,16,16,255890
E1VFVN30,20180615,16.35,16.54,16.35,16.54,7250
E1VFVN30,20180614,16.65,16.7,16.31,16.31,114420
E1VFVN30,20180613,17.05,17.05,16.5,16.75,57650
E1VFVN30,20180612,16.8,16.85,16.2,16.6,288540
E1VFVN30,20180611,16.78,16.88,16.72,16.86,355940
E1VFVN30,20180608,16.8,16.85,16.72,16.78,652820
E1VFVN30,20180607,16.85,17,16.8,16.8,195240
E1VFVN30,20180606,16.45,16.73,16.35,16.73,189190
E1VFVN30,20180605,16.34,16.56,16.34,16.45,1197860
E1VFVN30,20180604,16.1,16.34,16,16.34,82960
E1VFVN30,20180601,15.8,16.04,15.54,16.04,76840
E1VFVN30,20180531,15.45,15.8,15.01,15.8,142950
E1VFVN30,20180530,15.01,15.1,14.84,15,97210
E1VFVN30,20180529,14.8,15.33,14.52,15.1,98090
