<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FID,20180713,,,,2,0
FID,20180712,,,,2,0
FID,20180711,,,,2,0
FID,20180710,,,,2,0
FID,20180709,,,,2,0
FID,20180706,1.8,2,1.8,2,17300
FID,20180705,,,,1.9,0
FID,20180704,,,,1.9,0
FID,20180703,,,,1.9,0
FID,20180702,,,,1.9,0
FID,20180629,1.7,1.9,1.7,1.9,6100
FID,20180628,,,,1.8,0
FID,20180627,,,,1.8,0
FID,20180626,,,,1.8,0
FID,20180625,,,,1.8,0
FID,20180622,1.8,1.8,1.8,1.8,2000
FID,20180621,,,,1.9,0
FID,20180620,,,,1.9,0
FID,20180619,,,,1.9,0
FID,20180618,,,,1.9,0
FID,20180615,1.8,1.9,1.8,1.9,25610
FID,20180614,,,,1.9,0
FID,20180613,,,,1.9,0
FID,20180612,,,,1.9,0
FID,20180611,,,,1.9,0
FID,20180608,1.8,1.9,1.8,1.9,120200
FID,20180607,,,,2,0
FID,20180606,,,,2,0
FID,20180605,,,,2,0
FID,20180604,,,,2,0
FID,20180601,2,2,2,2,29600
FID,20180531,,,,2.2,0
FID,20180530,,,,2.2,0
FID,20180529,,,,2.2,0
FID,20180528,,,,2.2,0
FID,20180525,1.9,2.2,1.9,2.2,200
FID,20180524,,,,2.1,0
FID,20180523,,,,2.1,0
FID,20180522,,,,2.1,0
FID,20180521,,,,2.1,0
FID,20180518,1.8,2.1,1.8,2.1,18100
FID,20180517,,,,2,0
FID,20180516,,,,2,0
FID,20180515,,,,2,0
FID,20180514,,,,2,0
FID,20180511,2,2,2,2,5000
FID,20180510,,,,2.2,0
FID,20180509,,,,2.2,0
FID,20180508,,,,2.2,0
FID,20180507,,,,2.2,0
FID,20180504,2.2,2.2,2.2,2.2,34400
FID,20180503,,,,2.4,0
FID,20180502,,,,2.4,0
FID,20180427,2.4,2.4,2.4,2.4,2000
FID,20180426,,,,2.6,0
FID,20180424,,,,2.6,0
FID,20180423,,,,2.6,0
FID,20180420,2.4,2.6,2.4,2.6,40100
FID,20180419,,,,2.6,0
FID,20180418,,,,2.6,0
FID,20180417,,,,2.6,0
FID,20180416,,,,2.6,0
FID,20180413,,,,2.6,0
FID,20180412,,,,2.6,0
FID,20180411,,,,2.6,0
FID,20180410,,,,2.6,0
FID,20180409,,,,2.6,0
FID,20180406,2.4,2.6,2.4,2.6,73220
FID,20180405,,,,2.6,0
FID,20180404,,,,2.6,0
FID,20180403,,,,2.6,0
FID,20180402,,,,2.6,0
FID,20180330,2.8,2.8,2.5,2.6,1500
FID,20180329,,,,2.6,0
FID,20180328,,,,2.6,0
