<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FRT,20180713,74,78,73,78,13610
FRT,20180712,73,73.8,72,73,21480
FRT,20180711,71.5,73,71,73,44430
FRT,20180710,71,71,70.8,71,62420
FRT,20180709,67.1,73,67.1,69,1500
FRT,20180706,72,72,70,72,7600
FRT,20180705,75,77,74,74,680
FRT,20180704,72.6,78,72.6,78,23410
FRT,20180703,80,80,77.5,78,16480
FRT,20180702,81.5,81.5,76,78,10350
FRT,20180629,80.5,83,79.5,81,54370
FRT,20180628,80.5,83,80,80.5,109760
FRT,20180627,78,81,78,80.5,88550
FRT,20180626,79.9,79.9,75,79,27380
FRT,20180625,78,80.8,77.5,79.2,51350
FRT,20180622,74.5,81,74.5,79,20150
FRT,20180621,83.5,83.5,79.9,80,65370
FRT,20180620,75.5,82.5,75.5,82.5,44480
FRT,20180619,86,86,81.1,81.1,59070
FRT,20180618,86.8,87.1,82.1,87.1,10520
FRT,20180615,89,89,87.1,87.1,1690
FRT,20180614,91,91,87,87,18400
FRT,20180613,88.5,90.7,88.5,90,92830
FRT,20180612,90.1,90.1,88,89,31120
FRT,20180611,90,90,89.8,90,43460
FRT,20180608,90,90,89,89.9,31310
FRT,20180607,90,91,89.3,90,120650
FRT,20180606,89.1,89.3,89,89.3,14560
FRT,20180605,89,90,89,89.1,41780
FRT,20180604,90.3,90.3,88.5,89,36140
FRT,20180601,90.4,90.4,89.5,90.3,37140
FRT,20180531,87,90.5,87,90.4,30530
FRT,20180530,91,91,87,87,89010
FRT,20180529,92,92,87,91,48230
FRT,20180528,93.6,93.6,90.5,91.3,31840
FRT,20180525,93.6,94.1,93.6,93.6,185010
FRT,20180524,98.8,98.8,93,93.6,186210
FRT,20180523,90.88,94.11,90.88,92.35,148490
FRT,20180522,94.11,95.88,91.82,91.82,188830
FRT,20180521,94.06,94.06,91.76,91.82,58530
FRT,20180518,93.82,94.11,93.06,93.82,35230
FRT,20180517,94.11,94.11,92.94,93.82,40650
FRT,20180516,94.11,94.11,92.35,92.35,113000
FRT,20180515,91.18,94.06,88.82,92.35,82190
FRT,20180514,90.06,93.82,88.53,88.53,40720
FRT,20180511,91.77,92.06,90.06,90.06,23700
FRT,20180510,90.59,91.06,89.71,91.06,89910
FRT,20180509,88.24,90.3,87.65,89.65,96890
FRT,20180508,91.17,91.17,87.65,88.24,59090
FRT,20180507,91.06,91.06,82.47,89.41,67180
FRT,20180504,86.47,90.59,86.47,87.65,57020
FRT,20180503,91.94,98.53,91.94,92.35,261780
FRT,20180502,98.82,98.82,97.94,98.82,657340
FRT,20180427,94.42,94.42,90.3,94.41,2520730
FRT,20180426,88.24,88.24,82.36,88.24,948210
