<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FTS,20180713,13.2,13.3,12.95,13.25,6230
FTS,20180712,13.25,13.25,13,13.25,4790
FTS,20180711,13.25,13.25,12.9,13.2,8840
FTS,20180710,13.25,13.5,13,13.3,14480
FTS,20180709,13.15,13.5,13,13.5,15790
FTS,20180706,13.1,13.25,13,13.25,16970
FTS,20180705,13.25,13.25,12.8,13.1,23790
FTS,20180704,13.2,13.2,13,13.2,23320
FTS,20180703,13.7,13.7,13.05,13.05,43440
FTS,20180702,13.8,13.8,13.05,13.2,135840
FTS,20180629,13.5,14,13.35,14,46270
FTS,20180628,13.5,13.8,13,13.8,20600
FTS,20180627,13.5,13.5,13.3,13.5,7300
FTS,20180626,13.2,13.5,13.1,13.5,11520
FTS,20180625,13.2,13.8,13.2,13.35,3700
FTS,20180622,12.9,13.4,12.9,13.2,2790
FTS,20180621,13.5,13.5,13.15,13.15,4960
FTS,20180620,13,13.5,13,13.2,7700
FTS,20180619,13.8,13.8,12.65,13.35,49240
FTS,20180618,13.5,13.5,13.35,13.35,6750
FTS,20180615,13.5,13.7,13.5,13.6,4110
FTS,20180614,13.4,14.3,13.35,14.05,196970
FTS,20180613,13.5,13.5,13.4,13.45,2970
FTS,20180612,13.55,13.55,13.2,13.25,59560
FTS,20180611,13.55,13.8,13.55,13.55,8350
FTS,20180608,14,14,13.6,13.65,5260
FTS,20180607,13.9,13.9,13.5,13.65,20090
FTS,20180606,13.6,13.95,13.6,13.95,4480
FTS,20180605,14.25,14.25,13.55,14.2,7310
FTS,20180604,13.2,14.4,13.1,14.3,143150
FTS,20180601,13.6,13.65,13.5,13.5,30140
FTS,20180531,13.55,13.75,13.55,13.75,17320
FTS,20180530,13.8,13.8,13.35,13.55,3890
FTS,20180529,13,13.5,13,13.5,33510
FTS,20180528,13.15,13.6,12.9,12.9,61190
FTS,20180525,13.75,13.75,13.5,13.6,45740
FTS,20180524,14,14,13.7,13.7,27960
FTS,20180523,13.8,14.2,13.7,14,9080
FTS,20180522,14.4,14.4,13.9,13.9,63580
FTS,20180521,14.4,14.4,14.4,14.4,4450
FTS,20180518,14.6,14.6,14.3,14.4,28630
FTS,20180517,14.5,15.1,14.3,14.6,24520
FTS,20180516,14.27,14.27,14.14,14.14,25760
FTS,20180515,14.31,14.31,14.09,14.18,27120
FTS,20180514,13.74,14,13.74,13.96,9340
FTS,20180511,13.74,13.74,13.65,13.65,10220
FTS,20180510,13.91,13.91,13.65,13.65,18710
FTS,20180509,13.65,13.69,13.56,13.65,9310
FTS,20180508,13.7,13.74,13.56,13.65,58650
FTS,20180507,13.91,13.91,13.65,13.74,22750
FTS,20180504,13.61,13.61,13.39,13.56,20460
FTS,20180503,13.39,13.65,13.21,13.3,74440
FTS,20180502,13.52,13.61,13.3,13.3,34890
FTS,20180427,13.12,14.05,13.12,13.65,42240
FTS,20180426,14.75,14.75,13.21,13.3,75990
FTS,20180424,13.91,13.91,13.65,13.83,90870
FTS,20180423,14.14,14.27,13.65,14.09,130610
FTS,20180420,14.44,14.53,14.18,14.27,24190
FTS,20180419,14.75,14.75,14.18,14.53,98900
FTS,20180418,14.79,14.88,14.57,14.75,58590
FTS,20180417,14.45,14.97,14.45,14.88,48300
FTS,20180416,14.36,14.71,14.18,14.71,66580
FTS,20180413,14.62,14.8,14.36,14.36,120000
FTS,20180412,14.71,14.71,14.14,14.62,65160
FTS,20180411,14.8,15.11,14.62,14.71,204410
FTS,20180410,15.06,15.15,14.62,14.71,131310
FTS,20180409,14.09,15.06,14.09,14.97,341650
FTS,20180406,13.82,14.09,13.65,14.09,97860
FTS,20180405,13.74,13.83,13.56,13.78,50800
FTS,20180404,13.65,13.74,13.65,13.74,53460
FTS,20180403,13.65,13.65,13.47,13.52,80750
FTS,20180402,13.56,13.65,13.56,13.56,52160
FTS,20180330,13.39,13.57,13.35,13.56,40910
FTS,20180329,13.83,13.83,13.39,13.61,12490
FTS,20180328,13.43,13.69,13.21,13.7,110780
FTS,20180327,14.09,14.09,13.39,13.43,123620
FTS,20180326,13.3,13.48,13.3,13.39,67730
FTS,20180323,13.22,13.57,13.22,13.3,145450
FTS,20180322,14,14.09,13.65,13.92,41720
FTS,20180321,14.18,14.22,14.05,14.09,24560
FTS,20180320,14.09,14.22,13.96,14.18,46400
FTS,20180319,14.09,14.09,13.91,14.09,43760
FTS,20180316,13.74,14.22,13.61,14.09,171470
FTS,20180315,13.69,13.74,13.6,13.65,52840
FTS,20180314,13.56,13.78,13.56,13.78,35720
FTS,20180313,13.78,13.78,13.38,13.78,53900
FTS,20180312,13.92,13.92,13.57,13.78,35070
FTS,20180309,13.61,14.1,13.61,13.92,77790
FTS,20180308,13.34,13.48,13.3,13.48,151100
FTS,20180307,12.95,13.35,12.95,13.3,291000
FTS,20180306,12.86,13.03,12.77,13.04,134520
FTS,20180305,12.86,13.04,12.86,12.99,184670
FTS,20180302,12.86,12.86,12.68,12.86,70370
FTS,20180301,13.04,13.04,12.86,12.86,13160
FTS,20180228,12.68,13.03,12.64,13.04,163570
FTS,20180227,12.82,12.86,12.69,12.68,34610
FTS,20180226,12.77,13.12,12.77,13.04,28270
FTS,20180223,12.68,12.77,12.5,12.77,33800
FTS,20180222,12.77,12.77,12.59,12.59,13020
FTS,20180221,13.12,13.12,12.5,12.77,20980
FTS,20180213,12.2,12.95,11.98,12.81,20250
FTS,20180212,12.5,12.59,12.02,12.11,26020
FTS,20180209,12.15,12.24,11.71,11.8,62000
FTS,20180208,12.33,12.59,12.07,12.59,6860
FTS,20180207,12.34,12.82,12.34,12.33,48040
FTS,20180206,11.89,13.04,11.36,13.04,166170
FTS,20180205,12.51,12.6,12.2,12.2,207550
FTS,20180202,13.08,13.08,12.72,12.95,37840
FTS,20180201,12.85,13.16,12.5,13.12,41560
FTS,20180131,13.16,13.21,12.81,12.81,43640
FTS,20180130,13.03,13.12,12.81,12.81,120750
FTS,20180129,13.48,13.48,13.04,13.12,88040
FTS,20180126,13.43,13.43,13.21,13.39,53210
FTS,20180125,13.39,13.39,13.04,13.3,77410
FTS,20180122,13.3,13.3,13.03,13.17,34420
FTS,20180119,13.21,13.56,13.21,13.21,45230
FTS,20180118,13.22,13.48,12.86,13.21,70810
FTS,20180117,12.41,13.47,12.37,13.48,404050
FTS,20180116,12.42,12.6,12.16,12.59,163970
FTS,20180115,12.33,12.6,12.24,12.42,51270
FTS,20180112,12.59,12.77,12.41,12.64,43370
FTS,20180111,13.21,13.21,12.42,12.59,67240
FTS,20180110,12.15,12.72,12.15,12.73,488910
FTS,20180109,11.19,11.94,11.19,11.93,202260
FTS,20180108,10.93,11.19,10.75,11.19,34160
FTS,20180105,11.14,11.27,10.97,10.97,61400
FTS,20180104,11.1,11.45,11.01,11.23,90470
FTS,20180103,10.75,11.14,10.7,11.1,132100
FTS,20180102,10.92,10.92,10.79,10.79,55830
FTS,20171229,10.66,11.01,10.66,10.92,93640
FTS,20171228,10.57,10.66,10.39,10.66,42450
FTS,20171227,10.57,10.57,10.52,10.57,32690
FTS,20171226,10.62,10.7,10.57,10.61,25530
FTS,20171225,10.4,10.84,10.4,10.66,14880
FTS,20171222,10.62,10.75,10.62,10.66,34210
FTS,20171221,10.75,10.79,10.66,10.66,60620
FTS,20171220,10.57,10.66,10.48,10.66,39640
FTS,20171219,10.75,10.75,10.53,10.57,88420
FTS,20171218,10.7,10.83,10.7,10.79,61500
FTS,20171215,10.48,10.96,10.39,10.7,120460
FTS,20171214,10.04,10.7,10.04,10.48,312110
FTS,20171213,10.08,10.08,9.86,10.04,134370
FTS,20171212,10.04,10.13,9.78,10.04,154840
FTS,20171211,10.04,10.09,9.95,10.04,99630
FTS,20171208,10.3,10.3,10.13,10.13,44160
FTS,20171207,10.18,10.22,10.13,10.17,172300
FTS,20171206,10.22,10.26,10.13,10.22,31560
FTS,20171205,10.26,10.39,10.13,10.22,49840
FTS,20171204,10.04,10.39,10.04,10.26,244540
FTS,20171201,10.04,10.13,10,10.04,39270
FTS,20171130,10,10.13,10,10,29760
FTS,20171129,9.86,10.26,9.86,10,51110
FTS,20171128,9.95,9.95,9.86,9.86,33790
FTS,20171127,9.99,9.99,9.86,9.86,61750
FTS,20171124,9.86,9.95,9.86,9.86,83480
FTS,20171123,9.91,9.91,9.82,9.86,30120
FTS,20171122,9.91,9.95,9.82,9.91,59090
FTS,20171121,9.86,9.95,9.82,9.91,60610
FTS,20171120,9.86,9.95,9.82,9.86,49590
FTS,20171117,9.87,9.87,9.78,9.86,40550
FTS,20171116,9.86,9.91,9.86,9.91,5600
FTS,20171115,10.04,10.04,9.77,9.95,48860
FTS,20171114,9.95,9.95,9.69,9.95,63640
FTS,20171113,9.6,10.13,9.6,9.95,2570
FTS,20171110,9.77,9.95,9.6,9.91,19100
FTS,20171109,9.86,9.95,9.73,9.86,34790
