<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GKM,20180713,13.4,14.1,13.4,14,133600
GKM,20180712,13.1,13.4,12.9,13.4,123800
GKM,20180711,13.1,13.1,12.8,13.1,124800
GKM,20180710,12.9,13.1,12.8,13.1,81200
GKM,20180709,12.6,13,12.6,12.9,106800
GKM,20180706,12.3,12.6,12.2,12.6,97700
GKM,20180705,12.4,12.5,12.2,12.3,47900
GKM,20180704,12.4,12.4,12.3,12.4,21000
GKM,20180703,12.5,12.7,12.3,12.3,89200
GKM,20180702,12.5,12.5,12.4,12.5,25300
GKM,20180629,12.5,12.7,12.5,12.7,103600
GKM,20180628,12.5,12.6,12.4,12.5,81900
GKM,20180627,12.6,12.7,12.6,12.6,105200
GKM,20180626,12.5,12.7,12.4,12.7,108400
GKM,20180625,12.5,12.8,12.5,12.8,145400
GKM,20180622,12.6,12.7,12.3,12.7,156400
GKM,20180621,12.6,12.6,12.5,12.6,40900
GKM,20180620,12.3,12.6,12.3,12.6,43500
GKM,20180619,12.5,12.5,12.3,12.4,38700
GKM,20180618,12.5,12.5,12.3,12.5,44800
GKM,20180615,12.8,12.8,12.3,12.5,29700
GKM,20180614,12.5,12.8,12.5,12.8,52900
GKM,20180613,12.3,12.5,12,12.5,49100
GKM,20180612,12.4,12.5,12.1,12.3,45800
GKM,20180611,12,12.5,12,12.4,57300
GKM,20180608,11.5,12.2,11.5,12,59700
GKM,20180607,11.2,11.6,11.2,11.5,47200
GKM,20180606,11.1,11.2,10.9,11.2,51800
GKM,20180605,11,11.1,11,11.1,52100
GKM,20180604,10.8,11,10.7,11,35000
GKM,20180601,10.4,10.8,10.4,10.8,21800
GKM,20180531,10.4,10.4,10,10.2,36400
GKM,20180530,10.3,10.4,10.2,10.4,44300
GKM,20180529,10.8,10.8,10.3,10.4,12000
GKM,20180528,10.8,10.8,10.3,10.3,35300
GKM,20180525,10.8,10.8,10.7,10.8,35700
GKM,20180524,10.8,10.8,10.7,10.8,38600
GKM,20180523,10.8,10.8,10.8,10.8,384600
GKM,20180522,10.8,11,10.8,10.8,202300
GKM,20180521,10.9,11,10.8,10.8,150000
GKM,20180518,10.8,10.9,10.8,10.8,165300
GKM,20180517,10.8,10.8,10.7,10.8,51400
GKM,20180516,10.7,10.9,10.5,10.8,209300
GKM,20180515,10.7,10.7,10.5,10.7,52900
GKM,20180514,10.9,10.9,10.7,10.8,21200
GKM,20180511,10.7,10.9,10.5,10.9,155900
GKM,20180510,11,11,10.8,10.8,93800
GKM,20180509,10.9,11,10.8,11,32300
GKM,20180508,11,11,10.8,11,33100
GKM,20180507,10.9,11,10.8,11,32900
GKM,20180504,10.9,11,10.8,11,30500
GKM,20180503,10.7,11.2,10.7,10.9,46700
GKM,20180502,10.6,10.8,10.6,10.8,43200
GKM,20180427,10.5,11,10.4,10.6,23300
GKM,20180426,11,11,10.5,10.5,7000
GKM,20180424,11,11,10,11,12500
GKM,20180423,11.9,12,10.8,11,34800
GKM,20180420,12,12,11.9,11.9,4800
GKM,20180419,12,12,12,12,1600
GKM,20180418,12.2,12.2,12.1,12.1,4500
GKM,20180417,12.1,12.2,12.1,12.2,3900
GKM,20180416,12.4,12.4,12,12.1,12700
GKM,20180413,12.5,12.5,12.2,12.4,13600
GKM,20180412,12.8,12.8,12,12.6,63800
GKM,20180411,13.1,13.1,12.8,12.9,20800
GKM,20180410,13.2,13.2,13.1,13.1,18300
GKM,20180409,13.3,13.4,13.1,13.3,30800
GKM,20180406,13.1,13.4,13.1,13.4,28800
GKM,20180405,13.1,13.1,12.9,13,18500
GKM,20180404,13.1,13.1,12.9,13.1,30700
GKM,20180403,13.1,13.1,13,13.1,17100
GKM,20180402,13.1,13.2,13,13.2,20500
GKM,20180330,13.1,13.2,12.9,13.2,21800
GKM,20180329,13.1,13.2,13,13.1,23800
GKM,20180328,13.1,13.2,13,13.1,17000
GKM,20180327,13.2,13.3,13,13.2,27000
GKM,20180326,13.1,13.2,13,13.2,31300
GKM,20180323,13.2,13.2,13,13.1,20300
GKM,20180322,13.2,13.3,13.1,13.2,22400
GKM,20180321,13.4,13.4,13.2,13.2,24500
GKM,20180320,13.4,13.5,13.3,13.4,46600
GKM,20180319,12.9,13.5,12.5,13.5,81000
GKM,20180316,13.4,13.4,12.8,12.9,51000
GKM,20180315,13.4,13.4,13.2,13.4,32500
GKM,20180314,13.5,13.6,13.3,13.4,38100
GKM,20180313,13.4,13.5,13.1,13.5,46300
GKM,20180312,13.4,13.5,13.3,13.4,42900
GKM,20180309,13.3,13.6,13.3,13.5,49800
GKM,20180308,13.3,13.4,13.1,13.4,50800
GKM,20180307,13.4,13.5,13.1,13.2,46600
GKM,20180306,13.2,13.5,13.2,13.5,43200
GKM,20180305,13.3,13.3,13.2,13.2,7200
GKM,20180302,13.3,13.3,13.2,13.3,4800
GKM,20180301,13.5,13.5,13.3,13.3,5900
GKM,20180228,13.4,13.5,13.4,13.5,10800
GKM,20180227,13.4,13.5,13.4,13.4,10200
GKM,20180226,13.6,13.6,13.3,13.4,31400
GKM,20180223,13.6,13.7,13.5,13.6,20800
GKM,20180222,13.8,13.8,13.5,13.6,31300
GKM,20180221,13.8,13.9,13.6,13.9,35600
GKM,20180213,13.4,13.8,13.4,13.8,35100
GKM,20180212,13.1,13.5,13.1,13.4,35000
GKM,20180209,12.8,13.1,12.8,13.1,32300
GKM,20180208,13.5,13.6,13.3,13.3,22500
GKM,20180207,13.2,13.5,13.2,13.5,30800
GKM,20180206,13.2,13.2,12.5,13.1,11100
GKM,20180205,13.7,13.7,13.2,13.4,35000
GKM,20180202,13.6,13.8,13.4,13.7,27600
GKM,20180201,13.7,13.7,13.4,13.6,36600
GKM,20180131,13.7,14,13.7,13.7,25900
GKM,20180130,13.8,13.8,13.4,13.7,51200
GKM,20180129,14,14.4,13.9,13.9,40300
GKM,20180126,13.7,14,13.5,13.9,40000
GKM,20180125,13.8,13.8,13.5,13.7,51000
GKM,20180122,13.9,14,13.5,13.7,72800
GKM,20180119,13.4,14,13.4,13.7,72000
GKM,20180118,13.5,13.6,13.3,13.4,57300
GKM,20180117,13.9,13.9,13.5,13.5,54300
GKM,20180116,13.9,14,13.7,13.8,53800
GKM,20180115,13.3,14,13.2,13.8,73800
GKM,20180112,12.4,13.5,12.4,13.2,66800
GKM,20180111,12.91,12.91,12.33,12.33,36900
GKM,20180110,12.91,13.07,11.84,12.91,105700
GKM,20180109,13.08,13.08,12.67,12.91,70100
GKM,20180108,13.16,13.32,13,13.16,94300
GKM,20180105,12.91,13.32,12.83,13.16,105700
GKM,20180104,12.75,13.32,12.67,12.99,106300
GKM,20180103,12.91,13.07,12.58,12.83,83800
GKM,20180102,12.74,13.81,12.66,13.07,106200
GKM,20171229,13.73,14.97,13.57,13.81,181600
