<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GLT,20180713,65.6,71.7,65.6,71.7,300
GLT,20180712,,,,72.4,0
GLT,20180711,,,,72.4,0
GLT,20180710,72.4,72.4,72.4,72.4,100
GLT,20180709,66.2,66.2,66.2,66.2,100
GLT,20180706,,,,73.5,0
GLT,20180705,,,,73.5,0
GLT,20180704,,,,73.5,0
GLT,20180703,70,73.5,70,73.5,200
GLT,20180702,76.4,77.4,76.4,77.4,205
GLT,20180629,,,,77.5,0
GLT,20180628,,,,77.5,0
GLT,20180627,75.4,77.5,75.4,77.5,200
GLT,20180626,72.5,72.5,72.5,72.5,100
GLT,20180625,69.7,69.7,58.7,69,700
GLT,20180622,75.1,75.1,63.4,63.4,200
GLT,20180621,68.1,70.4,68.1,70.4,300
GLT,20180620,69,75.3,69,75.3,200
GLT,20180619,66.8,76.4,66.8,76.4,204
GLT,20180618,75.4,75.4,65.3,74.2,500
GLT,20180615,70.3,70.3,70.3,70.3,100
GLT,20180614,,,,78.1,0
GLT,20180613,78.1,78.1,78.1,78.1,10
GLT,20180612,,,,78.1,0
GLT,20180611,,,,78.1,0
GLT,20180608,78.1,78.1,78.1,78.1,14
GLT,20180607,78.1,78.1,78.1,78.1,2
GLT,20180606,,,,78.1,0
GLT,20180605,,,,78.1,0
GLT,20180604,,,,78.1,0
GLT,20180601,,,,78.1,0
GLT,20180531,,,,78.1,0
GLT,20180530,78.1,78.1,78.1,78.1,100
GLT,20180529,68.8,74.4,68.8,74.4,1600
GLT,20180528,76.4,76.4,76.4,76.4,100
GLT,20180525,,,,71.3,0
GLT,20180524,,,,71.3,0
GLT,20180523,,,,71.3,0
GLT,20180522,,,,71.3,0
GLT,20180521,,,,71.3,0
GLT,20180518,71.3,71.3,71.3,71.3,100
GLT,20180517,65.3,65.3,65.3,65.3,100
GLT,20180516,60,65.9,60,65.9,200
GLT,20180515,,,,66.6,0
GLT,20180514,,,,66.6,0
GLT,20180511,60.3,66.6,60.3,66.6,200
GLT,20180510,57.7,69.4,57.6,66.9,1000
GLT,20180509,63.9,63.9,63.9,63.9,400
GLT,20180508,64.8,64.8,64.8,64.8,100
GLT,20180507,,,,62.8,0
GLT,20180504,,,,62.8,0
GLT,20180503,57.1,63.4,57.1,62.8,500
GLT,20180502,,,,63.4,0
GLT,20180427,,,,63.4,0
GLT,20180426,,,,63.4,0
GLT,20180424,57.1,63.4,57.1,63.4,200
GLT,20180423,57.7,63.4,57.6,63.4,400
GLT,20180420,,,,63.8,0
GLT,20180419,,,,63.8,0
GLT,20180418,,,,63.8,0
GLT,20180417,,,,63.8,0
GLT,20180416,,,,63.8,0
GLT,20180413,59.2,63.8,59.2,63.8,310
GLT,20180412,60.3,68.9,60.3,65.3,1200
GLT,20180411,,,,66.9,0
GLT,20180410,,,,66.9,0
GLT,20180409,61.1,66.9,61.1,66.9,200
GLT,20180406,,,,67.8,0
GLT,20180405,,,,67.8,0
GLT,20180404,61.2,68.3,61.2,67.8,400
GLT,20180403,63.8,68,63.8,68,410
GLT,20180402,57.6,62,57.6,62,1000
GLT,20180330,64.4,64.4,55,64,1200
GLT,20180329,55.1,59.9,55,59.9,1200
GLT,20180328,58.6,60.9,58.6,60.9,200
GLT,20180327,58.8,66,58.8,65.1,800
GLT,20180326,57,65.3,55.5,65.3,3000
GLT,20180323,,,,60.9,0
GLT,20180322,60.9,60.9,60.9,60.9,100
GLT,20180321,56,56,55.8,55.8,204
GLT,20180320,57.1,61.9,56.7,61.9,1500
GLT,20180319,62.9,74.2,62.9,62.9,1000
GLT,20180316,,,,69.8,0
GLT,20180315,62.9,74.3,62.9,69.8,700
GLT,20180314,72.6,72.6,60.4,69.8,300
GLT,20180313,61.2,67.1,61.2,67.1,300
GLT,20180312,,,,67.9,0
GLT,20180309,65.4,68,62.8,67.9,1200
GLT,20180308,,,,69.7,0
GLT,20180307,,,,69.7,0
GLT,20180306,,,,69.7,0
GLT,20180305,,,,69.7,0
GLT,20180302,,,,69.7,0
GLT,20180301,,,,69.7,0
GLT,20180228,,,,69.7,0
GLT,20180227,,,,69.7,0
GLT,20180226,,,,69.7,0
GLT,20180223,60.3,73.5,60.3,69.7,1500
GLT,20180222,,,,66.9,0
GLT,20180221,,,,66.9,0
GLT,20180213,66.9,66.9,66.9,66.9,600
GLT,20180212,52.1,61.7,52.1,61.7,600
GLT,20180209,55.3,57.5,55.3,57.5,300
GLT,20180208,61.3,61.3,61.3,61.3,100
GLT,20180207,,,,60,0
GLT,20180206,,,,60,0
GLT,20180205,58.3,60,58.3,60,200
GLT,20180202,54,58.8,54,58.4,500
GLT,20180201,54.3,59.6,54.2,59.6,503
GLT,20180131,54.6,60.2,54.4,60.2,1500
GLT,20180130,51.1,60.4,51,60.4,600
GLT,20180129,56.1,56.1,56,56,519
GLT,20180126,59.6,62.2,57.5,62.2,1680
GLT,20180125,59.1,63.8,59.1,63.8,500
GLT,20180122,,,,64.5,0
GLT,20180119,64.5,67.4,64.5,64.5,4100
GLT,20180118,64.5,64.5,64.5,64.5,32
GLT,20180117,63,64.5,63,64.5,2500
GLT,20180116,,,,64.5,0
GLT,20180115,57,64.5,57,64.5,270
GLT,20180112,63,63,63,63,3000
GLT,20180111,59.1,63,59,63,300
GLT,20180110,,,,65.5,0
GLT,20180109,,,,65.5,0
GLT,20180108,,,,65.5,0
GLT,20180105,62.7,65.5,62.3,65.5,501
GLT,20180104,,,,69.2,0
GLT,20180103,64.5,69.2,64.5,69.2,200
GLT,20180102,65.8,71.4,65.7,71.4,400
GLT,20171229,66.9,73.4,66.9,73,900
GLT,20171228,,,,74.3,0
GLT,20171227,76.1,76.1,63.6,74.3,700
GLT,20171226,63.9,70.8,63.9,70.6,600
GLT,20171225,,,,70.9,0
GLT,20171222,70.9,70.9,70.9,70.9,100
GLT,20171221,61,66,60,65.8,500
GLT,20171220,58.6,61.8,58.6,61.8,300
GLT,20171219,67.4,67.4,59.2,64.8,600
GLT,20171218,66.4,66.4,57.7,64.9,400
GLT,20171215,67.4,67.4,58.7,63.9,800
GLT,20171214,61.1,64.9,61,64.9,500
GLT,20171213,63.1,67.4,63.1,67.4,400
GLT,20171212,64,70,64,70,600
GLT,20171211,64.7,70.7,64.4,70.7,900
GLT,20171208,64.1,70.8,63.9,70.8,1300
GLT,20171207,73.9,73.9,66.7,70.9,300
GLT,20171206,72.2,72.2,72.2,72.2,100
GLT,20171205,64.98,72.2,64.98,68.3,600
GLT,20171204,65.86,72.2,65.76,72.2,400
GLT,20171201,72.98,72.98,72.98,72.98,3400
GLT,20171130,73.17,73.95,73.17,73.18,1100
GLT,20171129,,,,74.15,0
GLT,20171128,,,,74.15,0
GLT,20171127,,,,74.15,0
GLT,20171124,,,,74.15,0
GLT,20171123,,,,74.15,0
GLT,20171122,,,,74.15,0
GLT,20171121,74.15,74.15,74.15,74.15,10
GLT,20171120,,,,74.15,0
GLT,20171117,69.57,77.28,69.57,74.15,900
GLT,20171116,,,,77.28,0
GLT,20171115,,,,77.28,0
GLT,20171114,,,,77.28,0
GLT,20171113,,,,77.28,0
GLT,20171110,,,,77.28,0
GLT,20171109,,,,77.28,0
GLT,20171108,,,,77.28,0
GLT,20171107,,,,77.28,0
GLT,20171106,,,,77.28,0
GLT,20171103,,,,77.28,0
GLT,20171102,,,,77.28,0
GLT,20171101,,,,77.28,0
GLT,20171031,,,,77.28,0
GLT,20171030,,,,77.28,0
GLT,20171027,,,,77.28,0
GLT,20171026,,,,77.28,0
GLT,20171025,,,,77.28,0
GLT,20171024,,,,77.28,0
GLT,20171023,,,,77.28,0
GLT,20171020,,,,77.28,0
GLT,20171019,,,,77.28,0
GLT,20171018,67.52,77.27,67.52,77.28,650
GLT,20171017,67.32,74.93,67.32,74.93,1900
GLT,20171016,,,,68.2,0
GLT,20171013,,,,68.2,0
GLT,20171012,,,,68.2,0
GLT,20171011,69.27,69.27,68.2,68.2,400
GLT,20171010,,,,65.37,0
GLT,20171009,,,,65.37,0
GLT,20171006,65.37,65.37,65.37,65.37,500
GLT,20171005,59.61,66.15,59.61,66.15,700
GLT,20171004,,,,66.15,0
GLT,20171003,,,,66.15,0
GLT,20171002,58.55,66.26,56.6,66.15,1400
GLT,20170929,,,,62.84,0
GLT,20170928,62.84,62.84,62.84,62.84,1
GLT,20170927,,,,62.84,0
GLT,20170926,54.64,62.84,54.54,62.84,1000
GLT,20170925,,,,57.96,0
GLT,20170922,,,,57.96,0
GLT,20170921,57.96,57.96,57.96,57.96,100
GLT,20170920,,,,54.15,0
GLT,20170919,59.42,59.42,49.27,54.15,900
GLT,20170918,48.88,54.44,48.88,54.44,600
GLT,20170915,,,,53.66,0
GLT,20170914,53.08,53.67,53.08,53.66,200
GLT,20170913,50.73,50.73,50.73,50.74,100
GLT,20170912,48.88,48.88,48.88,48.88,200
GLT,20170911,48.79,53.86,48.79,53.86,301
GLT,20170908,49.17,54.24,49.17,53.96,800
GLT,20170907,,,,54.44,0
GLT,20170906,,,,54.44,0
GLT,20170905,49.27,54.44,49.27,54.44,500
GLT,20170901,,,,54.54,0
GLT,20170831,,,,54.54,0
GLT,20170830,,,,54.54,0
GLT,20170829,50.06,54.54,50.06,54.54,300
GLT,20170828,49.27,55.52,49.27,55.52,600
GLT,20170825,48.78,54.54,48.78,54.54,400
GLT,20170824,53.66,53.66,53.66,53.66,100
GLT,20170823,52.68,52.68,45.17,51.71,700
GLT,20170822,49.76,53.66,49.57,49.66,1400
GLT,20170821,53.08,55.03,53.08,55.03,200
GLT,20170818,,,,51.71,0
GLT,20170817,51.72,51.72,51.72,51.71,100
GLT,20170816,48.29,52.78,48.29,48.79,800
GLT,20170815,53.67,53.67,53.67,53.66,100
GLT,20170814,53.08,53.08,53.08,53.08,1000
GLT,20170811,53.08,53.08,53.08,53.08,100
GLT,20170810,48.29,48.29,48.29,48.3,100
GLT,20170809,53.67,53.67,53.67,53.66,100
GLT,20170808,48.79,52.69,48.79,52.69,338
GLT,20170807,48.79,48.79,48.79,48.79,10
GLT,20170804,,,,48.79,0
GLT,20170803,48.79,48.79,48.79,48.79,100
GLT,20170802,43.91,47.81,43.91,47.81,200
GLT,20170801,48.79,48.79,48.79,48.79,24
GLT,20170731,44.49,48.79,44.49,48.79,1450
GLT,20170728,44.58,44.58,44.58,44.59,150
GLT,20170727,,,,44.86,0
GLT,20170726,41.37,44.86,41.37,44.86,1170
GLT,20170725,42.75,44.87,41.37,44.86,2804
GLT,20170724,45.05,45.05,45.05,45.05,200
GLT,20170721,45.05,45.05,41.83,44.68,610
GLT,20170720,45.05,45.05,45.05,45.05,104
GLT,20170719,45.05,45.05,41.83,41.83,310
GLT,20170718,44.68,45.05,41.19,41.83,4400
GLT,20170717,45.05,45.05,45.05,45.05,1046
GLT,20170714,45.23,45.23,45.23,45.23,1100
GLT,20170713,41.83,41.83,38.52,41.28,500
GLT,20170712,41.37,42.94,39.26,41.28,4000
GLT,20170711,,,,43.58,0
GLT,20170710,43.58,43.58,43.58,43.58,100
GLT,20170707,,,,40.36,0
GLT,20170706,36.78,40.36,36.78,40.36,600
GLT,20170705,36.78,40.18,36.78,40.18,1100
GLT,20170704,40.18,40.18,40.18,40.18,1000
GLT,20170703,37.97,40.18,37.97,40.18,200
GLT,20170630,41.83,41.83,41.83,41.83,120
GLT,20170629,43.67,43.67,40.91,40.91,300
GLT,20170628,38.98,40.36,38.98,40.36,200
GLT,20170627,43.21,43.21,43.21,43.21,100
GLT,20170626,40.46,40.92,40.46,40.91,2100
GLT,20170623,36.87,40.64,36.87,40.64,200
GLT,20170622,,,,40.82,0
GLT,20170621,40.73,40.82,36.96,40.82,1500
GLT,20170620,37.69,40.91,37.69,40.91,200
GLT,20170619,41.74,41.74,41.74,41.74,100
GLT,20170616,37.05,40.36,37.05,40.36,400
GLT,20170615,37.33,41.19,37.24,41,700
GLT,20170614,41.19,41.19,41.19,41.19,100
GLT,20170613,,,,39.81,0
GLT,20170612,,,,39.81,0
GLT,20170609,,,,39.81,0
GLT,20170608,,,,39.81,0
GLT,20170607,36.77,39.8,36.77,39.81,200
GLT,20170606,36.77,39.62,36.77,39.62,200
GLT,20170605,,,,40.36,0
GLT,20170602,40.36,40.36,40.36,40.36,103
GLT,20170601,37.51,41.09,37.42,37.42,700
GLT,20170531,36.78,41.38,36.78,41.37,1618
GLT,20170530,41.83,41.83,36.96,40.18,800
GLT,20170529,36.87,40.27,36.87,40.27,323
GLT,20170526,37.69,40.36,37.69,40.36,220
GLT,20170525,41.83,41.83,41.83,41.83,105
GLT,20170524,41.74,41.74,36.41,38.52,504
GLT,20170523,40.26,40.26,40.26,40.27,100
GLT,20170522,41.65,41.65,37.24,37.23,200
GLT,20170519,39.35,39.35,39.35,39.35,100
GLT,20170518,36.78,39.81,36.78,39.81,200
GLT,20170517,,,,40.18,0
GLT,20170516,37.14,40.17,37.14,40.18,200
GLT,20170515,,,,41.09,0
GLT,20170512,37.32,41.09,37.32,41.09,200
GLT,20170511,36.87,41.37,36.87,41.37,390
GLT,20170510,,,,40.82,0
GLT,20170509,,,,40.82,0
GLT,20170508,,,,40.82,0
GLT,20170505,37.14,41,37.14,40.82,800
GLT,20170504,45.05,45.05,37.32,41.09,400
GLT,20170503,40.36,41.46,40.36,41.46,200
GLT,20170428,40.27,41.46,36.5,40.45,3300
GLT,20170427,39.44,40.36,39.44,40.36,200
GLT,20170426,36.5,39.44,36.41,37.6,1100
GLT,20170425,40.82,40.82,35.86,40.36,610
GLT,20170424,38.61,39.72,38.52,39.72,700
