<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GSP,20180713,12.4,12.45,12.4,12.45,740
GSP,20180712,12.45,12.45,12.45,12.45,150
GSP,20180711,12.15,12.55,12.05,12.45,8730
GSP,20180710,12.1,12.55,12.1,12.55,3140
GSP,20180709,12.55,12.55,12.1,12.55,5970
GSP,20180706,12.15,12.5,12.15,12.5,230
GSP,20180705,12.5,12.7,12.4,12.4,4620
GSP,20180704,12.4,12.5,12.25,12.4,8830
GSP,20180703,12.6,12.6,12.1,12.4,6420
GSP,20180702,12.4,12.65,12.3,12.3,2120
GSP,20180629,12.7,12.7,12.55,12.6,4000
GSP,20180628,12.5,12.5,12.35,12.5,5230
GSP,20180627,12.6,12.75,12.6,12.7,1470
GSP,20180626,12.75,12.75,12.4,12.7,50
GSP,20180625,12.8,12.95,12.05,12.7,3950
GSP,20180622,12.6,12.75,12.55,12.7,2620
GSP,20180621,12.7,12.95,12.6,12.7,3020
GSP,20180620,12.7,12.75,12.7,12.75,650
GSP,20180619,12.8,13,12.4,12.7,3000
GSP,20180618,12.85,12.85,12.45,12.45,6140
GSP,20180615,12.85,12.85,12.25,12.85,5930
GSP,20180614,12.75,12.75,12.5,12.5,2270
GSP,20180613,12.9,12.9,12.55,12.55,2200
GSP,20180612,13.1,13.1,12.55,12.55,5630
GSP,20180611,12.65,12.65,12.65,12.65,1110
GSP,20180608,13,13.1,12.95,13.1,1540
GSP,20180607,12.9,12.9,12.85,12.9,1570
GSP,20180606,12.3,12.95,12.3,12.95,600
GSP,20180605,12.85,12.9,12.85,12.9,20
GSP,20180604,12.45,12.95,12.4,12.95,110
GSP,20180601,12.65,12.65,12.65,12.65,200
GSP,20180531,12.35,12.65,12.1,12.65,1640
GSP,20180530,12.4,12.7,12.4,12.6,4910
GSP,20180529,11.75,12.55,11.75,12.4,13720
GSP,20180528,12.6,12.6,12.5,12.5,1880
GSP,20180525,12.95,12.95,12.9,12.95,2950
GSP,20180524,12.95,13,12.6,12.95,1450
GSP,20180523,12.95,12.95,12.95,12.95,1060
GSP,20180522,12.9,13,12.9,13,1210
GSP,20180521,13,13.1,12.45,13,7660
GSP,20180518,12.85,13.35,12.85,13.35,3530
GSP,20180517,12.9,12.95,12.6,12.95,290
GSP,20180516,13.2,13.2,12.4,12.75,26680
GSP,20180515,13,13.45,12.85,13.2,3990
GSP,20180514,13.5,13.5,12.65,13.05,3040
GSP,20180511,13.15,13.25,12.85,13.25,4700
GSP,20180510,12.85,13.35,12.85,12.95,1890
GSP,20180509,12.7,12.95,12.65,12.8,26360
GSP,20180508,13.35,13.4,12.9,12.9,7710
GSP,20180507,13.45,13.45,13.15,13.45,1030
GSP,20180504,13.45,13.5,13.1,13.5,14160
GSP,20180503,13.7,13.75,13.3,13.6,3460
GSP,20180502,13.95,13.95,12.75,13.55,5410
GSP,20180427,13.9,13.9,12.7,13.5,7530
GSP,20180426,13.3,13.43,13.3,13.35,10390
GSP,20180424,13.21,13.3,13.21,13.3,270
GSP,20180423,13.39,13.39,13.21,13.21,1640
GSP,20180420,13.21,13.39,13.21,13.3,220
GSP,20180419,13.48,13.48,13.26,13.48,21980
GSP,20180418,13.39,13.48,13.12,13.48,53590
GSP,20180417,13.17,13.57,13.17,13.48,27260
GSP,20180416,13.44,13.79,13.12,13.48,20580
GSP,20180413,13.93,13.93,12.99,13.48,27460
GSP,20180412,14.29,14.29,13.48,13.84,13930
GSP,20180411,12.68,13.44,12.68,13.44,169540
GSP,20180410,12.59,12.63,12.5,12.59,56320
GSP,20180409,12.59,12.59,12.59,12.59,10
GSP,20180406,12.41,12.5,12.32,12.5,12530
