<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HAS,20180713,7.45,7.51,7.45,7.51,3000
HAS,20180712,,,,7.02,0
HAS,20180711,,,,7.02,0
HAS,20180710,,,,7.02,0
HAS,20180709,7,7.02,7,7.02,5660
HAS,20180706,7,7,6.6,6.6,510
HAS,20180705,,,,6.75,0
HAS,20180704,6.75,6.75,6.75,6.75,10
HAS,20180703,7.16,7.16,7.1,7.1,30
HAS,20180702,6.72,6.72,6.7,6.7,4000
HAS,20180629,7.2,7.2,6.73,6.73,40
HAS,20180628,6.9,6.9,6.8,6.8,3000
HAS,20180627,6.9,6.9,6.9,6.9,1000
HAS,20180626,7.1,7.1,7,7,2150
HAS,20180625,7.1,7.1,7.1,7.1,2070
HAS,20180622,,,,7.4,0
HAS,20180621,7.4,7.4,7.4,7.4,500
HAS,20180620,6.7,7.3,6.7,7.3,1500
HAS,20180619,7.2,7.2,7,7,50
HAS,20180618,6.84,7.2,6.84,7.2,1510
HAS,20180615,7.35,7.35,7.35,7.35,20
HAS,20180614,7.5,7.5,7.5,7.5,1000
HAS,20180613,7.49,7.59,7.35,7.35,1230
HAS,20180612,7.58,7.58,7.39,7.4,40
HAS,20180611,7.58,7.58,7.58,7.58,3330
HAS,20180608,7.86,7.86,7.26,7.72,230
HAS,20180607,8.04,8.04,7.25,7.49,1100
HAS,20180606,7.93,7.93,7.59,7.72,160
HAS,20180605,8.24,8.24,7.68,7.68,1580
HAS,20180604,7.82,8.36,7.68,7.91,18380
HAS,20180601,7.82,7.82,7.26,7.82,3420
HAS,20180531,7.44,7.5,7.39,7.5,5360
HAS,20180530,6.64,7.01,6.64,7.01,2730
HAS,20180529,7.49,7.49,6.55,6.55,2220
HAS,20180528,7.49,7.49,7.02,7.02,600
HAS,20180525,7.22,7.22,7.22,7.22,200
HAS,20180524,7.63,7.63,7.63,7.63,50
HAS,20180523,7.21,7.67,7.21,7.67,100
HAS,20180522,7.68,7.68,7.67,7.67,60
HAS,20180521,7.77,7.77,7.4,7.4,430
HAS,20180518,7.77,7.77,7.77,7.77,770
HAS,20180517,7.96,7.96,7.78,7.77,390
HAS,20180516,8.01,8.01,7.87,7.87,1380
HAS,20180515,7.96,8.2,7.26,7.87,36940
HAS,20180514,7.91,7.91,7.68,7.68,20
HAS,20180511,7.62,7.68,7.1,7.68,220
HAS,20180510,7.57,7.63,7.57,7.62,440
HAS,20180509,7.11,7.58,7.11,7.58,110
HAS,20180508,7.6,7.6,7.6,7.6,80
HAS,20180507,7.62,7.62,7.16,7.61,480
HAS,20180504,7.65,7.65,7.63,7.63,50
HAS,20180503,8.34,8.34,7.31,7.68,7110
HAS,20180502,8.71,9.03,7.85,7.85,9250
HAS,20180427,8.66,8.66,8.44,8.44,80
HAS,20180426,8.76,8.76,8.25,8.57,2280
HAS,20180424,9.03,9.03,8.25,8.7,730
HAS,20180423,8.61,9.03,8.52,8.52,7580
HAS,20180420,9.36,9.36,9.09,9.08,80
HAS,20180419,8.99,8.99,8.62,8.9,9580
HAS,20180418,9.36,9.36,8.87,8.99,260
HAS,20180417,8.61,9.08,8.61,8.99,3690
HAS,20180416,9.08,9.08,8.89,9.08,3020
HAS,20180413,9.36,9.64,8.89,9.08,3120
HAS,20180412,9.36,9.36,8.71,9.08,4950
HAS,20180411,8.89,9.17,8.89,9.08,120
HAS,20180410,9.36,9.36,8.89,9.08,7170
HAS,20180409,9.36,9.36,9.08,9.36,5110
HAS,20180406,9.36,9.45,8.8,9.36,11490
HAS,20180405,9.46,9.55,9.18,9.36,1630
HAS,20180404,9.46,9.46,9.46,9.46,160
HAS,20180403,10.02,10.02,9.18,9.18,1190
HAS,20180402,8.66,9.46,8.43,9.46,42480
HAS,20180330,8.84,8.84,8.75,8.84,620
HAS,20180329,8.84,8.84,8.84,8.84,50
HAS,20180328,8.24,8.99,8.24,8.85,5580
HAS,20180327,8.85,8.85,8.52,8.85,14840
HAS,20180326,8.85,8.89,8.43,8.85,290
HAS,20180323,8.61,8.8,8.52,8.52,7240
HAS,20180322,8.66,8.82,8.62,8.82,1090
HAS,20180321,8.87,8.87,8.62,8.85,2880
HAS,20180320,8.86,8.86,8.84,8.85,580
HAS,20180319,8.86,8.88,8.61,8.61,130
HAS,20180316,8.9,8.9,8.52,8.79,2740
HAS,20180315,8.71,8.71,8.53,8.71,3120
HAS,20180314,8.74,9.15,8.71,8.9,1510
HAS,20180313,9.17,9.17,9.17,9.17,130
HAS,20180312,9.17,9.17,9.17,9.17,50
HAS,20180309,9.16,9.16,9.16,9.16,30
HAS,20180308,8.85,9.17,8.71,8.85,13370
HAS,20180307,8.98,9.08,8.71,8.9,700
HAS,20180306,8.98,9.08,8.71,8.72,1070
HAS,20180305,9.08,9.17,8.72,8.89,2110
HAS,20180302,8.71,9.08,8.71,8.9,3150
HAS,20180301,9.18,9.18,8.64,8.89,8480
HAS,20180228,9.27,9.27,8.71,8.72,8210
HAS,20180227,8.63,9.31,8.63,8.98,10560
HAS,20180226,8.8,9.37,8.71,8.71,7170
HAS,20180223,9.27,9.27,9.17,9.17,80
HAS,20180222,8.99,8.99,8.72,8.8,21950
HAS,20180221,8.99,8.99,8.99,8.99,10250
HAS,20180213,9.14,9.37,8.72,8.99,8080
HAS,20180212,9.08,9.08,8.71,9.02,340
HAS,20180209,8.75,9.29,8.75,9.25,2050
HAS,20180208,9.55,9.55,8.76,8.75,1790
HAS,20180207,9.74,9.83,9.26,9.32,2190
HAS,20180206,9.36,9.36,8.62,9.26,8670
HAS,20180205,9.36,9.36,8.81,9.27,7650
HAS,20180202,9.46,9.46,8.8,9.26,4100
HAS,20180201,9.18,9.18,8.8,8.85,430
HAS,20180131,8.9,9.37,8.81,9.17,59520
HAS,20180130,9.27,9.27,8.71,8.9,9070
HAS,20180129,9.08,9.3,8.7,9.31,58150
HAS,20180126,9.36,9.36,8.89,9.36,5910
HAS,20180125,9.69,9.83,9.18,9.25,71630
HAS,20180122,9.69,9.69,9.64,9.69,102740
HAS,20180119,8.49,9.08,8.49,9.08,40850
HAS,20180118,8.24,8.49,7.94,8.49,40260
HAS,20180117,8.61,8.61,7.94,7.94,2830
HAS,20180116,8.19,8.38,8.14,8.38,11240
HAS,20180115,8.04,8.33,7.87,8.2,9750
HAS,20180112,7.96,8.24,7.82,7.94,1790
HAS,20180111,7.96,7.96,7.68,7.95,3060
HAS,20180110,8.42,8.42,7.75,7.75,34280
HAS,20180109,8.06,8.34,7.79,8.33,6310
HAS,20180108,7.91,8.15,7.78,7.87,3710
HAS,20180105,7.77,7.94,7.77,7.78,13850
HAS,20180104,7.68,7.77,7.58,7.77,6170
HAS,20180103,7.72,7.76,7.49,7.76,6410
HAS,20180102,7.91,7.91,7.49,7.49,28360
HAS,20171229,7.82,7.82,7.4,7.78,16300
HAS,20171228,7.51,7.51,7.51,7.51,40
HAS,20171227,7.77,7.84,7.49,7.84,8250
HAS,20171226,7.49,7.94,7.49,7.77,21270
HAS,20171225,7.75,7.75,7.75,7.75,420
HAS,20171222,7.02,7.86,7.02,7.75,930
HAS,20171221,7.86,8.21,7.49,7.49,25660
HAS,20171220,7.86,7.94,7.68,7.68,410
HAS,20171219,7.49,7.94,7.41,7.82,75530
HAS,20171218,7.86,8.24,7.28,7.96,15250
HAS,20171215,7.77,7.81,7.4,7.79,16390
HAS,20171214,7.77,7.77,7.77,7.77,80
HAS,20171213,7.68,7.94,7.39,7.39,24640
HAS,20171212,7.96,7.96,7.49,7.94,20010
HAS,20171211,7.49,8.15,7.16,7.97,19050
HAS,20171208,7.76,7.76,7.49,7.67,2990
HAS,20171207,7.48,7.85,7.46,7.76,29540
HAS,20171206,8.14,8.15,7.15,8.01,31680
HAS,20171205,7.94,8.03,7.68,7.68,28640
HAS,20171204,8.37,8.64,8.25,8.25,8250
HAS,20171201,8.65,8.81,8.29,8.38,15050
HAS,20171130,8.29,8.47,8.08,8.47,52830
HAS,20171129,8.02,8.08,7.77,8.04,32980
HAS,20171128,7.5,7.74,7.06,7.74,109430
HAS,20171127,7.59,7.59,6.97,7.24,13330
HAS,20171124,7.58,7.81,6.83,7.28,1120
HAS,20171123,7.59,7.68,6.82,7.32,15120
HAS,20171122,7.36,7.36,6.97,7.31,21030
HAS,20171121,7.37,7.37,6.89,7.06,32310
HAS,20171120,7.41,7.41,6.88,6.89,3490
HAS,20171117,7.24,7.24,6.8,6.97,8000
HAS,20171116,7.5,7.71,7.22,7.24,33340
HAS,20171115,7.8,7.8,6.93,7.75,6200
HAS,20171114,7.5,7.8,7.24,7.36,13500
HAS,20171113,7.94,7.94,7.3,7.31,2050
HAS,20171110,7.32,7.92,7.06,7.85,6390
HAS,20171109,7.07,7.42,6.59,7.41,13350
HAS,20171108,6.36,7.08,6.36,7.08,4030
HAS,20171107,7.55,7.55,6.62,6.62,410
HAS,20171106,7.91,7.91,7.06,7.06,4860
HAS,20171103,7.94,8.38,7.41,7.41,130
HAS,20171102,7.86,7.86,7.86,7.85,10
HAS,20171101,7.9,7.9,7.38,7.91,830
HAS,20171031,7.95,7.95,7.95,7.94,40
HAS,20171030,7.94,8.03,7.68,7.77,8230
HAS,20171027,7.85,7.94,7.85,7.94,46390
HAS,20171026,7.94,7.94,7.94,7.94,30
HAS,20171025,7.06,7.5,7.06,7.5,5320
HAS,20171024,7.41,7.41,7.41,7.41,110
HAS,20171023,7.42,7.94,7.33,7.41,3400
HAS,20171020,7.68,7.68,7.68,7.68,40
HAS,20171019,7.42,7.42,6.91,7.24,11920
HAS,20171018,7.42,7.42,7.42,7.42,1030
HAS,20171017,7.41,7.41,7.08,7.08,200
HAS,20171016,7.45,7.45,7.45,7.45,10
HAS,20171013,7.45,7.45,7.22,7.45,5360
HAS,20171012,7.47,7.47,7.47,7.47,40
HAS,20171011,7.32,7.81,6.98,7.47,2470
HAS,20171010,7.24,7.33,6.9,7.32,1730
HAS,20171009,7.4,7.4,7.22,7.24,2370
HAS,20171006,7.42,7.5,6.98,7.4,15640
HAS,20171005,7.06,7.41,7.06,7.4,550
HAS,20171004,7.45,7.45,7.23,7.44,1230
HAS,20171003,7.75,7.75,6.97,7.24,26130
HAS,20171002,8.14,8.14,7.16,7.49,1590
HAS,20170929,7.68,7.68,6.94,7.66,900
HAS,20170928,7.75,7.94,7.22,7.22,3050
HAS,20170927,7.25,7.77,7.24,7.75,12390
HAS,20170926,7.61,7.77,7.59,7.77,230
HAS,20170925,7.1,7.61,7.1,7.61,70
HAS,20170922,7.74,7.75,7.21,7.59,10200
HAS,20170921,7.75,7.75,7.75,7.75,40
HAS,20170920,7.41,7.75,7.41,7.75,480
HAS,20170919,7.24,7.75,7.24,7.75,70
HAS,20170918,7.75,7.75,7.75,7.75,50
HAS,20170915,7.5,7.75,7.24,7.75,20180
HAS,20170914,7.59,7.77,7.5,7.75,2970
HAS,20170913,7.55,7.77,7.5,7.74,23550
HAS,20170912,7.77,7.84,7.5,7.84,2690
