<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HCD,20180713,13.25,13.25,12.7,12.8,373530
HCD,20180712,12.65,12.65,12.5,12.65,216660
HCD,20180711,12.61,12.61,12.37,12.55,300080
HCD,20180710,12.79,12.79,12.41,12.51,639740
HCD,20180709,12.61,12.65,12.32,12.6,347660
HCD,20180706,12.32,12.75,12.13,12.51,425330
HCD,20180705,12.12,12.6,12.12,12.13,711900
HCD,20180704,13.04,13.04,13.04,13.03,248610
HCD,20180703,14.99,15.14,13.99,13.99,1661900
HCD,20180702,14.61,15.04,13.51,15.04,1026090
HCD,20180629,13.8,14.52,12.7,14.51,1196810
HCD,20180628,12.93,13.65,11.93,13.61,1958070
HCD,20180627,12.22,12.79,12.22,12.79,1704400
HCD,20180626,11.41,11.98,11.27,11.98,1199580
HCD,20180625,10.69,11.22,10.55,11.22,673570
HCD,20180622,10.5,10.6,10.36,10.5,269830
HCD,20180621,10.55,10.69,10.26,10.55,656840
HCD,20180620,10.79,10.79,10.55,10.55,897780
HCD,20180619,10.89,11.13,10.74,10.84,545810
HCD,20180618,10.41,10.93,10.36,10.84,845040
HCD,20180615,10.31,10.41,10.31,10.36,195170
HCD,20180614,10.41,10.45,10.31,10.41,343000
HCD,20180613,10.31,10.31,10.16,10.31,493630
HCD,20180612,10.36,10.36,10.22,10.26,433680
HCD,20180611,10.31,10.41,10.12,10.36,568840
HCD,20180608,10.22,10.22,10.03,10.12,336250
HCD,20180607,10.16,10.31,10.12,10.22,328480
HCD,20180606,10.31,10.31,10.02,10.26,744150
HCD,20180605,9.37,10.02,9.37,10.02,1606570
HCD,20180604,9.4,9.5,9.33,9.39,364780
HCD,20180601,9.35,9.46,9.35,9.4,503110
HCD,20180531,9.16,9.55,9.16,9.4,417090
HCD,20180530,9.24,9.5,9.21,9.26,419540
HCD,20180529,9.31,9.42,9.22,9.28,200160
HCD,20180528,9.17,9.41,9.17,9.36,486870
HCD,20180525,9.13,9.17,9.07,9.17,629240
HCD,20180524,8.99,9.07,8.88,9.07,383320
HCD,20180523,9.07,9.12,8.83,8.93,791360
HCD,20180522,9.23,9.23,8.62,9.07,762150
HCD,20180521,8.17,8.63,8.17,8.63,1405080
HCD,20180518,8.08,8.12,8.02,8.07,296490
HCD,20180517,8.13,8.23,8.07,8.07,612150
HCD,20180516,8.11,8.23,8.02,8.21,948270
HCD,20180515,7.92,8.08,7.89,8.08,668940
HCD,20180514,7.91,7.93,7.88,7.89,434860
HCD,20180511,7.78,7.9,7.73,7.91,200630
HCD,20180510,7.73,7.82,7.68,7.78,225150
HCD,20180509,7.65,7.83,7.65,7.76,515940
HCD,20180508,7.52,7.75,7.36,7.75,303720
HCD,20180507,7.53,7.53,7.16,7.49,319940
HCD,20180504,7.54,7.68,7.08,7.08,63470
HCD,20180503,7.72,7.72,7.27,7.59,225410
HCD,20180502,7.96,7.96,7.54,7.54,50160
HCD,20180427,7.91,7.97,7.78,7.96,217530
HCD,20180426,7.97,7.97,7.55,7.91,16190
HCD,20180424,7.93,7.97,7.87,7.97,47430
HCD,20180423,7.97,7.97,7.83,7.97,51400
HCD,20180420,7.96,8,7.9,7.97,65910
HCD,20180419,7.78,7.96,7.68,7.96,509830
HCD,20180418,7.75,7.92,7.75,7.76,21850
HCD,20180417,7.73,7.91,7.73,7.91,443330
HCD,20180416,7.74,7.82,7.64,7.82,22700
HCD,20180413,7.83,7.93,7.72,7.74,418610
HCD,20180412,7.66,7.89,7.63,7.9,369440
HCD,20180411,7.69,7.73,7.65,7.71,321660
HCD,20180410,7.77,7.81,7.65,7.75,249850
HCD,20180409,7.71,7.78,7.65,7.77,7350
HCD,20180406,7.72,7.72,7.65,7.69,124140
HCD,20180405,7.69,7.75,7.65,7.72,10400
HCD,20180404,7.73,7.73,7.68,7.69,11780
HCD,20180403,7.81,7.81,7.68,7.73,123030
HCD,20180402,7.83,7.83,7.73,7.73,150830
HCD,20180330,7.78,7.82,7.65,7.82,170610
HCD,20180329,7.87,7.87,7.69,7.78,322130
HCD,20180328,7.81,7.86,7.81,7.83,428260
HCD,20180327,7.8,7.92,7.69,7.82,215550
HCD,20180326,7.73,7.9,7.71,7.91,213510
HCD,20180323,7.77,7.77,7.46,7.73,231150
HCD,20180322,7.78,7.78,7.75,7.77,209560
HCD,20180321,7.78,7.78,7.73,7.78,190980
HCD,20180320,7.75,7.82,7.75,7.75,170380
HCD,20180319,7.88,7.89,7.77,7.78,56800
HCD,20180316,7.9,7.9,7.83,7.9,33560
HCD,20180315,7.91,7.91,7.8,7.9,17620
HCD,20180314,7.92,7.99,7.81,7.91,368320
HCD,20180313,7.93,7.93,7.82,7.92,33480
HCD,20180312,7.82,7.98,7.82,7.92,206180
HCD,20180309,7.92,7.97,7.87,7.92,25520
HCD,20180308,7.86,7.93,7.74,7.92,74650
HCD,20180307,7.91,7.91,7.69,7.81,57140
HCD,20180306,7.81,7.97,7.67,7.88,338150
HCD,20180305,8.11,8.13,8.02,8.02,41100
HCD,20180302,8.21,8.26,7.97,8.13,58630
HCD,20180301,8.29,8.6,8.19,8.21,2021200
HCD,20180228,8.24,8.26,8.12,8.21,138310
HCD,20180227,8.3,8.3,8.05,8.24,148080
HCD,20180226,8.3,8.3,8.22,8.3,480120
HCD,20180223,8.11,8.3,8.07,8.3,219410
HCD,20180222,8.12,8.12,7.91,8.11,371020
HCD,20180221,8.07,8.21,7.91,8.07,38120
HCD,20180213,7.93,8.07,7.83,8.07,174140
HCD,20180212,8,8.07,7.88,8.07,587300
HCD,20180209,7.97,7.97,7.78,7.88,335100
HCD,20180208,7.97,8.01,7.82,7.91,58090
HCD,20180207,7.73,8.01,7.73,7.91,436680
HCD,20180206,7.82,7.92,7.37,7.91,157170
HCD,20180205,8.05,8.05,7.91,7.92,79040
HCD,20180202,8.1,8.1,7.97,8.05,47810
HCD,20180201,8.07,8.12,7.92,8.07,88160
HCD,20180131,7.97,8.02,7.92,8.02,249770
HCD,20180130,7.93,8.02,7.89,7.94,866460
HCD,20180129,8.13,8.13,7.97,8.04,116890
HCD,20180126,8.22,8.34,8.02,8.13,580010
HCD,20180125,8.4,8.4,8.16,8.34,918400
HCD,20180122,8.25,8.36,8.21,8.35,121480
HCD,20180119,8.19,8.25,8.11,8.25,160900
HCD,20180118,8.12,8.25,8.12,8.19,116410
HCD,20180117,8.12,8.21,8.07,8.12,178470
HCD,20180116,8.26,8.26,8.12,8.12,116750
HCD,20180115,8.13,8.31,8.12,8.26,202600
HCD,20180112,8.3,8.3,8.16,8.26,126870
HCD,20180111,8.04,8.37,8.02,8.23,275330
HCD,20180110,7.97,8.05,7.97,8.05,151980
HCD,20180109,8.03,8.03,7.88,8.02,112310
HCD,20180108,7.93,7.99,7.91,7.98,153590
HCD,20180105,7.91,7.92,7.87,7.91,257270
HCD,20180104,7.91,7.92,7.84,7.91,224870
HCD,20180103,7.97,7.97,7.9,7.91,171530
HCD,20180102,8.06,8.06,7.88,7.93,144620
HCD,20171229,7.98,8.02,7.89,7.91,152400
HCD,20171228,7.9,7.92,7.9,7.91,320630
HCD,20171227,7.92,7.95,7.91,7.92,209150
HCD,20171226,7.92,7.94,7.9,7.91,99740
HCD,20171225,7.92,7.99,7.91,7.92,250420
HCD,20171222,8.02,8.02,7.88,7.92,246620
HCD,20171221,7.9,7.99,7.87,7.94,349120
HCD,20171220,7.97,7.99,7.92,7.94,223000
HCD,20171219,8.04,8.04,7.92,7.99,288140
HCD,20171218,7.97,8.02,7.92,8.02,259110
HCD,20171215,8,8,7.9,7.96,179010
HCD,20171214,7.97,7.99,7.94,7.99,189300
HCD,20171213,7.88,8,7.88,7.96,296600
HCD,20171212,7.92,7.94,7.78,7.88,251890
