<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HDA,20180713,9.2,9.5,9.2,9.5,78500
HDA,20180712,9.2,9.2,9.2,9.2,9870
HDA,20180711,,,,9.4,0
HDA,20180710,9.3,9.4,9.3,9.4,4000
HDA,20180709,9.1,9.4,9.1,9.4,7000
HDA,20180706,9.3,9.3,9.3,9.3,200
HDA,20180705,9,9.4,9,9.4,39200
HDA,20180704,9.2,9.4,9,9.4,33600
HDA,20180703,9.2,9.2,9,9,11700
HDA,20180702,9.2,9.5,9.2,9.5,10600
HDA,20180629,9.2,9.5,9.2,9.5,10600
HDA,20180628,,,,9.5,0
HDA,20180627,9.3,9.5,9.1,9.5,30000
HDA,20180626,9.5,9.6,9.4,9.4,41800
HDA,20180625,9.4,9.5,9.2,9.5,44600
HDA,20180622,,,,9.5,0
HDA,20180621,9.5,9.5,9.5,9.5,2000
HDA,20180620,9.2,9.5,9.2,9.5,3600
HDA,20180619,9.3,9.3,9.2,9.2,7018
HDA,20180618,9.3,9.3,9.3,9.3,600
HDA,20180615,9.5,9.5,9.3,9.3,1800
HDA,20180614,9.4,9.5,9.3,9.5,25200
HDA,20180613,9.2,9.5,9.2,9.5,2500
HDA,20180612,9.3,9.3,9.2,9.2,4000
HDA,20180611,9.5,9.5,9.5,9.5,8801
HDA,20180608,9.4,9.4,9.4,9.4,2000
HDA,20180607,9.3,9.4,9.3,9.4,10500
HDA,20180606,9.3,9.4,9.3,9.3,13100
HDA,20180605,9.6,9.6,9.5,9.5,6100
HDA,20180604,9.6,9.6,9.6,9.6,1900
HDA,20180601,9.6,9.7,8.7,9.7,5500
HDA,20180531,,,,9.6,0
HDA,20180530,9.8,9.8,9.6,9.6,11200
HDA,20180529,9.8,9.9,9.8,9.8,20300
HDA,20180528,9.7,10,9.5,9.9,73302
HDA,20180525,9.5,9.9,9.5,9.7,62400
HDA,20180524,9.6,9.9,9.6,9.7,7700
HDA,20180523,9.7,9.7,9.7,9.7,2000
HDA,20180522,9.7,9.7,9.5,9.7,7200
HDA,20180521,10,10,9.8,9.8,8700
HDA,20180518,10,10,10,10,51000
HDA,20180517,10,10,10,10,100
HDA,20180516,9.6,10,9.6,10,113000
HDA,20180515,9.5,9.6,9.4,9.6,2200
HDA,20180514,9.5,9.5,9.5,9.5,3700
HDA,20180511,9.5,9.5,9.3,9.5,15300
HDA,20180510,9.8,9.8,9.5,9.5,201
HDA,20180509,9.9,10,9.5,9.5,10200
HDA,20180508,9.7,10,9.7,9.9,26400
HDA,20180507,9.6,9.8,9.6,9.7,29400
HDA,20180504,9.5,10,9.5,9.5,46000
HDA,20180503,9.3,9.8,9.3,9.3,54403
HDA,20180502,9.3,9.3,9.3,9.3,2500
HDA,20180427,9.2,10,9.2,9.5,49600
HDA,20180426,9.2,9.8,9.2,9.5,47600
HDA,20180424,9.5,9.8,8.8,9.7,11700
HDA,20180423,9.4,9.5,9.4,9.5,5500
HDA,20180420,10.3,10.7,9.8,9.8,221400
HDA,20180419,9.5,10.3,9.5,10.3,128300
HDA,20180418,9.3,9.5,9.3,9.5,7200
HDA,20180417,9.3,9.9,9.3,9.4,65700
HDA,20180416,9.3,9.5,9.3,9.3,13219
HDA,20180413,9.5,9.7,9,9.3,9800
HDA,20180412,9.9,9.9,9.5,9.5,22800
HDA,20180411,10,10,9.6,9.6,73400
HDA,20180410,11,11,9.9,9.9,36600
HDA,20180409,10.5,11,10.3,10.7,237730
