<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HDB,20180713,33,33.6,32.95,33.45,1692220
HDB,20180712,33,33.5,32.5,33,1495050
HDB,20180711,34.5,34.6,32.65,32.8,1553920
HDB,20180710,35,36.05,34.9,35.1,598240
HDB,20180709,35.1,35.6,34.9,35.2,1255590
HDB,20180706,32.8,35,31.6,35,3135130
HDB,20180705,34.7,34.9,32.5,32.8,1595010
HDB,20180704,34,34.9,33.6,34.3,1296750
HDB,20180703,36.3,36.5,34.4,34.7,2350580
HDB,20180702,36.15,36.4,34.9,36.2,862020
HDB,20180629,35.3,36.15,34.8,36.15,1234320
HDB,20180628,35.9,36.1,34.5,34.6,757470
HDB,20180627,36.8,37.4,36.2,36.2,336910
HDB,20180626,36,36.85,36,36.8,427490
HDB,20180625,37.7,37.75,37.2,37.3,299190
HDB,20180622,36.5,37.4,36,37.4,1144370
HDB,20180621,36.5,36.8,36,36.5,406740
HDB,20180620,33.1,36.9,33.1,36.3,932640
HDB,20180619,33.38,36.08,33.38,35.5,3075220
HDB,20180618,37.14,38.11,35.12,35.5,1403380
HDB,20180615,37.82,38.21,36.86,37.72,1092080
HDB,20180614,40.03,40.03,37.81,37.82,348610
HDB,20180613,39.46,40.52,39.46,39.55,377960
HDB,20180612,40.03,40.03,37.62,39.46,2322470
HDB,20180611,41,41.29,40.42,40.42,1676050
HDB,20180608,42.93,43.08,41.68,41.87,863640
HDB,20180607,41.57,43.21,41.38,43.03,1512020
HDB,20180606,41.67,41.96,41.28,41.67,1099960
HDB,20180605,41.48,42.44,41.19,41.67,2204580
HDB,20180604,39.65,41.49,39.17,41.48,2343110
HDB,20180601,38.1,40.18,37.43,39.75,2692760
HDB,20180531,34.92,37.71,34.92,37.62,1875240
HDB,20180530,34.73,36.08,33.67,35.4,4462960
HDB,20180529,32.8,33.81,32.27,33.81,3943980
HDB,20180528,33.77,33.77,31.65,31.64,2696050
HDB,20180525,34.25,34.44,33.09,34.01,2692400
HDB,20180524,36.66,36.95,33.86,34.25,2368050
HDB,20180523,37.62,37.91,35.5,36.37,959240
HDB,20180522,38.78,39.17,36.9,37.62,1406120
HDB,20180521,39.55,39.84,39.07,39.65,1746750
HDB,20180518,39.46,39.99,38.78,39.12,1552940
HDB,20180517,39.07,39.36,38.78,39.07,701400
HDB,20180516,39.46,39.46,38.4,38.73,999600
HDB,20180515,39.46,39.84,38.93,39.46,1347990
HDB,20180514,40.04,40.52,38.88,39.07,550760
HDB,20180511,38.59,39.94,37.72,39.94,819170
HDB,20180510,41.39,41.39,38.59,38.59,961790
HDB,20180509,41.48,41.57,40.51,41.39,525060
HDB,20180508,41.96,41.96,41.38,41.67,1157790
HDB,20180507,41.96,42.44,41,41.96,1601930
HDB,20180504,42.44,42.44,41.28,41.48,646170
HDB,20180503,40.04,41.97,39.6,41.96,2085150
HDB,20180502,41.39,41.39,39.55,40.52,1017430
HDB,20180427,40.52,41.53,40.32,41.29,1706640
HDB,20180426,43.41,43.89,40.42,40.71,3073110
HDB,20180424,44.37,44.76,41.82,43.41,3013200
HDB,20180423,47.75,47.94,44.95,44.95,3902200
HDB,20180420,47.27,48.33,46.98,48.33,1802740
HDB,20180419,50.07,50.07,47.27,47.46,3452260
HDB,20180418,49.11,50.55,48.82,49.97,4624790
HDB,20180417,49.68,49.88,48.81,49.01,1678660
HDB,20180416,48.23,49.48,47.46,49.2,2836140
HDB,20180413,47.8,48.33,47.37,48.23,3033930
HDB,20180412,47.75,48.14,47.27,47.37,2705590
HDB,20180411,48.81,49,47.46,48.33,5630290
HDB,20180410,47.27,48.81,47.27,48.81,9215650
HDB,20180409,44.86,46.98,44.67,46.98,7770500
HDB,20180406,44.81,44.86,44.47,44.81,2975100
HDB,20180405,44.86,45.15,44.57,44.81,2804190
HDB,20180404,44.28,44.95,43.99,44.86,5350390
HDB,20180403,43.8,44.18,43.56,43.99,2115830
HDB,20180402,44.38,44.47,43.89,43.99,2317540
HDB,20180330,44.38,44.38,43.42,44.28,2358520
HDB,20180329,43.9,44.67,43.85,44.38,3603320
HDB,20180328,43.03,43.85,42.88,43.85,3904720
HDB,20180327,42.16,43.37,42.16,43.22,4513810
HDB,20180326,39.65,42.16,39.65,42.16,3490240
HDB,20180323,40.52,40.71,39.46,40.52,2122680
HDB,20180322,41.96,42.44,41,41,2881270
HDB,20180321,42.45,42.64,41.63,41.96,2119630
HDB,20180320,43.26,43.31,42.44,42.45,2666350
HDB,20180319,43.22,43.75,42.74,43.6,4333110
HDB,20180316,43.12,43.22,42.93,43.22,2863300
HDB,20180315,42.45,43.03,42.45,42.93,4347760
HDB,20180314,41,42.69,40.91,42.45,5974370
HDB,20180313,41,41,40.57,40.81,1687940
HDB,20180312,41,41.39,40.71,41,1427550
HDB,20180309,40.61,41.87,40.42,41,1018640
HDB,20180308,41.48,41.96,40.32,41,2182740
HDB,20180307,41.67,42.35,40.71,41,1357460
HDB,20180306,41.48,42.01,41.29,41.67,2479350
HDB,20180305,42.06,42.15,41.38,41.48,2578830
HDB,20180302,41.97,42.01,41.68,42.01,1808640
HDB,20180301,41.77,42.44,41.67,42.4,2739770
HDB,20180228,42.45,42.93,41.48,42.83,2241390
HDB,20180227,42.93,43.03,41.29,42.93,1579540
HDB,20180226,42.98,44.38,42.11,42.45,2378080
HDB,20180223,43.41,44.86,42.78,42.98,2175420
HDB,20180222,44.57,44.57,43.41,43.41,2243860
HDB,20180221,45.24,45.43,43.89,45.05,3263200
HDB,20180213,45.29,45.29,43.9,44.95,5066980
HDB,20180212,43.13,45.35,43.08,44.86,3436010
HDB,20180209,42.25,43.12,40.61,43.03,3454800
HDB,20180208,42.3,44.23,41.96,43.31,4667920
HDB,20180207,40.9,42.3,40.8,42.3,4238270
HDB,20180206,38.59,39.84,38.59,39.55,3906020
HDB,20180205,43.61,43.99,41.29,41.48,3353170
HDB,20180202,44.38,44.38,43.7,44.38,4567580
HDB,20180201,44.95,45.05,44.18,44.38,3428660
HDB,20180131,45.24,45.24,44.38,44.95,5581950
HDB,20180130,45.39,45.39,44.09,45.34,6121930
HDB,20180129,45.44,45.82,44.66,45.39,6592140
HDB,20180126,46.11,46.4,44.66,45.34,5637470
HDB,20180125,43.89,46.59,43.41,46.11,10284390
HDB,20180122,43.21,43.79,42.73,43.7,4402360
HDB,20180119,42.93,44.48,42.93,43.6,6728810
HDB,20180118,41.09,42.44,40.23,42.45,5371340
HDB,20180117,43.31,43.36,41.19,41.19,5794700
HDB,20180116,43.02,43.6,42.88,43.36,6271100
HDB,20180115,43.9,44.09,42.45,43.89,6559820
HDB,20180112,41.1,43.85,41.1,43.85,18714750
HDB,20180111,38.98,41,38.88,41,9874500
HDB,20180110,37.82,38.88,37.72,38.88,8726070
HDB,20180109,38.3,38.4,37.53,38.35,4537340
HDB,20180108,38.59,38.59,38.2,38.3,3321420
HDB,20180105,37.62,38.2,35.21,38.2,32205910
