<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HDO,20180713,,,,0.8,0
HDO,20180712,0.7,0.8,0.7,0.8,8200
HDO,20180711,0.8,0.8,0.8,0.8,100
HDO,20180710,0.8,0.8,0.8,0.8,190
HDO,20180709,0.7,0.8,0.7,0.8,1100
HDO,20180706,0.7,0.7,0.7,0.7,1400
HDO,20180705,0.7,0.7,0.7,0.7,200
HDO,20180704,0.7,0.7,0.7,0.7,800
HDO,20180703,0.6,0.6,0.6,0.6,5000
HDO,20180702,0.7,0.7,0.7,0.7,8510
HDO,20180629,,,,0.8,0
HDO,20180628,,,,0.8,0
HDO,20180627,,,,0.8,0
HDO,20180626,0.8,0.8,0.8,0.8,100
HDO,20180625,0.8,0.8,0.7,0.7,2100
HDO,20180622,0.7,0.8,0.7,0.8,4700
HDO,20180621,,,,0.8,0
HDO,20180620,0.8,0.8,0.7,0.8,700
HDO,20180619,0.7,0.8,0.7,0.8,600
HDO,20180618,0.7,0.7,0.7,0.7,600
HDO,20180615,,,,0.8,0
HDO,20180614,0.8,0.8,0.8,0.8,500
HDO,20180613,0.7,0.8,0.7,0.8,600
HDO,20180612,0.8,0.8,0.8,0.8,28600
HDO,20180611,,,,0.8,0
HDO,20180608,,,,0.8,0
HDO,20180607,0.8,0.8,0.8,0.8,1900
HDO,20180606,0.7,0.8,0.7,0.7,25600
HDO,20180605,0.8,0.8,0.8,0.8,398800
HDO,20180604,0.7,0.8,0.7,0.8,10400
HDO,20180601,0.8,0.9,0.8,0.8,37800
HDO,20180531,0.9,0.9,0.9,0.9,200
HDO,20180530,0.9,0.9,0.8,0.9,1600
HDO,20180529,0.8,0.9,0.8,0.9,301400
HDO,20180528,0.8,0.8,0.8,0.8,100
HDO,20180525,0.8,0.8,0.7,0.7,2200
HDO,20180524,0.7,0.7,0.7,0.7,500
HDO,20180523,0.8,0.8,0.8,0.8,16000
HDO,20180522,0.9,0.9,0.9,0.9,200
HDO,20180521,0.9,0.9,0.9,0.9,200
HDO,20180518,0.8,0.8,0.8,0.8,192510
HDO,20180517,0.8,0.8,0.8,0.8,100
HDO,20180516,0.8,0.8,0.8,0.8,50100
HDO,20180515,,,,0.9,0
HDO,20180514,0.9,0.9,0.9,0.9,200
HDO,20180511,0.8,0.9,0.8,0.8,18300
HDO,20180510,0.9,0.9,0.9,0.9,16200
HDO,20180509,1,1,1,1,54200
HDO,20180508,0.9,1,0.9,1,65500
HDO,20180507,1,1,1,1,3300
HDO,20180504,1.1,1.1,1.1,1.1,310
HDO,20180503,1.3,1.3,1.2,1.2,50000
HDO,20180502,1.3,1.3,1.3,1.3,181903
HDO,20180427,1.1,1.2,1,1.2,85036
HDO,20180426,1.1,1.1,1.1,1.1,237800
HDO,20180424,0.9,1,0.9,1,52000
HDO,20180423,0.9,0.9,0.8,0.9,316900
HDO,20180420,0.8,0.8,0.8,0.8,20400
HDO,20180419,0.6,0.7,0.6,0.7,35300
HDO,20180418,,,,0.6,0
HDO,20180417,,,,0.6,0
HDO,20180416,,,,0.6,0
HDO,20180413,0.7,0.7,0.6,0.6,174430
HDO,20180412,,,,0.6,0
HDO,20180411,,,,0.6,0
HDO,20180410,,,,0.6,0
HDO,20180409,,,,0.6,0
HDO,20180406,0.7,0.7,0.6,0.6,143219
HDO,20180405,,,,0.7,0
HDO,20180404,,,,0.7,0
HDO,20180403,,,,0.7,0
HDO,20180402,,,,0.7,0
HDO,20180330,0.7,0.7,0.7,0.7,51510
HDO,20180329,,,,0.7,0
HDO,20180328,,,,0.7,0
HDO,20180327,,,,0.7,0
HDO,20180326,,,,0.7,0
HDO,20180323,0.8,0.8,0.7,0.7,3500
