<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HEV,20180713,,,,11.8,0
HEV,20180712,,,,11.8,0
HEV,20180711,,,,11.8,0
HEV,20180710,,,,11.8,0
HEV,20180709,,,,11.8,0
HEV,20180706,11.8,11.8,11.8,11.8,100
HEV,20180705,,,,11.9,0
HEV,20180704,,,,11.9,0
HEV,20180703,,,,11.9,0
HEV,20180702,,,,11.9,0
HEV,20180629,,,,11.9,0
HEV,20180628,11.8,11.9,11.8,11.9,1000
HEV,20180627,,,,11.2,0
HEV,20180626,,,,11.2,0
HEV,20180625,11.3,11.3,11.2,11.2,800
HEV,20180622,11.4,11.4,11.4,11.4,100
HEV,20180621,10.5,10.5,10.5,10.5,100
HEV,20180620,,,,11.6,0
HEV,20180619,,,,11.6,0
HEV,20180618,,,,11.6,0
HEV,20180615,,,,11.6,0
HEV,20180614,,,,11.6,0
HEV,20180613,11.5,11.6,11.5,11.6,1500
HEV,20180612,11.5,11.5,11.5,11.5,300
HEV,20180611,,,,12,0
HEV,20180608,,,,12,0
HEV,20180607,,,,12,0
HEV,20180606,,,,12,0
HEV,20180605,,,,12,0
HEV,20180604,,,,12,0
HEV,20180601,,,,12,0
HEV,20180531,,,,12,0
HEV,20180530,,,,12,0
HEV,20180529,,,,12,0
HEV,20180528,,,,12,0
HEV,20180525,11.8,12,11.8,12,1200
HEV,20180524,,,,11.2,0
HEV,20180523,,,,11.2,0
HEV,20180522,,,,11.2,0
HEV,20180521,11.2,11.2,11.2,11.2,100
HEV,20180518,11.9,11.9,11.9,11.9,260
HEV,20180517,,,,11.2,0
HEV,20180516,,,,11.2,0
HEV,20180515,,,,11.2,0
HEV,20180514,,,,11.2,0
HEV,20180511,,,,11.2,0
HEV,20180510,11.2,11.2,11.2,11.2,100
HEV,20180509,11.2,11.2,11.2,11.2,100
HEV,20180508,,,,11.8,0
HEV,20180507,,,,11.8,0
HEV,20180504,,,,11.8,0
HEV,20180503,,,,11.8,0
HEV,20180502,,,,11.8,0
HEV,20180427,,,,11.8,0
HEV,20180426,11.8,11.8,11.8,11.8,7000
HEV,20180424,11.8,11.8,11.8,11.8,1000
HEV,20180423,11.9,11.9,11.9,11.9,2000
HEV,20180420,,,,11.9,0
HEV,20180419,,,,11.9,0
HEV,20180418,,,,11.9,0
HEV,20180417,,,,11.9,0
HEV,20180416,,,,11.9,0
HEV,20180413,11.9,11.9,11.9,11.9,200
HEV,20180412,,,,11.5,0
HEV,20180411,11.9,11.9,11.5,11.5,2000
HEV,20180410,,,,11.5,0
HEV,20180409,11.5,11.5,11.5,11.5,100
HEV,20180406,,,,11.5,0
HEV,20180405,11.5,11.5,11.5,11.5,500
HEV,20180404,,,,11.5,0
HEV,20180403,,,,11.5,0
