<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HHG,20180713,3.4,3.4,3.3,3.4,102700
HHG,20180712,3.3,3.4,3.3,3.4,83803
HHG,20180711,3.4,3.5,3.3,3.3,208531
HHG,20180710,3.4,3.5,3.4,3.4,361200
HHG,20180709,3.4,3.5,3.4,3.4,169839
HHG,20180706,3.4,3.5,3.4,3.5,449200
HHG,20180705,3.5,3.5,3.3,3.4,91600
HHG,20180704,3.5,3.5,3.4,3.5,71113
HHG,20180703,3.7,3.7,3.5,3.5,207600
HHG,20180702,3.8,3.8,3.6,3.7,263318
HHG,20180629,3.8,3.8,3.7,3.8,26970
HHG,20180628,3.9,3.9,3.7,3.8,216230
HHG,20180627,4.22,4.31,4.13,4.31,259290
HHG,20180626,4.22,4.22,4.13,4.22,164418
HHG,20180625,4.13,4.31,4.13,4.22,289700
HHG,20180622,4.22,4.22,4.13,4.13,178400
HHG,20180621,4.22,4.31,4.13,4.22,270100
HHG,20180620,4.13,4.31,4.13,4.31,184000
HHG,20180619,4.4,4.4,4.13,4.22,484900
HHG,20180618,4.31,4.4,4.22,4.31,144230
HHG,20180615,4.31,4.4,4.22,4.31,149222
HHG,20180614,4.31,4.49,4.31,4.4,122900
HHG,20180613,4.31,4.49,4.31,4.4,344200
HHG,20180612,4.4,4.4,4.12,4.31,433550
HHG,20180611,4.5,4.5,4.32,4.4,105100
HHG,20180608,4.59,4.59,4.41,4.5,232450
HHG,20180607,4.5,4.78,4.41,4.59,874000
HHG,20180606,4.22,4.59,4.13,4.5,361108
HHG,20180605,4.22,4.31,4.13,4.22,350300
HHG,20180604,4.13,4.22,4.13,4.22,246000
HHG,20180601,4.04,4.13,4.04,4.13,94100
HHG,20180531,4.04,4.22,4.04,4.04,135300
HHG,20180530,4.13,4.13,4.04,4.13,196800
HHG,20180529,3.94,4.12,3.85,4.13,247750
HHG,20180528,4.13,4.13,3.85,3.94,124700
HHG,20180525,4.13,4.22,4.13,4.13,205400
HHG,20180524,4.13,4.22,4.04,4.13,81900
HHG,20180523,4.04,4.22,4.04,4.13,160700
HHG,20180522,4.22,4.22,4.04,4.13,226700
HHG,20180521,4.22,4.31,4.13,4.22,200600
HHG,20180518,4.22,4.31,4.13,4.31,219800
HHG,20180517,4.31,4.4,4.22,4.22,168400
HHG,20180516,4.41,4.5,4.22,4.4,192100
HHG,20180515,4.22,4.59,4.22,4.5,539000
HHG,20180514,4.13,4.22,4.13,4.22,144926
HHG,20180511,4.04,4.13,4.04,4.13,125000
