<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HID,20180713,2.62,2.67,2.62,2.67,38150
HID,20180712,2.66,2.69,2.6,2.66,61470
HID,20180711,2.68,2.74,2.63,2.65,73960
HID,20180710,2.75,2.75,2.61,2.7,69690
HID,20180709,2.68,2.79,2.68,2.69,14440
HID,20180706,2.65,2.74,2.65,2.73,25020
HID,20180705,2.7,2.78,2.65,2.68,38490
HID,20180704,2.87,2.88,2.69,2.7,120920
HID,20180703,2.8,2.9,2.69,2.7,175170
HID,20180702,2.96,2.96,2.8,2.85,49160
HID,20180629,2.98,2.98,2.9,2.9,27090
HID,20180628,2.93,2.99,2.9,2.93,45970
HID,20180627,3.05,3.05,2.91,2.99,37730
HID,20180626,2.95,2.98,2.91,2.93,48720
HID,20180625,3.09,3.09,2.97,2.98,39220
HID,20180622,3,3,2.94,3,40000
HID,20180621,2.93,3,2.93,3,19330
HID,20180620,3.02,3.02,2.88,3,38780
HID,20180619,3.18,3.18,2.83,2.84,80480
HID,20180618,3.08,3.08,3,3.04,70560
HID,20180615,3.1,3.1,3.02,3.05,27400
HID,20180614,3.05,3.1,3.04,3.04,85530
HID,20180613,3.08,3.14,3.04,3.09,255970
HID,20180612,3.08,3.09,2.98,3.09,185480
HID,20180611,3.04,3.12,3.04,3.08,135950
HID,20180608,3,3.05,2.99,2.99,75240
HID,20180607,3,3.08,2.97,3,131020
HID,20180606,3.1,3.11,3,3.08,108610
HID,20180605,3.17,3.18,3,3.12,155380
HID,20180604,2.91,3.12,2.91,3.12,159710
HID,20180601,2.99,2.99,2.72,2.92,90630
HID,20180531,2.9,2.99,2.8,2.9,58080
HID,20180530,2.98,2.98,2.76,2.82,39110
HID,20180529,3,3,2.82,2.82,98050
HID,20180528,3,3,2.86,2.92,255020
HID,20180525,2.96,3.02,2.92,2.92,231360
HID,20180524,3.07,3.08,2.95,2.99,6910
HID,20180523,3,3,2.95,2.99,65750
HID,20180522,3.01,3.16,2.92,2.97,115280
HID,20180521,3.01,3.02,2.92,3.01,42620
HID,20180518,3.02,3.04,3,3.01,105700
HID,20180517,3,3.02,2.96,3.02,97330
HID,20180516,3.03,3.03,2.99,3.01,84350
HID,20180515,3.07,3.07,3.01,3.03,46510
HID,20180514,3.06,3.09,3.02,3.05,79140
HID,20180511,2.97,3.1,2.97,3.06,33990
HID,20180510,2.99,3,2.97,2.99,108520
HID,20180509,2.98,2.99,2.94,2.99,39120
HID,20180508,2.92,2.98,2.92,2.98,70820
HID,20180507,2.95,2.98,2.9,2.96,78360
HID,20180504,2.91,2.99,2.86,2.94,28090
HID,20180503,3,3,2.8,2.95,129380
HID,20180502,3,3,2.93,2.99,48560
HID,20180427,3,3.02,2.98,3,64290
HID,20180426,3,3.05,2.9,3,79520
HID,20180424,2.99,3.14,2.99,3.03,187870
HID,20180423,3.01,3.02,2.99,2.99,110850
HID,20180420,3,3.02,2.99,3.01,86010
HID,20180419,3,3.02,2.98,2.99,94040
HID,20180418,3.03,3.03,2.98,3,87510
HID,20180417,3,3.04,2.99,3.01,87460
HID,20180416,3,3.05,2.99,3,59040
HID,20180413,2.99,3.01,2.97,3,32890
HID,20180412,3.1,3.1,2.97,2.97,230780
HID,20180411,3.1,3.18,3.08,3.1,101180
HID,20180410,3.15,3.19,3.11,3.19,63550
HID,20180409,3.2,3.2,3.12,3.2,113400
HID,20180406,3.06,3.19,3.06,3.19,125440
HID,20180405,3.02,3.12,3,3.07,127090
HID,20180404,3.03,3.12,3,3.06,206270
HID,20180403,3.09,3.13,3.05,3.1,103660
HID,20180402,3.14,3.19,3,3.09,75180
HID,20180330,3.2,3.2,3.11,3.11,53950
HID,20180329,3.23,3.3,3.15,3.15,118890
HID,20180328,3.4,3.48,3.19,3.19,754590
HID,20180327,3.47,3.5,3.42,3.42,99880
HID,20180326,3.5,3.51,3.45,3.5,168760
HID,20180323,3.52,3.58,3.46,3.5,103580
HID,20180322,3.6,3.6,3.52,3.53,60940
HID,20180321,3.51,3.69,3.51,3.6,67460
HID,20180320,3.6,3.61,3.51,3.51,199420
HID,20180319,3.69,3.7,3.6,3.6,156720
HID,20180316,3.72,3.72,3.67,3.71,79180
HID,20180315,3.74,3.74,3.66,3.72,267960
HID,20180314,3.56,3.74,3.56,3.72,281100
HID,20180313,3.58,3.69,3.51,3.6,65540
HID,20180312,3.5,3.67,3.5,3.58,89530
HID,20180309,3.64,3.64,3.5,3.5,117190
HID,20180308,3.63,3.66,3.57,3.59,139870
HID,20180307,3.52,3.76,3.49,3.63,463620
HID,20180306,3.51,3.52,3.43,3.52,112150
HID,20180305,3.55,3.58,3.51,3.52,115040
HID,20180302,3.43,3.56,3.4,3.51,82690
HID,20180301,3.4,3.4,3.38,3.39,39240
HID,20180228,3.45,3.45,3.31,3.39,60190
HID,20180227,3.43,3.45,3.37,3.39,49490
HID,20180226,3.49,3.57,3.4,3.43,142940
HID,20180223,3.61,3.61,3.47,3.52,105270
HID,20180222,3.58,3.58,3.45,3.55,31870
HID,20180221,3.5,3.64,3.5,3.58,71080
HID,20180213,3.32,3.53,3.31,3.5,93960
HID,20180212,3.4,3.44,3.32,3.32,49780
HID,20180209,3.37,3.43,3.19,3.22,297500
HID,20180208,3.61,3.61,3.4,3.43,72290
HID,20180207,3.68,3.68,3.55,3.54,146130
HID,20180206,3.43,3.68,3.42,3.62,459760
HID,20180205,3.59,3.83,3.5,3.68,611700
HID,20180202,3.36,3.59,3.36,3.59,325380
HID,20180201,3.37,3.38,3.3,3.36,112780
HID,20180131,3.5,3.5,3.34,3.37,246370
HID,20180130,3.47,3.53,3.46,3.49,147400
HID,20180129,3.62,3.62,3.43,3.47,147140
HID,20180126,3.6,3.66,3.57,3.59,142580
HID,20180125,3.7,3.7,3.59,3.63,243750
HID,20180122,3.7,3.73,3.66,3.7,124930
HID,20180119,3.8,3.8,3.67,3.69,79000
HID,20180118,3.75,3.75,3.66,3.71,135130
HID,20180117,3.83,3.83,3.56,3.73,482220
