<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HJS,20180713,,,,22.5,0
HJS,20180712,23,23,22.5,22.5,400
HJS,20180711,22.3,22.3,22.3,22.3,100
HJS,20180710,22.2,22.2,22.2,22.2,60
HJS,20180709,22.2,22.2,22.2,22.2,400
HJS,20180706,,,,22.2,0
HJS,20180705,22.2,22.2,22.2,22.2,900
HJS,20180704,23,23,23,23,857
HJS,20180703,22,22,22,22,100
HJS,20180702,,,,21,0
HJS,20180629,22,22,21,21,1700
HJS,20180628,,,,21.5,0
HJS,20180627,,,,21.5,0
HJS,20180626,21.2,21.5,21.1,21.5,5000
HJS,20180625,23,23,23,23,45
HJS,20180622,,,,23,0
HJS,20180621,,,,23,0
HJS,20180620,,,,23,0
HJS,20180619,,,,23,0
HJS,20180618,,,,23,0
HJS,20180615,,,,23,0
HJS,20180614,,,,23,0
HJS,20180613,,,,23,0
HJS,20180612,22,23,22,23,32600
HJS,20180611,,,,23.1,0
HJS,20180608,23,23.1,23,23.1,4200
HJS,20180607,23,23,23,23,6000
HJS,20180606,,,,22.6,0
HJS,20180605,22.6,22.6,22.6,22.6,900
HJS,20180604,21.3,21.3,21.3,21.3,3625
HJS,20180601,,,,21.3,0
HJS,20180531,,,,21.3,0
HJS,20180530,,,,21.3,0
HJS,20180529,,,,21.3,0
HJS,20180528,,,,21.3,0
HJS,20180525,21.3,21.3,21.3,21.3,200
HJS,20180524,20.91,20.91,20.91,20.91,300
HJS,20180523,19.07,19.07,19.07,19.07,100
HJS,20180522,19.95,19.95,19.95,19.94,210
HJS,20180521,,,,21.4,0
HJS,20180518,,,,21.4,0
HJS,20180517,,,,21.4,0
HJS,20180516,22.75,22.75,21.39,21.4,300
HJS,20180515,,,,21.78,0
HJS,20180514,21.78,21.78,21.78,21.78,500
HJS,20180511,,,,20.52,0
HJS,20180510,22.27,22.27,20.53,20.52,45100
HJS,20180509,22.27,22.27,22.27,22.27,95600
HJS,20180508,26.04,26.04,21.59,21.59,500
HJS,20180507,23.72,23.72,23.72,23.72,100
HJS,20180504,,,,22.27,0
HJS,20180503,22.27,22.27,21.79,22.27,94600
HJS,20180502,22.76,22.76,22.27,22.27,128400
HJS,20180427,22.75,22.75,21.4,21.4,1100
HJS,20180426,22.27,22.75,21.88,21.88,3200
HJS,20180424,21.98,22.75,21.98,22.75,3300
HJS,20180423,,,,22.27,0
HJS,20180420,,,,22.27,0
