<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HLC,20180713,,,,5.8,0
HLC,20180712,,,,5.8,0
HLC,20180711,5.8,5.8,5.8,5.8,10
HLC,20180710,5.7,5.8,5.7,5.8,600
HLC,20180709,6.1,6.1,6,6,2100
HLC,20180706,6,6,6,6,1100
HLC,20180705,6,6,6,6,300
HLC,20180704,,,,6.6,0
HLC,20180703,,,,6.6,0
HLC,20180702,,,,6.6,0
HLC,20180629,6.6,6.6,6.6,6.6,100
HLC,20180628,,,,6.1,0
HLC,20180627,,,,6.1,0
HLC,20180626,,,,6.1,0
HLC,20180625,,,,6.1,0
HLC,20180622,6.1,6.1,6.1,6.1,1629
HLC,20180621,6.7,6.7,5.7,6.7,442
HLC,20180620,,,,6.3,0
HLC,20180619,,,,6.3,0
HLC,20180618,,,,6.3,0
HLC,20180615,6.3,6.3,6.3,6.3,100
HLC,20180614,,,,5.8,0
HLC,20180613,5.8,5.8,5.8,5.8,10
HLC,20180612,5.7,5.8,5.7,5.8,1000
HLC,20180611,6.1,6.1,6.1,6.1,10
HLC,20180608,6.1,6.1,6.1,6.1,100
HLC,20180607,,,,6.7,0
HLC,20180606,,,,6.7,0
HLC,20180605,,,,6.7,0
HLC,20180604,,,,6.7,0
HLC,20180601,,,,6.7,0
HLC,20180531,6.7,6.7,6.7,6.7,1000
HLC,20180530,,,,6.7,0
HLC,20180529,,,,6.7,0
HLC,20180528,,,,6.7,0
HLC,20180525,,,,6.7,0
HLC,20180524,,,,6.7,0
HLC,20180523,6.7,6.7,6.7,6.7,100
HLC,20180522,,,,6.25,0
HLC,20180521,6.25,6.25,6.25,6.25,1000
HLC,20180518,,,,6.43,0
HLC,20180517,,,,6.43,0
HLC,20180516,,,,6.43,0
HLC,20180515,,,,6.43,0
HLC,20180514,,,,6.43,0
HLC,20180511,,,,6.43,0
HLC,20180510,,,,6.43,0
HLC,20180509,,,,6.43,0
HLC,20180508,,,,6.43,0
HLC,20180507,,,,6.43,0
HLC,20180504,6.43,6.43,6.43,6.43,1000
HLC,20180503,,,,6.43,0
HLC,20180502,,,,6.43,0
HLC,20180427,,,,6.43,0
HLC,20180426,,,,6.43,0
HLC,20180424,6.34,6.52,6.34,6.43,1400
HLC,20180423,,,,6.52,0
HLC,20180420,6.52,6.52,6.52,6.52,13
HLC,20180419,,,,6.52,0
HLC,20180418,6.52,6.52,6.52,6.52,90
HLC,20180417,,,,6.52,0
HLC,20180416,,,,6.52,0
HLC,20180413,,,,6.52,0
HLC,20180412,,,,6.52,0
HLC,20180411,,,,6.52,0
HLC,20180410,6.52,6.52,6.52,6.52,300
HLC,20180409,6.34,6.52,6.34,6.52,2602
HLC,20180406,,,,6.61,0
HLC,20180405,6.61,6.61,6.61,6.61,200
HLC,20180404,,,,6.61,0
HLC,20180403,6.61,6.61,6.61,6.61,100
HLC,20180402,,,,6.16,0
HLC,20180330,,,,6.16,0
HLC,20180329,,,,6.16,0
HLC,20180328,6.07,6.16,6.07,6.16,2227
HLC,20180327,,,,6.34,0
HLC,20180326,,,,6.34,0
HLC,20180323,,,,6.34,0
HLC,20180322,,,,6.34,0
HLC,20180321,6.34,6.34,6.34,6.34,1000
HLC,20180320,,,,6.34,0
HLC,20180319,,,,6.34,0
HLC,20180316,6.34,6.34,6.34,6.34,250
HLC,20180315,6.25,6.25,6.25,6.25,100
HLC,20180314,6.88,6.88,6.88,6.88,100
HLC,20180313,,,,6.43,0
HLC,20180312,,,,6.43,0
HLC,20180309,,,,6.43,0
HLC,20180308,,,,6.43,0
HLC,20180307,,,,6.43,0
HLC,20180306,,,,6.43,0
HLC,20180305,6.34,6.43,5.8,6.43,6500
HLC,20180302,,,,6.34,0
HLC,20180301,,,,6.34,0
HLC,20180228,6.52,6.52,6.34,6.34,800
HLC,20180227,6.88,6.88,6.79,6.88,1700
HLC,20180226,,,,7.51,0
HLC,20180223,,,,7.51,0
HLC,20180222,7.51,7.51,7.51,7.51,200
HLC,20180221,,,,6.97,0
HLC,20180213,,,,6.97,0
HLC,20180212,,,,6.97,0
HLC,20180209,,,,6.97,0
HLC,20180208,,,,6.97,0
HLC,20180207,6.97,6.97,6.97,6.97,100
HLC,20180206,6.34,6.34,6.34,6.34,100
HLC,20180205,6.97,6.97,6.97,6.97,100
HLC,20180202,6.97,6.97,6.97,6.97,1400
HLC,20180201,,,,6.34,0
HLC,20180131,6.34,6.34,6.34,6.34,317
HLC,20180130,6.7,6.7,6.7,6.7,1300
HLC,20180129,6.97,6.97,6.52,6.52,600
HLC,20180126,7.24,7.24,7.24,7.24,50
HLC,20180125,7.06,7.24,7.06,7.24,417
HLC,20180122,6.15,6.15,6.15,6.16,100
HLC,20180119,,,,5.61,0
HLC,20180118,6.07,6.07,5.62,5.61,2213
HLC,20180117,,,,6.16,0
HLC,20180116,6.16,6.16,6.16,6.16,44
HLC,20180115,,,,6.16,0
HLC,20180112,,,,6.16,0
HLC,20180111,6.16,6.16,6.16,6.16,4
HLC,20180110,,,,6.16,0
HLC,20180109,6.16,6.16,6.16,6.16,300
HLC,20180108,6.16,6.16,6.16,6.16,200
HLC,20180105,6.25,6.25,6.25,6.25,500
HLC,20180104,,,,6.61,0
HLC,20180103,,,,6.61,0
HLC,20180102,,,,6.61,0
HLC,20171229,6.61,6.7,6.61,6.61,2000
HLC,20171228,6.34,6.52,6.34,6.52,6500
HLC,20171227,,,,5.98,0
HLC,20171226,6.07,6.07,5.98,5.98,1563
HLC,20171225,5.98,5.98,5.89,5.89,3120
HLC,20171222,,,,6.52,0
HLC,20171221,,,,6.52,0
HLC,20171220,,,,6.52,0
HLC,20171219,,,,6.52,0
HLC,20171218,,,,6.52,0
HLC,20171215,,,,6.52,0
HLC,20171214,6.52,6.52,6.52,6.52,30
HLC,20171213,,,,6.52,0
HLC,20171212,,,,6.52,0
HLC,20171211,6.52,6.52,6.52,6.52,100
HLC,20171208,5.98,5.98,5.98,5.98,127
HLC,20171207,,,,6.25,0
HLC,20171206,6.25,6.25,6.25,6.25,121
HLC,20171205,,,,6.7,0
HLC,20171204,6.34,6.7,6.16,6.7,2089
HLC,20171201,6.34,6.34,6.34,6.34,300
HLC,20171130,,,,6.7,0
HLC,20171129,6.7,6.7,6.7,6.7,1500
HLC,20171128,6.16,6.16,6.16,6.16,485
HLC,20171127,6.79,6.79,6.79,6.79,5
HLC,20171124,6.79,6.79,6.79,6.79,29
HLC,20171123,,,,6.79,0
HLC,20171122,6.79,6.79,6.79,6.79,100
HLC,20171121,,,,6.61,0
HLC,20171120,6.16,6.61,6.16,6.61,500
HLC,20171117,,,,6.79,0
HLC,20171116,,,,6.79,0
HLC,20171115,,,,6.79,0
HLC,20171114,,,,6.79,0
HLC,20171113,,,,6.79,0
HLC,20171110,,,,6.79,0
HLC,20171109,,,,6.79,0
HLC,20171108,,,,6.79,0
HLC,20171107,6.79,6.79,6.79,6.79,100
HLC,20171106,,,,6.52,0
HLC,20171103,6.52,6.52,6.52,6.52,500
HLC,20171102,,,,6.52,0
HLC,20171101,,,,6.52,0
HLC,20171031,6.52,6.52,6.52,6.52,1300
HLC,20171030,6.52,6.52,6.52,6.52,3000
HLC,20171027,6.52,6.52,6.52,6.52,1000
HLC,20171026,,,,6.52,0
HLC,20171025,6.52,6.52,6.52,6.52,200
HLC,20171024,,,,6.52,0
HLC,20171023,6.52,6.52,6.52,6.52,1000
HLC,20171020,6.52,6.52,6.52,6.52,500
HLC,20171019,,,,6.61,0
HLC,20171018,6.61,6.61,6.61,6.61,100
HLC,20171017,,,,6.52,0
HLC,20171016,6.34,6.52,6.34,6.52,1879
HLC,20171013,,,,6.88,0
HLC,20171012,,,,6.88,0
HLC,20171011,,,,6.88,0
HLC,20171010,,,,6.88,0
HLC,20171009,6.88,6.88,6.88,6.88,100
HLC,20171006,6.61,6.7,6.61,6.7,6600
HLC,20171005,6.52,6.52,6.52,6.52,1200
HLC,20171004,6.61,6.79,6.61,6.79,2300
HLC,20171003,,,,6.97,0
HLC,20171002,6.97,6.97,6.97,6.97,128
HLC,20170929,,,,6.52,0
HLC,20170928,,,,6.52,0
HLC,20170927,6.79,6.79,6.34,6.52,6828
HLC,20170926,6.7,6.7,6.7,6.7,2000
HLC,20170925,,,,6.88,0
HLC,20170922,6.52,6.88,6.07,6.88,5100
HLC,20170921,6.52,6.52,6.52,6.52,330
HLC,20170920,6.52,6.61,6.52,6.61,2100
HLC,20170919,6.52,6.61,6.52,6.52,1000
HLC,20170918,6.52,7.15,6.52,7.15,3300
HLC,20170915,,,,7.24,0
HLC,20170914,,,,7.24,0
HLC,20170913,7.24,7.24,7.24,7.24,100
