<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HPG,20180713,34.2,35.65,34.05,35.6,4729750
HPG,20180712,33.75,34.15,33.2,33.75,3327390
HPG,20180711,34.9,35.4,33.8,34.4,7028880
HPG,20180710,35.5,36.1,35.5,35.5,3023470
HPG,20180709,37.5,37.5,35.4,35.7,3847250
HPG,20180706,36.05,37.8,35.2,36.8,5279160
HPG,20180705,37.1,37.5,35.8,36.1,4246120
HPG,20180704,36.8,37.45,36.2,37.1,3769000
HPG,20180703,38.4,38.8,36.3,36.3,5823250
HPG,20180702,38,38.5,37,38.4,6223040
HPG,20180629,38.8,39.2,37.95,38.4,5171070
HPG,20180628,38.8,39.8,38.6,38.85,4260340
HPG,20180627,40.9,41.15,39.5,39.5,3374170
HPG,20180626,40.6,41.15,40,41.1,2672780
HPG,20180625,42,42.15,41.05,41.5,3464240
HPG,20180622,39,40.95,38.8,40.95,7178290
HPG,20180621,39.95,39.95,39,39.25,3879280
HPG,20180620,39,40,37.8,40,5767930
HPG,20180619,38.8,39.5,37.5,38.35,13163240
HPG,20180618,42.7,42.7,40.2,40.2,7388100
HPG,20180615,42.5,43,41.8,43,4820810
HPG,20180614,43.8,44.45,42.55,42.6,6574380
HPG,20180613,42.4,43.6,42.3,43.4,3666430
HPG,20180612,44.3,44.3,41.7,42.5,10591380
HPG,20180611,43.58,44.08,43.22,43.29,8041000
HPG,20180608,44.28,44.28,43.71,43.79,3600330
HPG,20180607,43.57,44.57,43.43,44.21,5446810
HPG,20180606,42.28,43.57,41.78,43.43,6063330
HPG,20180605,42.86,43,41.79,42.14,6122250
HPG,20180604,41.35,42.85,40.92,42.86,5646190
HPG,20180601,40.36,41,40.07,40.71,6643770
HPG,20180531,37.78,40.07,37.71,40.07,9232180
HPG,20180530,37.21,38.14,36.35,37.71,6303310
HPG,20180529,34.79,37.22,34.79,37.14,4982880
HPG,20180528,36.14,37.14,34.78,34.79,5307490
HPG,20180525,37.43,38.07,37,37.21,5347460
HPG,20180524,37.14,37.43,36.86,37.43,3650040
HPG,20180523,35.93,37.14,35.93,36.93,3291430
HPG,20180522,37.79,37.86,36.07,36.07,6301030
HPG,20180521,38.93,39,38,38,2366300
HPG,20180518,38,38.5,37.5,38.5,3743020
HPG,20180517,38.57,38.71,37.71,37.86,4117510
HPG,20180516,39.36,40.14,38.5,38.57,3144190
HPG,20180515,39.93,40.15,39.43,39.57,2482800
HPG,20180514,40.08,40.22,39.29,39.86,2798580
HPG,20180511,39,39.86,38.93,39.79,2728770
HPG,20180510,40.5,40.64,39.28,39.43,2628190
HPG,20180509,40.57,41.07,40.07,40.71,2016460
HPG,20180508,39.93,41.36,39.43,40.71,4689060
HPG,20180507,38.86,40,38.5,40,3773870
HPG,20180504,39.15,39.5,38.5,38.57,2599490
HPG,20180503,38.79,38.93,38.15,38.79,5325700
HPG,20180502,38.86,39.57,38.07,38.86,4197690
HPG,20180427,38.21,38.57,37,38.43,5135100
HPG,20180426,40,40.57,37.93,38.21,4650560
HPG,20180424,39.64,40.64,39.28,40,3808590
HPG,20180423,42.07,42.07,39.64,39.71,2822400
HPG,20180420,40.71,42,40.14,42,3297740
HPG,20180419,41.85,42.21,40.71,40.71,5118490
HPG,20180418,42.78,43,42.14,42.14,2757790
HPG,20180417,43.14,43.14,42.14,42.64,3369400
HPG,20180416,43.21,43.57,42.92,42.93,2178130
HPG,20180413,44.28,44.36,43.5,43.71,3273780
HPG,20180412,43,44.21,42.78,44.07,4513010
HPG,20180411,43.57,44.29,43.14,43.21,7191440
HPG,20180410,43.43,43.64,42.93,43.43,4651830
HPG,20180409,43.28,43.71,42.85,43.43,4479210
HPG,20180406,41.93,43.14,41.79,43.14,4899110
HPG,20180405,42.35,42.43,41.85,42,2089950
HPG,20180404,42.15,42.36,41.79,42.14,2908600
HPG,20180403,42.14,42.5,41.07,41.79,6349810
HPG,20180402,43.21,43.28,42.14,42.14,6093790
HPG,20180330,43.72,43.79,42.93,43.14,2577560
HPG,20180329,42.86,43.72,42.72,43.43,3683450
HPG,20180328,42.43,43,42,42.79,2410560
HPG,20180327,41.86,42.78,41.86,42.43,5798310
HPG,20180326,43.36,43.79,41.79,42.07,11065710
HPG,20180323,43.22,44.29,43.22,43.86,5420930
HPG,20180322,45,45.93,44.64,44.86,6581870
HPG,20180321,44,45.29,44,45,4866590
HPG,20180320,44.86,44.93,43.93,43.93,3422270
HPG,20180319,43.57,45.64,43.57,45.07,5218860
HPG,20180316,43.08,43.5,42.58,43,9631780
HPG,20180315,43.93,43.93,43.14,43.29,4149230
HPG,20180314,44.22,44.5,44.07,44.14,2654570
HPG,20180313,44.22,44.29,43.72,43.93,2925900
HPG,20180312,43.93,44.57,43.86,44.29,2965770
HPG,20180309,44.28,44.57,43.71,43.93,4792550
HPG,20180308,43.5,44.71,42.93,44.14,4777230
HPG,20180307,43.93,45.64,43.21,43.64,6712590
HPG,20180306,44.28,45.78,42.28,45.64,8543250
HPG,20180305,47.29,47.36,44.07,44.07,18962710
HPG,20180302,46.5,47.64,46.21,47.36,7746200
HPG,20180301,47.07,48.43,46.43,47.64,6516250
HPG,20180228,45.36,47.15,44.93,47.14,11050630
HPG,20180227,46.36,46.36,45.29,45.79,7780430
HPG,20180226,44.93,46.14,44.43,46,8761510
HPG,20180223,42.14,44.28,42,44,10695740
HPG,20180222,42.5,42.57,41.93,42.07,4928900
HPG,20180221,43.93,44.15,42.65,42.86,8779720
HPG,20180213,42.14,43.64,42.14,43.29,5281840
HPG,20180212,41.64,42.64,41.35,42,6576890
HPG,20180209,40.57,42.43,40.57,41.64,9028840
HPG,20180208,42.5,43.43,42,42.64,4633450
HPG,20180207,43.22,43.93,42.22,42.5,5682060
HPG,20180206,37.92,42.42,37.92,41.43,14973300
HPG,20180205,42.78,43.14,40.71,40.71,7317220
HPG,20180202,43.57,43.86,42.64,43.64,3673050
HPG,20180201,44.5,45,43.21,43.57,2813090
HPG,20180131,43.79,45.58,43.58,44.5,5541660
HPG,20180130,43.22,43.93,41.79,43.79,10291630
HPG,20180129,46.07,46.43,43.93,43.93,5100130
HPG,20180126,44.29,46.07,43.57,45.64,4998360
HPG,20180125,46.36,46.43,43.57,43.93,13773130
HPG,20180122,42.5,45.57,42.5,45.43,6662390
HPG,20180119,40,42.79,39.71,42.64,7233090
HPG,20180118,38.15,40,37.72,40,5542350
HPG,20180117,39.57,40.14,38.29,38.29,5028580
HPG,20180116,38.79,40,38.29,40,4328790
HPG,20180115,37.07,39,36.85,39,3408260
HPG,20180112,37.14,37.79,36.57,37.21,5393440
HPG,20180111,36.79,37.07,36,36.93,5284530
HPG,20180110,38.22,38.58,36.15,36.93,6231980
HPG,20180109,35.57,37.79,35.5,37.79,5702180
HPG,20180108,34.08,35.36,33.93,35.36,3702750
HPG,20180105,34.36,34.61,34.04,34.29,3660450
HPG,20180104,34.14,34.57,34,34.43,4640280
HPG,20180103,34.28,34.64,33.78,34,4828220
HPG,20180102,33.5,34.1,33.17,34.07,4105100
HPG,20171229,32.82,33.5,32.75,33.46,5114380
HPG,20171228,32.43,32.86,32.07,32.71,3305010
HPG,20171227,31.36,32.57,31.36,32.43,7613290
HPG,20171226,31.07,31.71,31.03,31.36,3717280
HPG,20171225,31.68,31.75,31.29,31.32,2345650
HPG,20171222,31.64,32.07,31.5,31.68,5883750
HPG,20171221,31.22,32.29,31.22,31.5,6161690
HPG,20171220,30.85,31.78,30.85,31.43,4347600
HPG,20171219,31,31.64,30.82,31.14,7414140
HPG,20171218,30.15,30.72,29.83,30.71,5984320
HPG,20171215,29.25,29.97,29.25,29.79,5530560
HPG,20171214,28.79,29.15,28.75,29.04,2181370
HPG,20171213,28.86,28.86,28.36,28.79,4180040
HPG,20171212,28.78,29.21,27.14,28.36,6905750
HPG,20171211,29,29.32,28.72,28.71,3778630
HPG,20171208,29.92,29.92,29.35,29.43,3524840
HPG,20171207,30.18,30.22,29.72,29.96,3948820
HPG,20171206,29.92,30.17,29,30.18,7172100
HPG,20171205,30,30.18,29.71,29.71,5651430
HPG,20171204,29.57,30.07,29.5,30,4425610
HPG,20171201,29.39,29.79,29.29,29.64,4367480
HPG,20171130,28.28,29.57,28.28,29.43,11457580
HPG,20171129,28.07,28.14,27.85,28.07,3701540
HPG,20171128,28.22,28.33,27.93,28.14,3685180
HPG,20171127,28,28.18,27.82,28.04,5252070
HPG,20171124,27.29,28,27.29,27.93,6380830
HPG,20171123,27.57,27.65,27,27.29,5048680
HPG,20171122,27.07,27.57,27,27.36,4017630
HPG,20171121,26.78,27.14,26.75,26.82,4116150
HPG,20171120,27.29,27.29,26.58,26.71,5032060
HPG,20171117,27.57,27.65,27.11,27.29,2824720
HPG,20171116,27.64,28,27.5,27.61,3823530
HPG,20171115,26.78,27.78,26.75,27.68,5923670
