<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HVA,20180713,2.5,2.7,2.4,2.4,102400
HVA,20180712,2.7,2.7,2.5,2.5,7800
HVA,20180711,2.7,2.7,2.6,2.6,39700
HVA,20180710,2.8,2.8,2.8,2.8,5800
HVA,20180709,2.8,2.9,2.7,2.9,16300
HVA,20180706,2.7,2.9,2.6,2.8,11760
HVA,20180705,2.9,2.9,2.7,2.7,17700
HVA,20180704,3,3,2.8,2.8,12200
HVA,20180703,3,3.1,2.9,3.1,21600
HVA,20180702,3,3.1,2.9,3.1,48900
HVA,20180629,3.1,3.2,3,3,41830
HVA,20180628,3,3.2,3,3.2,8860
HVA,20180627,3.1,3.2,3,3.1,14510
HVA,20180626,3.1,3.3,3,3,34000
HVA,20180625,3.3,3.4,3,3,81600
HVA,20180622,3.3,3.5,3.3,3.3,12300
HVA,20180621,3.3,3.4,3.3,3.4,13600
HVA,20180620,3.3,3.4,3.3,3.3,20600
HVA,20180619,3.4,3.4,3.3,3.4,23100
HVA,20180618,3.5,3.6,3.5,3.5,46300
HVA,20180615,3.5,3.6,3.5,3.6,31830
HVA,20180614,3.5,3.6,3.5,3.5,36600
HVA,20180613,3.6,3.6,3.5,3.6,23700
HVA,20180612,3.6,3.6,3.5,3.6,9200
HVA,20180611,3.5,3.7,3.4,3.7,22400
HVA,20180608,3.5,3.6,3.5,3.5,30600
HVA,20180607,3.6,3.7,3.6,3.6,33328
HVA,20180606,3.5,3.5,3.4,3.4,32800
HVA,20180605,3.6,3.6,3.5,3.5,17200
HVA,20180604,3.5,3.7,3.5,3.6,16810
HVA,20180601,3.6,3.6,3.5,3.5,27900
HVA,20180531,3.4,3.7,3.3,3.7,27100
HVA,20180530,3.4,3.5,3.4,3.4,26900
HVA,20180529,3.5,3.6,3.4,3.6,38720
HVA,20180528,3.6,3.6,3.3,3.5,38300
HVA,20180525,3.6,3.6,3.5,3.5,14400
HVA,20180524,3.8,3.9,3.6,3.6,3600
HVA,20180523,3.6,3.8,3.5,3.8,60510
HVA,20180522,3.7,3.7,3.6,3.6,170520
HVA,20180521,3.9,3.9,3.8,3.9,17500
HVA,20180518,4,4.1,3.8,3.9,18900
HVA,20180517,3.9,4.1,3.9,4,54526
HVA,20180516,3.8,3.9,3.8,3.8,47600
HVA,20180515,4.3,4.3,3.8,4,59360
HVA,20180514,3.7,4,3.7,4,174250
HVA,20180511,3.7,3.7,3.4,3.7,5600
HVA,20180510,3.7,3.7,3.5,3.6,77100
HVA,20180509,3.6,3.8,3.6,3.7,21900
HVA,20180508,3.5,3.5,3.4,3.5,73900
HVA,20180507,3.8,3.8,3.5,3.6,48500
HVA,20180504,3.9,3.9,3.6,3.8,45800
HVA,20180503,3.9,4,3.8,3.9,37500
HVA,20180502,3.9,4.1,3.9,3.9,78900
HVA,20180427,3.8,3.8,3.6,3.8,19200
HVA,20180426,3.9,3.9,3.5,3.8,65460
HVA,20180424,3.7,3.8,3.4,3.7,151700
HVA,20180423,4.2,4.2,3.7,3.7,182310
HVA,20180420,4.2,4.3,3.9,4.1,148700
HVA,20180419,4.2,4.5,4,4.3,175190
HVA,20180418,3.9,4.2,3.6,4.1,297900
HVA,20180417,3.9,3.9,3.7,3.9,410200
HVA,20180416,3.6,3.6,3.6,3.6,14900
HVA,20180413,3.1,3.3,3.1,3.3,183950
HVA,20180412,3.1,3.1,3,3,284480
HVA,20180411,3.3,3.3,3.1,3.3,76000
HVA,20180410,3.5,3.5,3.3,3.4,92120
HVA,20180409,3.5,3.6,3.4,3.5,28620
HVA,20180406,3.5,3.6,3.5,3.5,29510
HVA,20180405,3.6,3.7,3.4,3.5,35800
HVA,20180404,3.7,3.7,3.5,3.6,69200
HVA,20180403,3.8,3.8,3.6,3.7,8700
HVA,20180402,3.9,3.9,3.6,3.6,46410
HVA,20180330,3.7,3.8,3.7,3.8,32460
HVA,20180329,3.9,3.9,3.7,3.9,24000
HVA,20180328,3.9,3.9,3.7,3.9,42600
HVA,20180327,4,4,3.7,3.8,11020
HVA,20180326,3.9,3.9,3.8,3.9,21200
HVA,20180323,3.8,3.9,3.8,3.9,47100
HVA,20180322,3.9,4,3.8,4,51110
HVA,20180321,3.8,3.9,3.7,3.8,93900
HVA,20180320,4,4.1,3.9,3.9,104200
HVA,20180319,4.2,4.2,3.8,4,86140
HVA,20180316,4.6,4.6,4,4.1,105000
HVA,20180315,4.2,4.2,4,4.2,76260
HVA,20180314,3.7,3.9,3.7,3.9,41063
HVA,20180313,3.8,3.8,3.6,3.6,35700
HVA,20180312,3.7,3.9,3.6,3.7,65110
HVA,20180309,3.9,3.9,3.7,3.9,111600
HVA,20180308,4,4,3.8,4,65490
HVA,20180307,4,4.1,3.9,4,26960
HVA,20180306,4,4.2,3.8,4,61753
HVA,20180305,4.5,4.5,4,4,31260
HVA,20180302,4.3,4.3,3.9,4.1,74200
HVA,20180301,4.3,4.3,3.8,4.2,53000
HVA,20180228,4.1,4.3,4.1,4.1,109080
HVA,20180227,4.6,4.7,4.3,4.5,168620
HVA,20180226,4.9,4.9,4.3,4.7,196740
HVA,20180223,4.6,4.9,4.6,4.7,197854
HVA,20180222,4.5,4.5,4.4,4.5,116020
HVA,20180221,4.1,4.1,4.1,4.1,8400
HVA,20180213,3.9,3.9,3.6,3.8,47000
HVA,20180212,4,4,3.6,3.6,60335
HVA,20180209,3.8,3.8,3.6,3.8,81900
HVA,20180208,3.9,3.9,3.7,3.9,36710
HVA,20180207,3.8,4.1,3.8,3.9,139330
HVA,20180206,3.8,3.9,3.8,3.8,175720
HVA,20180205,4.4,4.4,4.2,4.2,96837
HVA,20180202,5.1,5.1,4.6,4.6,107470
HVA,20180201,5,5.1,4.8,5.1,47850
HVA,20180131,5.8,5.8,4.8,5.2,290065
HVA,20180130,5.3,5.3,4.9,5.3,432358
HVA,20180129,4.9,4.9,4.9,4.9,49103
HVA,20180126,4.1,4.5,4.1,4.5,66870
HVA,20180125,4.1,4.7,4.1,4.1,672354
HVA,20180122,6.2,6.5,5.5,5.5,122100
HVA,20180119,5.2,6.2,5.2,6.1,1274639
HVA,20180118,5.7,5.7,5.7,5.7,54809
HVA,20180117,6.3,6.3,6.3,6.3,182100
HVA,20180116,6.9,6.9,6.9,6.9,28655
HVA,20180115,7.6,8.1,7.6,7.6,489690
HVA,20180112,9.4,9.4,8.2,8.4,926808
HVA,20180111,8.6,8.6,8.6,8.6,132250
HVA,20180110,7.9,7.9,7.2,7.9,395982
HVA,20180109,7.2,7.2,6,7.2,1384928
HVA,20180108,6.6,6.6,6.6,6.6,36600
HVA,20180105,6,6,6,6,108637
HVA,20180104,5.5,5.5,5.5,5.5,886716
HVA,20180103,5,5,4.9,5,474690
HVA,20180102,4.6,4.6,4.6,4.6,558600
HVA,20171229,4.2,4.2,4.2,4.2,10900
HVA,20171228,3.9,3.9,3.9,3.9,7800
HVA,20171227,3.6,3.6,3.6,3.6,492227
HVA,20171226,3.2,3.4,3.1,3.3,236600
HVA,20171225,3.3,3.4,3,3.4,154721
HVA,20171222,3.3,3.5,3.2,3.3,359808
HVA,20171221,3.4,3.4,3.3,3.3,412200
HVA,20171220,3.1,3.1,3,3.1,146200
HVA,20171219,2.7,2.9,2.7,2.9,217430
HVA,20171218,2.6,2.8,2.6,2.7,85600
HVA,20171215,2.7,2.7,2.5,2.6,71004
HVA,20171214,2.6,2.7,2.5,2.7,72000
HVA,20171213,2.6,2.6,2.4,2.5,34030
HVA,20171212,2.5,2.6,2.4,2.5,66320
HVA,20171211,2.7,2.7,2.4,2.4,136820
HVA,20171208,2.6,2.7,2.6,2.6,52300
HVA,20171207,2.6,2.7,2.6,2.7,6600
HVA,20171206,2.6,2.7,2.6,2.7,59930
HVA,20171205,2.6,2.7,2.5,2.6,83600
HVA,20171204,2.6,2.7,2.6,2.6,55700
HVA,20171201,2.6,2.7,2.5,2.7,53560
HVA,20171130,2.7,2.7,2.6,2.6,96800
HVA,20171129,2.8,2.8,2.7,2.7,194064
HVA,20171128,2.8,2.9,2.8,2.9,77000
HVA,20171127,2.8,2.9,2.8,2.8,53710
HVA,20171124,2.7,2.8,2.6,2.7,143300
HVA,20171123,2.8,2.9,2.7,2.8,158600
HVA,20171122,2.9,2.9,2.8,2.8,65000
HVA,20171121,2.9,3,2.8,3,97740
HVA,20171120,2.7,3,2.7,3,88400
HVA,20171117,3,3,2.8,2.8,87000
HVA,20171116,3,3.1,2.8,2.9,72800
HVA,20171115,3,3,2.9,3,24900
HVA,20171114,3,3,2.9,3,85500
