<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HVT,20180713,44,44,44,44,500
HVT,20180712,44,44,44,44,800
HVT,20180711,44,44,44,44,500
HVT,20180710,44,44,44,44,200
HVT,20180709,45,45,44.1,44.1,2500
HVT,20180706,44.5,44.5,44,44,500
HVT,20180705,44,44,44,44,500
HVT,20180704,45,45,44.5,44.5,4000
HVT,20180703,,,,45.5,0
HVT,20180702,45.5,45.5,45.5,45.5,2030
HVT,20180629,46,46,46,46,94
HVT,20180628,45.8,46,45.8,46,2000
HVT,20180627,,,,45.8,0
HVT,20180626,45.8,45.8,45.8,45.8,1000
HVT,20180625,45,45,45,45,1430
HVT,20180622,45,45,45,45,4600
HVT,20180621,44.5,44.5,44.5,44.5,12
HVT,20180620,44.5,44.5,44.03,44.5,4500
HVT,20180619,44.5,44.5,44.5,44.5,900
HVT,20180618,46.39,46.39,46.39,46.39,185
HVT,20180615,46.39,46.39,46.39,46.39,20
HVT,20180614,45.92,46.39,45.92,46.39,1000
HVT,20180613,45.45,45.73,45.45,45.73,300
HVT,20180612,,,,45.45,0
HVT,20180611,44.5,45.44,44.5,45.45,2800
HVT,20180608,45.45,46.4,45.45,46.39,1100
HVT,20180607,45.45,45.45,45.45,45.45,2900
HVT,20180606,45.45,45.45,45.45,45.45,1900
HVT,20180605,41.75,45.44,41.75,45.45,7650
HVT,20180604,46.39,46.39,41.75,41.75,11900
HVT,20180601,46.3,47.24,45.92,45.92,1400
HVT,20180531,44.6,44.98,44.6,44.97,200
HVT,20180530,45.07,45.07,45.07,45.07,119
HVT,20180529,44.97,45.06,44.97,45.07,3600
HVT,20180528,45.92,45.92,44.97,44.97,2900
HVT,20180525,45.45,45.92,45.45,45.92,4719
HVT,20180524,45.44,45.44,45.44,45.45,600
HVT,20180523,,,,46.39,0
HVT,20180522,46.39,46.39,46.39,46.39,900
HVT,20180521,,,,46.39,0
HVT,20180518,46.39,46.39,45.92,46.39,2200
HVT,20180517,,,,46.39,0
HVT,20180516,46.39,46.39,46.39,46.39,146
HVT,20180515,46.39,46.39,46.39,46.39,4021
HVT,20180514,46.39,46.39,46.39,46.39,3000
HVT,20180511,47.34,47.34,47.34,47.34,46
HVT,20180510,47.34,47.34,47.34,47.34,300
HVT,20180509,46.39,47.34,46.39,47.34,914
HVT,20180508,45.54,48.76,45.54,48.76,200
HVT,20180507,46.39,46.39,46.39,46.39,1000
HVT,20180504,46.39,46.39,46.39,46.39,1774
HVT,20180503,46.39,46.39,45.45,46.39,4000
HVT,20180502,46.96,46.96,46.96,46.96,940
HVT,20180427,46.86,47.34,46.86,46.96,3100
HVT,20180426,48.29,48.29,47.82,47.81,700
HVT,20180424,46.39,47.81,46.39,46.87,2300
HVT,20180423,46.77,46.77,46.39,46.39,3702
HVT,20180420,48.76,48.76,45.45,46.58,510
HVT,20180419,45.73,45.73,45.73,45.73,1000
HVT,20180418,45.54,47.34,45.44,45.54,5400
HVT,20180417,,,,47.81,0
HVT,20180416,47.81,47.81,47.81,47.81,159
HVT,20180413,45.92,45.92,45.92,45.92,1300
HVT,20180412,46.02,47.34,45.45,45.92,12700
HVT,20180411,45.73,45.83,45.64,45.64,4200
HVT,20180410,45.44,46.39,45.44,45.45,2800
HVT,20180409,45.25,46.39,45.25,46.39,4400
HVT,20180406,48.19,48.76,46.39,46.39,8350
HVT,20180405,45.45,48.76,45.45,48.76,14200
HVT,20180404,44.88,45.92,44.88,45.92,12400
HVT,20180403,44.02,44.97,44.02,44.88,7400
HVT,20180402,46.39,46.39,46.01,46.01,4300
HVT,20180330,46.87,46.87,46.39,46.39,10223
HVT,20180329,47.34,47.34,46.86,47.34,6974
HVT,20180328,48.29,49.71,47.82,49.23,5600
HVT,20180327,49.7,49.7,46.39,46.87,4700
HVT,20180326,45.54,46.39,45.54,46.39,3929
HVT,20180323,45.54,45.54,45.54,45.54,2200
HVT,20180322,45.45,45.54,45.45,45.54,4500
HVT,20180321,45.45,46.4,45.45,45.45,2500
HVT,20180320,46.39,46.39,45.45,45.45,4092
HVT,20180319,45.44,46.39,44.5,44.5,10502
HVT,20180316,43.55,43.55,43.55,43.55,600
HVT,20180315,43.46,43.46,43.46,43.46,1000
HVT,20180314,43.46,43.55,43.46,43.55,920
HVT,20180313,43.56,43.56,43.56,43.55,3000
HVT,20180312,43.74,44.97,43.55,43.65,4300
HVT,20180309,43.56,45.92,43.56,45.92,270877
HVT,20180308,42.61,42.61,42.61,42.61,30
HVT,20180307,47.15,47.15,41.19,42.61,4778
HVT,20180306,44.5,44.5,44.5,44.5,450
HVT,20180305,44.97,44.97,44.97,44.97,40
HVT,20180302,,,,44.97,0
HVT,20180301,40.33,44.97,40.33,44.97,982
HVT,20180228,,,,44.5,0
HVT,20180227,42.6,44.5,42.6,44.5,1700
HVT,20180226,40.71,43.55,40.71,43.55,700
HVT,20180223,40.24,41,40.24,40.71,482
HVT,20180222,40.81,40.81,40.81,40.81,125
HVT,20180221,40.8,40.8,40.8,40.81,100
HVT,20180213,,,,43.55,0
HVT,20180212,39.96,43.56,39.96,43.55,1820
HVT,20180209,39.77,39.77,39.77,39.77,1600
HVT,20180208,,,,39.77,0
HVT,20180207,39.68,39.77,39.68,39.77,1800
HVT,20180206,37.97,39.77,37.97,39.77,1860
HVT,20180205,39.86,39.86,38.82,39.86,7200
HVT,20180202,39.77,39.86,39.77,39.86,3010
HVT,20180201,39.57,39.57,39.57,39.58,1500
HVT,20180131,,,,38.53,0
HVT,20180130,38.63,38.73,38.54,38.53,30579
HVT,20180129,38.06,39.57,38.06,39.58,3900
HVT,20180126,37.5,39.11,37.5,39.1,4465
HVT,20180125,39.77,39.77,39.77,39.77,100
HVT,20180122,35.12,37.49,35.12,37.49,19900
HVT,20180119,,,,34.08,0
HVT,20180118,33.13,34.08,33.13,34.08,4310
HVT,20180117,,,,33.04,0
HVT,20180116,31.24,33.04,31.24,33.04,2540
HVT,20180115,,,,31.24,0
HVT,20180112,31.24,31.24,31.24,31.24,100
HVT,20180111,31.24,31.24,31.24,31.24,500
HVT,20180110,30.77,31.24,30.77,31.24,2515
