<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HVX,20180713,4.04,4.04,4.04,4.04,10
HVX,20180712,,,,3.87,0
HVX,20180711,,,,3.87,0
HVX,20180710,,,,3.87,0
HVX,20180709,3.4,3.87,3.4,3.87,70
HVX,20180706,3.62,3.62,3.62,3.62,1000
HVX,20180705,,,,3.89,0
HVX,20180704,3.89,3.89,3.89,3.89,10
HVX,20180703,4,4.18,3.64,3.64,30
HVX,20180702,,,,3.91,0
HVX,20180629,3.91,3.91,3.91,3.91,380
HVX,20180628,,,,4.19,0
HVX,20180627,4.19,4.19,4.19,4.19,20
HVX,20180626,,,,4,0
HVX,20180625,4,4,4,4,120
HVX,20180622,4.19,4.19,4,4.1,70
HVX,20180621,,,,3.98,0
HVX,20180620,,,,3.98,0
HVX,20180619,3.98,3.98,3.98,3.98,10
HVX,20180618,3.72,3.72,3.72,3.72,100
HVX,20180615,4.1,4.1,4,4,310
HVX,20180614,,,,4.3,0
HVX,20180613,4.3,4.3,4.3,4.3,10
HVX,20180612,4.32,4.32,4.32,4.32,100
HVX,20180611,3.54,4.05,3.54,4.05,120
HVX,20180608,,,,3.79,0
HVX,20180607,3.79,3.79,3.79,3.79,30
HVX,20180606,,,,3.55,0
HVX,20180605,3.6,3.61,3.55,3.55,14760
HVX,20180604,3.57,3.81,3.57,3.81,4010
HVX,20180601,3.81,3.81,3.81,3.81,1000
HVX,20180531,,,,4.09,0
HVX,20180530,,,,4.09,0
HVX,20180529,,,,4.09,0
HVX,20180528,4.09,4.09,4.09,4.09,30
HVX,20180525,4.12,4.39,4.12,4.39,5030
HVX,20180524,4.44,4.44,3.9,4.42,1150
HVX,20180523,4.19,4.19,4.19,4.19,10
HVX,20180522,4.49,4.49,4.09,4.09,60
HVX,20180521,,,,4.39,0
HVX,20180518,4.39,4.39,4.39,4.39,10
HVX,20180517,4.19,4.19,4.19,4.19,10
HVX,20180516,4.14,4.14,4.14,4.14,110
HVX,20180515,,,,4.45,0
HVX,20180514,,,,4.45,0
HVX,20180511,,,,4.45,0
HVX,20180510,,,,4.45,0
HVX,20180509,,,,4.45,0
HVX,20180508,,,,4.45,0
HVX,20180507,4.45,4.45,4.45,4.45,10
HVX,20180504,4.45,4.45,3.91,4.2,30
HVX,20180503,4,4.2,4,4.2,310
HVX,20180502,,,,4.3,0
HVX,20180427,,,,4.3,0
HVX,20180426,,,,4.3,0
HVX,20180424,4.3,4.3,4.3,4.3,110
HVX,20180423,,,,4.33,0
HVX,20180420,4.26,4.33,4.26,4.33,110
HVX,20180419,,,,4.26,0
HVX,20180418,4.26,4.26,4.26,4.26,720
HVX,20180417,4.57,4.57,4.57,4.57,10
HVX,20180416,,,,4.3,0
HVX,20180413,4.15,4.3,4.15,4.3,20
HVX,20180412,3.61,4.1,3.61,4.1,220
HVX,20180411,3.88,3.88,3.88,3.88,10
HVX,20180410,3.72,4.17,3.7,4.17,2010
HVX,20180409,3.91,3.91,3.91,3.91,200
HVX,20180406,3.74,4.2,3.73,4.2,7450
HVX,20180405,,,,4,0
HVX,20180404,,,,4,0
HVX,20180403,,,,4,0
HVX,20180402,,,,4,0
HVX,20180330,4,4,4,4,100
HVX,20180329,3.8,4.06,3.7,4.06,5010
HVX,20180328,3.8,3.8,3.7,3.8,1910
HVX,20180327,3.95,4,3.8,3.8,340
HVX,20180326,3.92,3.92,3.92,3.92,2000
HVX,20180323,4.2,4.2,4.2,4.2,30
HVX,20180322,3.77,4.1,3.77,4.1,50
HVX,20180321,4.05,4.05,4.05,4.05,500
HVX,20180320,,,,4.05,0
HVX,20180319,3.65,4.05,3.65,4.05,20
HVX,20180316,4,4,3.81,3.81,120
HVX,20180315,3.9,3.9,3.9,3.9,10080
HVX,20180314,4.22,4.22,3.8,3.8,290
HVX,20180313,3.95,3.95,3.95,3.95,690
HVX,20180312,4.19,4.19,3.7,3.7,110
HVX,20180309,4.47,4.47,3.94,3.94,2520
HVX,20180308,3.95,4.23,3.95,4.23,110
HVX,20180307,3.88,4.24,3.87,4.24,520
HVX,20180306,4.15,4.15,4.15,4.15,6990
HVX,20180305,3.99,4.2,3.99,4.15,6010
HVX,20180302,3.61,3.99,3.61,3.99,70
HVX,20180301,3.73,3.73,3.73,3.73,10
HVX,20180228,4.28,4.28,3.99,3.99,50
HVX,20180227,4.3,4.3,4.29,4.29,1450
HVX,20180226,4.14,4.45,4.14,4.45,200
HVX,20180223,4.25,4.45,4.25,4.45,30
HVX,20180222,3.74,4.25,3.73,4.25,240
HVX,20180221,3.98,3.98,3.98,3.98,10
HVX,20180213,3.72,3.72,3.72,3.72,30
HVX,20180212,3.46,3.98,3.46,3.98,40
HVX,20180209,3.72,3.72,3.72,3.72,50
HVX,20180208,4,4,4,4,100
HVX,20180207,3.74,3.74,3.74,3.74,20
HVX,20180206,3.5,3.5,3.5,3.5,210
HVX,20180205,3.74,3.74,3.73,3.73,160
HVX,20180202,,,,4,0
HVX,20180201,4,4,4,4,10
HVX,20180131,4.21,4.21,4,4,24600
HVX,20180130,4.06,4.06,4.06,4.06,270
HVX,20180129,4.17,4.17,3.8,3.8,800
HVX,20180126,3.9,3.9,3.9,3.9,210
HVX,20180125,,,,4.19,0
HVX,20180122,4.13,4.19,4.13,4.19,270
HVX,20180119,3.95,4.44,3.95,4.44,3010
HVX,20180118,4.2,4.2,4.2,4.2,10
HVX,20180117,4,4.45,3.93,4.45,3470
HVX,20180116,4.22,4.22,4.22,4.22,210
HVX,20180115,3.95,3.95,3.95,3.95,1200
HVX,20180112,4.22,4.22,4.22,4.22,420
HVX,20180111,3.92,3.95,3.92,3.95,1910
HVX,20180110,4,4,4,4,1000
HVX,20180109,,,,4.29,0
HVX,20180108,4.5,4.5,4.29,4.29,490
HVX,20180105,4.29,4.29,4.29,4.29,10
HVX,20180104,4.01,4.01,4.01,4.01,10
HVX,20180103,4.17,4.19,4.17,4.19,200
HVX,20180102,,,,4.48,0
HVX,20171229,,,,4.48,0
HVX,20171228,4.48,4.48,4.48,4.48,10
HVX,20171227,,,,4.2,0
HVX,20171226,4.2,4.2,4.2,4.2,2070
HVX,20171225,,,,4.5,0
HVX,20171222,,,,4.5,0
HVX,20171221,,,,4.5,0
HVX,20171220,4.15,4.5,4.15,4.5,20
HVX,20171219,,,,4.4,0
HVX,20171218,4.4,4.4,4.4,4.4,20
HVX,20171215,,,,4.12,0
HVX,20171214,4.12,4.12,4.12,4.12,90
HVX,20171213,,,,4.4,0
HVX,20171212,4.4,4.4,4.4,4.4,20
HVX,20171211,,,,4.4,0
HVX,20171208,,,,4.4,0
HVX,20171207,,,,4.4,0
HVX,20171206,,,,4.4,0
HVX,20171205,4.4,4.5,4.4,4.4,3010
HVX,20171204,,,,4.4,0
HVX,20171201,4.4,4.4,4.4,4.4,10
HVX,20171130,,,,4.15,0
HVX,20171129,,,,4.15,0
HVX,20171128,4.15,4.15,4.15,4.15,1010
HVX,20171127,4.45,4.45,4.45,4.45,20
HVX,20171124,,,,4.5,0
HVX,20171123,4.02,4.5,4.01,4.5,2910
HVX,20171122,4.26,4.26,4.26,4.26,3770
HVX,20171121,4.26,4.26,4.26,4.26,1210
HVX,20171120,4.26,4.57,4.26,4.57,4020
HVX,20171117,,,,4.57,0
HVX,20171116,4.26,4.57,4.26,4.57,30
HVX,20171115,,,,4.57,0
HVX,20171114,,,,4.57,0
HVX,20171113,4.2,4.6,4.2,4.57,2160
HVX,20171110,4.27,4.4,4.27,4.4,30
HVX,20171109,4.59,4.59,4.59,4.59,10
HVX,20171108,4.2,4.4,4.2,4.4,2060
HVX,20171107,4.2,4.5,4.2,4.5,3010
HVX,20171106,4.5,4.5,4.5,4.5,10
HVX,20171103,,,,4.38,0
HVX,20171102,4.1,4.38,4.1,4.38,770
HVX,20171101,4.1,4.1,4.1,4.1,10
HVX,20171031,4.39,4.39,4.1,4.1,690
HVX,20171030,,,,4.39,0
HVX,20171027,,,,4.39,0
HVX,20171026,4.39,4.39,4.39,4.39,1400
HVX,20171025,4.3,4.31,4.3,4.31,190
