<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
INN,20180713,52.5,52.5,52.5,52.5,100
INN,20180712,50.8,50.8,50.8,50.8,100
INN,20180711,49.5,51,48.6,49.8,13360
INN,20180710,52.5,52.5,52.5,52.5,10
INN,20180709,,,,52.5,0
INN,20180706,49.1,52.5,49,52.5,2100
INN,20180705,49.7,49.7,49.7,49.7,1410
INN,20180704,50.4,52,50.4,52,3600
INN,20180703,,,,52.9,0
INN,20180702,52.9,52.9,52.9,52.9,50
INN,20180629,53.9,53.9,51.4,52.9,3000
INN,20180628,51.1,51.5,51.1,51.5,7100
INN,20180627,54,54,51.5,51.5,2633
INN,20180626,51.5,51.5,47.6,51.5,10500
INN,20180625,55,55,50.5,52.8,5500
INN,20180622,52,52,52,52,100
INN,20180621,51.6,52,51.3,52,10200
INN,20180620,52,52,52,52,100
INN,20180619,52,52.5,51,52.5,4500
INN,20180618,,,,52.5,0
INN,20180615,52.5,52.5,52.5,52.5,100
INN,20180614,51,51,51,51,1500
INN,20180613,51,51,51,51,5500
INN,20180612,52.1,52.1,51,51,4800
INN,20180611,50.8,52.3,50.8,52.2,2600
INN,20180608,51,54,50,53,3300
INN,20180607,52.3,52.5,52,52.5,4700
INN,20180606,54.5,54.5,52.2,53.5,20200
INN,20180605,55,57,54.3,57,9500
INN,20180604,55,59.9,55,59.9,3700
INN,20180601,57,58,57,58,900
INN,20180531,53.1,57,53.1,57,700
INN,20180530,,,,56.8,0
INN,20180529,55,56.8,55,56.8,200
INN,20180528,57.9,57.9,55,56.9,1700
INN,20180525,56,56.6,55,55,4700
INN,20180524,57.1,57.1,57,57,1700
INN,20180523,58,58,57.8,57.8,202
INN,20180522,56.5,56.8,55.5,56.8,4510
INN,20180521,57.5,57.5,57.5,57.5,5000
INN,20180518,,,,58.9,0
INN,20180517,58.9,58.9,58.9,58.9,100
INN,20180516,56.1,57.9,56,57.9,2200
INN,20180515,59.8,59.8,59.8,59.8,100
INN,20180514,,,,57.5,0
INN,20180511,57.5,57.5,57.5,57.5,12100
INN,20180510,60,60,60,60,100
INN,20180509,,,,61,0
INN,20180508,59,61,59,61,200
INN,20180507,58,58.9,58,58.9,2300
INN,20180504,,,,61.9,0
INN,20180503,57.5,61.9,57.2,61.9,6000
INN,20180502,63,63,58.8,58.8,200
INN,20180427,61,61,56.2,59,2300
INN,20180426,60,60,55.1,56,1120
INN,20180424,58.8,60,58.7,59,5500
INN,20180423,62,62,62,62,2000
INN,20180420,64,64,64,64,100
INN,20180419,,,,60,0
INN,20180418,62,62,60,60,5100
INN,20180417,60,60,60,60,700
INN,20180416,63.9,63.9,59.7,59.7,1300
INN,20180413,60.1,61.5,59.9,61.5,4900
INN,20180412,60.5,61.8,60.5,61,1800
INN,20180411,62.5,62.5,61.5,62,13500
INN,20180410,62,62.5,61,62,16200
INN,20180409,67,69.5,64.1,64.1,30472
INN,20180406,64.5,70.9,64.5,70.9,25010
INN,20180405,63,64.5,63,64.5,5300
INN,20180404,63,64,63,64,4000
INN,20180403,65,65,63,63.1,1200
INN,20180402,62,64.5,62,62.8,8400
INN,20180330,63,64,61.5,61.9,5900
INN,20180329,61,61.5,60,61,5700
INN,20180328,58.7,58.7,58.7,58.7,200
INN,20180327,58,59,58,58.7,9700
INN,20180326,59,62,58,58,15300
INN,20180323,61,61,58,59,18200
INN,20180322,62,62,62,62,1100
INN,20180321,62.5,62.5,61.7,62.4,7400
INN,20180320,65,67,62.4,62.4,400
