<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
JVC,20180713,2.96,3,2.92,2.95,93020
JVC,20180712,2.97,3,2.95,2.97,26240
JVC,20180711,3.04,3.04,2.92,2.97,109640
JVC,20180710,2.92,3.02,2.92,3,79770
JVC,20180709,3,3.05,2.95,2.97,124320
JVC,20180706,2.95,3,2.9,3,99650
JVC,20180705,3.05,3.05,2.91,2.95,132850
JVC,20180704,3.04,3.04,2.92,2.98,115950
JVC,20180703,3.12,3.26,2.92,2.92,227430
JVC,20180702,3.2,3.33,3.12,3.13,102620
JVC,20180629,3.26,3.3,3.24,3.26,77480
JVC,20180628,3.28,3.35,3.26,3.26,60080
JVC,20180627,3.35,3.37,3.27,3.33,85290
JVC,20180626,3.3,3.35,3.23,3.32,116640
JVC,20180625,3.35,3.4,3.33,3.37,122460
JVC,20180622,3.25,3.38,3.25,3.25,116370
JVC,20180621,3.5,3.5,3.25,3.25,301160
JVC,20180620,3.45,3.56,3.45,3.49,131830
JVC,20180619,3.45,3.73,3.43,3.43,104780
JVC,20180618,3.88,3.88,3.5,3.68,464040
JVC,20180615,3.41,3.64,3.4,3.64,5023640
JVC,20180614,3.2,3.41,3.2,3.41,96310
JVC,20180613,3.31,3.31,3.15,3.26,57270
JVC,20180612,3.32,3.32,3.11,3.18,84110
JVC,20180611,3.39,3.39,3.32,3.32,43600
JVC,20180608,3.43,3.43,3.32,3.39,66550
JVC,20180607,3.49,3.49,3.32,3.4,129680
JVC,20180606,3.35,3.38,3.31,3.32,130420
JVC,20180605,3.29,3.38,3.23,3.38,229520
JVC,20180604,3.23,3.26,3.16,3.25,117070
JVC,20180601,3.18,3.25,3.12,3.23,128550
JVC,20180531,3.19,3.19,3.08,3.18,56080
JVC,20180530,3.25,3.25,3.1,3.12,138020
JVC,20180529,3.11,3.24,3.07,3.23,219040
JVC,20180528,3.25,3.25,3.05,3.05,358990
JVC,20180525,3.33,3.4,3.2,3.25,70880
JVC,20180524,3.45,3.45,3.33,3.35,69960
JVC,20180523,3.35,3.49,3.32,3.43,157340
JVC,20180522,3.5,3.5,3.25,3.35,231230
JVC,20180521,3.47,3.5,3.46,3.47,41580
JVC,20180518,3.45,3.53,3.41,3.47,189360
JVC,20180517,3.43,3.58,3.43,3.51,199380
JVC,20180516,3.6,3.6,3.4,3.43,321620
JVC,20180515,3.61,3.73,3.52,3.59,863460
JVC,20180514,3.9,3.9,3.7,3.78,198500
JVC,20180511,3.95,3.98,3.8,3.9,109570
JVC,20180510,3.8,4.05,3.8,4,521790
JVC,20180509,3.35,3.81,3.35,3.79,432860
JVC,20180508,3.34,3.57,3.32,3.57,280110
JVC,20180507,3.75,3.8,3.33,3.34,774370
JVC,20180504,3.8,3.94,3.58,3.58,280930
JVC,20180503,4.08,4.08,3.81,3.81,223950
JVC,20180502,4.18,4.19,4.05,4.09,201770
JVC,20180427,4.1,4.15,4.06,4.13,238390
JVC,20180426,4.08,4.2,4.05,4.06,253460
JVC,20180424,4.05,4.12,4,4.06,304060
JVC,20180423,4.23,4.23,4.06,4.08,187090
JVC,20180420,4.13,4.18,4.06,4.17,212080
JVC,20180419,4.29,4.29,3.98,4.13,214760
JVC,20180418,4.22,4.35,4.21,4.25,293130
JVC,20180417,4.34,4.38,4.23,4.23,356580
JVC,20180416,4.3,4.4,4.3,4.32,169920
JVC,20180413,4.41,4.55,4.35,4.37,261260
JVC,20180412,4.25,4.45,4.25,4.39,162480
JVC,20180411,4.5,4.58,4.4,4.42,347000
JVC,20180410,4.51,4.65,4.51,4.56,568150
JVC,20180409,4.5,4.59,4.34,4.58,678430
JVC,20180406,4.5,4.52,4.42,4.44,292900
JVC,20180405,4.46,4.52,4.38,4.5,502030
JVC,20180404,4.52,4.55,4.46,4.46,759750
JVC,20180403,4.62,4.64,4.5,4.52,671540
JVC,20180402,4.67,4.69,4.62,4.62,297350
JVC,20180330,4.65,4.7,4.65,4.69,191630
JVC,20180329,4.69,4.8,4.61,4.7,648410
JVC,20180328,4.64,4.69,4.6,4.6,321770
JVC,20180327,4.74,4.75,4.66,4.68,245730
JVC,20180326,4.74,4.76,4.66,4.69,254740
JVC,20180323,4.68,4.7,4.63,4.68,537210
JVC,20180322,4.78,4.79,4.73,4.74,249300
JVC,20180321,4.76,4.79,4.72,4.75,387280
JVC,20180320,4.7,4.79,4.7,4.75,412890
JVC,20180319,4.83,4.85,4.7,4.7,341720
JVC,20180316,4.79,4.85,4.79,4.83,495050
JVC,20180315,4.85,4.86,4.79,4.79,403940
JVC,20180314,4.8,4.83,4.78,4.83,435640
JVC,20180313,4.88,4.88,4.75,4.8,578720
JVC,20180312,4.98,4.98,4.81,4.81,389940
JVC,20180309,5,5.05,4.9,4.93,525790
JVC,20180308,4.85,5.07,4.76,5.03,1101950
JVC,20180307,4.7,4.99,4.68,4.8,1068620
JVC,20180306,4.65,4.7,4.63,4.67,408800
JVC,20180305,4.74,4.74,4.63,4.66,763950
JVC,20180302,4.76,4.8,4.73,4.74,479510
JVC,20180301,4.75,4.85,4.7,4.8,608060
JVC,20180228,4.7,4.84,4.68,4.75,878720
JVC,20180227,4.85,4.92,4.74,4.84,624520
JVC,20180226,5,5.08,4.85,4.9,653440
JVC,20180223,5.09,5.09,4.95,5,486230
JVC,20180222,5,5.13,4.95,4.95,706140
JVC,20180221,5.3,5.3,5,5.1,528860
JVC,20180213,5.1,5.21,5,5.1,900310
JVC,20180212,4.7,4.98,4.7,4.95,384780
JVC,20180209,4.6,4.8,4.55,4.7,608380
JVC,20180208,4.88,4.88,4.7,4.71,218070
JVC,20180207,4.69,4.99,4.69,4.88,517020
JVC,20180206,4.23,4.8,4.23,4.69,2288510
JVC,20180205,4.86,4.9,4.54,4.54,888820
JVC,20180202,4.82,5,4.7,4.88,931220
JVC,20180201,5,5.17,4.82,4.93,494220
JVC,20180131,5.3,5.33,4.99,5.03,934270
JVC,20180130,5.37,5.37,5.05,5.25,2119460
JVC,20180129,4.7,5.02,4.7,5.02,362770
JVC,20180126,4.6,4.77,4.6,4.7,1307910
JVC,20180125,4.9,4.95,4.6,4.6,1366390
JVC,20180122,5.05,5.1,4.88,4.92,1179760
JVC,20180119,5.2,5.32,5,5.1,1021580
JVC,20180118,4.84,5.22,4.84,5.17,1119730
JVC,20180117,5.21,5.45,5.02,5.02,1160150
JVC,20180116,5.54,5.65,5.36,5.39,580620
JVC,20180115,5.2,5.61,5,5.54,1249300
JVC,20180112,5.26,5.55,5.25,5.25,4200450
JVC,20180111,6,6.09,5.64,5.64,2796160
JVC,20180110,6.3,6.39,5.8,6.06,3376180
JVC,20180109,6.13,6.13,5.73,6.13,5210990
JVC,20180108,5.72,5.73,5.7,5.73,3352780
JVC,20180105,5.3,5.36,5.11,5.36,4003030
JVC,20180104,4.84,5.01,4.8,5.01,2965730
JVC,20180103,4.69,4.69,4.6,4.69,2757740
JVC,20180102,4.11,4.39,4.11,4.39,423530
JVC,20171229,4.12,4.28,4.1,4.11,409760
JVC,20171228,4.06,4.3,4.06,4.15,284910
JVC,20171227,4.3,4.4,4.24,4.25,404710
JVC,20171226,4.27,4.4,4.23,4.37,271900
JVC,20171225,4.58,4.58,4.3,4.3,599690
JVC,20171222,4.59,4.62,4.51,4.54,394340
JVC,20171221,4.6,4.74,4.54,4.54,822740
JVC,20171220,4.4,4.7,4.3,4.6,2338700
JVC,20171219,4.3,4.4,4.05,4.4,1208110
JVC,20171218,4.66,4.66,4.3,4.3,2088570
JVC,20171215,4.39,4.39,4.39,4.39,898260
JVC,20171214,4,4.11,4,4.11,1144850
JVC,20171213,4.12,4.12,3.83,3.85,166290
JVC,20171212,3.76,4,3.7,4,167370
JVC,20171211,3.93,4,3.85,3.86,74640
JVC,20171208,4.04,4.04,3.82,3.95,88640
JVC,20171207,3.75,3.97,3.71,3.85,90240
JVC,20171206,3.9,4,3.7,3.76,241290
JVC,20171205,3.95,3.98,3.67,3.9,135720
JVC,20171204,4.2,4.28,3.94,3.94,527970
JVC,20171201,4.44,4.44,4.16,4.23,292700
JVC,20171130,4.1,4.3,4.03,4.28,257890
JVC,20171129,4.1,4.1,4.01,4.1,160480
JVC,20171128,4.01,4.1,4,4.01,173370
JVC,20171127,3.99,4.18,3.93,4.01,152240
JVC,20171124,3.9,4,3.9,3.92,78510
JVC,20171123,4.01,4.01,3.85,3.9,156630
JVC,20171122,3.85,3.95,3.85,3.91,122210
JVC,20171121,3.91,3.96,3.69,3.91,114570
JVC,20171120,4,4,3.91,3.91,38460
JVC,20171117,4,4,3.9,3.91,73610
JVC,20171116,3.94,4.04,3.92,4,120590
JVC,20171115,3.9,4.05,3.9,3.94,115780
JVC,20171114,3.9,4.1,3.9,3.91,117340
JVC,20171113,4.1,4.1,3.95,3.95,68740
JVC,20171110,4.17,4.17,4.01,4.07,130730
JVC,20171109,4.02,4.1,4,4.08,49100
JVC,20171108,4.1,4.1,4,4.02,60320
JVC,20171107,3.93,4.13,3.93,4.1,158980
JVC,20171106,4.17,4.17,3.93,4,17420
JVC,20171103,4,4.19,3.9,3.9,71500
JVC,20171102,3.99,4.14,3.99,4,151110
JVC,20171101,4.25,4.3,3.99,3.99,259680
JVC,20171031,4.2,4.29,4.18,4.18,85600
JVC,20171030,4.3,4.3,4.17,4.2,60420
JVC,20171027,4.4,4.4,4.2,4.3,88920
JVC,20171026,4.11,4.3,4.11,4.28,73330
JVC,20171025,4.3,4.45,4.21,4.21,43710
JVC,20171024,4.1,4.38,4.1,4.38,485040
JVC,20171023,4.3,4.3,4.1,4.1,180770
JVC,20171020,4.27,4.38,4.2,4.3,217920
JVC,20171019,4.39,4.39,4.2,4.27,59120
JVC,20171018,4.2,4.38,4.2,4.27,56620
JVC,20171017,4.36,4.44,4.2,4.3,256420
JVC,20171016,4.4,4.5,4.3,4.36,228680
JVC,20171013,4.5,4.5,4.3,4.36,143070
JVC,20171012,4.7,4.7,4.3,4.31,553660
JVC,20171011,4.33,4.67,4.32,4.51,649880
JVC,20171010,4.32,4.39,4.22,4.39,331080
JVC,20171009,4.18,4.41,4.16,4.32,234610
JVC,20171006,4.18,4.19,4.03,4.15,118250
JVC,20171005,3.95,4.15,3.9,4.14,283630
JVC,20171004,4.14,4.3,4,4,458690
JVC,20171003,4,4.26,4,4.14,311990
JVC,20171002,4.1,4.42,4.1,4.27,420290
JVC,20170929,4.21,4.45,4.14,4.14,641830
JVC,20170928,4.83,4.83,4.41,4.45,1189250
JVC,20170927,4.23,4.52,4.23,4.52,882990
JVC,20170926,3.96,4.23,3.86,4.23,1098930
JVC,20170925,3.95,3.99,3.9,3.96,663180
JVC,20170922,4,4,3.85,3.92,332340
JVC,20170921,3.75,4,3.56,3.95,414110
JVC,20170920,3.7,3.8,3.66,3.75,257100
JVC,20170919,3.75,3.75,3.57,3.7,420780
JVC,20170918,3.6,3.75,3.55,3.57,110150
JVC,20170915,3.51,3.59,3.51,3.55,23550
JVC,20170914,3.49,3.6,3.49,3.55,58840
JVC,20170913,3.48,3.59,3.48,3.52,112130
JVC,20170912,3.5,3.58,3.49,3.5,80070
JVC,20170911,3.65,3.65,3.51,3.51,72680
JVC,20170908,3.53,3.68,3.53,3.65,70270
JVC,20170907,3.71,3.71,3.65,3.65,58420
JVC,20170906,3.71,3.75,3.65,3.71,56580
JVC,20170905,3.75,3.8,3.71,3.71,102040
JVC,20170901,3.8,3.85,3.61,3.73,20870
JVC,20170831,3.7,3.9,3.6,3.6,176590
JVC,20170830,3.66,3.8,3.66,3.7,46450
JVC,20170829,3.7,3.76,3.68,3.74,170550
JVC,20170828,3.8,3.85,3.72,3.72,130800
JVC,20170825,3.65,3.88,3.65,3.8,89280
JVC,20170824,3.95,4,3.7,3.71,496630
JVC,20170823,3.96,3.96,3.68,3.96,307470
JVC,20170822,3.9,3.9,3.7,3.84,99400
JVC,20170821,4.05,4.05,3.75,3.79,201950
JVC,20170818,4,4.05,3.97,3.99,439690
JVC,20170817,4.15,4.15,3.84,4,433590
JVC,20170816,3.9,4.2,3.9,4.12,147340
JVC,20170815,3.8,4.19,3.8,4.15,424820
JVC,20170814,4.01,4.1,4,4.05,484940
JVC,20170811,3.5,3.96,3.5,3.9,314480
JVC,20170810,3.72,3.72,3.62,3.71,69110
JVC,20170809,3.64,3.75,3.61,3.62,170920
JVC,20170808,3.8,3.8,3.57,3.61,107460
JVC,20170807,3.94,3.94,3.68,3.7,173190
JVC,20170804,3.8,3.8,3.65,3.74,51540
JVC,20170803,3.45,3.88,3.45,3.7,53910
JVC,20170802,3.77,3.77,3.6,3.7,198810
JVC,20170801,3.85,3.85,3.65,3.65,128300
JVC,20170731,3.8,3.8,3.7,3.75,144200
JVC,20170728,4,4,3.8,3.8,155920
JVC,20170727,3.72,3.89,3.72,3.82,173720
JVC,20170726,4,4,3.85,3.89,155700
JVC,20170725,3.7,3.9,3.7,3.84,156830
JVC,20170724,3.73,4,3.73,3.81,352520
JVC,20170721,3.93,3.93,3.71,3.76,259120
JVC,20170720,4.28,4.28,3.85,3.93,481770
JVC,20170719,4.01,4.25,4,4.11,659470
JVC,20170718,4.17,4.2,3.96,4.01,225140
JVC,20170717,3.99,4.21,3.99,4.17,422210
JVC,20170714,3.7,3.99,3.7,3.99,1058640
JVC,20170713,3.88,3.93,3.73,3.73,273580
JVC,20170712,3.94,3.94,3.7,3.88,885080
JVC,20170711,3.45,3.69,3.4,3.69,919520
JVC,20170710,3.2,3.49,3.2,3.45,313210
JVC,20170707,3.5,3.55,3.36,3.36,179020
JVC,20170706,3.6,3.65,3.4,3.5,459840
JVC,20170705,3.41,3.43,3.34,3.43,679860
JVC,20170704,3.05,3.21,3.05,3.21,302960
JVC,20170703,3.03,3.2,2.87,3,220120
JVC,20170630,3.2,3.2,3,3,203850
JVC,20170629,3.51,3.52,3.11,3.17,85760
JVC,20170628,3.41,3.41,3.29,3.29,669010
JVC,20170627,3.19,3.19,3.19,3.19,179230
JVC,20170626,2.95,2.99,2.9,2.99,261850
JVC,20170623,2.84,2.86,2.77,2.8,140460
JVC,20170622,2.9,2.9,2.78,2.79,120590
JVC,20170621,2.83,2.89,2.82,2.84,70490
JVC,20170620,2.9,2.9,2.82,2.88,22360
JVC,20170619,2.9,2.92,2.88,2.9,124980
JVC,20170616,2.95,2.95,2.9,2.91,66780
JVC,20170615,2.92,2.95,2.87,2.92,134040
JVC,20170614,2.89,2.96,2.88,2.9,100360
JVC,20170613,3.08,3.08,2.88,2.89,134370
JVC,20170612,2.95,2.99,2.88,2.88,140390
JVC,20170609,2.95,2.95,2.9,2.91,96490
JVC,20170608,2.99,2.99,2.86,2.95,128200
JVC,20170607,3,3,2.92,2.96,57610
JVC,20170606,2.9,2.97,2.85,2.96,154000
JVC,20170605,3,3,2.96,2.99,39320
JVC,20170602,3.04,3.04,2.97,3,42620
JVC,20170601,3,3,2.95,3,187650
JVC,20170531,2.98,3,2.94,2.97,119660
JVC,20170530,2.85,2.99,2.85,2.93,98430
JVC,20170529,3,3,2.9,2.95,118540
JVC,20170526,2.9,2.99,2.86,2.9,163070
JVC,20170525,2.81,2.9,2.8,2.9,127680
JVC,20170524,2.95,2.95,2.82,2.84,364340
JVC,20170523,2.84,3,2.82,2.86,199790
JVC,20170522,3,3.03,2.84,2.84,515310
JVC,20170519,3.01,3.09,3,3.05,95970
JVC,20170518,3,3.14,2.99,3.05,77930
JVC,20170517,3.15,3.16,3.04,3.05,177320
JVC,20170516,3.2,3.2,3.1,3.13,187420
JVC,20170515,3.25,3.25,3.12,3.13,192160
JVC,20170512,3.26,3.26,3.08,3.18,22720
JVC,20170511,3.08,3.27,3.06,3.18,47110
JVC,20170510,2.95,3.17,2.95,3.06,203440
JVC,20170509,3.35,3.35,3.17,3.17,982610
JVC,20170508,3.43,3.43,3.4,3.4,1990
JVC,20170505,3.45,3.45,3.37,3.42,72820
JVC,20170504,3.18,3.4,3.18,3.35,236070
JVC,20170503,3.22,3.25,3.11,3.18,186920
JVC,20170428,3.16,3.25,3.16,3.24,30570
JVC,20170427,3.22,3.26,3.18,3.23,38850
JVC,20170426,3.24,3.24,3.17,3.22,95390
JVC,20170425,3.17,3.24,3.15,3.22,76890
JVC,20170424,3.01,3.24,3.01,3.24,81380
JVC,20170421,3.15,3.25,3.15,3.23,117280
JVC,20170420,3.24,3.24,3.1,3.17,15600
JVC,20170419,3.07,3.3,3.06,3.16,49480
JVC,20170418,3.2,3.29,3.13,3.29,99070
JVC,20170417,3.37,3.38,3.2,3.2,45980
JVC,20170414,3.4,3.45,3.38,3.38,119760
JVC,20170413,3.3,3.5,3.09,3.44,135440
JVC,20170412,3.5,3.5,3.31,3.32,70130
JVC,20170411,3.46,3.46,3.38,3.38,17410
JVC,20170410,3.42,3.46,3.4,3.44,129580
JVC,20170407,3.54,3.54,3.4,3.45,163700
JVC,20170405,3.5,3.5,3.41,3.46,135000
JVC,20170404,3.5,3.55,3.41,3.48,43650
JVC,20170403,3.47,3.5,3.43,3.48,55530
JVC,20170331,3.54,3.54,3.45,3.47,140110
JVC,20170330,3.47,3.53,3.46,3.49,134030
JVC,20170329,3.47,3.5,3.46,3.47,34550
JVC,20170328,3.5,3.5,3.42,3.45,49480
JVC,20170327,3.55,3.55,3.4,3.42,70300
JVC,20170324,3.48,3.49,3.48,3.48,34330
JVC,20170323,3.55,3.55,3.48,3.49,158170
JVC,20170322,3.45,3.55,3.45,3.46,168450
JVC,20170321,3.51,3.51,3.47,3.49,77460
JVC,20170320,3.55,3.6,3.48,3.51,81180
JVC,20170317,3.5,3.52,3.49,3.51,115350
JVC,20170316,3.52,3.52,3.49,3.5,50100
JVC,20170315,3.58,3.58,3.48,3.5,58630
JVC,20170314,3.47,3.53,3.46,3.5,179110
JVC,20170313,3.6,3.6,3.47,3.47,79650
JVC,20170310,3.59,3.6,3.53,3.56,47380
JVC,20170309,3.4,3.58,3.4,3.57,290030
JVC,20170308,3.48,3.59,3.45,3.5,87270
JVC,20170307,3.6,3.6,3.48,3.5,63040
JVC,20170306,3.59,3.59,3.45,3.5,178040
JVC,20170303,3.5,3.7,3.5,3.53,207060
JVC,20170302,3.59,3.59,3.54,3.54,150520
JVC,20170301,3.7,3.7,3.55,3.59,27130
JVC,20170228,3.7,3.7,3.56,3.59,345460
JVC,20170227,3.55,3.59,3.53,3.56,88530
JVC,20170224,3.6,3.6,3.51,3.55,91030
JVC,20170223,3.52,3.61,3.52,3.6,14820
JVC,20170222,3.65,3.65,3.5,3.62,89050
JVC,20170221,3.54,3.69,3.54,3.64,124150
JVC,20170220,3.72,3.72,3.56,3.64,146720
JVC,20170217,3.52,3.55,3.5,3.55,275400
JVC,20170216,3.55,3.55,3.5,3.52,543820
JVC,20170215,3.5,3.55,3.5,3.55,484720
JVC,20170214,3.5,3.57,3.48,3.5,400470
JVC,20170213,3.48,3.59,3.48,3.5,307550
JVC,20170210,3.5,3.5,3.47,3.48,74080
JVC,20170209,3.45,3.51,3.41,3.5,76940
JVC,20170208,3.5,3.6,3.47,3.5,272140
JVC,20170207,3.5,3.58,3.45,3.5,364660
JVC,20170206,3.5,3.6,3.5,3.5,113750
JVC,20170203,3.6,3.6,3.5,3.5,63570
JVC,20170202,3.85,3.85,3.56,3.6,15780
JVC,20170125,3.6,3.6,3.5,3.6,43740
JVC,20170124,3.6,3.7,3.6,3.6,88100
JVC,20170123,3.63,3.63,3.5,3.55,64990
JVC,20170120,3.5,3.79,3.49,3.49,36170
JVC,20170119,3.6,3.69,3.56,3.58,73290
JVC,20170118,3.7,3.7,3.6,3.6,18490
JVC,20170117,3.61,3.85,3.54,3.63,79360
JVC,20170116,3.63,3.68,3.5,3.61,63950
JVC,20170113,3.7,3.7,3.56,3.63,18940
