<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KDM,20180713,3.5,3.8,3.5,3.8,87600
KDM,20180712,3.9,4,3.7,3.7,19100
KDM,20180711,4.1,4.1,3.7,3.8,29950
KDM,20180710,4.5,4.6,3.9,3.9,162800
KDM,20180709,4.1,4.2,3.7,4.2,96220
KDM,20180706,3.9,3.9,3.4,3.9,29100
KDM,20180705,3.4,3.6,3.4,3.6,19200
KDM,20180704,3.4,3.5,3.3,3.3,70300
KDM,20180703,3.4,3.6,3.3,3.3,26882
KDM,20180702,3.5,3.5,3.1,3.4,51000
KDM,20180629,3.3,3.4,3.3,3.3,25610
KDM,20180628,3.4,3.5,3.1,3.2,45282
KDM,20180627,3.7,3.7,3.4,3.4,33900
KDM,20180626,3.7,3.7,3.3,3.6,131900
KDM,20180625,3.4,3.7,3.2,3.4,56700
KDM,20180622,3.7,3.7,3.4,3.4,87200
KDM,20180621,3.7,4,3.7,3.7,134900
KDM,20180620,4.1,4.7,4.1,4.1,40000
KDM,20180619,5.1,5.1,4.5,4.5,161102
KDM,20180618,4.6,5,4.6,5,128130
KDM,20180615,4.6,4.7,4.3,4.7,99208
KDM,20180614,4.8,5.1,4.4,4.7,87300
KDM,20180613,4.4,4.7,4.4,4.7,91300
KDM,20180612,4,4.4,4,4.4,228480
KDM,20180611,3.7,4,3.4,4,113400
KDM,20180608,3.4,3.7,3.3,3.7,181000
KDM,20180607,3.6,3.7,3.4,3.4,15830
KDM,20180606,3.7,3.9,3.4,3.4,313100
KDM,20180605,3.7,3.7,3.6,3.7,503210
KDM,20180604,3.4,3.4,3.4,3.4,34600
KDM,20180601,3,3.1,3,3.1,196412
KDM,20180531,2.6,2.9,2.6,2.9,256730
KDM,20180530,2.7,2.8,2.5,2.7,167700
KDM,20180529,2.7,2.8,2.6,2.6,94100
KDM,20180528,2.6,2.8,2.5,2.7,290110
KDM,20180525,2.7,2.7,2.6,2.6,87900
KDM,20180524,2.7,2.9,2.5,2.5,160100
KDM,20180523,2.5,2.7,2.5,2.7,155300
KDM,20180522,2.5,2.6,2.4,2.5,73400
KDM,20180521,2.5,2.6,2.5,2.5,13300
KDM,20180518,2.5,2.5,2.4,2.5,36000
KDM,20180517,2.4,2.5,2.4,2.5,58700
KDM,20180516,2.4,2.5,2.4,2.5,10712
KDM,20180515,2.5,2.5,2.4,2.5,9500
KDM,20180514,2.5,2.5,2.3,2.5,49100
KDM,20180511,2.3,2.4,2.3,2.4,20500
KDM,20180510,2.3,2.4,2.3,2.4,24700
KDM,20180509,2.3,2.3,2.3,2.3,11600
KDM,20180508,2.3,2.4,2.3,2.3,29800
KDM,20180507,2.4,2.4,2.4,2.4,13200
KDM,20180504,2.4,2.4,2.4,2.4,12500
KDM,20180503,2.4,2.4,2.3,2.4,22600
KDM,20180502,2.5,2.5,2.4,2.4,37300
KDM,20180427,2.5,2.5,2.4,2.5,10000
KDM,20180426,2.5,2.6,2.5,2.5,34200
KDM,20180424,2.5,2.5,2.5,2.5,24100
KDM,20180423,2.6,2.6,2.5,2.5,30700
KDM,20180420,2.5,2.5,2.5,2.5,3300
KDM,20180419,2.6,2.6,2.5,2.5,28900
KDM,20180418,2.5,2.6,2.5,2.6,43500
KDM,20180417,2.5,2.6,2.5,2.5,7200
KDM,20180416,2.5,2.5,2.5,2.5,10100
KDM,20180413,2.5,2.6,2.5,2.6,2900
KDM,20180412,2.6,2.6,2.5,2.6,55100
KDM,20180411,2.5,2.6,2.5,2.6,23800
KDM,20180410,2.5,2.6,2.5,2.6,32400
KDM,20180409,2.6,2.6,2.4,2.6,99700
KDM,20180406,2.6,2.6,2.5,2.6,21500
KDM,20180405,2.5,2.6,2.5,2.5,16000
KDM,20180404,2.5,2.6,2.5,2.6,13300
KDM,20180403,2.5,2.6,2.5,2.5,40800
KDM,20180402,2.6,2.7,2.5,2.6,73100
KDM,20180330,2.6,2.7,2.6,2.6,44900
KDM,20180329,2.6,2.7,2.6,2.7,10000
KDM,20180328,2.6,2.7,2.5,2.7,80500
KDM,20180327,2.5,2.6,2.5,2.6,12200
KDM,20180326,2.6,2.7,2.6,2.7,11600
KDM,20180323,2.6,2.6,2.5,2.6,20900
KDM,20180322,2.6,2.7,2.6,2.7,2200
KDM,20180321,2.6,2.7,2.6,2.6,34600
KDM,20180320,2.7,2.7,2.6,2.7,16700
KDM,20180319,2.6,2.7,2.6,2.7,20100
KDM,20180316,2.6,2.7,2.5,2.7,74500
KDM,20180315,2.6,2.7,2.6,2.6,30500
KDM,20180314,2.7,2.7,2.7,2.7,123400
KDM,20180313,2.7,2.8,2.7,2.8,7800
KDM,20180312,2.9,2.9,2.7,2.8,64500
KDM,20180309,2.8,3,2.6,2.9,144900
KDM,20180308,2.7,2.8,2.7,2.8,30900
