<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KPF,20180713,29.7,29.7,29.6,29.7,1550
KPF,20180712,29.7,29.8,28.5,29.7,1390
KPF,20180711,29,30,28.9,29.8,4070
KPF,20180710,29.9,29.9,28.6,29.6,1720
KPF,20180709,29.8,29.8,29.5,29.5,50
KPF,20180706,29.6,29.8,28.15,29.8,2680
KPF,20180705,28.9,30.2,28.5,30.1,8190
KPF,20180704,30.3,30.3,28.3,30.1,440
KPF,20180703,30,30.3,28.5,30.3,3420
KPF,20180702,31,31,29.3,30.6,5410
KPF,20180629,31,31,31,31,10
KPF,20180628,30.05,31,29.1,30,600
KPF,20180627,31.2,31.2,31.2,31.2,10
KPF,20180626,29.6,30,29.5,30,150
KPF,20180625,29.85,30,29,30,1100
KPF,20180622,30,31.4,29,31.1,1020
KPF,20180621,31.3,31.3,30.6,30.6,100
KPF,20180620,30.6,30.6,29.5,30.6,120
KPF,20180619,30.95,30.95,29.6,29.6,280
KPF,20180618,29.9,29.9,29.7,29.7,390
KPF,20180615,31.9,31.9,29.1,30,100
KPF,20180614,31.2,31.2,29.2,30,6380
KPF,20180613,31.2,31.2,29.1,29.2,5630
KPF,20180612,29.5,31.2,29.3,31.2,1440
KPF,20180611,30.05,31.3,29.25,31.3,1740
KPF,20180608,31.5,31.5,30,31.4,1230
KPF,20180607,31.4,31.4,29.35,31.4,2100
KPF,20180606,30,31.4,29.3,31.4,1940
KPF,20180605,30.1,31.4,29.8,31.4,3640
KPF,20180604,31.9,31.95,31.9,31.95,160
KPF,20180601,31.85,31.9,31.85,31.9,100
KPF,20180531,27.9,29.95,27.9,29.95,5560
KPF,20180530,29.1,29.1,28,28,3010
KPF,20180529,30,30,28.9,30,4610
KPF,20180528,31.9,31.9,29.8,30,25900
KPF,20180525,32,32.4,29.9,31.9,13560
KPF,20180524,31,32,30.1,32,2050
KPF,20180523,31.3,32,30.7,32,6540
KPF,20180522,31,31.9,29.9,31.9,830
KPF,20180521,32,32,30,31.8,590
KPF,20180518,31,32,30.3,31,16400
KPF,20180517,31.6,32.5,31.6,32,8860
KPF,20180516,31.5,32,31.5,32,14750
KPF,20180515,29.9,31.95,29.9,31.6,19880
KPF,20180514,28.9,30,28.8,29.9,25080
KPF,20180511,30,30,28.9,29,51180
KPF,20180510,29.9,30.1,29.1,30,6650
KPF,20180509,30,30.1,29,30.1,6940
KPF,20180508,30.3,30.3,29.4,30.1,7610
KPF,20180507,31,31,29.5,30.3,5910
KPF,20180504,31,31,29.9,30.3,2710
KPF,20180503,30.3,30.3,29.85,30.3,7290
KPF,20180502,30.5,30.5,30,30.3,12440
KPF,20180427,30.4,30.5,30,30.4,58020
KPF,20180426,31,31,29.9,30.5,17180
KPF,20180424,31,31,29.9,31,23360
KPF,20180423,33.2,33.2,31,31,26000
KPF,20180420,34.1,34.1,31.4,31.4,16830
KPF,20180419,32,32,31.5,32,26140
KPF,20180418,31.3,33.4,31.3,31.5,16440
KPF,20180417,31.4,31.4,31,31.3,50890
KPF,20180416,27.5,29.4,27.4,29.4,48800
KPF,20180413,29,29,26.95,27.5,63540
KPF,20180412,27.7,28.5,27.5,28,63100
KPF,20180411,28.3,28.9,27.7,27.7,30140
KPF,20180410,27.6,28.5,26.5,27.1,86560
KPF,20180409,28.6,28.6,26.55,27.6,31410
KPF,20180406,28.9,28.9,27.5,28.5,6730
