<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KSD,20180713,4.4,4.5,4.4,4.5,5100
KSD,20180712,4.4,4.4,4.4,4.4,5000
KSD,20180711,,,,4.5,0
KSD,20180710,4.3,4.5,4.3,4.5,2500
KSD,20180709,4.5,4.5,4.5,4.5,10000
KSD,20180706,,,,4.4,0
KSD,20180705,4.4,4.4,4.4,4.4,10000
KSD,20180704,4.4,4.4,4.4,4.4,50
KSD,20180703,4.4,4.4,4.3,4.4,17200
KSD,20180702,4.4,4.4,4.4,4.4,8000
KSD,20180629,4.4,4.4,4.4,4.4,5000
KSD,20180628,4.5,4.5,4.5,4.5,2300
KSD,20180627,4.6,4.6,4.5,4.5,6500
KSD,20180626,,,,4.4,0
KSD,20180625,4.4,4.6,4.3,4.4,3150
KSD,20180622,4.5,4.7,4.5,4.7,15300
KSD,20180621,4.6,4.6,4.4,4.6,26500
KSD,20180620,4.5,4.5,4.5,4.5,100
KSD,20180619,4.4,4.4,4.4,4.4,63100
KSD,20180618,4.4,4.5,4.4,4.5,34500
KSD,20180615,4.4,4.5,4.4,4.5,53100
KSD,20180614,4.4,4.5,4.4,4.5,2200
KSD,20180613,4.5,4.5,4.5,4.5,2000
KSD,20180612,4.4,4.5,4.4,4.5,5900
KSD,20180611,4.4,4.5,4.4,4.5,4800
KSD,20180608,4.4,4.4,4.4,4.4,10200
KSD,20180607,4.5,4.5,4.5,4.5,8000
KSD,20180606,4.5,4.5,4.5,4.5,20000
KSD,20180605,4.5,4.7,4.5,4.7,12200
KSD,20180604,4.5,4.5,4.5,4.5,1000
KSD,20180601,,,,4.5,0
KSD,20180531,4.5,4.5,4.5,4.5,100
KSD,20180530,4.2,4.5,4.2,4.2,11800
KSD,20180529,4.2,4.2,4.2,4.2,18000
KSD,20180528,4.2,4.2,4.2,4.2,30000
KSD,20180525,4.7,4.7,4.2,4.2,13000
KSD,20180524,,,,4.4,0
KSD,20180523,4.1,4.4,4.1,4.4,16800
KSD,20180522,4.1,4.5,4.1,4.5,13700
KSD,20180521,4.1,4.2,4.1,4.2,22900
KSD,20180518,4.1,4.1,4.1,4.1,3300
KSD,20180517,4.1,4.1,4.1,4.1,77230
KSD,20180516,4.1,4.5,4.1,4.5,34200
KSD,20180515,4.1,4.2,4.1,4.2,53700
KSD,20180514,4.1,4.2,4.1,4.2,89200
KSD,20180511,4.1,4.3,4.1,4.3,18800
KSD,20180510,4.1,4.2,4.1,4.2,43600
KSD,20180509,4.1,4.2,4.1,4.2,32200
KSD,20180508,4.1,4.2,4.1,4.2,20100
KSD,20180507,4.2,4.2,4.1,4.1,74100
KSD,20180504,4.1,4.1,4.1,4.1,7700
KSD,20180503,4.1,4.1,4.1,4.1,19010
KSD,20180502,4.1,4.1,4.1,4.1,5000
KSD,20180427,4.1,4.1,4.1,4.1,22000
KSD,20180426,4.2,4.2,4.1,4.2,23800
KSD,20180424,4.2,4.2,4.2,4.2,96300
KSD,20180423,4.4,4.4,4.2,4.3,102800
KSD,20180420,4.3,4.6,4.2,4.6,12300
KSD,20180419,4.2,4.3,4.2,4.3,19000
KSD,20180418,4.2,4.3,4.2,4.2,40500
KSD,20180417,4.1,4.2,4.1,4.2,13700
KSD,20180416,4.1,4.1,4.1,4.1,22300
KSD,20180413,4.1,4.2,4,4.2,22800
