<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KSH,20180713,2,2.04,1.91,1.99,7640
KSH,20180712,1.98,2.02,1.91,1.98,11000
KSH,20180711,1.91,1.95,1.9,1.95,18720
KSH,20180710,1.98,1.98,1.91,1.96,13880
KSH,20180709,2.07,2.07,1.9,1.96,39470
KSH,20180706,1.99,1.99,1.91,1.98,14690
KSH,20180705,1.99,1.99,1.9,1.91,27940
KSH,20180704,2,2,1.91,1.99,11420
KSH,20180703,2,2.04,1.91,1.91,49930
KSH,20180702,2.11,2.11,1.99,1.99,73570
KSH,20180629,1.99,2.03,1.99,2,75950
KSH,20180628,1.99,2,1.95,1.99,39960
KSH,20180627,2.02,2.03,1.99,2,9970
KSH,20180626,1.99,2,1.96,1.99,3980
KSH,20180625,1.93,2.01,1.93,1.99,64060
KSH,20180622,1.99,2.04,1.93,1.93,26220
KSH,20180621,2.07,2.07,1.95,1.95,85490
KSH,20180620,2.05,2.05,1.91,2.03,31560
KSH,20180619,2.06,2.06,1.95,1.96,166460
KSH,20180618,2.02,2.08,2.02,2.05,150940
KSH,20180615,2.1,2.1,2.01,2.08,52280
KSH,20180614,2.15,2.15,2.01,2.04,100310
KSH,20180613,2.15,2.15,2.07,2.14,16010
KSH,20180612,2.24,2.24,2.05,2.15,194190
KSH,20180611,2.22,2.25,2.15,2.2,85620
KSH,20180608,2.24,2.24,2.18,2.23,59730
KSH,20180607,2.2,2.27,2.19,2.2,172980
KSH,20180606,2.14,2.24,2.12,2.2,187440
KSH,20180605,2.13,2.2,2.09,2.14,327540
KSH,20180604,2.2,2.28,2.2,2.21,307250
KSH,20180601,2.46,2.46,2.36,2.36,672350
KSH,20180531,2.17,2.31,2.17,2.31,1275460
KSH,20180530,2.03,2.18,2,2.16,493480
KSH,20180529,2,2.06,1.99,2.06,27190
KSH,20180528,2.01,2.04,1.98,2.03,96490
KSH,20180525,2.02,2.05,2.01,2.04,22620
KSH,20180524,2.03,2.1,2.02,2.06,2450
KSH,20180523,2,2.08,2,2.02,69450
KSH,20180522,2.1,2.1,2,2.03,104740
KSH,20180521,2.08,2.1,2.05,2.05,43940
KSH,20180518,2.15,2.15,2.05,2.1,49400
KSH,20180517,2.08,2.16,2.03,2.15,567880
KSH,20180516,2.03,2.05,2.01,2.02,100360
KSH,20180515,2.01,2.09,2,2.03,55640
KSH,20180514,2,2.04,1.99,2,57730
KSH,20180511,1.96,2.05,1.96,2,28870
KSH,20180510,2.01,2.09,1.96,1.96,262480
KSH,20180509,2,2.1,1.91,2.01,158120
KSH,20180508,2,2.03,1.92,2,153390
KSH,20180507,1.96,2.02,1.92,2.02,147870
KSH,20180504,1.9,1.97,1.85,1.92,153400
KSH,20180503,1.83,1.99,1.83,1.85,71140
KSH,20180502,2.02,2.02,1.89,1.89,171550
KSH,20180427,1.92,2.02,1.91,1.99,310850
KSH,20180426,2.15,2.21,2,2.05,474660
KSH,20180424,2.03,2.17,2.02,2.15,613240
KSH,20180423,1.9,2.03,1.9,2.03,366930
KSH,20180420,1.95,1.95,1.89,1.9,119020
KSH,20180419,2,2,1.9,1.95,98070
KSH,20180418,2.06,2.09,1.95,1.95,291290
KSH,20180417,2.06,2.17,2.01,2.09,60950
KSH,20180416,2.1,2.1,2,2.06,289820
KSH,20180413,2,2.18,2,2.06,490380
KSH,20180412,2.08,2.19,2.04,2.04,382420
KSH,20180411,2.31,2.32,2.19,2.19,413160
KSH,20180410,2.3,2.44,2.2,2.35,442640
KSH,20180409,2.54,2.54,2.3,2.3,1495430
KSH,20180406,2.38,2.38,2.3,2.38,1059840
KSH,20180405,2.23,2.23,2.23,2.23,135380
KSH,20180404,2.09,2.09,2.09,2.09,142360
KSH,20180403,1.96,1.96,1.9,1.96,789790
KSH,20180402,1.72,1.84,1.7,1.84,164000
KSH,20180330,1.7,1.74,1.68,1.72,80300
KSH,20180329,1.7,1.72,1.67,1.7,46540
KSH,20180328,1.77,1.77,1.67,1.71,17880
KSH,20180327,1.78,1.78,1.67,1.7,57550
KSH,20180326,1.8,1.8,1.68,1.7,96700
KSH,20180323,1.79,1.79,1.72,1.73,92420
KSH,20180322,1.84,1.84,1.76,1.79,51790
KSH,20180321,1.8,1.82,1.8,1.8,58790
KSH,20180320,1.81,1.84,1.78,1.84,33960
KSH,20180319,1.85,1.85,1.8,1.84,51900
KSH,20180316,1.9,1.9,1.82,1.84,95590
KSH,20180315,1.87,1.87,1.82,1.87,30770
KSH,20180314,1.89,1.9,1.8,1.88,58520
KSH,20180313,1.89,1.89,1.8,1.88,69990
KSH,20180312,1.89,1.89,1.86,1.89,45730
KSH,20180309,1.87,1.88,1.85,1.88,59710
KSH,20180308,1.88,1.88,1.83,1.87,109710
KSH,20180307,1.84,1.92,1.82,1.89,18710
KSH,20180306,1.84,1.84,1.82,1.83,37090
KSH,20180305,1.85,1.86,1.8,1.85,53990
KSH,20180302,1.85,1.85,1.81,1.85,12090
KSH,20180301,1.85,1.85,1.8,1.85,30630
KSH,20180228,1.88,1.88,1.8,1.81,116020
KSH,20180227,1.9,1.9,1.8,1.8,192550
KSH,20180226,1.94,1.94,1.9,1.93,40610
KSH,20180223,1.93,1.96,1.9,1.94,133720
KSH,20180222,1.92,1.94,1.92,1.94,25820
KSH,20180221,2,2.03,1.94,1.94,92910
KSH,20180213,1.96,1.96,1.93,1.94,259710
KSH,20180212,1.94,2.04,1.94,1.99,47000
KSH,20180209,1.85,1.96,1.85,1.95,109210
KSH,20180208,1.99,2.05,1.92,1.95,85320
KSH,20180207,1.85,1.95,1.85,1.95,145810
KSH,20180206,1.96,1.96,1.83,1.83,188150
KSH,20180205,1.99,1.99,1.87,1.96,54750
KSH,20180202,2,2.02,1.99,2,82620
KSH,20180201,2.01,2.04,2,2.04,70180
KSH,20180131,2.05,2.07,2,2.04,118770
KSH,20180130,2.08,2.1,2.02,2.05,83130
KSH,20180129,2.13,2.13,2.08,2.1,38100
KSH,20180126,1.88,2.14,1.88,2.13,163930
KSH,20180125,2.1,2.14,2,2,121090
KSH,20180122,2.18,2.18,2.1,2.14,86440
KSH,20180119,2.18,2.22,2.11,2.18,111880
KSH,20180118,2.15,2.18,2.14,2.17,53670
KSH,20180117,2.24,2.25,2.09,2.19,350370
KSH,20180116,2.28,2.28,2.2,2.24,83730
KSH,20180115,2.24,2.3,2.2,2.28,143390
KSH,20180112,2.3,2.32,2.25,2.25,110250
KSH,20180111,2.34,2.34,2.25,2.3,165600
KSH,20180110,2.21,2.34,2.21,2.34,545970
KSH,20180109,2.18,2.19,2.1,2.19,115690
KSH,20180108,2.17,2.19,2.15,2.15,76110
KSH,20180105,2.19,2.2,2.15,2.18,38500
KSH,20180104,2.19,2.19,2.15,2.16,91190
KSH,20180103,2.16,2.21,2.15,2.19,101300
KSH,20180102,2.21,2.23,2.15,2.21,106350
KSH,20171229,2.22,2.22,2.16,2.21,33510
KSH,20171228,2.2,2.22,2.13,2.22,169290
KSH,20171227,2.24,2.24,2.17,2.2,83390
KSH,20171226,2.21,2.24,2.17,2.24,19140
KSH,20171225,2.28,2.28,2.2,2.24,54280
KSH,20171222,2.28,2.28,2.22,2.23,93480
KSH,20171221,2.29,2.3,2.23,2.23,83560
KSH,20171220,2.29,2.29,2.25,2.25,81470
KSH,20171219,2.28,2.3,2.26,2.29,80880
KSH,20171218,2.24,2.29,2.24,2.29,19100
KSH,20171215,2.26,2.28,2.23,2.24,95360
KSH,20171214,2.24,2.27,2.24,2.26,61950
KSH,20171213,2.26,2.27,2.23,2.27,75130
KSH,20171212,2.27,2.27,2.2,2.26,74410
KSH,20171211,2.31,2.31,2.25,2.27,62660
KSH,20171208,2.27,2.32,2.25,2.3,127120
KSH,20171207,2.25,2.28,2.25,2.27,51250
KSH,20171206,2.28,2.3,2.25,2.25,171450
KSH,20171205,2.38,2.38,2.28,2.3,195400
KSH,20171204,2.36,2.39,2.33,2.35,90020
KSH,20171201,2.31,2.45,2.29,2.36,457630
KSH,20171130,2.28,2.35,2.28,2.3,225360
KSH,20171129,2.25,2.3,2.25,2.28,98870
KSH,20171128,2.3,2.37,2.25,2.25,188170
KSH,20171127,2.24,2.35,2.24,2.3,195180
KSH,20171124,2.29,2.29,2.13,2.29,197650
KSH,20171123,2.29,2.35,2.27,2.29,245840
KSH,20171122,2.15,2.3,2.14,2.29,487890
KSH,20171121,2.2,2.28,2.15,2.15,280470
KSH,20171120,2.21,2.26,2.2,2.22,156470
KSH,20171117,2.31,2.34,2.25,2.28,175190
KSH,20171116,2.22,2.36,2.2,2.34,151980
KSH,20171115,2.14,2.24,2.14,2.22,211880
KSH,20171114,2.14,2.28,2.14,2.14,852850
KSH,20171113,2.32,2.42,2.3,2.3,287960
KSH,20171110,2.63,2.63,2.47,2.47,812260
KSH,20171109,2.79,2.8,2.63,2.65,271140
KSH,20171108,2.5,2.65,2.49,2.65,358210
KSH,20171107,2.48,2.5,2.42,2.48,237940
KSH,20171106,2.54,2.6,2.48,2.48,122820
KSH,20171103,2.6,2.6,2.42,2.54,659890
KSH,20171102,2.63,2.63,2.55,2.6,53530
KSH,20171101,2.61,2.68,2.6,2.6,144730
KSH,20171031,2.65,2.69,2.6,2.6,257750
KSH,20171030,2.64,2.71,2.6,2.61,172640
KSH,20171027,2.66,2.7,2.6,2.65,249380
KSH,20171026,2.69,2.73,2.63,2.63,115190
KSH,20171025,2.68,2.75,2.66,2.7,151100
KSH,20171024,2.63,2.71,2.63,2.68,41860
KSH,20171023,2.66,2.73,2.65,2.65,210050
KSH,20171020,2.77,2.77,2.59,2.67,290830
KSH,20171019,2.87,2.87,2.76,2.77,77990
KSH,20171018,2.88,2.9,2.78,2.78,185530
KSH,20171017,2.74,2.93,2.74,2.88,771470
KSH,20171016,2.76,2.77,2.72,2.74,73600
KSH,20171013,2.74,2.78,2.72,2.76,85540
KSH,20171012,2.74,2.79,2.74,2.74,160140
KSH,20171011,2.72,2.84,2.7,2.73,86150
