<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
L35,20180713,3.9,3.9,3.9,3.9,1000
L35,20180712,,,,3.6,0
L35,20180711,3.6,3.6,3.6,3.6,1000
L35,20180710,,,,3.3,0
L35,20180709,3.3,3.3,3.3,3.3,100
L35,20180706,,,,3,0
L35,20180705,,,,3,0
L35,20180704,,,,3,0
L35,20180703,,,,3,0
L35,20180702,,,,3,0
L35,20180629,3,3,3,3,100
L35,20180628,,,,2.8,0
L35,20180627,,,,2.8,0
L35,20180626,,,,2.8,0
L35,20180625,2.8,2.8,2.8,2.8,200
L35,20180622,,,,3.1,0
L35,20180621,,,,3.1,0
L35,20180620,,,,3.1,0
L35,20180619,3.1,3.1,3.1,3.1,100
L35,20180618,3.4,3.4,3.4,3.4,3100
L35,20180615,3.7,3.7,3.7,3.7,100
L35,20180614,,,,4.1,0
L35,20180613,4.1,4.1,4.1,4.1,100
L35,20180612,,,,4.5,0
L35,20180611,,,,4.5,0
L35,20180608,,,,4.5,0
L35,20180607,,,,4.5,0
L35,20180606,4.5,4.5,4.5,4.5,2000
L35,20180605,4.8,4.8,4.8,4.8,2200
L35,20180604,5,5,5,5,100
L35,20180601,,,,5,0
L35,20180531,,,,5,0
L35,20180530,5,5,5,5,20
L35,20180529,,,,5,0
L35,20180528,,,,5,0
L35,20180525,5,5,5,5,100
L35,20180524,,,,4.7,0
L35,20180523,,,,4.7,0
L35,20180522,,,,4.7,0
L35,20180521,,,,4.7,0
L35,20180518,4.7,4.7,4.7,4.7,100
L35,20180517,,,,4.4,0
L35,20180516,,,,4.4,0
L35,20180515,,,,4.4,0
L35,20180514,,,,4.4,0
L35,20180511,,,,4.4,0
L35,20180510,,,,4.4,0
L35,20180509,,,,4.4,0
L35,20180508,,,,4.4,0
L35,20180507,,,,4.4,0
L35,20180504,,,,4.4,0
L35,20180503,4.4,4.4,4.4,4.4,100
L35,20180502,,,,4.6,0
L35,20180427,4.6,4.6,4.6,4.6,400
L35,20180426,4.7,4.7,4.7,4.7,100
L35,20180424,,,,5,0
L35,20180423,,,,5,0
L35,20180420,5,5,5,5,100
L35,20180419,,,,4.8,0
L35,20180418,4.7,4.8,4.7,4.8,2000
L35,20180417,5,5,5,5,3000
L35,20180416,,,,5,0
L35,20180413,5,5,5,5,100
L35,20180412,,,,5.5,0
L35,20180411,,,,5.5,0
L35,20180410,,,,5.5,0
L35,20180409,,,,5.5,0
L35,20180406,,,,5.5,0
L35,20180405,,,,5.5,0
L35,20180404,5.5,5.5,5.5,5.5,12100
L35,20180403,,,,5,0
L35,20180402,,,,5,0
L35,20180330,,,,5,0
L35,20180329,,,,5,0
L35,20180328,,,,5,0
L35,20180327,,,,5,0
L35,20180326,,,,5,0
L35,20180323,,,,5,0
L35,20180322,,,,5,0
L35,20180321,,,,5,0
L35,20180320,5,5,5,5,20
L35,20180319,,,,5,0
L35,20180316,,,,5,0
L35,20180315,,,,5,0
L35,20180314,,,,5,0
L35,20180313,5,5,5,5,100
L35,20180312,4.6,4.6,4.6,4.6,300
L35,20180309,,,,5,0
L35,20180308,,,,5,0
L35,20180307,4.7,5,4.7,5,200
L35,20180306,,,,5.1,0
L35,20180305,,,,5.1,0
L35,20180302,,,,5.1,0
L35,20180301,,,,5.1,0
L35,20180228,,,,5.1,0
L35,20180227,4.8,5.1,4.8,5.1,200
L35,20180226,,,,4.8,0
L35,20180223,,,,4.8,0
L35,20180222,,,,4.8,0
L35,20180221,,,,4.8,0
L35,20180213,,,,4.8,0
L35,20180212,,,,4.8,0
L35,20180209,,,,4.8,0
L35,20180208,,,,4.8,0
L35,20180207,,,,4.8,0
L35,20180206,,,,4.8,0
L35,20180205,4.8,4.8,4.8,4.8,5000
L35,20180202,,,,5.2,0
L35,20180201,,,,5.2,0
L35,20180131,,,,5.2,0
L35,20180130,,,,5.2,0
L35,20180129,5,5.2,5,5.2,300
L35,20180126,4.8,4.8,4.8,4.8,100
L35,20180125,5,5,5,5,13800
L35,20180122,5,5,5,5,100
L35,20180119,,,,4.7,0
L35,20180118,,,,4.7,0
L35,20180117,4.8,4.8,4.7,4.7,2900
L35,20180116,4.7,4.7,4.7,4.7,100
L35,20180115,,,,5.2,0
L35,20180112,5.2,5.2,5.2,5.2,10
L35,20180111,,,,5.2,0
L35,20180110,,,,5.2,0
L35,20180109,4.9,5.2,4.5,5.2,4300
L35,20180108,,,,4.9,0
L35,20180105,,,,4.9,0
L35,20180104,4.9,4.9,4.9,4.9,500
L35,20180103,5,5,5,5,2000
L35,20180102,,,,5,0
L35,20171229,,,,5,0
L35,20171228,,,,5,0
L35,20171227,,,,5,0
L35,20171226,5,5,5,5,1000
L35,20171225,4.6,4.6,4.6,4.6,2000
L35,20171222,4.7,4.7,4.7,4.7,300
L35,20171221,,,,5,0
L35,20171220,,,,5,0
L35,20171219,5,5,5,5,100
L35,20171218,5.5,5.5,5.5,5.5,10
L35,20171215,5.5,5.5,5.5,5.5,3000
L35,20171214,,,,5.6,0
L35,20171213,,,,5.6,0
L35,20171212,,,,5.6,0
L35,20171211,,,,5.6,0
L35,20171208,,,,5.6,0
L35,20171207,,,,5.6,0
L35,20171206,,,,5.6,0
L35,20171205,5.5,5.6,5.5,5.6,10300
L35,20171204,5.4,5.4,5.4,5.4,200
L35,20171201,5.4,6,5.4,6,2000
L35,20171130,,,,5.5,0
L35,20171129,,,,5.5,0
L35,20171128,4.5,5.5,4.5,5.5,6900
L35,20171127,,,,5,0
L35,20171124,,,,5,0
L35,20171123,,,,5,0
L35,20171122,5,5,5,5,300
L35,20171121,,,,5.1,0
L35,20171120,,,,5.1,0
L35,20171117,,,,5.1,0
L35,20171116,,,,5.1,0
L35,20171115,,,,5.1,0
L35,20171114,5.1,5.1,5.1,5.1,100
L35,20171113,5.1,5.1,5.1,5.1,1000
L35,20171110,5,5,5,5,1000
L35,20171109,5,5,5,5,1000
L35,20171108,,,,5,0
L35,20171107,,,,5,0
L35,20171106,,,,5,0
L35,20171103,5,5,5,5,3700
L35,20171102,5,5,5,5,300
L35,20171101,,,,5.1,0
L35,20171031,5.1,5.1,5.1,5.1,1800
L35,20171030,,,,5.1,0
L35,20171027,,,,5.1,0
L35,20171026,5.1,5.1,5.1,5.1,600
L35,20171025,,,,5,0
L35,20171024,,,,5,0
L35,20171023,4.7,5,4.7,5,7540
L35,20171020,,,,4.6,0
L35,20171019,,,,4.6,0
L35,20171018,,,,4.6,0
L35,20171017,4.6,4.6,4.6,4.6,700
L35,20171016,,,,4.6,0
L35,20171013,,,,4.6,0
L35,20171012,4.6,4.6,4.51,4.6,1000
L35,20171011,4.51,4.51,4.51,4.51,2930
L35,20171010,,,,4.69,0
L35,20171009,4.6,4.69,4.6,4.69,2200
L35,20171006,4.51,4.6,4.51,4.6,1100
L35,20171005,,,,4.51,0
L35,20171004,,,,4.51,0
L35,20171003,,,,4.51,0
L35,20171002,4.51,4.51,4.51,4.51,2900
L35,20170929,4.33,4.42,4.33,4.42,800
L35,20170928,4.33,4.33,4.33,4.33,700
L35,20170927,,,,4.33,0
L35,20170926,4.33,4.33,4.33,4.33,1000
L35,20170925,4.33,4.33,4.33,4.33,5000
L35,20170922,,,,4.33,0
L35,20170921,,,,4.33,0
L35,20170920,,,,4.33,0
L35,20170919,,,,4.33,0
L35,20170918,,,,4.33,0
L35,20170915,,,,4.33,0
L35,20170914,,,,4.33,0
L35,20170913,,,,4.33,0
L35,20170912,,,,4.33,0
L35,20170911,,,,4.33,0
L35,20170908,,,,4.33,0
L35,20170907,,,,4.33,0
L35,20170906,,,,4.33,0
L35,20170905,,,,4.33,0
L35,20170901,,,,4.33,0
L35,20170831,,,,4.33,0
L35,20170830,,,,4.33,0
L35,20170829,,,,4.33,0
L35,20170828,,,,4.33,0
L35,20170825,,,,4.33,0
L35,20170824,,,,4.33,0
L35,20170823,,,,4.33,0
L35,20170822,4.33,4.33,4.33,4.33,1000
L35,20170821,4.33,4.33,4.33,4.33,3000
L35,20170818,4.33,4.33,4.33,4.33,5000
L35,20170817,,,,4.24,0
L35,20170816,,,,4.24,0
L35,20170815,4.24,4.24,4.24,4.24,2000
L35,20170814,,,,4.24,0
L35,20170811,4.24,4.24,4.24,4.24,1000
L35,20170810,,,,4.51,0
L35,20170809,,,,4.51,0
L35,20170808,,,,4.51,0
L35,20170807,4.24,4.51,4.24,4.51,9250
L35,20170804,,,,4.42,0
L35,20170803,4.42,4.42,4.42,4.42,20
L35,20170802,4.42,4.42,4.42,4.42,2600
L35,20170801,4.42,4.42,4.42,4.42,5100
L35,20170731,,,,4.42,0
L35,20170728,,,,4.42,0
L35,20170727,,,,4.42,0
L35,20170726,4.42,4.42,4.42,4.42,3400
L35,20170725,,,,4.42,0
L35,20170724,4.42,4.42,4.42,4.42,10
L35,20170721,4.42,4.42,4.42,4.42,2100
L35,20170720,4.33,4.33,4.33,4.33,900
L35,20170719,4.33,4.33,4.33,4.33,2800
L35,20170718,4.51,4.51,4.51,4.51,2000
L35,20170717,4.33,4.51,4.33,4.51,4500
L35,20170714,4.33,4.6,4.33,4.6,6300
L35,20170713,,,,4.51,0
L35,20170712,,,,4.51,0
L35,20170711,4.33,4.51,4.33,4.51,6500
L35,20170710,4.33,4.33,4.33,4.33,500
L35,20170707,,,,4.42,0
L35,20170706,,,,4.42,0
L35,20170705,,,,4.42,0
L35,20170704,,,,4.42,0
L35,20170703,,,,4.42,0
L35,20170630,4.42,4.42,4.42,4.42,200
L35,20170629,4.42,4.42,4.42,4.42,800
L35,20170628,,,,4.51,0
L35,20170627,,,,4.51,0
L35,20170626,,,,4.51,0
L35,20170623,,,,4.51,0
L35,20170622,,,,4.51,0
L35,20170621,,,,4.51,0
L35,20170620,4.51,4.51,4.51,4.51,500
L35,20170619,,,,4.42,0
L35,20170616,,,,4.42,0
L35,20170615,,,,4.42,0
L35,20170614,4.42,4.42,4.42,4.42,500
L35,20170613,4.42,4.42,4.42,4.42,500
L35,20170612,,,,4.51,0
L35,20170609,,,,4.51,0
L35,20170608,,,,4.51,0
L35,20170607,4.51,4.51,4.51,4.51,1000
L35,20170606,,,,4.42,0
L35,20170605,,,,4.42,0
L35,20170602,,,,4.42,0
L35,20170601,,,,4.42,0
L35,20170531,,,,4.42,0
L35,20170530,,,,4.42,0
L35,20170529,4.33,4.42,4.33,4.42,2000
L35,20170526,4.33,4.42,4.33,4.42,1700
L35,20170525,4.24,4.33,4.06,4.33,4400
L35,20170524,4.24,4.24,4.24,4.24,1000
L35,20170523,4.24,4.24,4.24,4.24,800
L35,20170522,,,,4.42,0
L35,20170519,,,,4.42,0
L35,20170518,,,,4.42,0
L35,20170517,,,,4.42,0
L35,20170516,,,,4.42,0
L35,20170515,,,,4.42,0
L35,20170512,4.42,4.42,4.42,4.42,300
L35,20170511,,,,4.33,0
L35,20170510,,,,4.33,0
L35,20170509,4.33,4.33,4.33,4.33,5000
L35,20170508,,,,4.69,0
L35,20170505,4.6,4.69,4.6,4.69,2100
L35,20170504,,,,4.6,0
L35,20170503,4.6,4.6,4.6,4.6,400
L35,20170428,,,,4.6,0
L35,20170427,4.6,4.6,4.6,4.6,2800
L35,20170426,4.6,4.69,4.6,4.69,1200
L35,20170425,4.6,4.6,4.6,4.6,500
L35,20170424,4.78,4.78,4.78,4.78,500
L35,20170421,,,,4.87,0
L35,20170420,,,,4.87,0
L35,20170419,,,,4.87,0
L35,20170418,,,,4.87,0
L35,20170417,,,,4.87,0
L35,20170414,4.87,4.87,4.87,4.87,100
L35,20170413,,,,4.6,0
L35,20170412,,,,4.6,0
L35,20170411,,,,4.6,0
L35,20170410,,,,4.6,0
L35,20170407,,,,4.6,0
L35,20170405,,,,4.6,0
L35,20170404,,,,4.6,0
L35,20170403,,,,4.6,0
L35,20170331,4.69,4.69,4.6,4.6,2000
L35,20170330,,,,5.05,0
L35,20170329,,,,5.05,0
L35,20170328,4.87,5.05,4.87,5.05,1000
L35,20170327,4.69,4.78,4.69,4.78,2100
L35,20170324,4.96,5.05,4.87,4.87,1300
L35,20170323,4.96,4.96,4.96,4.96,60
L35,20170322,,,,4.96,0
L35,20170321,4.96,4.96,4.96,4.96,600
L35,20170320,4.96,4.96,4.96,4.96,500
L35,20170317,4.96,4.96,4.96,4.96,100
