<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LCD,20180713,,,,6.3,0
LCD,20180712,,,,6.3,0
LCD,20180711,,,,6.3,0
LCD,20180710,,,,6.3,0
LCD,20180709,,,,6.3,0
LCD,20180706,,,,6.3,0
LCD,20180705,,,,6.3,0
LCD,20180704,,,,6.3,0
LCD,20180703,,,,6.3,0
LCD,20180702,,,,6.3,0
LCD,20180629,,,,6.3,0
LCD,20180628,,,,6.3,0
LCD,20180627,,,,6.3,0
LCD,20180626,,,,6.3,0
LCD,20180625,,,,6.3,0
LCD,20180622,,,,6.3,0
LCD,20180621,,,,6.3,0
LCD,20180620,,,,6.3,0
LCD,20180619,,,,6.3,0
LCD,20180618,6.3,6.3,6.3,6.3,100
LCD,20180615,,,,6.9,0
LCD,20180614,,,,6.9,0
LCD,20180613,,,,6.9,0
LCD,20180612,,,,6.9,0
LCD,20180611,,,,6.9,0
LCD,20180608,,,,6.9,0
LCD,20180607,,,,6.9,0
LCD,20180606,,,,6.9,0
LCD,20180605,,,,6.9,0
LCD,20180604,,,,6.9,0
LCD,20180601,,,,6.9,0
LCD,20180531,,,,6.9,0
LCD,20180530,,,,6.9,0
LCD,20180529,,,,6.9,0
LCD,20180528,,,,6.9,0
LCD,20180525,,,,6.9,0
LCD,20180524,,,,6.9,0
LCD,20180523,,,,6.9,0
LCD,20180522,,,,6.9,0
LCD,20180521,,,,6.9,0
LCD,20180518,,,,6.9,0
LCD,20180517,,,,6.9,0
LCD,20180516,,,,6.9,0
LCD,20180515,,,,6.9,0
LCD,20180514,,,,6.9,0
LCD,20180511,,,,6.9,0
LCD,20180510,,,,6.9,0
LCD,20180509,,,,6.9,0
LCD,20180508,,,,6.9,0
LCD,20180507,,,,6.9,0
LCD,20180504,,,,6.9,0
LCD,20180503,,,,6.9,0
LCD,20180502,,,,6.9,0
LCD,20180427,,,,6.9,0
LCD,20180426,,,,6.9,0
LCD,20180424,,,,6.9,0
LCD,20180423,,,,6.9,0
LCD,20180420,,,,6.9,0
LCD,20180419,,,,6.9,0
LCD,20180418,,,,6.9,0
LCD,20180417,,,,6.9,0
LCD,20180416,,,,6.9,0
LCD,20180413,,,,6.9,0
LCD,20180412,,,,6.9,0
LCD,20180411,,,,6.9,0
LCD,20180410,,,,6.9,0
LCD,20180409,,,,6.9,0
LCD,20180406,,,,6.9,0
LCD,20180405,,,,6.9,0
LCD,20180404,,,,6.9,0
LCD,20180403,,,,6.9,0
LCD,20180402,,,,6.9,0
LCD,20180330,6.9,6.9,6.9,6.9,52500
LCD,20180329,,,,6.3,0
LCD,20180328,,,,6.3,0
LCD,20180327,,,,6.3,0
LCD,20180326,,,,6.3,0
LCD,20180323,,,,6.3,0
LCD,20180322,,,,6.3,0
LCD,20180321,,,,6.3,0
LCD,20180320,,,,6.3,0
LCD,20180319,,,,6.3,0
LCD,20180316,,,,6.3,0
LCD,20180315,,,,6.3,0
