<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LCM,20180713,,,,0.7,0
LCM,20180712,0.7,0.74,0.68,0.7,10670
LCM,20180711,0.74,0.74,0.69,0.7,190
LCM,20180710,0.7,0.7,0.68,0.7,17170
LCM,20180709,0.7,0.7,0.68,0.7,2940
LCM,20180706,0.7,0.74,0.69,0.69,7880
LCM,20180705,0.72,0.72,0.66,0.7,7240
LCM,20180704,0.72,0.72,0.67,0.68,19490
LCM,20180703,0.75,0.75,0.68,0.68,44120
LCM,20180702,0.76,0.76,0.73,0.73,240
LCM,20180629,0.73,0.78,0.72,0.73,10380
LCM,20180628,0.73,0.76,0.72,0.73,6700
LCM,20180627,0.77,0.77,0.72,0.73,7760
LCM,20180626,0.7,0.78,0.7,0.75,390
LCM,20180625,0.76,0.77,0.73,0.73,670
LCM,20180622,0.76,0.77,0.73,0.75,18280
LCM,20180621,0.75,0.75,0.7,0.74,7550
LCM,20180620,0.78,0.78,0.71,0.71,8080
LCM,20180619,0.75,0.75,0.74,0.74,5600
LCM,20180618,0.74,0.79,0.74,0.79,140
LCM,20180615,0.79,0.79,0.73,0.79,400
LCM,20180614,0.75,0.75,0.75,0.75,60
LCM,20180613,0.75,0.81,0.75,0.79,6120
LCM,20180612,0.8,0.8,0.76,0.79,3210
LCM,20180611,0.79,0.82,0.79,0.81,9080
LCM,20180608,0.8,0.8,0.78,0.8,12400
LCM,20180607,0.73,0.78,0.73,0.78,84600
LCM,20180606,0.73,0.76,0.73,0.73,87250
LCM,20180605,0.74,0.78,0.72,0.75,15210
LCM,20180604,0.77,0.77,0.74,0.77,1020
LCM,20180601,0.79,0.79,0.72,0.77,24400
LCM,20180531,0.78,0.79,0.73,0.77,70140
LCM,20180530,0.73,0.78,0.72,0.78,1450
LCM,20180529,0.73,0.78,0.68,0.77,11100
LCM,20180528,0.79,0.79,0.7,0.73,28060
LCM,20180525,0.8,0.81,0.75,0.75,10540
LCM,20180524,0.81,0.81,0.74,0.8,510
LCM,20180523,0.8,0.8,0.77,0.79,320
LCM,20180522,0.8,0.8,0.74,0.76,13100
LCM,20180521,0.8,0.8,0.75,0.79,16810
LCM,20180518,0.82,0.82,0.76,0.8,2140
LCM,20180517,0.79,0.8,0.76,0.78,14260
LCM,20180516,0.8,0.81,0.75,0.79,27880
LCM,20180515,0.83,0.83,0.79,0.79,6790
LCM,20180514,0.83,0.83,0.8,0.81,9050
LCM,20180511,0.79,0.79,0.74,0.78,38500
LCM,20180510,0.84,0.84,0.77,0.79,5650
LCM,20180509,0.82,0.82,0.8,0.82,3040
LCM,20180508,0.77,0.8,0.77,0.8,109480
LCM,20180507,0.71,0.75,0.71,0.75,18910
LCM,20180504,0.7,0.72,0.7,0.71,22060
LCM,20180503,0.75,0.75,0.72,0.74,4190
LCM,20180502,0.77,0.77,0.72,0.72,16800
LCM,20180427,0.74,0.78,0.73,0.75,8360
LCM,20180426,0.74,0.76,0.73,0.75,12710
LCM,20180424,0.76,0.76,0.73,0.74,10620
LCM,20180423,0.73,0.73,0.7,0.72,24630
LCM,20180420,0.7,0.73,0.7,0.73,42560
LCM,20180419,0.74,0.74,0.73,0.74,55330
LCM,20180418,0.71,0.75,0.71,0.74,51630
LCM,20180417,0.76,0.76,0.73,0.76,2410
LCM,20180416,0.8,0.8,0.74,0.76,132950
LCM,20180413,0.8,0.8,0.79,0.79,43250
LCM,20180412,0.81,0.83,0.8,0.81,46890
LCM,20180411,0.87,0.87,0.81,0.81,189890
LCM,20180410,0.84,0.87,0.83,0.87,3020
LCM,20180409,0.93,0.93,0.86,0.86,54130
LCM,20180406,0.91,0.92,0.83,0.92,201540
LCM,20180405,0.86,0.87,0.85,0.87,62460
LCM,20180404,0.85,0.85,0.81,0.82,46510
LCM,20180403,0.88,0.88,0.8,0.85,99840
LCM,20180402,0.87,0.87,0.86,0.86,1990
LCM,20180330,0.87,0.88,0.84,0.86,12440
LCM,20180329,0.86,0.89,0.86,0.87,32620
LCM,20180328,0.87,0.87,0.85,0.86,22910
LCM,20180327,0.87,0.88,0.83,0.86,37130
LCM,20180326,0.83,0.88,0.83,0.85,25310
LCM,20180323,0.82,0.87,0.81,0.83,3580
LCM,20180322,0.9,0.9,0.85,0.86,77460
LCM,20180321,0.86,0.9,0.86,0.87,41760
LCM,20180320,0.93,0.94,0.86,0.86,56190
LCM,20180319,0.96,0.96,0.9,0.9,45210
LCM,20180316,0.92,0.97,0.91,0.91,44670
LCM,20180315,0.96,0.96,0.89,0.92,153460
LCM,20180314,0.96,0.96,0.92,0.95,16510
LCM,20180313,0.94,0.98,0.94,0.96,5290
LCM,20180312,0.94,0.96,0.93,0.96,10470
LCM,20180309,0.95,0.99,0.95,0.99,5220
LCM,20180308,0.93,0.98,0.93,0.96,3630
LCM,20180307,0.99,0.99,0.93,0.98,27990
LCM,20180306,0.99,0.99,0.92,0.99,22470
LCM,20180305,0.95,0.99,0.95,0.95,17680
LCM,20180302,0.97,1,0.94,1,16230
LCM,20180301,0.97,1,0.96,1,54500
LCM,20180228,1.02,1.05,0.96,1.03,17040
LCM,20180227,0.98,1.02,0.97,1.02,139830
LCM,20180226,1.1,1.12,0.98,1.04,242050
LCM,20180223,1.12,1.13,1.05,1.05,223470
LCM,20180222,1.09,1.13,1.08,1.12,91580
LCM,20180221,1.02,1.07,1,1.07,357300
LCM,20180213,0.95,1,0.93,1,152590
LCM,20180212,0.96,0.96,0.92,0.95,85080
LCM,20180209,0.91,0.92,0.88,0.9,58910
LCM,20180208,0.93,0.94,0.89,0.9,101730
LCM,20180207,0.9,0.94,0.89,0.94,97860
LCM,20180206,0.97,0.97,0.89,0.89,29640
LCM,20180205,0.96,0.99,0.91,0.95,112380
LCM,20180202,0.92,0.96,0.9,0.96,149550
LCM,20180201,0.9,0.93,0.87,0.9,281490
LCM,20180131,0.91,0.93,0.88,0.9,79140
LCM,20180130,0.92,0.94,0.9,0.9,13270
LCM,20180129,0.94,0.94,0.92,0.92,15210
LCM,20180126,0.93,0.93,0.9,0.93,70120
LCM,20180125,0.96,0.96,0.9,0.93,28310
LCM,20180122,0.96,0.98,0.93,0.93,96350
LCM,20180119,1.01,1.01,0.96,0.99,33790
LCM,20180118,1.01,1.01,0.98,1,100010
LCM,20180117,1.05,1.05,0.94,1,167990
LCM,20180116,1.03,1.03,1.01,1.01,12010
LCM,20180115,0.99,1.03,0.99,1.01,21750
LCM,20180112,1,1.04,1,1.04,21170
LCM,20180111,0.98,1.04,0.98,1.04,160340
LCM,20180110,1.05,1.1,0.98,0.98,165750
LCM,20180109,1.02,1.1,0.99,1.05,343130
LCM,20180108,1.18,1.18,1.05,1.05,98790
LCM,20180105,1.17,1.18,1.12,1.12,107540
LCM,20180104,1,1.11,1,1.11,216380
LCM,20180103,1.02,1.05,1.02,1.04,79380
LCM,20180102,1,1.01,0.99,1.01,174000
LCM,20171229,0.99,1.01,0.99,1,18350
LCM,20171228,1.03,1.03,1,1,17670
LCM,20171227,0.99,1.03,0.99,1.03,4280
LCM,20171226,1,1.03,0.98,1.03,18570
LCM,20171225,1.02,1.03,1.01,1.02,26390
LCM,20171222,1.01,1.04,1.01,1.04,26230
LCM,20171221,1,1.05,1,1.04,18570
LCM,20171220,1.01,1.05,1,1.04,48640
LCM,20171219,1.08,1.08,1.01,1.04,25830
LCM,20171218,1.1,1.1,1.03,1.07,28540
LCM,20171215,1.05,1.08,1.03,1.08,22780
LCM,20171214,1.1,1.1,1.02,1.05,131920
LCM,20171213,1.05,1.05,1,1.05,34280
LCM,20171212,1.01,1.1,1.01,1.05,49500
LCM,20171211,1.14,1.14,1.03,1.05,20910
LCM,20171208,1.04,1.11,1.04,1.1,23080
LCM,20171207,1.1,1.1,1.04,1.04,10340
LCM,20171206,1.06,1.1,1.04,1.04,33220
LCM,20171205,1.05,1.1,1.05,1.06,23760
LCM,20171204,1.14,1.15,1.1,1.1,2090
LCM,20171201,1.1,1.16,1.1,1.14,48960
LCM,20171130,1.13,1.13,1.05,1.13,7960
LCM,20171129,1.08,1.15,1.07,1.07,17580
LCM,20171128,1.17,1.17,1.1,1.14,28500
LCM,20171127,1.03,1.1,1.03,1.1,184720
LCM,20171124,1,1.05,1,1.03,41250
LCM,20171123,1.05,1.05,1.02,1.05,4770
LCM,20171122,1.07,1.07,1.02,1.05,34940
LCM,20171121,1.09,1.09,1.03,1.03,24790
LCM,20171120,1.11,1.11,1.04,1.08,10300
LCM,20171117,1.03,1.17,1.03,1.09,85430
LCM,20171116,1.06,1.1,1.06,1.1,103280
LCM,20171115,1.05,1.08,1.03,1.03,20700
LCM,20171114,1.01,1.07,1.01,1.05,45330
LCM,20171113,1.09,1.09,1,1.01,118050
LCM,20171110,1.13,1.13,1.07,1.07,51120
LCM,20171109,1.13,1.13,1.07,1.13,3910
LCM,20171108,1.13,1.13,1.05,1.12,69730
LCM,20171107,1.2,1.2,1.12,1.12,32830
LCM,20171106,1.12,1.15,1.12,1.14,18280
LCM,20171103,1.13,1.14,1.08,1.12,9740
LCM,20171102,1.11,1.13,1.1,1.13,41730
LCM,20171101,1.06,1.12,1.06,1.11,91350
LCM,20171031,1.05,1.12,1.03,1.12,100070
LCM,20171030,1.09,1.09,1.06,1.09,65100
LCM,20171027,1.09,1.09,1.05,1.05,2970
LCM,20171026,1.11,1.11,1.04,1.06,210230
LCM,20171025,1.1,1.14,1.1,1.11,7270
LCM,20171024,1.1,1.15,1.08,1.14,16540
LCM,20171023,1.13,1.14,1.12,1.14,21030
LCM,20171020,1.15,1.15,1.12,1.15,2520
LCM,20171019,1.13,1.16,1.12,1.13,82990
LCM,20171018,1.22,1.22,1.13,1.13,14560
LCM,20171017,1.15,1.2,1.15,1.18,197020
LCM,20171016,1.12,1.14,1.11,1.14,47440
LCM,20171013,1.16,1.17,1.1,1.15,60340
LCM,20171012,1.12,1.15,1.12,1.13,17830
LCM,20171011,1.16,1.17,1.14,1.14,12050
LCM,20171010,1.17,1.17,1.13,1.16,23540
LCM,20171009,1.18,1.18,1.16,1.16,4710
LCM,20171006,1.18,1.19,1.14,1.17,86870
LCM,20171005,1.16,1.18,1.15,1.16,59070
LCM,20171004,1.17,1.17,1.11,1.14,99690
LCM,20171003,1.17,1.18,1.1,1.11,154960
LCM,20171002,1.15,1.18,1.15,1.18,15680
