<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LDG,20180713,10.3,10.7,10.2,10.6,1052390
LDG,20180712,10,10.2,9.61,10,402940
LDG,20180711,9.9,10.15,9.77,10,673600
LDG,20180710,10.5,10.75,10,10.5,779090
LDG,20180709,10.8,11.5,10.7,10.7,2089290
LDG,20180706,10.1,10.8,9.82,10.8,1076430
LDG,20180705,9.91,10.6,9.6,10.1,1263830
LDG,20180704,10.55,10.6,9.82,10.3,2001990
LDG,20180703,10.8,11.3,10.55,10.55,1286740
LDG,20180702,11.95,12,11.3,11.3,1620380
LDG,20180629,11.2,12.15,11.2,12.1,1914410
LDG,20180628,12.5,13,12,12,2130070
LDG,20180627,12.85,13.75,12.85,12.9,3044750
LDG,20180626,14.4,14.5,13.8,13.8,722430
LDG,20180625,14.7,14.9,14.6,14.8,326360
LDG,20180622,14.5,14.85,14.5,14.7,384280
LDG,20180621,15.7,15.7,14.6,14.9,438680
LDG,20180620,15.1,15.8,14.65,15.6,1608410
LDG,20180619,15.6,15.8,15.35,15.35,633270
LDG,20180618,17.25,17.25,16.2,16.5,435210
LDG,20180615,17.2,17.2,16.8,17.2,199420
LDG,20180614,17.4,17.4,16.8,17.2,328090
LDG,20180613,17,17.2,16.6,17.2,450250
LDG,20180612,18,18,16.75,17,1442970
LDG,20180611,18.05,18.3,17.85,18,608580
LDG,20180608,18.6,18.6,17.7,18.6,1304400
LDG,20180607,19.25,19.25,18.35,18.65,626100
LDG,20180606,18.5,19.35,18.5,19.2,771550
LDG,20180605,17.67,18.3,17.46,18.09,1309020
LDG,20180604,17.12,17.71,16.95,17.71,1112490
LDG,20180601,16.52,17.33,16.44,17.29,970270
LDG,20180531,15.77,16.87,15.77,16.65,642700
LDG,20180530,16.11,16.19,15.77,16.19,587660
LDG,20180529,15.09,16.61,15.09,16.19,2002030
LDG,20180528,17.37,17.37,16.18,16.19,576570
LDG,20180525,18.22,18.22,16.95,17.37,730900
LDG,20180524,17.8,18.39,17.46,17.75,609010
LDG,20180523,17.54,18.39,17.12,18.39,1294070
LDG,20180522,19.58,19.67,18.39,18.39,1291860
LDG,20180521,20.34,20.47,19.58,19.75,332270
LDG,20180518,20.09,20.59,19.49,20.3,969820
LDG,20180517,20.34,20.68,20.09,20.17,372630
LDG,20180516,20.34,20.76,20.12,20.34,601520
LDG,20180515,20.17,20.77,19.84,20.76,795230
LDG,20180514,19.4,20.17,19.4,19.92,624590
LDG,20180511,19.75,20.13,19.49,19.53,897830
LDG,20180510,20.17,20.5,19.66,20.17,419230
LDG,20180509,20.08,20.59,19.83,20.42,757990
LDG,20180508,20.17,20.17,19.75,19.83,567760
LDG,20180507,19.49,20.34,19.19,20.34,591250
LDG,20180504,19.49,19.66,19.24,19.49,428680
LDG,20180503,18.81,19.66,18.64,19.66,552240
LDG,20180502,19.66,20.08,18.68,19.49,976190
LDG,20180427,18.56,20.17,18.22,20.08,729870
LDG,20180426,20.34,20.34,19.02,19.03,1047510
LDG,20180424,20.26,20.68,19.75,20.42,866680
LDG,20180423,22.2,22.2,20.5,20.51,974980
LDG,20180420,21.49,22.04,20.85,22.03,907630
